post_id;text;date;likes;owner_id;is_video;by_tag
93CbaIxWra;"Осталось 1️⃣ МЕСТО НА КУРС ▶️КОММЕРЧЕСКИЙ ВИЗАЖИСТ◀️
1️⃣0️⃣ ноября стартует группа в #BrowBarSchool
Еще есть возможность изменить свою жизнь вместе с нами🙌🏻!!! Стать крутым визажистом и овладеть этой профессией!!!
‼️Курс ведет опытный преподаватель🔝 международного масштаба Илларионова Екатерина💁🏼‼️
🔱поставит руку
🔱поможет с выбором кистей, косметики
🔱вдохновит и направит на истинный путь идеального визажиста
🔱передаст весь свой ценный многолетний опыт
🔱ничего не утаит

ЗАПИСЬ НА КУРС
👉🏻👉🏻👉🏻WA+79833066111👈🏻👈🏻👈🏻
💸Самая адекватная цена в городе - в этом месяце 17000 за 45 академических часов!
Вы инвестируете в свою будущую профессию💰
📚Занятия проходят вт.чт с 18.00, ср с 11.00
Хватай свою удачу за хвост!!!
#browbarmua #browbarnovosibirsk";1447063291;106;228629441;False;мквизажист
96DQkFRWma;"Девочки, устройте спа-отдых своим ресничкам!👀 Ламинирование ресничек на лучших составах YUMI-lashes позволит вам надолго забыть о туши, а час проведенный в МЕГАудобном кресле, пока над вами колдуют наши феи, позволит отдохнуть и вам!😌
ПОЧЕМУ ЕЩЕ СТОИТ СДЕЛАТЬ эту процедуру:
✔️увеличение объема на 30%
✔️распахнутый взгляд
✔️удлинение
✔️запечатанный черный цвет
✔️моделирование изгиба
➕БОНУС: окрашивание нижних ресничек!👏🏻
‼️эффект заметен до двух месяцев🙈😍😌
Безопасно и очень естественно!!!
Тушью пользоваться можно!!!
Цена на укрепление ресничек всего 2000₽
ЗАПИСЬ 📲299•65•97
#browbarnovosibirsk";1447164389;111;228629441;False;мквизажист
9S5gCPExLt;"‼️Внимание‼️
1⃣ ноября стартует курс "" Визажист"" 
Программа: ✔️Теория
Пропорции и строение лица, формы лиц и способы их коррекции.
Эскизирование.
Классификация декоративной косметики. 
Психологические аспекты работы с клиентом.
Инструментарий, дезинфекция .
Терминология визажиста.
✔️Практика: •Nude make-up
•Дневной макияж •Smoky eyes light
•Smoky eyes.Работа с накладными ресницами.
•Голливудский макияж
•Свадебный макияж
•Lifting макияж 
Экзамен
Только мини-группы(3-4 человека).
✔️ 1 группа: Занятия проходят по субботам и воскресеньям.
✔️2 группа по будням. 
Выдаётся сертификат. 
Все вопросы и запись на курс по ☎️ 8-919-668-60-77";1445850650;103;431366219;False;мквизажист
BCE7mX3B3ow;Мастер-класс Ольги Хрущёвой для визажистов, сегодня первый день;1456119407;65;2010330477;False;мквизажист
BCFH08yB3mf;"Повышение квалификации для визажистов. Только два дня в Ангарске. 
Ольга Хрущева визажист-стилист, мастер международного класса, официальный судья союза парикмахеров и косметологов, чемпионка России, чемпионка мира в командном первенстве, г. Екатеринбург. Обладатель Гран-При Чемпионата Стран Балтии (г. Рига), Серебряный призер Чемпионата Азии (г. Гонг-Конг)

Темы:
1 тема - Новые тренды салонного макияжа 2016 года
2 тема - Тренды свадебного  макияжа 2016 года. Технические приемы и новые материалы

Место проведения: Ангарск, 76 квартал, 8 дом, Фотостудия Magic studio

Количество мест ограничено.
По вопросам обращаться по телефону 8 950 106 0190";1456125818;41;2010330477;False;мквизажист
BCFH9mpB3mp;"Повышение квалификации для визажистов. Только два дня в Ангарске. 
Ольга Хрущева визажист-стилист, мастер международного класса, официальный судья союза парикмахеров и косметологов, чемпионка России, чемпионка мира в командном первенстве, г. Екатеринбург. Обладатель Гран-При Чемпионата Стран Балтии (г. Рига), Серебряный призер Чемпионата Азии (г. Гонг-Конг)

Темы:
1 тема - Новые тренды салонного макияжа 2016 года
2 тема - Тренды свадебного  макияжа 2016 года. Технические приемы и новые материалы

Место проведения: Ангарск, 76 квартал, 8 дом, Фотостудия Magic studio

Количество мест ограничено.
По вопросам обращаться по телефону 8 950 106 0190";1456125889;52;2010330477;False;мквизажист
BCFI9hkB3nx;"Повышение квалификации для визажистов. Только два дня в Ангарске. 
Ольга Хрущева визажист-стилист, мастер международного класса, официальный судья союза парикмахеров и косметологов, чемпионка России, чемпионка мира в командном первенстве, г. Екатеринбург. Обладатель Гран-При Чемпионата Стран Балтии (г. Рига), Серебряный призер Чемпионата Азии (г. Гонг-Конг)

Темы:
1 тема - Новые тренды салонного макияжа 2016 года
2 тема - Тренды свадебного  макияжа 2016 года. Технические приемы и новые материалы

Место проведения: Ангарск, 76 квартал, 8 дом, Фотостудия Magic studio

Количество мест ограничено.
По вопросам обращаться по телефону 8 950 106 0190";1456126412;85;2010330477;False;мквизажист
BCFILTfB3m3;"Повышение квалификации для визажистов. Только два дня в Ангарске. 
Ольга Хрущева визажист-стилист, мастер международного класса, официальный судья союза парикмахеров и косметологов, чемпионка России, чемпионка мира в командном первенстве, г. Екатеринбург. Обладатель Гран-При Чемпионата Стран Балтии (г. Рига), Серебряный призер Чемпионата Азии (г. Гонг-Конг)

Темы:
1 тема - Новые тренды салонного макияжа 2016 года
2 тема - Тренды свадебного  макияжа 2016 года. Технические приемы и новые материалы

Место проведения: Ангарск, 76 квартал, 8 дом, Фотостудия Magic studio

Количество мест ограничено.
По вопросам обращаться по телефону 8 950 106 0190";1456126001;51;2010330477;False;мквизажист
BCFIVeBh3nE;"Повышение квалификации для визажистов. Только два дня в Ангарске. 
Ольга Хрущева визажист-стилист, мастер международного класса, официальный судья союза парикмахеров и косметологов, чемпионка России, чемпионка мира в командном первенстве, г. Екатеринбург. Обладатель Гран-При Чемпионата Стран Балтии (г. Рига), Серебряный призер Чемпионата Азии (г. Гонг-Конг)

Темы:
1 тема - Новые тренды салонного макияжа 2016 года
2 тема - Тренды свадебного  макияжа 2016 года. Технические приемы и новые материалы

Место проведения: Ангарск, 76 квартал, 8 дом, Фотостудия Magic studio

Количество мест ограничено.
По вопросам обращаться по телефону 8 950 106 0190";1456126084;62;2010330477;False;мквизажист
BCFIg0Ih3nO;"Повышение квалификации для визажистов. Только два дня в Ангарске. 
Ольга Хрущева визажист-стилист, мастер международного класса, официальный судья союза парикмахеров и косметологов, чемпионка России, чемпионка мира в командном первенстве, г. Екатеринбург. Обладатель Гран-При Чемпионата Стран Балтии (г. Рига), Серебряный призер Чемпионата Азии (г. Гонг-Конг)

Темы:
1 тема - Новые тренды салонного макияжа 2016 года
2 тема - Тренды свадебного  макияжа 2016 года. Технические приемы и новые материалы

Место проведения: Ангарск, 76 квартал, 8 дом, Фотостудия Magic studio

Количество мест ограничено.
По вопросам обращаться по телефону 8 950 106 0190";1456126177;66;2010330477;False;мквизажист
BCFIq3-B3nV;"Повышение квалификации для визажистов. Только два дня в Ангарске. 
Ольга Хрущева визажист-стилист, мастер международного класса, официальный судья союза парикмахеров и косметологов, чемпионка России, чемпионка мира в командном первенстве, г. Екатеринбург. Обладатель Гран-При Чемпионата Стран Балтии (г. Рига), Серебряный призер Чемпионата Азии (г. Гонг-Конг)

Темы:
1 тема - Новые тренды салонного макияжа 2016 года
2 тема - Тренды свадебного  макияжа 2016 года. Технические приемы и новые материалы

Место проведения: Ангарск, 76 квартал, 8 дом, Фотостудия Magic studio

Количество мест ограничено.
По вопросам обращаться по телефону 8 950 106 0190";1456126260;74;2010330477;False;мквизажист
