post_id;text;date;likes;owner_id;is_video;by_tag
BAQz6jExCDX;Готовлюсь к мастер классу по витражу💜💙💚Впереди красочный позитив,жду своих любимых учениц😍#мккрасноярск #красноярск #витраж #мквитраж #моялюбимаяработа;1452223064;27;2148889359;False;мквитраж
BDa4c94xCBR;"Сегодня мой день был полон красок и позитивного общения😍 Спасибо девочкам,кто пришел ко мне на мк ""Картина в технике витраж""🎨
Завтра в нашей уютной студии @biryzastudio будем создавать новую красоту💕А пока всем приятного вечера и самых сладких сновидений😉 #моялюбимаяработа #мквитраж #витраж #красноярск #cvetnikksu #мккрасноярск";1459003438;46;2148889359;False;мквитраж
BIYJRfyhzR_;"МК по работе с витражами красителями. 
1 стандартная подготовка пластины , база.
2 на фото цвет кошачий глаз #neonail80 (использовали магнит, цвет просушен)
3 на фольге ставим несколько капель топа и несколько капель красителя, смешиваем.
4 наносим кистью смесь на цвет, прослушиваем в лампе. Лед 30 сек,  уф 2мин. 
5 последним тонким слоем перекрываем обычным топом. Полная просушки. 
Готово. Имея один цвет и несколько  красителей у вас будет богатая и интересная палитра.
P's . Кошачий  глаз, очень хорошо смотрится на коротких ногтях и визуально удлиняет пластину

В наличии гель лаки кошачий глаз, большая палитра.
Витражные красители - 150р 🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸
NARTINEX nail academy by Ekaterina Belova Депутатская 46 оф 2073
(7 этаж, 2й подьезд. Вход со строны улицы Щетинкина)
📲 8 913 394 73 46
график работы
с пн - суб 10:00 до 19:00
вс с 10:00 до 18:00

#нск#54#слайдерыновосибирск#академ#ногтинск#барнаул#горноалтайск#бийск#маникюрнск#вседляногтей#материалыдляногтей#nsk#купитьслайдеры#слайдеры#слайдернск#дизайнногтнейк#витраж#витражныекраски #мквитраж";1469649012;29;2778622548;False;мквитраж
BI_qEBKD_04;"repost via @instarepost20 from @nailshop_nsk
МК по работе с витражами красителями. 
1 стандартная подготовка пластины , база.
2 на фото цвет кошачий глаз #neonail80 (использовали магнит, цвет просушен)
3 на фольге ставим несколько капель топа и несколько капель красителя, смешиваем.
4 наносим кистью смесь на цвет, прослушиваем в лампе. Лед 30 сек,  уф 2мин. 
5 последним тонким слоем перекрываем обычным топом. Полная просушки. 
Готово. Имея один цвет и несколько  красителей у вас будет богатая и интересная палитра.
P's . Кошачий  глаз, очень хорошо смотрится на коротких ногтях и визуально удлиняет пластину.

В наличии гель лаки кошачий глаз, большая палитра.
Витражные красители - 150р 🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸
NARTINEX nail academy by Ekaterina Belova Депутатская 46 оф 2073
(7 этаж, 2й подьезд. Вход со строны улицы Щетинкина)
📲 8 913 394 73 46
график работы
с пн - суб 10:00 до 19:00
вс с 10:00 до 18:00

#нск#54#слайдерыновосибирск#академ#ногтинск#барнаул#горноалтайск#бийск#маникюрнск#вседляногтей#материалыдляногтей#nsk#купитьслайдеры#слайдеры#слайдернск#дизайнногтнейк#витраж#витражныекраски #мквитраж #instarepost20#кольцово#куйбышев#прокопьвск#белово#ногтиновосибирск#neonailnsk#neonailновосибирск#маникюрнск#курсыманикюрновосибирск";1470974826;19;1553292010;False;мквитраж
BIrC6lSDDLL;"repost via @instarepost20 from @nailshop_nsk
МК по работе с витражами красителями. 
1 стандартная подготовка пластины , база.
2 на фото цвет кошачий глаз #neonail80 (использовали магнит, цвет просушен)
3 на фольге ставим несколько капель топа и несколько капель красителя, смешиваем.
4 наносим кистью смесь на цвет, прослушиваем в лампе. Лед 30 сек,  уф 2мин. 
5 последним тонким слоем перекрываем обычным топом. Полная просушки. 
Готово. Имея один цвет и несколько  красителей у вас будет богатая и интересная палитра.
P's . Кошачий  глаз, очень хорошо смотрится на коротких ногтях и визуально удлиняет пластину

В наличии гель лаки кошачий глаз, большая палитра.
Витражные красители - 150р 🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸
NARTINEX nail academy by Ekaterina Belova Депутатская 46 оф 2073
(7 этаж, 2й подьезд. Вход со строны улицы Щетинкина)
📲 8 913 394 73 46
график работы
с пн - суб 10:00 до 19:00
вс с 10:00 до 18:00

#нск#54#слайдерыновосибирск#академ#ногтинск#барнаул#горноалтайск#бийск#маникюрнск#вседляногтей#материалыдляногтей#nsk#купитьслайдеры#слайдеры#слайдернск#дизайнногтнейк#витраж#витражныекраски #мквитраж #instarepost20";1470283213;32;1553292010;False;мквитраж
BMDtM6lAMGn;"Фрагмент ещё одной готовой работы... Витражные жарптицы 🔥🔥🔥
.
В субботу, 29.10 с 14.00 МК картина #витражнымикрасками
.
🔥Только сегодня приятный бонус 🎁 при оплате мастер-класса скидка 20%
.
📞Звоните или пишите в директ/WA  8-903-938-99-60
.
До встречи в #hobby_room_nsk 😘
.
#витраж_hobby_room";1477553141;82;3658728390;False;мквитраж
BMcBlROjDyM;Больше мастер классов с витражным гель-лаками ICELOOK на нашей страничке в #periscope 👉🏻looknailru 👌🏻 Подписывайтесь и будьте с нами 🙏💋 А сейчас Мини МК из трансляции от @mejika9i_nails нашими гель-лаками 💋💋💋#гельлаккошачийглаз #гельлакхамелеон #пигментхамелеон #выберисвоиlooknail #looknail #looklac#европейскоекачество #мкногти#мкногти_видео #мкдизайнногтей #мквитраж #мквензеля#мкфренч #мкградиент #мкногтей #мкмультяшки #обучениеногти #мкlooknail;1478369132;116;1943613777;True;мквитраж
BQuj14vhwxx;Когда ты немного твОрюга👻😄сама серьезность в процессе изготовления моего первого витражного фонаря!Скорее хочу забрать его домой зажечь свечу и смотреть за нежными,разноцветными бликами на потолке #выходныеудались#мквитраж;1487581008;48;3238568615;False;мквитраж
BVkNqNEAt-T;"Сегодня мы строили дом!  Резали стекло,  обрабатывали кромку,  паяли,  отмывали,  патинировали,  снова отмывали,  наносили логотип,  антиоксидант, опять отмывали и начищали до блеска! И вот результат)  готовый и уютно упакованный #флорариум #дом ждет встречи с хозяйкой 
#студиябельведер #стекло #витраж #витражназаказ #витражвтуле #флорариумы #флорариумвтуле #флорариумназаказ #назаказ #ручнаяработа #тиффани #суккулент #суккуленты #процесс #вработе #мк #мквитраж #тула #лето #июнь #чтоподарить #идея #идеяподарка #втуле #папоротник #кремль";1497971252;157;1447465950;False;мквитраж
BYK1q32HcOF;"#всемвитраж 
Первым делом - самолёты✈✈✈ Заготовки для мк на корпоративе ... первая партия))👏👏👏 Скоро отважные лётчики будут паять себе этих малышей...а так же слушать меня внимательно и делать всё как я скажу)))😂 Круто!!! #витраж#витражтиффани#stainedglass#stainedglassart#самолёт#боинг#сбытьмечту#мквитраж#всемвитраж_ksyu";1503562265;57;336313257;False;мквитраж
BYnI9XAjh1C;"Хотите научиться делать ""витраж"" на торте? Тогда загляните в periscope 10 сентября в 12:00 по Москве, а если у вас нет приложения periscope, то будет доступна запись этого МК! Итак, на мастер классе мы сделаем рисунок на торте, покрытом ""крем-чизом"", я расскажу и покажу вам разные способы переноса рисунка, сделаем витражный краски и нанесём на торт, отвечу на все ваши вопросы+рецепт крем-чиза, которым я покрываю торты!";1504511902;180;47850177;False;мквитраж
Ba88GR6hKRb;"#МК #Витражи на #дерево

Витраж на дереве? Звучит необычно. А выглядит – оригинально и красиво. Технология Декра Лед позволяет воплотить ваши фантазии в совершенно новом ключе.
Дерево, цветные витражные пленки, свинцовая лента, немного труда – и вы удивитесь, как просто почувствовать себя Мастером уникального произведения. 
3000₽
5 часов работы. 
МК проводится в выходные дни или в будни вечером. ​
Мастер класс стартует при наборе группы. #столярнаямастерская #столярнаяшкола #дабро #доброиздеревасвоимируками #мквитраж";1509538324;22;3021777119;False;мквитраж
BaQfsGWhJKn;"Отличное вчера мероприятие было - День Открытых Дверей в @remeslo_ru . Мастера кажется всех возможных профилей показывали свои умения, а гости пробовали себя в различных ремеслах.

Я работал - с витражными Мастер-классами. И впервые удалось за полтора часа всем моим гостям сделать полностью маленькие витражики! 1-Резка 2-шлифовка 3-оборачивание 4-пайка 5-приделывание петельки 6-патинирование. Все сами конечно. Это победа!💪 Так что настала пора в Гутарне запустить регулярные мастер-классы по стеклу!
Комментарии и сообщения кто поддерживает!
👦👨👩👧👲👳👷👱👮👴👯👇 А за дополнительным профессиональным образованием (полный курс 72 часа, со стеклом делаем почти все) ждём в Академии Ремесел!💥 #витраж #мквитраж #МастерКлассПоВитражам #витражтиффани #МкВитражМск #МкМск #КурсВитраж #Мастерская #гутарня #Gutarna";1508047035;51;3858137797;False;мквитраж
BbQ75hJj9LL;"😇❤
Пост для тех кто пропустил 😏
.
Напоминаю, что идёт набор на два МАСТЕР КЛАССА 👐
🔴 18 ноября (суббота) с 12:00 до 16:00 (МК по БРОШКАМ)
🔴 19 ноября (воскресенье) с 12:00 до 16:00 (МК по АНГЕЛОЧКАМ )
.
Мы будем резать стекло, шлифовать на станке, оборачивать лентой и паять  паяльником! Все это вы будете делать сами под моим чутким руководством, а если что-то будет идти не так я обязательно помогу 😉
В результате вы уйдёте  домой с готовым изделием и новыми знаниями и навыками) будет весело и красиво)
Уметь ничего не надо, а все инструменты с меня 👌
А в перерыве мы будем пить чай с печеньками👌☕🍪🍬🍫 .
.
На каждый МК всего 4 места, чтобы я могла каждому уделить  вагон и маленькую тележку времени 🕧
.
Стоимость МК 4000 ₽
Адрес: м.Преображенская площадь. Ул. Краснобогатырская 2стр2
.
Для записи и дополнительных вопросов пишите в Директ / почту ( m.e_glass_studio@mail.ru) / SMS/WhatsApp 8(903)189-77-31 💌📞
.
Маргарита";1510209308;128;2235766525;False;мквитраж
