post_id;text;date;likes;owner_id;is_video;by_tag
BQLaj2sD3XL;"Приглашаю на мой МК по витражной росписи, который будет проходить в студии Миловека (г.Фрязино), 9 февраля в 13:00. Тема МК ""Роспись подсвечников ко дню влюблённых"". На мастер-классе узнаете:
🎨виды красок для росписи по стеклу,
🎨какие ещё материалы нужны для росписи,
🎨как правильно нарисовать эскиз к росписи
🎨как наносить контур
🎨как заливать краску.
Стоимость МК 400 руб. Все материалы предоставляются Запись в студии @myloveka_ 
#анонсмк #росписьпостеклу #витражнаяроспись #14февраля #Мастер-класс #мастеркласс #фрязиномк #мквитражнаяроспись #росписьподсвечника";1486401737;58;2096017005;False;мквитражнаяроспись
BS6Yo8wlzNp;"МК  в ТРЦ MART 
в любую погоду дарим радость вам и вашим детям #мквтрцMart#мкполепке#мквитражнаяроспись#радостьдетям#растемвместе#костанайдети#бесплатно#детинаслюбят#";1492272756;17;3229829868;False;мквитражнаяроспись
BgHWrd-lXnU;8 и 9 марта 😍😍😍🌷🌷🌷🌷🌷прошло в творческой,уютной атмосфере.Мастер-класс по витражной росписи💐💐💐💐каждый участник,нарисовал на стекле свою первую картину❤️❤️❤️❤️❤️для участия в мк не требуется опыта в рисовании 😊😊😊😊возраст от 7 лет до .....Вы тоже так сможете💐 P.S.:по всем вопросам пишите в Direct. #витражнаяроспись #витражнаяросписьпостеклу #мквитражспб #мквитражнаяроспись #мастерклассыспб;1520625223;55;4911142009;False;мквитражнаяроспись
Bm_O0ZAByAk;Мастер-класс 🎨в прекрасной,светлой,уютной арт-студии «Все Художники»👨🏼‍🎨👩🏻‍🎨 #витражнаяроспись #роспись_по_стеклу #мкорск #мкспб #мквитражнаяроспись;1535385052;37;4911142009;False;мквитражнаяроспись
BnSx1biBpTO;Учиться новому никогда не поздно! А создавая своими ручками красоту, вы получите не только новые знания, но и удовольствие от процесса и результата, хорошее настроение и ваш собственный маленький шедевр! 🔹Вот такую картину ВПЕРВЫЕ  нарисовала @hitomi.may.flower САМА!!! Я лишь была рядом и объясняла что, куда и как. 🔸Если вы живёте в Севастополе или гостите тут какое-то время, то мы можем организовать МК, и вы создадите уникальную красоту! 🔹Все вопросы можно задать мне в Директ, позвонить +79780150383 или написать на Вайбер или на Почту vitrail.tale@gmail.com;1536040945;23;8444752425;False;мквитражнаяроспись
BpsCFkdHR-C;Радужный волк🌈пополняет мою коллекцию животных,которые создаются по мотивам работ Ваю Ромдони❤️в голосовании большая часть решила,что фон должен быть не закрашен😊хорошо 🎨но думаю...это не последний волк😍и вы ещё увидите как он выглядит если фон закрасить🎨🎨🎨 #витражнаяроспись #роспись_по_стеклу #витраж #ваю_ромдони #волк #радужный #радужный_волк #мк #мкспб #мквитраж #мквитражнаяроспись;1541183293;67;4911142009;False;мквитражнаяроспись
Bq0la8JHpy3;"🎄👨🏼‍🎨👩🏻‍🎨Новогодние мк в Санкт-Петербурге
❤️2 декабря-венок «С Новым годом»
🧡5 декабря “Символ года на удачу»
💛6 декабря «Новогодний венок»
💚15 декабря «Новогодний носочек с подарками»
💙22 декабря «Рождественские колокольчики»
Идёт запись на мк ,стоимость от 630-800 руб,все материалы включены🎨🎨🎨
#росписьпостеклу #витраж #витражнаяроспись #мк #мкспб #мклеонардо #мквитражнаяроспись #мквитраж #мкнг #мкновыйгод #рождественскийвенок #новыйгод #2019 #новогодниеподелки #новогодниеподарки #новогодниеукрашения #новогодниймк";1543617738;37;4911142009;False;мквитражнаяроспись
BqFr5o_nV3a;"⠀
Очень люблю рассматривать детали😌
Так интересно заглянуть вглубь истории и узнать все с самого начала🤫
⠀
Эта история о семье и доме.🐻💕🦊
Могучий, тёплый, мягкий, плюшевый, но суровый  защитник.💪🏻☔ Опора.

Маленькая рыжая #егоза, 🔥наегозившая за день кучу дел, плюхнулась в мохнатые лапы, где тепло и обнимательно.🧡🧤🧣
⠀
Желаю всем приятного вечера и отличного начало недели😉👻
⠀

#егоза #всемобниматься #падаявмохнатыелапы #витражнаяроспись #иваново #мквитражнаяроспись #подаркииваново #поразапасатьсятеплом #необычныйподарок #важнакаждаядеталь #макро #историясисторией";1542044077;57;4313289518;False;мквитражнаяроспись
BqQU2H7hod9;Мастер-класс витражной росписи ,по мотивам работ Ваю Ромдони😍,на выбор кота или льва ❤️. На мк,Вы научитесь работать с акриловым контуром,узнаете секрет работы с витражными краскамии нарисуете свою картину на стекле,которая будет украшать Ваш дом😜все материалы включены в стоимость.  Размер готовой работы 30*40❤️❤️❤️Мкбудет проходить 2 дня,24 ноября с 16.30-21.00 и 25 ноября с 13.00-18.00.2 дня плотной работы,общее время на создание этой красоты 9часов,9часов и она радует Вас своей красотой😍работать будем в районе 🏡ст.метро Сенная площадь,стоимость 3200 ,успейте записаться,мест осталось мало.возраст 16+ #витражнаяроспись #росписьпостеклу #мк #мкспб #лев #кот #ваюромдони #мквитражи #мквитражнаяроспись #мквитражспб;1542401088;50;4911142009;False;мквитражнаяроспись
BqZkgGRjhO4;"Мастер-класс витражной росписи, по мотивам работ Ваю Ромдони😍, на выбор кота или льва 💓
На мк, Вы научитесь работать с акриловым контуром, узнаете секрет работы с виражными краскамии нарисуете свою картину на стекле,которая будет украшать Ваш дом😜

Все материалы включены в стоимость, размер готовой работы 30*40.

Мк будет проходить 2 дня,
24 ноября с 16.30-21.00 и
25 ноября с 13.00-18.00.

2 дня плотной работы, общее время на создание этой красоты 9часов, 9часов и она радует Вас своей красотой.

Работать будем по адресу канал Грибоедова 99 «Практик»,шоу-рум Булавка.

Стоимость 3200,
Успейте записаться, мест осталось мало.
По всем вопросам можно писать
Возраст от 16+

Записаться на МК вы можете написав в директ, или оставить комментарий.
Фото с предыдущих мк @raduga_na_stekle

#мк #мкСПб #витражнаяроспись #мквитражнаяроспись";1542711286;45;6232198899;False;мквитражнаяроспись
