post_id;text;date;likes;owner_id;is_video;by_tag
BaM6vX5lhAd;"В жизни каждого человека есть то, что заставляет гореть глаза, что взрывает волнами эмоций, что позволяет улыбаться каждый день. Я счастливый человек, потому что у меня есть восхитительная семья. И в ней я получаю самые светлые эмоции. Но есть и ещё один важный аспект в жизни каждой женщины. Это увлечённость. Хобби. То, что наполняет душу, даёт другой род впечатлений. Позволяет чувствовать себя реализованной и раскрывает талант. Думаю вы все знаете, чем увлечена Я. Моя семья помогла мне посетить невероятно важный для меня курс от человека, которым я восхищаюсь. Не только работы konfect дарят мне вдохновение, но и обратная сторона тоже научила жить так, как мне комфортно. Сегодня разбирала профессиональные фото от Ксении и Матвея @matveynokhrin , пережила заново курс, в очередной раз вдохновилась энергией и открытостью этих ребят. Спасибо вам за умение вдохновлять на расстоянии в 1000 км и за то, что после курса я словно помолодела лет на 10. Не устану повторять, какие вы крутые! Спасибо вам за всё! С любовью
#mkann_tresh#ann_tresh";1507927000;162;1905288631;False;мквладивосток
BnSzkxwB182;"Дорогие друзья! Сегодня мы открываем набор на курс ""Candybar"". Уже 1 марта #школанастасьи откроет двери  для второго потока. В обширной программе вы получите все знания и навыки, необходимые для создания презентабельной композиции. Стоимость курса дешевле самого маленького Кендибара! Напоминаем - наши курсы дистанционные и все процессы вы будете выполнять на своих кухнях!

Учимся 1 марта - 21 марта.
Сдаём домашние задания 21-31 марта. 31 марта получаем сертификаты.

В программе:
- 3 вида капкейков;
- 3 вида начинок для капкейков;
- 3 вида крема для декора;
- 3 вида зефира;
- Десерт ""Павлова"" с соленой карамелью;
- Кейк-попсы;
- Птичье молоко;
- Маршмеллоу;
- Меренга на палочке.

Итак, в потоке на курс всего 20 мест. Курс ""Candy bar"" содержит 9 вариантов десертов для создания идеального candybar , включает 12 видеоуроков и 18 рецептурных карт, а также множество основ, лайфхаков и секретов. 
Вы не только получите проработанные и испытанные рецептуры, но и сможете сдать домашние задания, поболтать о тонкостях кондитерского мастерства в запланированных прямых эфирах и закрытом сообществе. По окончанию курса каждый участник получит обратную связь с комментариями и сертификат о прохождении курса! Цена просто смешная! Все вопросы задавайте в директ или вайбер)
#mkann_tresh#ann_tresh";1536042016;209;1905288631;True;мквладивосток
Bnc62D4haUk;"Дорогие друзья! Сегодня мы открываем набор на курс ""Candybar"". Уже 1 марта #школанастасьи откроет двери  для второго потока. В обширной программе вы получите все знания и навыки, необходимые для создания презентабельной композиции. Стоимость курса дешевле самого маленького Кендибара! Напоминаем - наши курсы дистанционные и все процессы вы будете выполнять на своих кухнях!

Учимся 1 марта - 21 марта.
Сдаём домашние задания 21-31 марта. 31 марта получаем сертификаты.

В программе:
- 3 вида капкейков;
- 3 вида начинок для капкейков;
- 3 вида крема для декора;
- 3 вида зефира;
- Десерт ""Павлова"" с соленой карамелью;
- Кейк-попсы;
- Птичье молоко;
- Маршмеллоу;
- Меренга на палочке.

Итак, в потоке на курс всего 20 мест. Курс ""Candy bar"" содержит 9 вариантов десертов для создания идеального candybar , включает 12 видеоуроков и 18 рецептурных карт, а также множество основ, лайфхаков и секретов. 
Вы не только получите проработанные и испытанные рецептуры, но и сможете сдать домашние задания, поболтать о тонкостях кондитерского мастерства в запланированных прямых эфирах и закрытом сообществе. По окончанию курса каждый участник получит обратную связь с комментариями и сертификат о прохождении курса! Цена просто смешная! Все вопросы задавайте в директ или вайбер)
#mkann_tresh#ann_tresh";1536381367;246;1905288631;True;мквладивосток
BniGlVohWLT;"Дорогие начинающие кондитеры! Приглашаю вас получить знания, которые позволят готовить вкусные сладости своим детям или под заказ своими руками. Цена курса равна цене одного заказного торта)) Курс ""Тортовая классика"" рассчитан на абсолютных новичков. 
В программе:
- ""Тирамису"";
- ""Прага"";
- ""Ванильная смородина"";
- Торт-цифра ""Медовик"";
- ""Красный бархат"";
- "" Наполеон"". Мы разберёмся не только в технологии изготовления, но и научимся выравнивать торт, делать аккуратные подтеки, собирать многоярусные торты, готовить современный торт-цифру. Также рассмотрим малазийскую технику декора,  украшение в стиле ""Rose cake"", создадим Космоторт. 
Итак, в потоке на курс всего 15 мест. Курс ""Тортовая классика"" содержит 6 вариантов классических тортов и 7 техник декора, которые позволят вам создавать натуральные торты своими руками. Вы получите в постоянное пользование 10 видеоуроков, полностью раскрывающих процесс выпечки, сборки и декора тортов, а также 6 тортовых рецептур,  дополнительные 7 техкарт для декорирования и бонусную рецептуру торта-сюрприза.

А ещё сможете сдать домашние задания, поболтать о тонкостях кондитерского мастерства в запланированных эфирах. По окончанию курса каждый участник получит обратную связь с комментариями и сертификат о прохождении курса! Цена просто смешная! Все вопросы задавайте в директ или вайбер)
#mkann_tresh#ann_tresh";1536555139;131;1905288631;False;мквладивосток
BphSo0hCImc;"Старт курса муссовые торты 1 мая.

Программ курса:

1. Основы работы с  муссовыми тортами;
2. Сборка тортов в кольцах и формах;
3. 4 проверенных рецептурные карты с видео уроками по приготовлению и сборке:
- ""Ежевика-фисташка-греческий йогурт"" (ежевичное конфи, миндальный дакуаз, хрустящий фисташковый слой, нежный сырный мусс на греческом йогурте);
- ""Манго-маракуйя"" (конфи манго с маракуйей, клубничное конфи, миндальный дакуаз с хрустящим шоколадным слоем, сметанный мусс с белым шоколадом);
- ""Вишневое облако"" (вишневый компот, шоколадный бисквит, хрустящий шоколадный слой, сырный мусс);
- ""Пина колада"". (компоте с ананасом и маракуйей, лаймовое кремю, сабле Бретон, кокосовый мусс);
4. Приготовление зеркальной глазури (цветная, черная, белая), заливка торта;
5. Глазурь для Леопарда своими руками, секреты эффекта;
6. Шоколадный велюр;
7. Хранение и транспортировка торта.
#mkann_tresh#ann_tresh";1540823094;300;1905288631;True;мквладивосток
Br-BqwLgs2a;"💥 УСПЕВАЙТЕ ЗАБРОНИРОВАТЬ до 1 января - СО СКИДКОЙ 5000 ₽🔥 место на мега-познавательный Семинар-практикум с отработкой «ЖЕНСКИЕ СТРИЖКИ - КАК КОНСТРУКТОР» от Ольги Мухиной @mukhinastudio🔥
.
РАСПИСАНИЕ ⬇️⬇️⬇️
.
💎 КРАСНОДАР
🚩28-31 января - «Женские стрижки, как конструктор»
🚩25-27 марта - «Секреты короткой стрижки»
🚩28 марта - «Виртуоз текстуры»
.
💎 СТАВРОПОЛЬ
🚩18-20 февраля - «Секреты короткой стрижки»
🚩21 февраля- «Виртуоз текстуры»
.
💎 КАЗАНЬ
🚩13-16 марта - «Женские стрижки, как конструктор»
🚩17 марта - «Виртуоз текстуры»
.
💎МОСКВА
🚩1-3 апреля - «Секреты короткой стрижки»
🚩4 апреля- «Виртуоз текстуры»
.
💎 ВЛАДИВОСТОК
🚩7-10 апреля - «Женские стрижки, как конструктор»
🚩11 апреля - «Виртуоз текстуры»
.
💎ХАБАРОВСК
🚩14-17 апреля - «Женские стрижки, как конструктор»
🚩18 апреля - «Виртуоз текстуры»
.
💎ИРКУТСК
🚩21-24 апреля - «Женские стрижки, как конструктор»
🚩25 апреля - «Виртуоз текстуры»
.
💎 СЕВАСТОПОЛЬ
🚩14-17 мая - «Женские стрижки, как конструктор»
.
💎 ТЮМЕНЬ
🚩20-23 мая - «Женские стрижки, как конструктор»
🚩24 мая - «Виртуоз текстуры»
.
💎ЧЕЛЯБИНСК
🚩27-30 мая - «Женские стрижки, как конструктор»
🚩31 мая - «Виртуоз текстуры»
.
💎ЕКАТЕРИНБУРГ
🚩3-6 июня - «Женские стрижки, как конструктор»
🚩7 июня - «Виртуоз текстуры»
.
💎УФА
🚩10-13 июня - «Женские стрижки, как конструктор»
🚩14 июня - «Виртуоз текстуры»
.
🔥ПРИ РАННЕЙ БРОНИ - ЦЕНА НИЖЕ🚩
.
☝️ПОСЛЕ НЕЁ ВАША ЖИЗНЬ НЕ БУДЕТ ПРЕЖНЕЙ😉🌈
.
📌БРОНЬ МЕСТ ТОЛЬКО У ОРГАНИЗАТОРОВ @proffmotion или @perfection_school или по телефонам 8-918-456-55-66, 8-918-33-68-231 📌
.";1546082021;43;4018359490;False;мквладивосток
Br43UbMBFPI;"💥 УСПЕВАЙТЕ ЗАБРОНИРОВАТЬ СО СКИДКОЙ 5000 ₽🔥 место на мега-познавательный Семинар-практикум с отработкой «ЖЕНСКИЕ СТРИЖКИ - КАК КОНСТРУКТОР» от Ольги Мухиной @mukhinastudio🔥
✅С 1 февраля - повышение цены🔝
.
🔹Данный курс направлен на изучение основ фундаментальной геометрии в построении формы стрижки
🔹Без этих знаний практически невозможно построить точно и подконтрольно форму, выводя каждую форму геометрально и ориентируясь на костную структуру черепа. Да, мы можем стричь и без этих знаний работая визуально. Но таким образом никогда не добьемся PerfectНова -результата высокой точности построения и стрижки.
.
🔷КОМУ ПОДХОДИТ КУРС?⬇
❣Опытным мастерам, имеющим пробелы в знаниях, желающим поработать с балансом, положением тела и чистотой техники.
❣Мастерам, с опытом работы 1-3 лет, желающим правильно поставить руку и усвоить суть точности стрижек.
❣Желающим заполнить пробелы в фундаментальных знаниях форм стрижки - круг, квадрат, треугольник.
.
✅ЧЕМУ ВЫ НАУЧИТЕСЬ на этом курсе?⬇ ✔Построению трех геометрических форм- круг, квадрат и треугольник в  стрижке☝ ✔Техникам стрижки, при помощи которых эти формы строятся. Это- линия, слои и градуировка☝
✔Инструментам, с помощью которых эти техники контролируются, а именно: элевация, направление пряди, угол оттяжки, угол среза☝
✔Усвоите, какие недостатки скрывает и, что подчеркивают эти техники☝
✔Научитесь 9 базовым комбинациям стрижек 3 техник (на которых строится  практически все парикмахерское искусство)☝
✔Узнаете о положении тела, и как это положение влияет на построение форм стрижек☝
.
💎НА ПРАКТИКЕ ВАС ЖДЁТ- отработка и создание фундаментальных сочетаний форм стрижек в чистом виде☝
.
✅НА ОТРАБОТКУ ВАМ ПРЕДОСТАВЛЯЕТСЯ:
▪новая качественная болванка
▪Рабочая тетрадь
▪ Учебное пособие в виде схем всего пройденного материала за 4 дня курса.
.
📌БРОНЬ МЕСТ ТОЛЬКО У ОРГАНИЗАТОРОВ @mk_sibir, @proffmotion, @perfection_school или по 📲 8-903-447-74-70, 8-918-466-55-66, 8-918-336-82-31📌
.
✅Ниже👇 в комментарии вы найдёте полное РАСПИСАНИЕ курсов @mukhinastudio👩‍🎓 по Москве, Уралу, Сибири, Дальнему востоку⬇️
.";1545908823;65;7348856970;False;мквладивосток
BroP1M0hntN;"ХАБАРОВСК 💥 УСПЕВАЙТЕ ЗАБРОНИРОВАТЬ🚩место на мега-познавательный Семинар-практикум с отработкой «ЖЕНСКИЕ СТРИЖКИ - КАК КОНСТРУКТОР» от Ольги Мухиной @mukhinastudio🔥
✅ПРИ БРОНИ ДО 1 января- скидка 5000 ₽💥
.
🔹Данный курс направлен на изучение основ фундаментальной геометрии в построении формы стрижки
🔹Без этих знаний практически невозможно построить точно и подконтрольно форму, выводя каждую форму геометрально и ориентируясь на костную структуру черепа. Да, мы можем стричь и без этих знаний работая визуально. Но таким образом никогда не добьемся PerfectНова -результата высокой точности построения и стрижки.
.
🔷КОМУ ПОДХОДИТ КУРС?⬇
❣Опытным мастерам, имеющим пробелы в знаниях, желающим поработать с балансом, положением тела и чистотой техники.
❣Мастерам, с опытом работы 1-3 лет, желающим правильно поставить руку и усвоить суть точности стрижек.
❣Желающим заполнить пробелы в фундаментальных знаниях форм стрижки - круг, квадрат, треугольник.
.
✅ЧЕМУ ВЫ НАУЧИТЕСЬ на этом курсе?⬇ ✔Построению трех геометрических форм- круг, квадрат и треугольник в  стрижке☝ ✔Техникам стрижки, при помощи которых эти формы строятся. Это- линия, слои и градуировка☝
✔Инструментам, с помощью которых эти техники контролируются, а именно: элевация, направление пряди, угол оттяжки, угол среза☝
✔Усвоите, какие недостатки скрывает и, что подчеркивают эти техники☝
✔Научитесь 9 базовым комбинациям стрижек 3 техник (на которых строится  практически все парикмахерское искусство)☝
✔Узнаете о положении тела, и как это положение влияет на построение форм стрижек☝
.
💎НА ПРАКТИКЕ ВАС ЖДЁТ- отработка и создание фундаментальных сочетаний форм стрижек в чистом виде☝
.
✅НА ОТРАБОТКУ ВАМ ПРЕДОСТАВЛЯЕТСЯ:
▪новая качественная болванка
▪Рабочая тетрадь
▪ Учебное пособие в виде схем всего пройденного материала за 4 дня курса.
.
📌БРОНЬ МЕСТ ТОЛЬКО У ОРГАНИЗАТОРОВ @perfection_school или @proffmotion или по 📲8-918-466-55-66, 8-918-336-82-31📌
.
✅Ниже👇 в комментарии вы найдёте полное РАСПИСАНИЕ курсов @mukhinastudio👩‍🎓 по Уралу, Сибири, Дальнему востоку⬇️
.";1545351249;40;7348856970;False;мквладивосток
BrzBLEiB4KS;"@babaevski_ С 3-5 мая  пройдёт аж трёх дневное обучение во Владивостоке! Показ и отработка более восьми моделей причёсок ✅ самые актуальные и востребованные причёски ✅ ценные советы стилистам, что бы оставаться всегда в тренде ✅ мотивационный блок «как стать успешным человеком» и много интересных опытных советов вас всех ждут на моем мастер классе ! Спешите друзья, бронируйте прямо сейчас, ‼️ЗАПИСЬ ВЕДЁМ ТОЛЬКО ДО 20 АПРЕЛЯ‼️
.
➖➖➖➖➖➖➖➖➖➖➖➖➖
.
Листайте карусель➡️➡️➡️ .

По всем вопросам обращаться по WhatsApp .
📲 +79084418180 (активная ссылка в шапке профиля)!
. ✔️Количество мест с отработкой ограниченно!
.
✔️Билеты невозвратные, поэтому прежде, чем покупать хорошо все продумайте!⠀___________________________________⠀#обучениепарикмахероввладивосток#мкпоприческам#мкпоприческамвдк#прическивладивосток#укладкивладивосток#салонвтораяречка #салонкрасотывладивосток #владивосток #парикмахервладивосток #стилиствладивосток #бабаевский#мквладивосток#vladivostok #vdkhairdresser #vdkhair #desko_studio #дальнегорск #ковалерово #приморскийкрай";1545712663;39;390845677;False;мквладивосток
Bs-SWrnhrY-;"Приглашаются все желающие на мастер-класс по живописи маслом «Зимняя сказка». 30.01.2019 (среда), 18.30-21.30.

Стоимость: 1400 руб.

Мастер класс подойдет для начинающих!

За время занятия Вы:
. - создадите работу в технике алла прима (от итал. a la prima — «в один присест»)
.
- узнаете как написать «нескучный» снег
.
- расслабитесь и получите новые впечатления.

Все  материалы и холст включены в стоимость.

Приходите и создайте свою картину!

Преподаватель Бражник Татьяна — выпускница Приморского Краевого Колледжа Искусств, студентка ДВГИИ.

Справки и запись по тел.: +7(902) 480-83-51.

ул. Круговая 1-я, 25а , оф. 303.";1548238253;80;3503287025;False;мквладивосток
