post_id;text;date;likes;owner_id;is_video;by_tag
Bw4lZafDdZa;Посмотрев свою ленту,не увидала эту девчонку 😱а ведь с нее же началось всё.Это первая из маленьких каркасных моих куколок.Одежда снимается,только ботики нет,на проволочном каркасе,за счёт этого подвижна.Ростик-12см,к стати глазки у неё рисованные,нитка гипоаллергеная , наполнитель холлофайбер,только стоять сама не научилась😊;1556636845;749;6640522200;False;мквязание
BxaKBGFD0rF;"Ещё один красивейший узор. ⠀
⠀
К крючку я отношусь прохладно, могу конечно связать, но спицы мне роднее.⠀
⠀
Но эти узоры я не могу оставить без должного внимания. ⠀
Надо теперь придумать им применение и связать. ⠀
⠀
⠀
⠀
⠀
Подписывайтесь на @hobby_mammy и будите всегда в курсе новых мк . ⠀
⠀
⠀
⠀
⠀
Если вы не хотите потереть меня из своей ленты, ставьте ❤️. Так как умный Инстограм перестанет показывать вам мои публикации, а потом и вовсе отпишет без вашего ведома. ⠀
——————————⠀ ⠀
⠀ ⠀ #вязание_спицами  #мквязание #схемавязания #узорыспицами #вяжу  #knitpro #миссони #спицы #ручнаяработа #handmade #вяжу #люблювязать #i_loveknitting #knitpro #вязаниекрючком #мквязание #схема #узорспицами #вязаниемоехобби #узор #ажурныйузор #спицы #мамавяжет #инставязание #мастерицам #мастер_класс #вязание_спицами  #вязание_на_заказ  #всесвязано #вяжуруками #россиявяжет #вязальное_лето #вяжунемогуостановиться #вязаниежизнь#вяжубезостановки #люблювязать ⠀⠀";1557763341;2054;4779191760;False;мквязание
Bxh7_rAibG8;По-другому и быть не может ❤️;1558024424;102;3972996110;False;мквязание
Bxk2VAwCmno;"Этот милый малыш желает всем хороших выходных и прекрасного настроения, несмотря ни на что)))) Пусть улыбка не сходит с ваших лиц)  Ведь после дождя и грозы, появляется радуга, главное - ее рассмотреть и увидеть😌 🐻
✨рост 29 см
✨пряжа гипоаллергенная
✨наполнитель холлофайбер
✨возможен повтор - в любом цвете
✨цена 1300 руб.

За пряжу спасибо @syndyk_masteritsy 📍

Вяжу с любовью для Вас ❤";1558122117;120;10338614991;False;мквязание
Bxk3B4Nif9_;"Дай бог каждому, такое же уютное рабочее место, как у меня😛 ⠀	⠀ ⠀ ⠀
⠀ ⠀ ⠀ ⠀ • #вязаниеспицами #вязаниекрючком #вязание #knitting #knit #knittinglove #crochet #crochet_relax #вязаниеслюбовью #хобби #вязание_крючком #вязаниемояработа #вязаниеспицы #вязаниенаспицах #модноевязание #вязание_спицами #вязаниехобби #мквязание #вязаниедлявсех #стильноевязание #урокивязания";1558122484;57;4223875037;False;мквязание
BxkH7gFHNrm;"Всем приветы) хочу поделиться с вами мини описанием вот такой шапули для ребенка на лето) 
Шапочка связана из Ализе Беби Котон на размер 46 см. Плотность моего вязания 1см = 2 петли. Спицами 3 набираем 96 петель вяжем резинку 3 см. Далее переходим к вязанию основного ажурного узора спицами 3,5 до начала оформления макушки, в моем случае получилось 11 см. Для закругления макушки делаем убавки через ряд в начале и в конце каждого раппорта (косички). Далее прикрепляю схему узора. Вязала без шишечек, между косичками у меня 4 изнаночные петли. 
Буду рада, если оказалась полезной) 
Сохраняйте, вяжите с удовольствием) 
Буду рада, если отметите меня на своих шапулях🤗😘
#вязаниеновокузнецк
#вязаниемыски #ажурнаяшапочка #бесплатноеописание #бесплатныймастеркласс #летняяшапка #вязаниедетям #мквязание #новокузнецк #мыски #междуреченск";1558097790;112;8473258337;False;мквязание
BxkHPp0oAjg;"Вот так выглядел наш пасхальный стол 😍😍😍 Все было съедено за 3 дня 🙈
Ну очень любим мы куличики 😍
🦋Мои милые 🦋
Принимаю заказы на летние вещички , так же салфетки , скатерти , головные уборы , а больше всего хочу связать плед 😍
________________________________
#knitting #вяжемдетям #ручнаяработаназаказ #вязаниекрючком #knit #вяжемкрючком #вязатьмодно #схемывязания #вязаниеслюбовью #knittinglove #knitter #knitting_inspiration #knitwear #yarn #пряжа #плюшевыеигрушки #plush #cooking #crochet #crochettoy #handmade #crochetdress #crochettoy #club 
#kristina_zamuzhnayay #мквязание #одеждадлядетей #вязаниекрючком 
#вяжутнетолькобабушки";1558097431;46;7063474420;False;мквязание
BxkImDcCyUO;"Идеальная PARIS в идеальном исполнении от Танечка @tatiana_chenchik 🖤🖤🖤
.
✅Видео МК по сумочке Paris доступен к заказу
✅Подробный урок с детальным разбором узора
✅ С вшиванием молнии и подкладочки
✅ С установкой фурнитуры
Цена 300 грн/750 руб
Для покупки пишите в Директ 📩";1558098139;286;5908206028;False;мквязание
BxkJEewF7Na;"😍⚘❤ А в понедельник прямой эфир! 👭👭 Будем вместе вязать повязку! 😉 Так как часа мало, то мы до понедельника свяжем половину повязки (до перекрута), ➡️ а дальше продолжим вместе. ✔ Покажем, как начинать вязание, как делать такой рисунок, как делать переворот, если успеем - как связать 2 части повязки. ✅ Необходим всего 1 моток пряжи Gazzal Rock'n'roll, спицы #6, доп спица и ножницы.
⚠️ Можете приготовить все необходимое и вязать с нами.
🔝 Прямой эфир будет сохранен на сутки, поэтому вы сможете с легкостью довязать изделие самостоятельно. ➡️ А позже пост с бесплатным описанием!!! ❤❤❤ Пряжу можно приобрести у нас, она мягкая, нежная, продается по 5 мотков. Кому палитру? 
#самара #волгарь #сухаясамарка #гранный #южныйгород #viazalka_мк #viazalka_вяжет #viazalka #вяжемвместе #вязаниеназаказсамара #вязаниесамара #вязаниедляновичков #вязание #взаимнаяподписка #назаказсамара #назаказновокуйбышевск #новокуйбышевскпряжа #пряжаоптом #пряжасамара #новокуйбышевскпряжа #knitting #knit #урокивязания #мквязание";1558098388;25;2283975420;False;мквязание
BxkL1hplYHf;Платье для себя и свитерок для внучки из остатков.;1558099839;92;13265677940;False;мквязание
