post_id;text;date;likes;owner_id;is_video;by_tag
BFia4JvKPeW;Любава😇🍼💕 #скоромама #будумамой #фотограф #фотографвладимирова #фотографспб #беременность #студия #фотосессия #ждусыночка #фотографбеременности #семейныйфотографспб #f4f #f4follow #like4like #likeforfollow #liker #ilove #love #pregnant #mom #art #photographer #photoshoot #photoshop #lightroom #photostudio #мкгатчина;1463551335;51;3024702620;False;мкгатчина
BFia6T-KPeZ;Любава😇🍼💕 #скоромама #будумамой #фотограф #фотографвладимирова #фотографспб #беременность #студия #фотосессия #ждусыночка #фотографбеременности #семейныйфотографспб #f4f #f4follow #like4like #likeforfollow #liker #ilove #love #pregnant #mom #art #photographer #photoshoot #photoshop #lightroom #photostudio #мкгатчина;1463551353;52;3024702620;False;мкгатчина
BFia9LHKPej;Любава😇🍼💕 #скоромама #будумамой #фотограф #фотографвладимирова #фотографспб #беременность #студия #фотосессия #ждусыночка #фотографбеременности #семейныйфотографспб #f4f #f4follow #like4like #likeforfollow #liker #ilove #love #pregnant #mom #art #photographer #photoshoot #photoshop #lightroom #photostudio #мкгатчина;1463551376;57;3024702620;False;мкгатчина
BFia_qIKPer;Любава😇🍼💕 #скоромама #будумамой #фотограф #фотографвладимирова #фотографспб #беременность #студия #фотосессия #ждусыночка #фотографбеременности #семейныйфотографспб #f4f #f4follow #like4like #likeforfollow #liker #ilove #love #pregnant #mom #art #photographer #photoshoot #photoshop #lightroom #photostudio #мкгатчина;1463551397;46;3024702620;False;мкгатчина
BFibJCDKPfA;Любава😇🍼💕 #скоромама #будумамой #фотограф #фотографвладимирова #фотографспб #беременность #студия #фотосессия #ждусыночка #фотографбеременности #семейныйфотографспб #f4f #f4follow #like4like #likeforfollow #liker #ilove #love #pregnant #mom #art #photographer #photoshoot #photoshop #lightroom #photostudio #мкгатчина;1463551473;68;3024702620;False;мкгатчина
BFibKu9qPfH;Любава😇🍼💕 #скоромама #будумамой #фотограф #фотографвладимирова #фотографспб #беременность #студия #фотосессия #ждусыночка #фотографбеременности #семейныйфотографспб #f4f #f4follow #like4like #likeforfollow #liker #ilove #love #pregnant #mom #art #photographer #photoshoot #photoshop #lightroom #photostudio #мкгатчина;1463551487;83;3024702620;False;мкгатчина
BT4Nil2lnsM;#моипричёски#мкгатчина #натальякотикова #спб#гатчина#осталосьдваместа;1494347311;41;2046984877;False;мкгатчина
BTT5G_eFmiu;Без фильтра . Чуть расветлила макушку диагональными проборами и тонирование. Все свои секреты раскрою на МК . Информация в предыдущем посте 😊#мквмае #мкгатчина#школапарикмахерскогоискусства #школанатальигасан#натальякотикова #гатчина#спб#пушкин#лен.обл#пригородыспб Without a filter . Slightly bleached the crown with radial foreings and toning. I'll reveal all my secrets on the MC. Information in the previous post 😊 # μвмае # мкгатчина # school of the hairdresser's art # school schoolnaligasan # натальякотикова # gatchina # спб # Pushkin # lin.obl # suburbspop;1493128640;44;2046984877;False;мкгатчина
BUND9WwFDKr;Чешем дальше 😉😊#мкнатальякотикова #мкгатчина #мкпрически #спб #школапарикмахерскогоискусства@georgiykot;1495046931;45;2046984877;True;мкгатчина
BUNIqQElNnh;Вторая форма второго дня . Команда учеников очень старалась . Все большие молодцы!!! Скоро состоится мой следующий МК 13 и 14 июня. Записывайтесь места ещё есть . Гостиница, кафе рядом . Манекен головы выдаются.Почешем с удовольствием 😊#мкгатчина #натальякотикова #июнь#Гатчина #спб #мастеркласс #школапарикмахерскогоискусстванатальигасан The second form of the second day. The team of students tried very hard. All the great lads! Soon my next MK will be held on June 13 and 14. There are still places to record. Scratch with pleasure 😊 # μgatchina # natalekotikova # june # Gatchina # spb # masterclass # school of hairdresser's art of natalagasan#@georgiykot;1495049396;62;2046984877;False;мкгатчина
