post_id;text;date;likes;owner_id;is_video;by_tag
BuJI44JFKic;"#заколки
#фоамиран
#мкдлядетей 
#ручнаяработагазаказ 
#ручнаяработа";1550749873;11;10734667462;False;мкдлядетей
BvHGXxoBXQb;"Весна. Пионы в Терновнике.
#мкБедракИрина
#мкКривойРог
#шерсть_картина 
#шерстянаяакварель 
#картинаизшерсти 
#картинапионы
#мкдлявзрослых
#мкдлядетей";1552828928;65;5361231178;False;мкдлядетей
BvHKPJXhdhS;"#мкБедракИрина
#мкКривойРог
#мкдлядетей
#шерстянаяакварель 
#незабудки
Ещё незабудки нашли новые дома))). Благодарю  Елену за выделенное время отличный результат.";1552830954;39;5361231178;False;мкдлядетей
BvZuZOUgzl1;"Сегодня осваивали технику ""Кинусайга"" - японское искусство пэчворка без использования иглы. Очень красивое и медитативное занятие ❤️ На этом мастер-классе было по-семейному уютно и тепло ✨ Центром внимания, конечно же, стал замечательный Эли, который помогал маме создавать картину-автопортрет. По-моему, очень похоже получилось!

А Поли с мамой трудились над созданием прекрасных весенних цветов. Работы получились невероятные! 🌸🌿🌷 #ашкелон #ashkelon #אשקלון #אומנות #סדנה #יצירה #ילדים #мастерклассыдлядетей #дети #kids #teachingisfun #lovemyjob #diy #crafts #мкдлядетей#кинусайга";1553453891;49;2034852756;False;мкдлядетей
BvmJBYyg9jf;Вчера было такое нежное девочковое занятие! Цветочки, бусинки, котики и зайчики. И, конечно же, единорожки 😅💕 Я безумно счастлива познакомится с малышкой Адель - такая вдумчивая, аккуратная и талантливая девочка! Добро пожаловать в нашу веселую компанию, впереди много нового и интересного!  #ашкелон #ashkelon #אשקלון #אומנות #סדנה #יצירה #ילדים #мастерклассыдлядетей #дети #kids #teachingisfun #lovemyjob #diy #crafts #мкдлядетей;1553870505;26;2034852756;False;мкдлядетей
Bw-3B6DHpkd;"Мамочки 😲 что мы для вас приготовили 🐱
⠀
Эксклюзивный мастер класс 🙌🏻 ⠀
Приглашаем детей 3+ на мк по рисованию интерьерной картины! В этот раз рисуем котика 🐱
⠀
В рисовании важен не только процесс, который развивает мелкую моторику, но и быстрый результат, который вселяет уверенность в собственные силы и повышает самооценку. ⠀
⠀
❗️Всего за 60 минут под руководством художника ваш ребёнок напишет картину на холсте масляными красками. ⠀
⠀
🌠Картина послужит украшением комнаты и и источником положительных эмоций для всей семьи!
⠀
Нарисует абсолютно любой ребёнок ! Даже если совсем не умеет рисовать ! ⠀
В карусели реальные рисунки детей ❗️
⠀
Стоимость участия 800 р., холст 15*20 см, Все материалы включены + чаепитие. ⠀
Предварительная запись обязательна. Предоплата 50%. Ждём вас! ⠀
В Продаже только 15 билетов ❗️
⠀ ⠀
12 мая в 11-00, Балтийская 103, территория детских праздников «Сказка Холл» ⠀
⠀
Чаепитие и подарки от @rostelecom_programma ⠀ 
@rostelecom.altai 
#сказкахолл #сказкаhall #skazkahall #территориядетскихпраздников #рисуемкартину #мкдлядетей #кудапойтисдетьми";1556847416;39;11656223763;False;мкдлядетей
Bw-VSRuAir8;"Встречайте, юные таланты. 4 часа работы и превосходный результат! Горжусь вами и жду еще в гости.
#мастерклассАвдеевка #артчемодан#детскиймк #детскиймк #мкдлядетей #декордлядома #артчемодан #артстудия #яучу #Авдеевкамояродина #макарун #мастерклассдекупаж";1556829724;33;1793157047;False;мкдлядетей
Bw-pIxBFwKE;"💐💐💐💐💐
10 мая в 15:00
приглашаю на мастер-класс для взрослых и детей
🌸""ТОПИАРИЙ С ПИОНАМИ""🌸
Вы сделаете топиарий в нежных тонах с цветами пиона и гортензии!
Высота изделия около 50 см.!!!
Научитесь делать ровные, красивые шарики из сизаля и гармонично распределять декоративные элементы😍 
Посадите деревце в красивый горшочек (горшочек будет отличатся от фото)🎨
Все материалы и инструменты входят в стоимость занятия.
📌Возраст 6+.
📌Дети до 6 лет могут прийти на МК с близким человеком👨‍👩‍👧‍👦
⏰ Продолжительность мастер-класса: 1-1,5 часа.
🏡Адрес: ПК, ул. Ключевская, 34
СЛЕДИТЕ ЗА РАСПИСАНИЕМ МК В АКТУАЛЬНОМ👆🏻👆🏻👆🏻
Дарите близким уникальные подарки😉 
P.S.: и помните ""красота - в мелочах""!🌸
📲 По всем вопросам в Direct/WhatsApp +79841632740 (по ссылке в профиле 👆🏻)";1556840132;85;3617792618;False;мкдлядетей
Bw0_69ygzIE;"Собрали для вас в один пост расписание всех наших майских мастер-классов:
⠀
🕹Мастер-класс «Светильник Майнкрафт»
Когда: 14, 15, 16 мая в 16:00, 18 мая в 10:00
⠀
⏱ Мастер-класс «Датчик землетрясения»
Когда: 21, 22, 23 мая в 16:00, 25 мая в 10:00
⠀
⚙ Мастер-класс «Реактор Железного человека»
Когда: 28, 29, 30 мая в 16:00, 1 июня в 10:00
⠀ ❗Курс занятий по трехмерному моделированию 
1 занятие: 15 мая в 18:00 или 18 мая в 15:30
2 занятие: 22 мая в 18:00 или 25 мая в 15:30
3 занятие: 29 мая в 18:00 или 1 июня в 15:30

Все МК пройдут в клубе «МегаВольт» по адресу: г. Жуковский, ул. Гудкова 12";1556516533;16;8394237282;False;мкдлядетей
Bw11GQvHG3l;"Смотрите, какой милый совёнок🦉...
Вам понадобятся: ножницы, цветная бумага, клей... немного свободного времени и терпения!
⠀
Не поленитесь, найдите 15 минут, чтобы сделать такую милашку.
⠀
Сохраняйте обязательно, и воплотите с детками, им понравится!😍 Это наш первый МК по оживлению персонажей нашей сказки.
⠀
Продолжение следует...
⠀
Следите за нашей новой рубрикой #мк_mybooki";1556544413;91;8364998317;False;мкдлядетей
Bw1BLNml7y0;"🌸🌸🌸
Приглашаю на мастер-класс для взрослых и детей 🌸""Топиарий с пионами""🌸
На мастер-классе сделаем топиарий в нежных тонах с цветами пиона, гортензии и украсим перламутровыми бусинами🥰
Высота изделия около 50см!!!😍 Из природных материалов и не только😉.
Научимся делать ровные, красивые шарики из сизаля и гармонично распределять декоративные элементы😍 
Поработаем с горячим клеем😊
Посадим наше деревце в красивый горшочек (горшочек будет отличаеться от фото)🎨
Все материалы и инструменты входят в стоимость занятия.
Возраст 6+. Дети до 6 лет могут прийти на МК с близким человеком👨‍👩‍👧‍👦
Продолжительность мастер-класса: 1-1,5 часа.
КОГДА И ГДЕ?!
5.05 в 17:00 - горизонт;
10.05 в 15:00 - Ключевская 34;
11.05 в 12:30 - сероглазка.
СЛЕДИТЕ ЗА РАСПИСАНИЕМ МК В АКТУАЛЬНОМ👆🏻👆🏻👆🏻
Дарите близким уникальные подарки😉 
P.S.: и помните ""красота - в мелочах""!🌸
📲 По всем вопросам в Direct/WhatsApp +79841632740 (по ссылке в профиле 👆🏻)
#kamchatka #41 #камчатка  #elizovo  #елизово  #петропавловсккамчатский  #handmade #своимируками #подарок #prezent  #подароксвоимируками  #своимирукамислюбовью #длядетейкамчатка #длядетей #мастеркласс #МК #МКдлядетей #мастерклассдлядетейивзрослых #творчествосдетьми #мастерклассдлядетей #творческиезанятиякамчатка #мастеркласснаденьрождение #творчествокамчатка #handmadekamchatka #handmadekam";1556517191;58;3617792618;False;мкдлядетей
Bw1IzysDr_O;"Мы рисуем и абстрактные работы😍😍😍—————————-
Курс ИЗО
——————-
Вторник четверг с 14:00
субботу  воскресенье с 11:00, 13:30, 15:00——————————————————————-детям от 4 лет 
8 занятий 
Стоимость -1500₽
_______________________________________________________
_______________________________________________________
❇Наши контакты : +7 (989)-664-60-92
✅♻♻♻♻♻♻♻♻♻♻♻♻
📍 Наш адрес : г.Махачкала ул.Ирчи Казака 11 б ( угол Ярагского  и Ирчи Казака , слева от Кафе ""Istanbul"") #art_studio_gz#творчество#махачкала#афишамахачкала#длядетей#art#дагестан#дагестантворческий#живопись#мастихин#мкдлядетей #махачкала#махачкалаодежда#махачкаладагестан#махачкаладети#махачкала05#урокирисованиядлядетей#лепкаизглины#лепкамахачкала";1556521193;87;7020523159;False;мкдлядетей
Bw1JsSRjl0W;"Микеланджело считал рисунок «источником и душой всех видов живописи и корнем всякой науки». ————————————————————————-
Графический портрет (от 13 лет)
Разовое занятие - 400₽
12 занятий - 3000₽
_______________________________________________________
_______________________________________________________
❇Наши контакты : +7 (989)-664-60-92
✅♻♻♻♻♻♻♻♻♻♻♻♻
📍 Наш адрес : г.Махачкала ул.Ирчи Казака 11 б ( угол Ярагского  и Ирчи Казака , слева от Кафе ""Istanbul"") #art_studio_gz#творчество#махачкала#афишамахачкала#длядетей#art#дагестан#дагестантворческий#живопись#мастихин#мкдлядетей #махачкала#махачкалаодежда#махачкаладагестан#махачкаладети#махачкала05#урокирисованиядлядетей#лепкаизглины#лепкамахачкала";1556521671;76;7020523159;True;мкдлядетей
Bw1YkmmAbhO;"Украшений много не бывает)). Под таким девизом прошёл воскресный МК в группе 6+😂. Спешили сделать браслет себе, маме, папе, сестре и брату. ☝️Но несмотря на множество простых браслетов, мы все-таки сплели запланированный ажурный браслет, когда более крупные бусины оплетаются мелкими. И пусть запаса терпения хватало не всем, в группе были ребята 7 лет, но‼️ схему плетения поняли все!!! 👍
В группе 3+ смастерили кольцо и декор для одного из браслетов из полимерной глины, собрали именное украшение. Все прошло по плану😂😉. Только час пролетел, как 15 минут. Вот, что значит, увлекательный процесс!!!! 🌸 🌸 🌸
До новых встреч!!!
#мк #мастеркласс #мкдлядетей#мастерклассдлядетей#мкберезовский #мастерклассберезовский#деньрождениямастеркласс #организацияпраздника #березовский #гагарина21 #triniti_brz";1556529457;34;8323143331;False;мкдлядетей
