post_id;text;date;likes;owner_id;is_video;by_tag
BhTMCXtlQFu;Христос Воскрес! #mosaicburg#христосвоскрес#пасха#хв#мозаика#мозаиканазаказ#мозаикавинтерьере#спраздником#арт#пасха#пасхальныйдекор#пасхальнаякомпозиция#пасхальныеяйца#easter#мкекатеринбург#мкекб#мастерклассекатеринбург#екатеринбургсегодня#воркшопекб#коворкингекб#мастерскаямозаики#коворкингекатеринбург#мозаичныйдекор;1523169780;155;3487503100;False;мкекатеринбург
BhZBCnsH7QP;"Столик-поднос. 
Товар для творчества. Пополнение ассортимента студии😎 
#древесина#издереваназаказ#деревообработка#лазернаярезка#оригинальныйподарок#издерева#мкекатеринбург#екатеринбург#обучениеекатеринбург#октябрьскийрайонекб#екб#кудасходитьекб#индивидуальныезанятия#mnogolikoe#творчестводлядетей#развивашки#дополнительноеобразование#курсыдлядетей#детскоетворчество#обучениедетям#обучениедетейвцентреекб#мастерклассдлявзрослых#обучениедеревообработке#хендмейдкурсы#сделаноруками#теплодерева#подаркииздерева";1523365342;200;7458229204;False;мкекатеринбург
BhhtsuxnRea;"Создаем столик из массива натурального дерева. Изучаем все необходимые операции и процессы для выполнения изделия под отделку. 3000руб. 
Программа мастер-класса: 
1. Разметка деталей. 
2.Распил заготовок. 
3.Шлифовка деталей. 
4.Разметка отверстий для фурнитуры, сверление отверстий. 
5. Сборка столика. 
Материалы для работы: массив сосны, клей, шканты, болты с гайками,погонаж. 
Инструменты для работы: карандаш, линейка,рулетка, циркулярная погружная ручная пила, электролобзик, плоско-шлифовальная машинка, ленточная шлифовальная машинка, ручная электродрель, набор сверл, веревка, вспомогательные бруски, струбцина. 
Индивидуальные предпочтения по выбору древесины другой породы и дизайна, приветствуются, обговариваются и расчитываются отдельно. 
В стоимость все материалы включены. Занятие индивидуальное. Запись предварительная. 
Дни проведения мастер-класса: Вторник, Четверг, Суббота, Воскресенье. С 11.00-20.00

#изделияиздерева#деревянныеизделия#панно#деревянныйдекор#столярнаямастерская#древесина#издереваназаказ#деревообработка#лазернаярезка#резныеизделия#резьбаподереву#оригинальныйподарок#издерева#мкекатеринбург#екатеринбург#обучениеекатеринбург#творческаямастерская#екатеринбургсегодня#мастеркласс#октябрьскийрайонекб#екб#кудасходитьекб#индивидуальныезанятия#mnogolikoe#творчестводлядетей#развивашки#дополнительноеобразование#курсыдлядетей#детскоетворчество#обучениедетям";1523657191;296;7458229204;False;мкекатеринбург
BmnV3-1FAOM;"Уважаемые родители! В Доме Детского Творчества состоится: 
ДЕНЬ ОТКРЫТЫХ ДВЕРЕЙ! 
29 августа в 18.00 по адресу: Большакова, 15. 
30 августа в 18.00 по адресу: Куйбышева, 111. 
ОБУЧЕНИЕ В СТУДИИ МНОГОЛИКОЕ ДЕРЕВО 
3 сентября состоится родительское собрание по адресу: Большакова 15, каб 11 с 17.00 - 19.00 , где можно получить ответы на вопросы по расписанию, содержанию обучения в творческой студии. 
Обучение в студии Многоликое дерево, начнется с 5 сентября. 
ЗАПИСЬ НА ОБУЧЕНИЕ 
ГРАФИК РАБОТЫ КАБИНЕТА С 01 АВГУСТА ПО 01 СЕНТЯБРЯ: 
21 августа Вторник: 15.00 - 20.00 
22 августа Среда: 15.00 - 20.00 Перерыв с 17.00 - 17.30 
23 августа Четверг: 15.00 - 20.00 
28 августа Вторник: 15.00 - 20.00 
29 августа Среда: 15.00 - 20.00 Перерыв с 17.00 - 17.30 
30 августа Четверг: 15.00 - 20.00  с 1 сентября - 10 сентября ВТ-ПТ с 11.00 - 17.00 
Адрес для записи: Куйбышева 111, каб 110 Специалист- Марина Николаевна Кунгурцева 
ПАКЕТ ДОКУМЕНТОВ, НЕОБХОДИМЫХ ДЛЯ ЗАЧИСЛЕНИЯ В СТУДИЮ: 
1. Личное заявление родителя (законного представителя) - оригинал. 
2. Документ, удостоверяющий личность заявителя (паспорт гражданина Российской Федерации, удостоверение личности военнослужащего Российской Федерации, военный билет солдата, матроса, сержанта, старшины, прапорщика и мичмана, временное удостоверение личности гражданина Российской Федерации по форме № 2-П) – оригинал и копия. 
3. Документ, удостоверяющий личность ребенка (свидетельство о рождении ребенка (до 14 лет)/паспорт ребенка) – оригинал и копия. 
Обращаем Ваше внимание, что услуга по зачислению в учреждение дополнительного образования также осуществляется Центром муниципальных услуг (ЦМУ). С графиком работы центра можно ознакомиться на его официальном сайте: https://цму.екатеринбург.рф/
#изделияиздерева#деревянныеизделия#панно#деревянныйдекор#столярнаямастерская#древесина#издереваназаказ#деревообработка#лазернаярезка#резныеизделия#резьбаподереву#оригинальныйподарок#издерева#мкекатеринбург#екатеринбург#обучениеекатеринбург#творческаямастерская#екатеринбургсегодня#мастеркласс#октябрьскийрайонекб#екб#кудасходитьекб#индивидуальныезанятия#mnogolikoe#творчестводлядетей#развивашки#дополнительноеобразование#курсыдлядетей#детскоетворчество";1534583445;30;7458229204;False;мкекатеринбург
BnJT1salN2J;"Обучение детей в творческой студии «Многоликое дерево» начинается 5 сентября.
Родительское собрание состоится 3 сентября с 17.00 - 19.00 по адресу Большакова 15, каб 11. 
Запись в группу первого года обучения продолжается.
Тел.8-982-761-6003 – Руководитель студии Андрей Петрович Клименков

#изделияиздерева#деревянныеизделия#панно#деревянныйдекор#столярнаямастерская#древесина#издереваназаказ#деревообработка#лазернаярезка#резныеизделия#резьбаподереву#оригинальныйподарок#издерева#мкекатеринбург#екатеринбург#обучениеекатеринбург#творческаямастерская#екатеринбургсегодня#мастеркласс#октябрьскийрайонекб#екб#кудасходитьекб#индивидуальныезанятия#mnogolikoe#творчестводлядетей#развивашки#дополнительноеобразование#курсыдлядетей#детскоетворчество#обучениедетям";1535723228;42;7458229204;False;мкекатеринбург
BnYxEowFuU4;"Новинка! Основа для светильника. Светильники из дерева способны создать душевную, располагающую к общению атмосферу на кухне, в детской комнате, гостиной, одним словом в любой комнате такой светильник будет смотреться эффектно. 
Подробнее о характеристиках заготовки: читать в каталоге http://mnogolikoe.ru/store/tovary/osnova-dlya-svetilnika/

#изделияиздерева#деревянныеизделия#панно#деревянныйдекор#столярнаямастерская#древесина#издереваназаказ#деревообработка#лазернаярезка#резныеизделия#резьбаподереву#оригинальныйподарок#издерева#мкекатеринбург#екатеринбург#обучениеекатеринбург#творческаямастерская#екатеринбургсегодня#мастеркласс#октябрьскийрайонекб#екб#кудасходитьекб#индивидуальныезанятия#mnogolikoe#творчестводлядетей#развивашки#дополнительноеобразование#курсыдлядетей#детскоетворчество#обучениедетям";1536241871;22;7458229204;False;мкекатеринбург
BqkvhHUl7Qg;"24 ноября стал для меня поистине музыкальным днем - сходила на 2 концерта 🔥

Первый - концерт в абсолютной темноте в Галерее ""Смотри сердцем"". Уже в третий, кажется, раз на таком формате, но каждый раз ощущается будто первый. Всё просто: концерт в темноте это музыка, которая разливается в помещении, где света нет, от слова совсем, и, где организм начинает воспринимать аудиальные сигналы по-особенному, не так как обычно. Темнота вокруг совершено меняет восприятие музыки, кажется, что музыканты играют для тебя одной. Очень хотелось подпевать и танцевать, в этом я себе, конечно, не отказала-темно ведь, никто ничего все равно не видит 🙈 В этот раз выступали Виктория Радисева (её стихи и прелестный голос каждый раз выводят буквально армию мурашек на мою кожу) и Михаил Кисловский (было зажигательно очень и очень, давно я не слушала вживую зарубежные песни, более чем кайфанула). Требую от товарищей организаторов @smotri__serdcem формата, в котором приветствовалось бы пение вместе с музыкантами: мне не сидится просто так на концерте, душа требует петь 😀

На видео мы с моим товарищем по концерту выходим из ""тёмной"" локации на свет-глаза режет от обычного освещения, удовлетворения от музыки выше крыши и мы видим друг друга в первый раз, потому что кто-то в лучших традициях несколько опоздал к началу действа и заходил не вместе со своей группой, а в индивидуальном порядке 😀

#Галерея_в_темноте #АфишаЕкб #КудаПойтиЕкб #КудаСходитьЕкб #Екатеринбург #Екб #Смотри_Сердцем #МКЕкатеринбург";1543087064;39;2054221954;True;мкекатеринбург
Br-hrTjgH3K;"Доброго вечера! 
Наверное уже все в новогодней предпраздничной суете? 🎄

Хочу показать Вам итоговый вариант картины «Ирисы». Впервые в работе использовала золото.. Конечно сначала было страшно, но результатом я осталась довольна ✨ А ещё немножко подкрасила Ирисы акварелью! Потрясающе Акварель растекается и впитывается в штукатурку 💛

Есть у Вас ещё время на Инстаграм? Или можно уходить на каникулы?) 💛

Прекрасного вечера! 
#рельефнаяживопись #скульптурнаяживопись #объемнаяживопись #рельефнаяштукатурка #декоративнаяштукатурка #sculpturepainting #объемныецветы #мастеркласспетербург #екатеринбург #мкекатеринбург #обучениеекатеринбург  #творческая_мастерская_мастихин #живописьекб #скульптурнаяживописьекатеринбург #картинаназаказ #картинавподарок #скульптурнаяживописьпетербург";1546098803;833;606322402;False;мкекатеринбург
Br0StbxnCMb;"Друзья!
Мы подготовили для вас новогодний подарок!
Чтобы праздники прошли веселее, а морозные дни не стали помехой для интересного отдыха, мы записали видеоурок. Предлагаем вам всей семьей порисовать вместе с @juliamosunova новогодний фонарик (ссылка на полное видео в шапке профиля). Вам понадобятся:
-акварельные краски;
-бумага (лучше хлопок 100%, но это по желанию, и все же бумагу лучше брать для акварели, плотную);
-простой карандаш и малярный скотч;
-кисти;
-пульверизатор (мамы точно найдут);
-кредитная карта (не пугайтесь, только лишь для того, чтобы сделать на бумаге штрихи от маэстро);
-и хорошее настроение!
С Наступающим!
Творческих вам каникул!
#графитекб #grafitekb
#mkekb #екатеринбургарт #артек #артекатеринбург #рисуютвсе #мкекатеринбург #go_ekb #go_ekaterinburg #артстудия #мастерклассыекатеринбург #хочурисовать #учусьрисовать #рисованиеекатеринбург #мастеркласс #мастерклассы";1545755411;35;8704847070;False;мкекатеринбург
Br0r114gnrX;"30.12 в воскресенье в 13-00 ""Домик в лесу"" Зимняя сказочная картина пишем со Святославом Тощиным. 
Очень красивая картина, такая новогодняя, хотя и нет на ней наряженной елочки, но кажется в этом домике происходит волшебство!
Приходите мы всегда рады вас видеть!
Цена на МК варьируется в зависимости от размера холста.

Холст 30 на 40 - 1500 руб.
Холст 40 х40, 40 х 50, 35 х 45 - 1700 руб.
Холст на подрамнике 40 х 50, 35 х 45 - 2000 руб.
Холст на подрамнике 50 х 60 - 2300 руб.
Запись обязательна!!!
по тел., sms, whatsApp, viber +7 912 29 66 867,
🏩г.Екатеринбург, ул. Энгельса, д.36, ДД ""Филитц"", подъезд 2, 4 этаж, оф.419/7
🅿 Бесплатный гостевой паркинг (сообщите марку авто и цифры гос.номера заранее)";1545768587;29;7235463989;False;мкекатеринбург
