post_id;text;date;likes;owner_id;is_video;by_tag
BR8OliEgNu6;"📆 В марте и сентябре в Психологическом Центре Аметист проходит тренинг ""Идеальная Фигура"" ⏳

Чем он полезен? На мастер-классе перед тренингом мы определяем комфортную для организма массу тела - и это не то число, которое Вы сами себе придумали или Вам насчитали диетологи! Часто оказывается, что наше тело чувствует себя уверенным и здоровым совсем в другом весе...
.
А на самом тренинге мы делаем психологические упражнения, чтобы грамотно настроить себя на достижение здорового и стройного состояния своего тела. Самые важные из них: выявление 🍇 полезных 🍏 и вредных 🍔 именно Вам продуктов, а также трансформация установок, мешающих Вам вести здоровый образ жизни (а значит и иметь идеальную фигуру), в более эффективные, которые позволят Вам с лёгкостью достичь поставленную цель.
.
📝 Запись по 📲 +7(343)21-39093 🕑 с 14 до 22 🕙";1490187110;41;2374584369;False;мкекб
BTEcKG4FGSR;"⏰ В  апреле и октябре в Психологическом Центре ""Аметист"" проходит ""Денежмент. Лёгкое управление деньгами"" 💰

Чем он полезен? На мастер-классе перед тренингом мы определяем комфортную для организма сумму денег, которую он готов получать в месяц (или другой временной промежуток). Это число не всегда соответствует тому доходу, который Вы реально получаете! Что означает разница в этих числах и как это сказывается на Ваших деньгах - расскажем при встрече 😉

А на самом тренинге мы делаем психологические упражнения, чтобы грамотно настроить себя на достижение своих финансовых целей. Самые важные из них: определение того, как Вы чувствуете себя в своём денежном потоке, Вашего финансового уровня, а также трансформация установок, мешающих Вам иметь такой доход, какой Вы хотите, в более эффективные, которые позволят Вам с лёгкостью достичь поставленную цель.
.
📝 Запись по 📲 +7(343)21-39093.
🕑 с 14 до 22 🕙";1492610145;49;2374584369;False;мкекб
BUVQVNmlMON;"🌤 В мае и ноябре 🌨 в Психологическом Центре ""Аметист"" проходит ""Эликсир Любви. Рецепт счастливых отношений"" 😍

Чем он полезен? На мастер-классе перед тренингом мы делаем диагностику: определяем, сколько времени ещё Вы будете в отношениях (или наоборот, будете одиноки) - в Вашем бессознательном всегда есть все ответы, но Вы можете не знать, как их получить. А мы знаем 😉

А на самом тренинге мы делаем психологические упражнения, которые помогут понять, в чём причина того, что в Ваших отношениях не всё так, как Вы хотите, и поменять это. Самые важные из них: выявление стереотипов поведения для мужчин и женщин, а также трансформация установок, мешающих быть в таких отношениях, которые делают Вас счастливыми, в более эффективные, которые помогут Вам с лёгкостью достичь поставленную цель.

Запись по 📲 +7(343)21-39093 🕑 с 14 до 22 🕙";1495321853;32;2374584369;False;мкекб
BeOCXOJgjUC;"Порой бывает трудно строить планы, ставить цели, расставлять приоритеты, исполнять желания и осуществлять мечты 🌈

А у нас в Психологическом Центре ""Аметист"" есть 🔧 инструменты 🔨 для облегчения этого процесса и повышения его эффективности 🔩

Приходите на наши мероприятия и индивидуальные консультации - и будет Вам счастье 😌";1516554485;18;2374584369;False;мкекб
BhTMCXtlQFu;Христос Воскрес! #mosaicburg#христосвоскрес#пасха#хв#мозаика#мозаиканазаказ#мозаикавинтерьере#спраздником#арт#пасха#пасхальныйдекор#пасхальнаякомпозиция#пасхальныеяйца#easter#мкекатеринбург#мкекб#мастерклассекатеринбург#екатеринбургсегодня#воркшопекб#коворкингекб#мастерскаямозаики#коворкингекатеринбург#мозаичныйдекор;1523169780;155;3487503100;False;мкекб
BnteZ_LFzZT;"Приглашаем на мастер-класс всех кто желает вложить частичку души в создание топпера по случаю праздника своего близкого человека🍷🍰🎀🎉🎂! Рисуем, редактируем, моделируем, вырезаем топперы на лазерном станке. 
Идеи можно использовать уже нами проверенные (представлены на фото), либо разработать свою👌 
Время для МК любое с 10.00 до 23.00, по индивидуальному согласованию; 
Дни : вторник, четверг, суббота, воскресенье .";1536936728;36;7458229204;False;мкекб
BogFKQQg4wB;Фотоотчёт с Мастер-Класса по созданию топперов. Начинающие флористы с цветочного магазина знакомились с Hi-Tech технологией лазерной резки!;1538634768;55;7458229204;False;мкекб
BpUQCAIn3cH;"📆 В октябре и апреле в Психологическом Центре ""Аметист"" проходит ""Денежмент. Лёгкое управление деньгами"" 💰.
.
Вы узнаете:
+ какую сумму Вы можете зарабатывать на самом деле (она очень редко совпадает с той, какую Вы думаете)
+ причину, по которой Вам не удаётся получать больше денег
+ как изменить эту ситуацию и начать получать достаточный доход
+ полезные и вредные именно для Вас виды деятельности, которые Ваше тело принимает или отвергает соответственно
+ Ваши неэффективные психологические установки, которые формируют тот денежный поток, который у Вас есть на данный момент
+ и много другой полезной информации, подходящей именно Вам в Вашем конкретном случае!
.
Часть этой информации будет на мастер-классе, другая часть на тренинге. Мастер-класс более теоретический и диагностический, а тренинг более практический.
.
В результате Вы:
1. Составите для себя правильный индивидуальный список доходных видов деятельности.
2. Избавитесь от мешающих установок и сформулируете новые, помогающие достичь поставленную Вами цель.
3. Создадите для себя условия, способствующие получению высокого дохода.
.
📝 Запись 🕑с 14 до 22🕙 по ☎21-39093 и 📲+7(902)8700-430. Приходите! 🏃";1540385298;20;2374584369;False;мкекб
BpoX1zXA42U;"В нашем альбоме новая творческая работа😉 
Достаточно времени уделил ей Саша, но в итоге Банная вешалка изготовлена! По сюжету на плоскости вешалки, требовалось изобразить свой счастливый момент из детства, у Саши это высокие прыжки на батутах😎, ну конечно , что может быть веселее??!!! Сюжет сочетает в себе две техники резьбы, это контурная - ею показан сам сюжет, и скобчатая - она образует рамочку в виде скобочек. 
Крючки подобрали в ассортименте хозяйственного гипер-маркета, как мы посчитали с Сашей они неплохо подходят к самой вешалке, и вполне удачно впишутся в интерьер бани. 
Спасибо Саше за идею, и за реализацию своего проекта!";1541060481;36;7458229204;False;мкекб
Bq2sDHUAhdM;"Вот такой грузовичок для карандашей получился у воспитанника нашей студии - Андрея! Тема автомобилей ему интересна давно, поэтому мы отважились реализовать идею грузовичка в нашем проекте «Органайзер для канцелярских принадлежностей». В данном проекте мы использовали массив сосны, наносили морилку из краскопульта, и выполнили финишное покрытие акриловым лаком. Спасибо Андрею за творческую работу, и желаем дальнейших успехов!  А если у тебя есть интересная идея, и тебе 10 и более лет, присоединяйся к нам и твори вместе с нами!⠀
⠀
⠀⠀";1543688321;51;7458229204;False;мкекб
