post_id;text;date;likes;owner_id;is_video;by_tag
BLEkYuTgiOG;"Спешу сообщить, что долгожданный мастер-класс по созданиб  броши Жук доступен к продаже!

Итак, файл МК в формате .DOCX (открывается стандартной для Windows программой Word), отправляется на Вашу электронную почту после получения оплаты. Стоимость МК - 2000 руб.
Мк-файл удобен тем, что Вы сможете заниматься по нему в удобное для Вас время, столько часов, сколько нужно именно Вам, не спеша и не оглядываясь на всю группу, как происходит при ""живом"" МК. 
МК содержит 95 пошаговых фото в хорошем качестве и подробное описание к каждому фото.

В МК представлена моя авторская цельнокройная выкройка крыльев и тельца, раскрыт секрет создания реалистичных прозрачных подкрылков и подробно рассмотрены техники:
- вышивка бисером, бусинами и пайетками;
- работа с 3мя видами канители;
- работа с битью (мишурной нитью);
- создание объемной спинки и работа с текстилем;
- мозаичное оплетение кристалла Риволи;
- оформление изнанки работы натуральной кожей;
- обработка края работы;
- надежное и аккуратное крепление фурнитуры.

Убедительная просьба, по всем вопросам писать в директ или на почту evgenraven@gmail.com";1475434589;288;2254664254;False;мкжук
BTmHm4UF2Gt;Наконец-то увидела мою 💜 @nadya_guryakova потрудились на мк у @ev.zhuk #instaday #instamua #instalife #instagram #instafollow #instabeauty #beauty #instamakeupartist #makeuplife #makeupartist #визажист #визажистмосква #мк #мкжук #мкволосы #москва;1493740221;203;38510674;False;мкжук
BU1-pKQF_89;"#Repost @nail_rina (@get_repost)
・・・
Жжжжук 🕷🤗
✔️Чёрной гель краской рисуем контур жучка. Сушим
✔️Клеем страза на тело жука любым удобным для вас способом. Я посадила на базу и высушила
✔️Мешаем витражный гель лак с густой базой и ставим каплю сверху на стразы. Формируем тело жука, сушим
✔️Декорируем оставшиеся части жука стразами😄 и готово. 
#жук #мк #мкногти #мкжук #nails #videonails #video #мкнв_жук";1496419876;511;3933785141;True;мкжук
BU1SOw1gkwN;"Жжжжук 🕷🤗
✔️Чёрной гель краской рисуем контур жучка. Сушим
✔️Клеем страза на тело жука любым удобным для вас способом. Я посадила на базу и высушила
✔️Мешаем витражный гель лак с густой базой и ставим каплю сверху на стразы. Формируем тело жука, сушим
✔️Декорируем оставшиеся части жука стразами😄 и готово. 
#жук #мк #мкногти #мкжук #nails #videonails #video #мастеркласс";1496396591;174;655437046;True;мкжук
BU1_BAxB_9Q;"#Repost @nail_rina (@get_repost)
・・・
Жжжжук 🕷🤗
✔️Чёрной гель краской рисуем контур жучка. Сушим
✔️Клеем страза на тело жука любым удобным для вас способом. Я посадила на базу и высушила
✔️Мешаем витражный гель лак с густой базой и ставим каплю сверху на стразы. Формируем тело жука, сушим
✔️Декорируем оставшиеся части жука стразами😄 и готово. 
#жук #мк #мкногти #мкжук #nails #videonails #video #мкнв_жук";1496420071;15;4468650493;True;мкжук
BU887kHjPHW;"Repost @nail_rina Жжжжук 🕷🤗
✔️Чёрной гель краской рисуем контур жучка. Сушим
✔️Клеем страза на тело жука любым удобным для вас способом. Я посадила на базу и высушила
✔️Мешаем витражный гель лак с густой базой и ставим каплю сверху на стразы. Формируем тело жука, сушим
✔️Декорируем оставшиеся части жука стразами😄 и готово. 
#жук #мк #мкногти #мкжук #nails #videonails #video #мастеркласс";1496653859;782;2294999079;True;мкжук
BV2aGv_AMP0;"И снова Мастер-класс от Катерины😍
Жжжжук 🕷🤗
✔️Чёрной гель краской рисуем контур жучка. Сушим
✔️Клеем страза на тело жука любым удобным для вас способом. Я посадила на базу и высушила
✔️Мешаем витражный гель лак с густой базой и ставим каплю сверху на стразы. Формируем тело жука, сушим
✔️Декорируем оставшиеся части жука стразами😄 и готово. 
#жук #мк #мкногти #мкжук #nails #videonails #video #мастеркласс - #ns_studio74";1498581757;40;2436550451;True;мкжук
BV6iQylDUtq;"Думаю это идеальное видео, чтоб рассмотреть жужика со всех сторон.
2500₽
Для заказа пишите мне в директ!
Видео станется у вас навсегда, так что не тормозим, а бежим покупать!
#объемнаявышивка#embroiderydesign#мк#мкброшь#jewelryonetsy#beadswork#bordadoamano#украшенияизбисера#ricamo#золотоешитье#обучающиематериалы#обучение#вышивкабисером#вышивкапайетками#учимсявышивать#подарокженщине#мкжук#jewelrylove#jeweller#брошьвышивка#вышивкажук#мквышивка#видеомк#brooches#broderie#видеокурс#украшенияназаказ#bordados#видеомк#видеоурок
#mak_mk";1498720252;152;1631646919;True;мкжук
BVrHum8D5Fa;"#Repost @mknogti_video (@get_repost)
・・・
#Repost @nail_rina (@get_repost)
・・・
Жжжжук 🕷🤗
✔️Чёрной гель краской рисуем контур жучка. Сушим
✔️Клеем страза на тело жука любым удобным для вас способом. Я посадила на базу и высушила
✔️Мешаем витражный гель лак с густой базой и ставим каплю сверху на стразы. Формируем тело жука, сушим
✔️Декорируем оставшиеся части жука стразами😄 и готово. 
#жук #мк #мкногти #мкжук #nails #videonails #video #мкнв_жук";1498203024;29;3144588263;True;мкжук
BVyvg0Bj8pL;"Видим красивого жука, ставим лайк😊 что бы не пропустить новиночки и я знала, что вам нравится🌸🙏 Напомню, что вы можете приобрести МК написав мне в директ. И осталось всего 4 денечка что бы приобрести его по сниженной цене 1900₽ вместо 2500₽

А пока напишу часто задаваемые вопросы: 🌸СКОЛЬКО ВРЕМЕНИ БУДЕТ ДОСТУПЕН МК

МК будет доступен для вас неограниченное время. Вы можете начать заниматься хоть через год.
🌸МОЖНО ЛИ СКАЧАТЬ НА АЙФОН?

Пока что нет, возможно только для компьютеров. Но я над этим работаю😊 🌸СПОСОБЫ ОПЛАТЫ?! Пока что перевод на карту сбер банка или PayPel. Но вы пишите, возможно решить задачу и с другими способами оплаты.

И у меня тут к вам вопрос❤буду очень благодарна если вы напишите вам удобные способы оплаты. А то я тут немного запуталась🙄
Больше бесплатный уроков по тегу
#mak_lessons
#mak_store#украшениядевушке#украшенияавторскойработы#broochembroidery#beedwork#брошьвышивка#beabs#accessores#embroiderybrooch #брошьвналичи#hautecouturejewelry#брошьвподарок#брошьжукброшьнаплатье#брошьбабочка#брошькупить#брошьручнаяработа#insectjewelry#beadsjewelry#embroiderydesigns#fancyjewelry#handmadejewelrydesign#embroiderylove#fashionjewelryforsale#украшениякупить#вышивканаодежде#couturejewelry#handmade_ru_jewellery#брошьизбисера#украшенияспб";1498458763;187;1631646919;False;мкжук
BWCq9ZRjND3;"Вчера был последний день скидки на мк по жучку. С сегодняшнего дня его можно приобрести за 2500₽. А тем временем уже некоторые девочки начали вышивать😋

Мк можно будет смотреть в любое время в любом месте с любого носителя! Да-да, с телефона тоже☺

А тем, кто еще только начинает осваивать вышивку или хочет посмотреть насколько я ""ваш учитель"" у меня есть несколько БЕСПЛАТНЫХ роликов на ютюбе. Ссылка в профиле. Или ищите прямо там nataly mak.

Люблю вас, золоторучки мой😍
#jewelleryshop#embroiderydesign#accessoriesaddict#beadembroidery#jewelryonetsy#beadswork#bordadoamano#украшенияизбисера#ricamo#handmadejewerly#jewelleryoftheday#украшениямосква#вышивканазаказ#accessorieslovers#broochhandmade#подарокженщине#jewellerylover#jewelrylove#jeweller#hendmade#jewelryshop#jewelrystore#jewelrymaker#brooches#broderie#accessoriesoftheday#украшенияназаказ#bordados#uniquejewelry#luxury";1498993247;148;1631646919;False;мкжук
BXh5M-eAbo9;"Добрый день! 
Сегодняшний пост я посвящу МК моей подруги. Обратите внимание - расписание на август!
МК проходят в очень уютной студии Снегири. Все материалы входят в стоимость, также вам будут предоставлены все инструменты для работы. С собой можете приносить только хорошее настроение. После всех МК вы уйдете домой с готовой работой и знаниями 😇😇😇
➕ 19.08 - герб Пчелка.
На МК Вы научитесь работать с канителью, проволкой, объемным бархатом.
➕ 25.08 - жужик ( осталось 3 места). На МК Вы научитесь работать с бисеррм, канителью, кабашонами.
➕ 26.08 - медаль из канители ( осталось 2 места ). Вы будете учиться работать с канителью, оплетать риволи и так же работа с объемным бархатом.
Количество мест на каждый МК ограничено. На какие то мест осталось совсем мало. Кто хочет попасть на МК пишите в комментариях или в директ, обязательно всем отвечу! Ждем Вас всех с нетерпением😘😘😘";1502188386;290;4031695818;False;мкжук
BZky-YIj6DE;"🍁•осень?!•🍁
Наступила пора темноты.. а я радую себя блеском пайеток и кристаллов🌻
А пока буду показывать вам кресты📿
Заказ зарубежный🌍
Были у меня сережки кресты под #дольчегаббана (листай)
мадам мне написала, что хочет брошку такую. В итоге потом заказала еще, да не одну🙂.
Может и у нас есть любители крестиков?!
Кому надо, пока я разошлась?!
Цена 2500+доставка 
#объемнаявышивка#embroiderydesign#брошь#брошьручнойработы#jewelryonetsy#beadswork#bordadoamano#украшенияизбисера#ricamo#золотоешитье#вышивкабисером#вышивкапайетками#учимсявышивать#подарокженщине#мкжук#jewelrylove#jeweller#брошьвышивка#вышивка#мквышивка#видеомк#brooches#broderie#крест#украшенияназаказ#bordados#брошькрест";1506580751;95;1631646919;False;мкжук
BbtwW0tgIJo;Буквально на следующей неделе выйдет МК по созданию объемного бука из бисера! #брошьжук #мкжук #мкбисер #брошьизбисера #рукоделие #животныеизбисера #поделкиизбисера;1511176335;13;5745594910;False;мкжук
Bc6WG0TlpOc;"На мастер класс приходят девушки с разным уровнем подготовки. Были и такие, что и иголку в руке ни разу не держали😊, но с огромным желанием научиться вышивать. 
На фото жучок, работа совсем юной моей ученицы, студентки и будущего дизайнера.";1513746264;72;293292050;False;мкжук
Bc97O7HD5iN;"Загрузила в You Tube канал пять частей видео мастер-класса по этой объемной броши ""Жужик"".
Люблю делиться своими наработками, знаете ли😉
Ссылка на первую часть МК в шапке профиля,  остальные части ищите на канале.";1513866392;61;1020900395;False;мкжук
BcsXVg-jlSW;"✨Наконец то готовы наборчики материалов для мастер-класса по жуку🐞
.
Подробнее про МК можно почитать тут @mkvishivka
.
Цена набора 1500руб + почта
Листайте фото, там примеры наборов в наличии!
✔2го и 3го уже нет!😊✔
.
➕Что входит в набор:
✔Пайетки ✔Пин ✔Цепочки из кристаллов ✔Канитель
✔Кристалл Swarovski ✔Бисер ✔Нитки ✔ Мононить
✔Искусственная кожа
✔Застежка для броши
✔Бусины
.
⚠️Чего НЕТ в наборе⚠️
✖КлейБежевый или белый хлопок
✖Нитки бежевые хлопковые
✖Тонкий картон или акварельная бумага ✖Проволока 0,4 мм
✖Пялец
✖Ножниц
✖Бокорезов
.
Для заказа пишите в директ
В наличии пока всего 4 наборчика! Торопитесь🤗";1513277147;116;1631646919;False;мкжук
