post_id;text;date;likes;owner_id;is_video;by_tag
Bu8xlOPAFle;"Картина в арт стиле размером 70*50, эпоксидная смола и зеркальная, хрустальная крошка. 
Картина свободна (по стоимости пишите в директ)
#стильлофт #лофт
#интерьернаякартина
#артдекор #лофт #стильлофт
#интерьернаякартина #декорказань
#эпоксиднаясмола_обучение 
#эпоксидка #эпоксиднаясмолаказань 
#Resinart #resinart #зеркальнаякрошка
#эпоксиднаясмола #мастерклассказань 
#селовысокаягора #мкказань #высокаягораказань #высокаягора #срезкамняизэпоксиднойсмолы #срезкамнясмолой #срезкамня #картиныэпоксиднойсмолой #картинасвоимируками #geodeart #geode #картины #эпоксиднаясмола #казань #картинаназаказказани";1552482483;150;4976798672;False;мкказань
BvCBNGZAf3n;"Стильная Большая картина в Арт стиле размером 80*60.
Картина свободна!!! (По стоимости пишите в директ)
Видео снято со вспышкой и без вспышки.
#артдекор #лофт #стильлофт
#интерьернаякартина #декорказань
#эпоксиднаясмола_обучение 
#эпоксидка #эпоксиднаясмолаказань 
#Resinart #resinart #зеркальнаякрошка
#эпоксиднаясмола #мастерклассказань 
#селовысокаягора #мкказань #высокаягораказань #высокаягора #срезкамняизэпоксиднойсмолы #срезкамнясмолой #срезкамня #картиныэпоксиднойсмолой #картинасвоимируками #geodeart #geode #картины #эпоксиднаясмола #казань #картинаназаказказани";1552658447;114;4976798672;False;мкказань
Bw-CZPggY8Y;"Этот месяц начинаем с анонса мастер- классов в нашей студий 🌿
Сколько интересного у нас планируется на Май 🤩
🚩18 МАЯ 1️⃣8️⃣.0️⃣0️⃣
Прекрасная Алсу @soap_bonbon проведёт для вас МК по созданию мыла ручной работы 🙌🏻❗️Научит создавать мыло в трёх техниках:
🌿Мыло с вплавлениями
🌿Мыло с картинкой
🌿Мыло из основы для свирлов⠀
И на собственном опыте увидите, что мыло может быть не только практичным, но и красивым.  По завершению мастер класса у вас будет три кусочка мыла, упакованные в крафтовую коробочку.
В стоимость МК входят все ингредиенты и упаковка.
💰Стоимость 1100₽
🚩19 МАЯ в 1️⃣5️⃣.0️⃣0️⃣
Макраме 🤤
Особое старинное искусство , @guzel_zam научит нас плести стильные кашпо для вашего интерьера 🌿
Все просто, лаконично и безумно красиво !
Присоединяйся 😊
💰800₽
🚩25 мая в 1️⃣6️⃣.3️⃣0️⃣
Броши ручной работы 😍
Кто давно мечтал приобрести себе стильный аксессуар , теперь может ещё и научиться его создавать 😍  Каждая брошь у @zalina_ilyazova отдельное искусство!
Цена самая приемлемая 1000₽
🚩26 МАЯ в 1️⃣5️⃣.0️⃣0️⃣ Погружаемся в мир флористики 🌿
Учимся составлять , комбинировать цветы, работать с оазисом 🌿
Создадим композицию из живых цветов в кашпо ☺️
💰1000₽ 
Все Мк проходят в нашей Студии по адресу : Бурхана Шахиди 9а

Запись в Директ или по тел в шапке профиля ❤️";1556819820;41;343104206;False;мкказань
Bw-O7BIHuTM;Близняшки уезжают домой), я буду скучать);1556826388;17;7181165599;False;мкказань
Bw-YnJRlb52;"А ты не забыла нарастить реснички ⁉️🥰 Какой цвет ресниц предпочитаете девочки 🥰🥰🥰 жгучий чёрный⁉️или шоколадно коричневый⁉️ .
.
.
.
.
Ты все ещё не записалась ?😊 📞 Скорее звони 89625545858
.
.
Подписывайся на нас @browlashes_kzn";1556831468;301;792956588;False;мкказань
Bw-bdhEFWgA;". ▪️маникюр+ покрытие от 400⠀⠀⠀⠀⠀⠀
. ▪️Педикюр от 1000⠀⠀⠀⠀⠀⠀
. ▪️Комплекс педикюр+маникюр в 4 руки 2300⠀⠀⠀⠀⠀⠀
.⠀ ⠀ ⠀
.⠀
Ярче этого маникюра может быть только твоё настроение после визита к нам😘🌸⠀
.⠀ Хотите записаться ⁉️⁉️ скорее нажимай шапку профиля 💋
К нас можно записаться В Директ😊🤗
.
.
.
.
Подписывайся на нас @happynails_kazan";1556832962;554;6050665602;False;мкказань
Bw-prIKgs3d;Яркие и красочные цветы из бумаги от Ирины 😍😍😍 которые она сделала на нашем мастер-классе в среду. Отличное начало красивого сета из цветов 👍 молодец!;1556840414;23;608145771;False;мкказань
Bw-qOTYACQ3;"Ещё один красивый и стильный альбом от Юлии 😍👍
На наших мастер-классах по скрапбукингу можем создать альбом на любую тему и воплотить в жизнь любые задумки и желания (в меру возможностей, конечно 😉)";1556840702;16;608145771;False;мкказань
Bw-qzuVgHAb;"Ободок в подарок для дочки на выпускной в детском саду 😍
Цветовую гамму подбирали к платью 👗

Ободок получился очень нежный и лёгкий 💕💕💕 очаровательный такой 🤗";1556841008;24;608145771;False;мкказань
Bw-rS5Ggqwn;"Сегодня вместе с Эльзой осваивали переплетное дело и полностью с нуля создавали блокнот 💪💪
Отличная работа и превосходный результат 👍😍 умничка!";1556841264;26;608145771;False;мкказань
