post_id;text;date;likes;owner_id;is_video;by_tag
BA7eT_lwe3k;Спешу поделиться изделия с МК #мкспб #мкпитер #мккерамика #керамикаспб #суховольскихтаня #творючтохочу;1453654579;25;1615999218;False;мккерамика
BBGYO4jQex7;Керамические брошки #керамика #керамическийзавод #керамикаручнойработы #суховольскихтаня #керамическиеброшки #ручнаялепка #мккерамика #мкспб #спбкерамика #керамиканазаказ #керамиканапродажу #pottery #clay #ceramics;1454020490;37;1615999218;False;мккерамика
BBii2-5weyT;#незолотаярыбка #керамика #ручнаялепка #керамическийзавод #керамиканапродажу #керамикаспб #интерьернаякомпозиция #суховольскихтаня #мккерамика #тудаксудак;1454965585;36;1615999218;False;мккерамика
BBxblXNwe_Y;Моё идеальное воскресенье - когда все довольные и уставшие после МК по лепке пьют чай и радуются,что все получилось) #артмуза #керамика #мккерамика #мкпитер #суховольскихтаня;1455465087;31;1615999218;False;мккерамика
BCFZqmNQe8O;Творческий_процесс #клубочница #керамика #мккерамика #мкспб #clay #ceramics #pottery;1456135170;23;1615999218;False;мккерамика
BCkUNuQwexf;"А по выходным я спешу в керамическую мастерскую) присоединяйтесь! ;-) #керамическийзавод #керамикаспб #мккерамика";1457172500;28;1615999218;False;мккерамика
BClFNXlQe8R;Такое приятное чаепитие #керамикаручнойработы #керамическаякружка #керамикаспб #керамиканапродажу #мккерамика #суховольскихтаня #ceramics #pottery #clay #capoftea;1457198187;41;1615999218;False;мккерамика
BCmnboVQe8L;Без кота и жизнь не та!) Решили Эля с Сашей) и давай лепить его усатого =^_^= #керамика #мккерамика #мкпитер #керамикапитер #питер #моиученики #ceramics #clay #pottery #cat #cats #potterycat;1457249684;56;1615999218;False;мккерамика
BDLZu_Bwe69;Сегодня в мастерской было солнечно и у нас получились чудесные пиалки #керамика #керамикапитер #мккерамика #мкспб #керамикаспб #моиученики;1458484016;48;1615999218;False;мккерамика
BDP0fUEwe2n;Рыбка в меду #керамика #керамикапитер #керамиканапродажу #керамиканазаказ #мккерамика #мкпитер #ceramics #pottery #clay #fish #artfish #artceramic #зенинататьяна;1458632262;64;1615999218;False;мккерамика
BEGIwK9we5J;Мыльница с отпечатком природы #процесс #мкспб #мккерамика #мкпитер #керамикапитер;1460454825;28;1615999218;False;мккерамика
BEWCJNeGvzo;"Друзья! 🎉
В прекрасной мастерской ""9 Stones Ceramics Worcspace"" открывается весенняя серия МАСТЕР-КЛАССОВ. Стартуем 23 апреля с общей темой «Дом огня». На мастер классе по керамике мы создадим домик-подсвечник, который станет авторской разработкой для каждого участника под руководством мастеров в приятной дружественной обстановке.
КОГДА: 23 апреля 
ВО СКОЛЬКО: 15.00, 18.00 
ПРОДОЛЖИТЕЛЬНОСТЬ: 2 часа 
КОЛИЧЕСТВО УЧАСТНИКОВ: 7 человек в группе (с 12лет) 
СТОИМОСТЬ: 1000 рублей (с учетом всех материалов и двух обжигов) 
ЗАПИСЬ обязательна! 
#мастеркласс #мастерклассиркутск #иркутск #ручнаяработа #хочууметь #handmade #ceramics #pottery #masterklass #under_ground_ceramica #мк #мастеркласскерамика #мккерамика #глина #workshop";1460988231;25;2278916726;False;мккерамика
BEkwQNswe96;А мы всё лепим) и лепим правда всё ^_^ #любимаякружка #керамикапитер #мккерамика #мкспб #моиученики;1461482167;37;1615999218;False;мккерамика
BFJQGn-Qew8;"Вот так керамическая подставочка появляется на свет ;-) #мккерамика #мкпитер #мкспб #керамикапитер  #clay #pottery #potteryfun #pottery_videos #potteryvideos #fish by @alegria_jewellery";1462706826;46;1615999218;True;мккерамика
BFY0wSYwe76;Помимо того,что мы оттачиваем керамическое мастерство,мы еще и делаем это синхронно :-D #керамикапитер #спбкерамика #мккерамика #мкпитер #синхронность #pottery #clay #ceramics;1463229358;49;1615999218;False;мккерамика
BFvXtYNQe7S;Угадайте что?) #керамикапитер #горшочеквари #мккерамика #мкспб #керамика #ручнаялепка;1463985881;29;1615999218;False;мккерамика
BG16Wmywe2K;Глазуровка полным ходом) #керамикапитер #мккерамика #керамикаспб #суховольскихтаня #зенинататьяна;1466352855;30;1615999218;False;мккерамика
BG2b-pXwe70;Торжественно заявляю,что с этим горшком и кашу сваришь и мяско потушишь) 😍вот такая красота получилась, а Марина не только хорошо лепит🤗, но и готовит очень вкусно😋😘 #моиученики #керамикаспб #мккерамика #мкпитер #керамика #pottery #clay #ceramics;1466370485;48;1615999218;False;мккерамика
BGC0Jz-Qe2s;Санкт-Петербург!) В эту субботу и в воскресенье в АртМузе на В.О. с 12.00 до 14.00 будем лепить керамическую тарелочку с отпечатком травок-листиков!) Стомость 500р. Вопросы и запись в ЛС http://vk.com/willoww #мккерамика #мксп #мкпитер #ceramics #mk #mksp #pottery #mkpottery #clay;1464638329;30;1615999218;False;мккерамика
BHJ_0IuBfHE;Тарелочка #ручнаялепка #роспись #глазурь #мккерамика #мкспб #артмуза #суховольскихтаня #моякерамика;1467026807;16;1615999218;False;мккерамика
BHhXjWdD2sq;"Ура!! Скоро мастер класс!! 👏🏻👏🏻👏🏻 самое интересное и красивое ждёт вас 🌿🌿🌿 👉🏻 @mazachi_home 
Приходите!! #мкmazachi #мккерамика";1467811005;36;3235826086;False;мккерамика
BHzlU6ajJVm;"Не забывайте про возможность попасть на мастер класс ☝🏻️😊
Все подробности на сайте mazachik.ru 👈🏻там же и фото с предыдущих мастер классов :) заглядывайте 😉 #мкmazachi #мккерамика";1468422206;56;3235826086;False;мккерамика
BI3PzIEh72L;#моиученики #артмуза #керамика #мк #мккерамика #мкспб;1470692621;45;1615999218;False;мккерамика
BI8MLkrBtl4;Сказочная керамическая картинка получилась у нас на занятии #мккерамика #мкпитер #моиученики #керамика #pottery #clay #ceramics #artmuza #артмуза;1470858496;58;1615999218;False;мккерамика
BIl_hkPhq0F;Друзья! 😃 6 и 7 августа (суббота,воскресенье)с 12. 00 до 14.00 в АртМузе на 13линии В.О. пройдет МК по ручной лепке, стоимость 500р. Приглашаем всех желающих 🤗 за подробностями в ЛС http://vk.com/willoww #керамикаспб #мккерамика #спбкерамика;1470113663;61;1615999218;False;мккерамика
BJDd6qMhR9Z;#мккерамика #мкспб #мкпитер #моиученики #артмуза;1471102676;51;1615999218;False;мккерамика
