post_id;text;date;likes;owner_id;is_video;by_tag
BR30_u1BeO9;"Девочки присылают мне свои работы с мк😱
Какие же они талантливые, разносторонние, творческие💙
Мне так понравилось проводить мастер-класс, так понравились участницы и их результаты✨
Девочки, спасибо вам!
P.S. Те, кто хочет поучаствовать в моем мк, пишите мне в комментарии и директ и узнавайте всю информацию самыми первыми💌 #odaryadarya #мастерклассodd #мастерклассвспб #мастерклассвпитере #мккерамика #мккерамикаспб";1490039476;237;2984281661;False;мккерамикаспб
BRGWpNYj4t-;"Молочник с инжиром отправился к хозяйке, ура🌷
А тем времен, открылась запись на мой мастер класс ""Флористическая роспись тарелочки""📝
Фактически это будет 2 мк в одном- мы научимся рисовать цветы и травы, а затем распишем и заглазуруем тарелку👌🏻
Я поделюсь с вами своими знаниями, техникой исполнения- в итоге у вас будет несколько красивых рисунков и  самая настоящая тарелочка, расписанная вами😊 
Есть, мыть- все это можно будет с ней делать🍲
Количество участников ограничено- всего 7, пару мест уже выкуплено. Если хотите ко мне попасть- пишите прямо сейчас.🕐
Мк пройдёт 18 марта с 12.00 до 16.00 в СПб, цена - 2990⭐️
Все материалы и обжиги включены в стоимость.
Если приходите вдвоём с другом- 2500☝🏻️
Варианты оплаты:
1. 100% предоплата на карточку
2. 50% предоплата и остальные 50% перед началом занятия 18 марта.
В случае отказа 50% оплаты не возвращается, тк она идёт на закупку материалов и аренду помещения.
Для участия напишите мне в Директ или оставьте комментарий и я свяжусь с вами сама💎
Буду очень рада вас видеть, приходите❤️";1488379395;674;2984281661;False;мккерамикаспб
BRJSV24Dd99;"Для всех, кто хочет узнать азы моей ""акварельной росписи"" я создала мастер класс👌🏻 техника, материалы, глазуровка- все будет🙆🏻
Приходите и создавайте свои шедевры, которые будут радовать вас в быту💙
Мк пройдёт 18 марта с 12.00 до 16.00 в СПб, цена - 2990, количество участников ограничено- всего 7❌
Все материалы и обжиги включены в стоимость.
Если приходите вдвоём с другом- цена 2500☝🏻️
Варианты оплаты:
1. 100% предоплата на карточку
2. 50% предоплата и остальные 50% перед началом занятия 18 марта.
В случае отказа 50% оплаты не возвращается, тк она идёт на закупку материалов и аренду помещения.
Для участия и уточнения деталей напишите мне в Директ или оставьте комментарий и я свяжусь с вами сама💎
Буду очень рада вас видеть, приходите❤️
P.S. Все тарелки с данного фото проданы, но возможно исполнение на заказ.";1488477803;390;2984281661;False;мккерамикаспб
BRdiYCXDXpq;"Моя первая посуда на гончарном круге⚪️
Я так интересно её заглузуровала, скоро увидите👁
Обратили внимание на листья?) Подготовка к моему мастер- классу идёт полным ходом🏃🏻
Осталось немного мест, у вас ещё есть возможность к нам присоединится🌷
Научится чему-то новому, познакомится с интересными людьми, окунуться в мир керамики и создать для себя красивую тарелку🌿
Отключение от всего и  концентрация на оттенках краски, очертаниях листьев, движениях кисти✨
Приходите, создавайте волшебные травы и леса, я вас очень жду❤️
Мк пройдёт 18 марта с 12.00 до 16.00 в СПб, цена - 2990⭐️
Все материалы и обжиги включены в стоимость.
Если приходите вдвоём с другом- 2500, втроём 2300☝🏻️
Варианты оплаты:
1. 100% предоплата на карточку
2. 50% предоплата и остальные 50% перед началом занятия 18 марта.
Каждому из участников я подарю прекрасный подарок🌹
Для участия в мастер классе напишите мне в директ💌
Времени осталось не много, да и мест тоже☝🏻️ Поэтому если вы хотите прикоснуться к прекрасному и провести интересный и насыщенный день напишите мне прямо сейчас📬";1489157298;302;2984281661;False;мккерамикаспб
BRk6B9qDiYF;"В субботу состоится мой мк по росписи посуды. Это моё первое самостоятельно организованное детище. 
Об итогах говорить пока рано, но я довольна, что решила организовать мк.
У меня осталось несколько свободных мест и я решила подарить одно из них.
Возможно кто- то очень хочет пойти, но не имеет финансовой возможности. 
Я думаю, что деньги не должны быть преградой. 
И поэтому вы можете ""заплатить"" за мк мотивационным письмом. В нем вы должны рассказать обо мне, о моих работах, почему вы хотите принять участие в моем мк.
Условия:
🌿нужно выставить любое фото с моего профиля @odaryadarya.ceramic - рассказать под фото о моих работах, о моем мк, о том, почему для вас важно его посетить - поставить хештег #созидайпрекрасное_odd
🌿написать в комментарии под этим постом ""Участвую""
🌿на время конкурса открыть свой акаунт
Конкурс проходит в Вк( ссылка в шапке профиля) и в инстаграмме.
В пятницу в 12.00 я выберу одного человека, чья история меня тронула больше всего. В благодарность всем остальным участникам, я подарю скидку 25% на посещение моего мк.
Все зависит от вас и все возможно. 
Удачи!";1489404581;375;2984281661;False;мккерамикаспб
BRxx7SDAoGc;Мастер-классы по керамике на Гривцова ( Сенная площадь). Уютная мастерская в центре Спб, очень умеренные цены, качественное обучение. Подробнее vk.com/ceramicsspb запись +79818598710 Сергей. #спбцентр #сеннаяплощадь #мккерамикаспб #мккерамикаспб #керамикаспб #гончарнаямастерская #гончарныйкруг #гончарныйкругспб #лепкаизглины #курсылепки #уютнаямастерская @clayage;1489836540;15;4285494571;False;мккерамикаспб
BRxyajBgAo9;Мастер-классы по керамике каждые выходные, пер. Гривцова (Сенная площадь). Индивидуальное занятие на гончарном круге (1час) 600₽. Подарочные сертификаты. Подробнее vk.com/ceramicsspb  #уютнаямастерская #курсылепки #лепкаизглины #мккерамика #мастеркласс #мккерамикаспб #мастерклассспб #мастеркласс #санктпетербург #спбцентр #спб #гончарныйкруг #гончарныйкругспб #гончарнаямастерская @clayage;1489836796;25;4285494571;False;мккерамикаспб
Be5hGP-H9HN;Пиалы учеников нашей гончарной Мастерской ClayAge. Приглашаем на мастер-классы взрослых и детей от 7 лет. www.vk.com/ceramicsspb #санктпетербург #цархитектор #spb #clay #ceramicsclass #ceramicsspb #saintpetersburg #керамикаспб #курсыкерамики #гончарнаястудия #гончарнаястудияспб #гончарнаямастерскаяспб #посудасвоимируками #мкспб #мастеркласс #мастерскаяспб #мастеркласспокерамике #мкпокерамике #мккерамикаспб #спбцентр #творческаямедитация #творчествоспб #творческий #творчествоспб @clayage;1518013439;15;4285494571;False;мккерамикаспб
Be5iePNHZRZ;В нашей гончарной мастерской в самом центре Спб в дружеской обстановке, по умеренным ценам можно уже на первом занятии научиться делать пиалы, чашечки и тарелки. Занятия проводит Сергей, чуткий педагог с многолепным опытом)) #творчествоспб #творческий #творческаямедитация #керамикаспб #курсыкерамики #гончарнаястудия #гончарнаястудияспб #гончарнаямастерская #гончарнаямастерскаяспб #гончарныймастерклассспб #мккерамикаспб #мкспб #лепкаспб #творческиймкспб #занятиекерамикой #пиалакерамическаяспб @clayage;1518014160;9;4285494571;False;мккерамикаспб
Br5myHkDu9z;"🤔 Еще не придумали, чем заняться с ребенком в новогодние праздники? ⛄ Мы работаем, начиная с 3 января!
⠀
В Школе Бенуа вы сможете найти интересные события, мастер-классы или посетить познавательные квесты:
⠀
🎄Ёлки «Тайны заколдованной Бенуарии». Каждый день до 6 января! Вас ждет интерактивная программа с участием Деда Мороза и Снегурочки, роскошная фотозона, конкурсы, подарки, модная дискотека и снежное шоу!
⠀
🎅 В Мастерской Деда Мороза все праздничные дни проходят мастер-классы по работе с полимерным пластилином, керамикой, акварельными красками, гуашью, акрилом и техникой граттаж. Сохраняйте расписание на январь!
⠀
❄️ 9, 10 и 11 января – Зимние каникулы в Школе Бенуа. Приглашаем школьников от 7 лет интересно провести время и выполнить небольшой проект – собственный мультфильм. В течение дня ребят ждут занятия спортом, творчеством, веселые игры и прогулки.
⠀
🗝 А также:
Квесты «Бенуария» открыты весь день!
⠀
Запись: ☎️ 775-18-90
⠀
Тихорецкий пр. 17А";1545933708;33;2234320566;False;мккерамикаспб
Bt-nXh8goUc;"Солнце🌞⛄! Солнце!!! Всем весны и хорошего настроения! Загораем на подоконнике 🔥
.
#filinflintceramics #мастерскаякерамики #мккерамикаспб #мккерамикапетергоф #керамикапетергоф #керамикавинтерьере #солнечныйпитер";1550396754;7;8902364899;False;мккерамикаспб
Bt0BA1EAGCt;"Красивая, простая и функционалтная вещь! Аромалампа. Приходите к нам творить! Всё покажем, расскажем,  поможем! Добавим уюта в каждый дом! .
#ceramics #aromalamp #керамикадлядуши #мккерамикаспб #мккерамика #обучениекерамике #лепимизглины #хюгге #керамикаинтерьерная #ceramicart";1550041100;12;8902364899;False;мккерамикаспб
Bt3Zs0EAntO;"🍄Влюблённые в керамику🍉
Всем любви, радости и творчества! .
А прекрасное лицо сегодняшней публикации - друг и единомышленник нашей мастерской Tais @grdkadotcom .
Спасибо за поддержку! .
Приходите к нам творить! 🌶🔥💥
.
.
#ceramics #ceramiclove #loveceramic";1550154707;11;8902364899;False;мккерамикаспб
Bt5MXscFxd9;#домашнийдекорспб #авторскаяваза #автоскаякерамика #авторскаякерамикаспб #студиякерамикиспб #студиякерамики #спб #санктпетербург #домашнийдекорспб #необычныйдекор #декорспб #домашнийдекорспб #домашнийуют #арт #артспб #вазаспб #ваза #вазадляцветов #керамическаяваза #мкспб #курсыкерамикиспб #курсыкерамики #гончарноеделоспб #гончарнаямастерскаяспб #гончарныймастерклассспб #мккерамика #мккерамикаспб #керамикаспб #творчествоспб #природа #природный #глина @clayage;1550214827;29;4285494571;False;мккерамикаспб
BtG7cG3F1OZ;На мастер-классе по керамике в студии ClayAge.  www.vk.com/ceramicsspb  #гончарнаястудияспб #мккерамикаспб #spb #ceramics #мкспб #гончарныймастеркласс #курсыкерамикиспб #курсыкерамики #лепкаспб #глина #гончарнаямастерскаяспб #спб #санктпетербург #студиякерамикиспб #занятиетворчеством #творчествоспб @clayage;1548528229;24;4285494571;False;мккерамикаспб
BtG8PLXFf7W;В нашей мастерской. Кто хотел бы завтра попробовать себя в глиняном творчестве, на завтра еще есть места для записи. Мы находимся напротив метро Чернышевская. Больше информации по тел +79818598710 Сергей. Наша группа www.vk.com/ceramicsspb #творчествоспб #spb #санктпетербург #спб #гончарнаястудия #гончарнаямастерскаяспб #гончарнаястудияспб #гончарныймастеркласс #мкспб #мккерамикаспб #глина #гончарныйкруг #лепкаспб #курсыкерамики #курсыкерамикиспб @clayage;1548528647;20;4285494571;False;мккерамикаспб
BtP1uvVlAgb;Блюдо в японском стиле. #спб #санктпетербург #блюдо #керамикаручнойработы #керамика #керамикаспб #гончарнаямастерская #ceramics #pottery #art #studiopottery  #art🎨 #plate  #japanesestyle #японскийстиль #японскийстильвинтерьере #дизайн #предметыинтерьера #предметыинтерьераспб #homedecor #handmade #студиякерамики #студиякерамикиспб #мккерамика #мккерамикаспб #ceramicplate @clayage;1548827225;27;4285494571;False;мккерамикаспб
BtSQEBxFxgr;Чайник и пиала, которых уже давным давно нет в наличии). #студиякерамики #гончарнаямастерскаяспб #гончарнаямастерская #творчествоспб #ручнаяработаспб #авторскаякерамика #авторскаякерамикаспб #ручная_работа #керамикаспб #керамическийчайник #предметыинтерьера #предметыинтерьераспб #домашнийдекор #декорспб #спб #студиякерамики #студиякерамикиспб #мккерамикаспб #мастеркласс #арт #артспб #pottery #handmade #handmadeteapot #ceramics #studioceramics #ceramicteapot #spb #homedecor @clayage;1548908140;29;4285494571;False;мккерамикаспб
BtwBt8pnCAd;"Творческий беспорядок в лучах зимнего солнца. Иногда внезапно замечаешь красоту в привычных вещах. Фрагмент нашей мастерской.
#ceramicstudio #ceramicsculpture #interiorceramics #ceramichead #handmadepottery #ceramique #керамическаястудия #керамикаспб #мккерамикаспб #ручнаяработа #керамикаручнойработы#мастерская#шишки#мастерскаякерамики#интерьер";1549907252;11;8902364899;False;мккерамикаспб
Bu3txnAFrO_;"Ceramic workshops in St Petersburg (Russia). Ежедневные мастер-классы по керамике и основам глазуровки в гончарной мастерской ""ClayAge"". Отличный вариант для небольших компаний (2-4 человека), т.к. мы обязательно запишем вас на отдельное время + на наших занятиях каждому предоставляется по 2 кг глины (этого хватит на 2-3 изделия). На занятии вы сможете освоить некоторые техники ручной лепки и попробовать гончарный круг. В итоге у каждого получится по 2-3 изделия.  Продолжительность 1.5 часа.  Занятие ведет керамист с многолетним опытом и чуткий педагог Сергей.  Стоимость 900 руб с человека ( в стоимость входит глина, использование всех необходимых инструментов, гончарного круга, последующий обжиг изделий)  Запись через сообщения в группе www.vk.com/ceramicsspb или по телефону +79818598710 Сергей.  На фото 1 изделия учеников, 2 мастерская, 3 изделия учеников, 4 фото с занятия, 5 и 6 изделия учеников.  #гончарныймастеркласс #гончарныймастерклассспб #гончарнаямастерская #гончарнаямастерскаяспб #студиякерамикиспб #мккерамикаспб #арт #спб #санктпетербург @clayage";1552312716;50;4285494571;False;мккерамикаспб
BuA5hYjl6B5;Медитация в керамике. Гончарная мастерская ClayAge (м. Чернышевская Спб) ждет всех желающих помедитировать с глиной. 1.5 часа 900 руб. Особенностью наших занятий является то, что в стоимость входит целых 2 кг глины.  #гончарноеделоспб #гончарнаямастерская #гончарнаямастерскаяспб #студиякерамики #санктпетербург #спб #студиякерамикиспб #мкспб #курсыкерамики #курсыкерамикиспб #гончарныймастерклассспб #лепкаизглины #лепкаспб #гончарныймастеркласс #работасглиной #глинаспб #глина #мккерамикаспб #керамикаспб #керамикаручнойработы #скульптура #скульптураспб #глинянаяскульптура #ceramics #ceramicart #ceramicsculpture #ceramicmeditation #meditation #sculpture @clayage;1550473380;37;4285494571;False;мккерамикаспб
BuA6thugo1T;"🌻Отпечатки лета, отпечатки мыслей🍃🍁. Мы любим эту технику отпечатков растений за простор для фантазии, живость и неповторимость каждого изделия. 
Техника эффектна и довольно проста,  и вы можете её освоить в нашей мастерской. Поможем, подскажем,  расскажем что к чему, почему и зачем. Природную тему можно дополнить оригинальным текстом-посланием или строчкой из любимой песни (а можно и весть текст уместить). Приходите лепить и творить! И,  конечно, чай пить! .
#filinflintceramics #мккерамика #мккерамикаспб #мккерамикапетергоф #керамикапетергоф #петергоф #старыйпетергоф #лепитьизглины #factura #textureceramic #ceramictexture #printceramic #ceramics #potteryinprogress";1550474004;17;8902364899;False;мккерамикаспб
BuEk7NNAGqp;"🍁Воплощаем идеи! 🍀
Друзья, делимся творческими моментами. .
На мастер-классе мы слепили тарелки и кружки в пластовой технике (ещё эту технику называют «текстильной» из-за особенности конструирования и использования выкроек). Травы и буквенные штампики добавили индивидуальности и живости изделиям. 
На фото - талантливая ученица Лена @elenalisikh1493 
Позитивный настрой - залог керамического успеха! 
Всем бодрости 💥
.
.
#мккерамика #мккерамикаспб #мккерамикапетергоф #керамикапетергоф #лепимвпетергофе ##мастерскаякерамики #filinflintceramics #ceramicstudio #ceramicspb #filin_master #ceramistofinstagram";1550596800;11;8902364899;False;мккерамикаспб
BuEy0-KAavA;"!БЕЛАЯ КРАСОТА!
Так выглядят изделия с мастер-класса после первого утельного обжига. Ещё без глазурей, и не подходят для утилитарного использования. Но любоваться-то никто не запретит!  Да ещё солнце, на радость фотографа, добавило графичных теней.
.

#filin_flint_ceramics#filin_flint#керамика#керамикаручнойработы#керамикаспб#керамиканазаказ#подарки#подарокручнойработы#керамикавподарок#ceramic#ceramicart#loveceramic#handcrafted#saintpetersburg#handmadeceramics#potterygram#filin_master#мккерамика#мккерамикаспб#старыйпетергоф#керамикасвоимируками#обучениекерамике#лепкаизглины#studiopottery#potterylife#artinprogress";1550604089;13;8902364899;False;мккерамикаспб
BuHvNEIH6zI;"Привет, друзья! Немного конкретики. .
На занятиях мастер-классах мы с вами создаём полностью функциональные изделия. 
Всё по-взрослому! 👐💪Лепим🔥обжигаем💧🎨глазуруем🔥обжигаем🤗пользуемся♥️радуемся!
. 
И так, керамика - дело серьёзное, разъясним подробнее.
Технология производства практически любого керамического изделия предполагает довольно длительное время на изготовление.
.

Мы обычно делаем так:
🔸В первый день - лепим, 🔸потом дней 5 - сушка изделий, 🔸потом сутки - первый обжиг и остывание,
🔸потом можно сразу глазуровать, 🔸на следующий день - повторный обжиг,
🔸через сутки - забираем шедвры! 🔷И всё!  Вы - молодцы! Мы - молодцы!  Печка - всегда молодец!
.

Поэтому, обычно занятия мы проводим в два дня,  с недельным перерывом. Сначала лепим, а примерно через неделю проводим занятие по глазуровке. Будем покрывать глазурями и ангобами уже обожженные изделия. Сможете выбрать цвета из широкой цветовой палитры. Это не менее интересно,  чем лепить! Момент,  когда можно ощутить магию преображения цвета!
.

Ещё мы можем заглазуровать ваши изделия самостоятельно (прозрачной или белой глазурью). Это может быть удобно, если вы хотите оставить изделия белыми или цвета природной глины. В таком случае можно придти к нам в мастерскую через 10-15 дней после вашего занятия и мы отдадим готовые изделия. Их уже можно будет полноценно использовать в быту.
.

Цены указаные в описаниях к занятиям включают все материалы, инструменты и обжиги.  Подробное описание тематических занятий смотрите в соответствующих публикациях .
.
❓❓❓➡️ пишите в direct.
.
.
.
.

#filin_flint_ceramics#filin_flint#керамика#керамикаручнойработы#керамикаспб#керамиканазаказ#подарки#подарокручнойработы#керамикавподарок#ceramic#ceramicart#loveceramic#handcrafted#saintpetersburg#handmadeceramics#potterygram#filin_master#мккерамика#мккерамикаспб#старыйпетергоф#керамикасвоимируками#обучениекерамике#лепкаизглины#studiopottery#potterylife#artinprogress";1550702852;8;8902364899;False;мккерамикаспб
