post_id;text;date;likes;owner_id;is_video;by_tag
BLCK9j3B96P;"Работа одной из учениц сегодняшнего мастер-класса ""Интерьерная корзинка"" 👏🏻😍 хотела все написать завтра, но не удержалась, - переполняют эмоции!!! Ура! Ура! Ура!🎉🎊🎉🎊🎉 мастер-класс ""Интерьерная корзинка"" проведён в самом сердце 🙈не побоюсь этого слова трикотажно-пряжного рая в СПБ! А именно в магазине ""Вязариум"" на Большой Пушкарской, д.25, спасибо Светлане #мамаленты @svetikpavlik @lentaknit за предоставленное место для проведения, за выбор пряжи, Юлечке из Интернет-магазина @tvoyhobbyspb за инструменты и поддержку🌸 и конечно девушкам-участницам!!! 💃🏻👯💃🏻👯благодаря такой компании на мастер-классе была настолько уютная и душевная атмосфера, что не хотелось заканчивать 🤗 завтра выложу  видеоролик, как все прошло! Было очень здорово! 🙌🏻 Также скоро опубликую информацию о следующем МК😉
#хоббидлядуши#вяжутнетолькобабушки#knitting#knitstagram#вяжутнетолькобабушкиноимамочки#пряжалента#пряжа_т#вязаныекорзины#вязаныекорзинки#вязаныйрюкзак#хлопковаяпряжа#lentaknit#трикотажнаяпряжа#вязаныеизделия#корзинкидляхранения#вязаныесумки#клатчкрючком#вязаныеклатчи#вязаныековры#идеядляподарка#подарок#пляжныесумки#вязаныепляжныесумки#большиесумки#сумкиназаказ#мккорзинка#мастеркласскорзинка#мастерклассвязание#мк";1475354151;160;1469298206;False;мккорзинка
BLGkZ8Eh9q7;Атмосфера творческая, беспорядок художественный, оператор начинающий 😂📽😅наш маленький уютный МК в сердце трикотажно-пряжного рая Санкт-Петербурга 🙌🏻💞 #хоббидлядуши#вяжутнетолькобабушки#knitting#knitstagram#вяжутнетолькобабушкиноимамочки#пряжалента#пряжа_т#вязаныекорзины#вязаныекорзинки#вязаныйрюкзак#хлопковаяпряжа#lentaknit#трикотажнаяпряжа#вязаныеизделия#корзинкидляхранения#вязаныесумки#клатчкрючком#вязаныеклатчи#вязаныековры#идеядляподарка#подарок#пляжныесумки#вязаныепляжныесумки#большиесумки#сумкиназаказ#мккорзинка#мастеркласскорзинка#мастерклассвязание#мк;1475501708;104;1469298206;True;мккорзинка
BQ5CUMyBNtg;"Вот и закончился ещё один мастер класс по вязанию моих корзинок... В этот раз девочки очень быстро освоили и связали корзинки... Может потому что умеющие вязать крючком,  а может выходные поспособствовали... В любом случае все молодцы и спасибо всем за участие! 
Работа одной из учениц... 😊";1487932530;140;2940408876;False;мккорзинка
BQaBBngBXCM;🔘Вяжем стенки корзинки и правильно соединяем🔘 Как? 👆🏻Смотри видео! 👆🏻 В комментариях можно задавать вопросы по поводу вязания и предлагать темы для новых видеоуроков😉🙌🏻 🔘Крючок и нитки @irinkiny.nitki;1486891666;12;3832691961;True;мккорзинка
BSXbfv2lUpr;"Вяжем корзинки в «Амрите»! 🌸🌼☘ Мы проводим мастер-классы по вязанию корзинок из трикотажной пряжи. По субботам мы собираемся в центре развития личности «Амрита», чтобы развеяться от будничной суеты и расслабиться в творческой атмосфере. ✨✨✨
Для каждого у нас есть крючок и моток пряжи, который готов через два часа превратиться в уютную веселую корзинку. 🎀😊🎀 Для занятий у нас есть просторный зал с хорошим освещением, стулья и столы, за которыми удобно вязать. Во время мастер-класса вы сможете угоститься травяным чаем и вегетарианскими вкусняшками, а также отдохнуть душой в приятной компании. 💃🏻🍪🍎🍩💃🏻 Стоимость МК: 4000 тенге (включая пряжу, крючок, чай и сладости). Время проведения: по субботам с 12:30 до 14:30. 
Место проведения: ул. Иманова, 14. Центр развития личности «Амрита». Участие по предварительной записи: 8701 888 7247 (Юлия)
8707 861 4845 (Камиля)";1491099848;49;1804659135;False;мккорзинка
BTViyViFNy_;"Корзинка -""Зефирка""🌸,2 ряд начало и окончание❗️
#корзинкиизтрикотажнойпряжи #корзины #корзинказефирка #зефирка_gusarovahm #gusarovahm #свяжисама #tyarn #трикотажнаяпряжа #мквязание #мккорзинка#пряжалента #идеидляхранения #подарок #подольск #щербинка #видное #вязаниеназаказмосква #мк_gusarovahm";1493184045;75;4233491228;False;мккорзинка
BTVlOzdFgOJ;"Корзинка -""Зефирка""🌸,3 ряд окончание и обвязка❗️
Вот и готово💕Украсить можно по вашему желанию🌸Готовая корзинка выглядит как на фото перед этим небольшим МК😻
#корзинказефирка #корзины #корзинкиизтрикотажнойпряжи #зефирка_gusarovahm #gusarovahm #трикотажнаяпряжа #свяжисама #мккорзинка#пряжалента #tyarn #идеидляхранения #хранение #порядокиуют #подарок #вяжуназаказмосква#подольск #щербинка #видное #мк_gusarovahm";1493185327;61;4233491228;True;мккорзинка
BU9bVySD2NK;"Идеальный круг связать непросто, но возможно 😉
Есть ряд определенных хитростей, которые дают такой результат.
10 июня в 12-30 на МАСТЕР-КЛАССЕ по интерьерной корзине я раскрою все секреты создания идеального кругу и красивого узора. Приходите, будет интересно!!!
*******
🌹 Студия вязания @varenikstudio (адрес: Москва, м. Менделеевская, Тихвинский пер.10-12 стр. 3)
🌹 2500р - в стоимость включены все материалы";1496669802;68;4951456831;False;мккорзинка
BUuMnv-jZ5i;"Создать домашний уют - непросто. Но создать его своими руками и со вкусом - очень приятно и бесценно. Предлагаю провести продуктивно выходной и создать стильный декор для уюта в вашем доме. 
МАСТЕР-КЛАСС - Итерьерная корзинка
🎀  10 июня в 12-30 в уютной студии вязания
@varenikstudio (адрес: Москва, м. Менделеевская, Тихвинский пер.10-12 стр. 3)
🎀  Я раскрою вам все секреты создания идеального круга и красивого узора
🎀 На МК вы будите вязать либо данную модель, либо классическую (на выбор)
🎀 Покажу несколько вариантов создания интерьерных корзинок
📋 Подробное описание данной модели корзинки вы возьмете с собой
🕒 4-5 часов
🎀 2500р. (материалы включены в стоимость)
🎀 Кофебрейк в приятной атмосфере и хорошей компании

Запись на МК в Директ по предоплате - 50%.";1496158769;53;4951456831;False;мккорзинка
BUvj2VIgwNL;"Вязаные корзины способны не только здорово украсить интерьер, но и сделать его крайне практичным и функциональным. Их можно использовать для хранения самых разнообразных вещей. Они пригодятся, как в детской, так и на кухне, в гостиной и даже в ванной. И самое приятное, что их несложно сделать своими руками. Замена корзинкам из Икеи, но еще круче 😉
-----------------------
Запись на Мастер-классы:
🍓 10 июня в 12-30 - интерьерная корзинка  2500р.(4 часа) @varenikstudio
***В стоимость включены все материалы!";1496204501;310;1977354929;False;мккорзинка
BVPcK07gCbd;"Всемирный день вязания в субботу прошел очень продуктивно. Фотоотчет с Мастер-класса по вязанию интерьерной корзинки этому подтверждение. Отлично посидели, повязали и пообщались. Девчонки связали по корзинке, хотя до этого с крючком были на ""ВЫ"" 😉 Очень рада полученному результату и новым знакомствам.
-----------------------
Запись на живые Мастер-классы:
🍓 17 июня в 12-30 - Торба 4000р.(5 часов) @varenikstudio
🍓 2 июля в 12-30 - Клатч с замком 4000р.(5 часов) @varenikstudio ***В стоимость включены все материалы!";1497274217;289;1977354929;False;мккорзинка
BVkH2q-lq-q;"В промежутке между прополкой грядок на 🏡 и приготовлением обеда, связала в подарок вот такую корзинку😉... для любителей черно-белого🤗!!! Корзинка подойдет для любых мелочей будь-то косметика, украшения или фрукты😀)
А на очереди сумка для мамы, кстати в этих же оттенках)), обязательно покажу вам результат😉
#Нижневартовск #ручнаяработа #вяжукрючкомспицами #вяжуназака #трикотажнаялента #интерьернаякорзинка #черно-белый #учувязать #МКкорзинка #alisaceramica";1497968209;12;1275851375;False;мккорзинка
BWVBZroDEQl;"Добрый день! Я сегодня с объявлением МК по корзинке для всех желающих и проживающих в Брянске и Брянском районе. Итак - МК по корзинке ""Очарование"".💐
📍Длительность мастер-класса 3 часа.
📌Уровень средний.
📍В МК входят: 1 моток пряжи (цвет на выбор), отрезок ленточки, чай и печеньки.
📌Итог МК: готовое изделие - корзинка связанная своими руками, базовые знания о трикотажной  пряже и желание вязать дальше и больше. 📍Стоимость 1500 р. 
Мастер-класс планируется на конец июля. Дата и время сообщаются дополнительно по мере набора группы. Количество мест в группе 10. При брони предоплата 500 р.. Для того что бы забронировать место пишите в Директ. 💌 🍭Приглашаю всех кто вяжет, любит вязать или только планирует начать вязать из трикотажной пряжи.Хорошее настроение и море позитива гарантирую! 🍭
#ОбучениеиМК#мк_корзинка
.
.
.
#трикотажнаяпряжа#пряжаспагетти#живоймк#мастерклассбрянск#мастерклассповязаниюкрючком#мккорзинка#вяжемизтрикотажнойпряжи #мквбрянске #мккрючкомизтрикотажнойпряжи#мкотtapa
#tapa_cord";1499608993;144;3608651955;False;мккорзинка
BXelFX8ByBM;За эти два дня мы провели 2 мастер-класса по несколько человек. И вот что я вам скажу)) молодежь наступает на пятки, в этот раз были девочки от 9-13 лет, одна из них с мамой, так что вязать корзинки и крутые сумочки хотят не только девушки, женщины но и девочки и это похвально, я прям вижу себя в них) я тоже с самого детства творила то фенечки, то браслетики и тп. Главное хвалить и поддерживат  свое чадо, что бы у него не пропало желание, пусть сначала это получается не совсем уверенно, но чем больше практики тем лучше получаются изделия 🤗 Ждем всех на следующий МК 😉 #мккорзинка;1502077174;52;4015850232;False;мккорзинка
BXzRK6CgLRQ;"Своё знакомство с корзинками из трикотажной пряжи, я начала с видео ««Нитки shop» на Ютубе. ⏩И получилось сразу всё, и донышко, и галочки и жаккард и обвязка. 🤗С нитками Герганы я познакомилась чуть позже, но осталась оочень довольна. Поэтому - ПОЗДРАВЛЯЮ С ДНЕМ РОЖДЕНИЯ! 😘Желаю Гергане побольше отдыхать, Нитке shop процветания и поклонников, а себе побольше качественных МК от них.😂🎁🎂🎈🎉
#пряжанитка #трикотажнаяпряжа #сднемрождения #ниткашоп #мккорзинка #мксумка";1502771377;179;476575982;False;мккорзинка
BYf-MwoHeXe;"ДРУЗЬЯ! 👐Мой мастер-класс
24.09 Корзина-сова из трикотажной пряжи (14.00 2-3 часа) 550₽.
Всего 6 мест☝
По всем вопросам пишите, пожалуйста, в Директ.
Мастер Ива @iva_vitrazh

#Repost @lentaknit_astrakhan (@get_repost)
・・・
Расписание Мастер-Классов
Студия ""Хобби & Арт""
На Сентябрь.
.
Скоро начнется запись. Ждите анонсы. Знакомьтесь с мастерами. Кому не терпится для записи пишите напрямую мастерам.
Запись по предоплате 50%
Возврат денег возможен не позднее чем за 2 дня до МК.
.
10.09 Ложка из полимерной глины (13.00 2 часа) 500₽. Мастер Алевтина @ivolga_alevtina
09.09 Интерьерная кукла (11.00 5-6 часов) 2000₽. Мастер Наталья @natalythings
16.09 Вязаный зефирный зайка (11.00 5-6 часов) 700₽ Мастер Марина @zayahandmade
17.09 Рюкзак из трикотажной пряжи (11.00 5-6 часов) 1600₽. Мастер Анжела @anzhela_showroom
24.09 Корзина из трикотажной пряжи (14.00 2-3 часа) 550₽. Мастер Ива @iva_vitrazh
30.09 Брошь Снегирь из бисера (11.00 5-6 часов) 1000₽ Мастер Оксана @oksanarizhik2008";1504271380;58;3544840827;False;мккорзинка
BaB4oPohDRS;"Перестань бояться крючка!
Свяжи свою идеальную корзинку!😍
Научим основам, подскажем, расскажем, поможем в начале вашего вязального пути!💪🏻
🔶19 октября🔶
🔸МК Корзинка. Курс для новичков🔸
Стоимость МК 1000 рублей 🌿
Листай 👉🏻 и смотри первые работы наших учениц 🤗
👆🏻Запись в Директ 👆🏻
#школаонлайн_myfergy_корзинка";1507556794;119;6016882050;False;мккорзинка
BaV3UYhgU8A;"Идеальные тапочки - какие ОНИ?
.
Так как я говорю про вязаные тапочки, то идеальны должны быть след.параметры:
🍀 идеальная пряжа
🍀 ровная и плотная вязка
🍀 симметричные прибавки/убавки😉
🍀 декор
🍀 любовь к своему делу💗💗💗
.
В итоге - идеальные стильные тапочки с массажным эффектом😍😍😍
На фото - основа для тапочек";1508227195;533;1977354929;False;мккорзинка
BaZfV6ThXGz;"Ждём вас завтра на уроке для новичков!🌸🌸🌸
Научимся основам вязания крючком 🙌🏼
Свяжем корзинку , в которой соединены два узора сразу!😍
А как вы используете вязаные корзинки дома?😉
▫️▫️▫️▫️▫️▫️▫️▫️▫️▫️▫️▫️▫️▫️▫️▫️▫️▫️▫️
💜МК Корзинка. Курс для новичков💜
Стоимость 1000 рублей
Начинаем в 12:00 по МСК 👌🏻
Вам потребуется всего 1 моток пряжи и крючок номер 9🙌🏻";1508348843;163;6016882050;False;мккорзинка
