post_id;text;date;likes;owner_id;is_video;by_tag
Bv_5oJvnxWT;"Каждую последующую работу люблю сильнее предыдущей💙
«Каспий»
🔹Холст
🔹Смола
🔹Паста
🔹Пигменты
💌Цена по запросу

#resin #resinart #epoxyart #epoxyresin #смолаэпоксидная #epoxy #эпоксидка #краснодар #resinart_ru #картинасмолой #эпоксидная_смола #эпоксиднаясмола #art #картинаизсмолы #инстаарт #яхудожник #instaart #instaartwork #instaartist #арт #картинадляинтерьера #эпоксиднаясмолакраснодар #мккраснодар #мастеркласскраснодар #живописькраснодар #рисуемвкраснодаре #картинакраснодар #артвечеринкикраснодар #художественнаястудиякраснодар #рисованиекраснодар";1554734849;172;9210466507;False;мккраснодар
Bv_84TMnVjS;"Каждую последующую работу люблю сильнее предыдущей💙
«Каспий»
🔹Холст
🔹Смола
🔹Паста
🔹Пигменты
💌Цена по запросу

#resin #resinart #epoxyart #epoxyresin #смолаэпоксидная #epoxy #эпоксидка #краснодар #resinart_ru #картинасмолой #эпоксидная_смола #эпоксиднаясмола #art #картинаизсмолы #инстаарт #яхудожник #instaart #instaartwork #instaartist #арт #картинадляинтерьера #эпоксиднаясмолакраснодар #мккраснодар #мастеркласскраснодар #живописькраснодар #рисуемвкраснодаре #картинакраснодар #артвечеринкикраснодар #художественнаястудиякраснодар #рисованиекраснодар";1554736571;60;9210466507;True;мккраснодар
BvyMSo0Haxs;"Работа выполнена в смешанной технике-масляная живопись в сочетании с эпоксидной смолой💛
«Африканка»
🔹Холст
🔹Масло
🔹Смола
🔹Паста
🔹Пигменты
💌Цена по запросу

#resin #resinart #epoxyart #epoxyresin #смолаэпоксидная #epoxy #эпоксидка #краснодар #resinart_ru #картинасмолой #эпоксидная_смола #эпоксиднаясмола #art #картинаизсмолы #инстаарт #яхудожник #instaart #instaartwork #instaartist #арт #картинадляинтерьера #эпоксиднаясмолакраснодар #мккраснодар #мастеркласскраснодар #живописькраснодар #рисуемвкраснодаре #картинакраснодар #артвечеринкикраснодар #художественнаястудиякраснодар #рисованиекраснодар";1554274872;85;9210466507;False;мккраснодар
BvyNUOHH2ra;"Работа выполнена в смешанной технике-масляная живопись в сочетании с эпоксидной смолой💛
«Африканка»
🔹Холст
🔹Масло
🔹Смола
🔹Паста
🔹Пигменты
💌Цена по запросу

#resin #resinart #epoxyart #epoxyresin #смолаэпоксидная #epoxy #эпоксидка #краснодар #resinart_ru #картинасмолой #эпоксидная_смола #эпоксиднаясмола #art #картинаизсмолы #инстаарт #яхудожник #instaart #instaartwork #instaartist #арт #картинадляинтерьера #эпоксиднаясмолакраснодар #мккраснодар #мастеркласскраснодар #живописькраснодар #рисуемвкраснодаре #картинакраснодар #артвечеринкикраснодар #художественнаястудиякраснодар #рисованиекраснодар";1554275424;113;9210466507;True;мккраснодар
Bw-AuVFgoll;"⠀ БЛАГОДАРЮ🙏
⠀ Ежедневно я говорю судьбе спасибо за свою #работу , за свою #профессию 🙃
⠀ То, что она мне даёт и то, что она мне преподносит - это бесценно😌
⠀ Долгожданная встреча, невероятный пинок 30 апреля я получила на МК #ойвсё4 🤗
⠀ Они крутые, они фантастические , они бомбические и ими нужно восхищаться - Юлия Альтергот @yuliyaaltergot и Ольга Стриж @strij.olga 🎉
⠀ Спасибо, что доехали, спасибо, что поделились, спасибо, что расшевелили мозг ❤️
⠀ Отдельная благодарность:
📢Организатор  мк в Краснодаре: Елена Наумова @naumova_elena_krasnodar
📷Фото: Екатерина Воробьева @v.milonas_photo 🔥Фасад  Light SCREEN : Евгений Шорник  @shornik717
🍰 Вкусняшки: Прянюшкин  @pryanushkin
🏠Место проведения: кафе « Царское село» @carskoe_selo_krd .
.
⠀ P.s готова удивлять , радовать своих будущих заказчиков новыми идеями, фишками, програмуличками😉
#натальяафонина
#улыбчиваяведущая
#мккраснодар 
#учитьсянужноулучших
#развитие
#краснодар
#ведущие
#творческаясемья
#учимся";1556818944;219;670670871;False;мккраснодар
Bw-H5xXn4rM;"🎨 4 мая в 15.00ч. ""пишем маслом"" 
Стоимость: 1000₽

Мы приглашаем Вас провести время в настоящей творческой атмосфере!
Спешите записаться
📝 Direct @art.akademia
📲8 989 233 86 34  наш адрес: ул. Северная, 255 студия 507";1556822708;169;6090900363;False;мккраснодар
Bw-KwJ7HTvV;"💄26 мая ( воскресенье)
🌹КРАСНОДАР
Мастер-класс неподражаемой ЯНЫ ПАНФИЛОВСКОЙ 💎@yana_panfilovskaya в @granat_loft 
В программе : ✅1 Показ: идеальный салонный макияж, как раскрыть истинную красоту вашей клиентки
✅2 Показ: Инста-макияж. Как создать интересный контент! ✅работа с кожей , основные моменты работы с коррекцией лица , работа со светотеневой коррекцией , правильные акценты
✅брови , современная форма ✅идеальные растушёвки , особенности работы с тенью (от светлого и тёмного , нюансы), работа на объём. Особенности создания воздушного макияжа,секреты работы с нижним веком
✅форма губ , идеальные пропорции ✅фотография и ракурс , учимся правильно подавать свою работу.
✅ все фирменные секреты Яны.
🕰Тайминг МК:
🕚11:00-13:30 первая демонстрация
🕜13:30-14:30 перерыв
🕝14:30-17:00 вторая демонстрация
🕔17:00-17:30 перерыв
🕠17:30-20:30 Отработка
⚠Для отработки с собой необходимо иметь всю косметику,  кисти, ресницы ( пучки), клей и пинцет. Яна предоставит ряд средств для глаз и губ для тестирования.
Модели предоставляются❗
🔴 Бронь места - оплата 50% на карту организатора 💳4276830020476023
Галина Александровна Н.
(остаток за 10 дней до начала обучения)
После оплаты чек, ФИО, контактный телефон просьба присылать на Ватс ап 89182612111, 89888881280
➖➖➖➖➖➖➖➖➖➖➖➖➖➖
❗В случае отказа от МК - предоплата не возвращается, по уважительной причине переносится на другой мк, не меньшей стоимостью❗по условиям оферты
https://vk.com/club119778822

#mk #mkkrd #master #masterclass #мк#мастеркласс#мкяныпанфиловской#янапанфиловскаявкраснодаре#математикацвета#людмилатараканова#мккраснодар#визажист#цвет#косметика#мастеркласскраснодар #обучение #стилист#визажисткрд #визажисткраснодар #стилисткраснодар #макияж #прическа#мейкап #мейк #бровист#броубар#салонкрасоты #студиякрасоты";1556824202;14;738302262;False;мккраснодар
Bw-VQdNnIF3;"☀️12 июня☀️
КРАСНОДАР
Кэндибар программа #2 от @ksushalobacheva
- Зефир в рожке
- Леденцы
- Безе на палочке
- Птичье молоко нарезное
- Трайфл манго-маракуя
- Капкейк в вафельном стаканчике
- Корзиночка - т'арт с заварным кремом
- Шу
Такого ещё не было 😨, 8 десертов за ОДИН день 😃!!!
Десерты этого курса являеются дополнением к программе #1, нет ни единого повтора, даже зефир по новому рецепту😉.
Хотите удивить клиентов огромным количеством сладостей, тогда скорее записывайтесь на МК и расширяйте свой ассортимент Кэндибара 🍥🍧🍦🍭🍬🧁🍨
🎙информационный спонсор @proffitrolshop
❓все вопросы к @emtort_krasnodar
#краснодармк #краснодар #кэндибаркраснодар #тортыкраснодар #краснодарторты #мккэндибаркраснодарскийкрай #мккраснодар #краснодармк #кореновск #кропоткин #сочи #туапсе #адыгея #тихорецк #новороссийск #геленджик #горячийключ #устьлабинск #крымск #ильский #астрахань";1556829709;211;2360627308;False;мккраснодар
Bw-zVFIHTmp;Торт на юбилей 😇👌🏽 Внутри ванильный с персиками и малиной😍Вес 2,7кг стоимость 3300₽☀️;1556845476;73;1718371669;False;мккраснодар
Bw08eAiJUgU;"Курс повышения квалификации «PRO уровень»🔥
⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀
Наши преподаватели ждут Вас на этот крутой курс🖤 Он предназначен только для работающих мастеров с практикой, не менее 3-х месяцев и наличием сертификата визажиста базового курса (любой школы макияжа)⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
За 6 уроков Вы повысите свои навыки по таким направлениям, как:
- Свадебный макияж
- Цветной макияж на кремовых текстурах
- Цветной smoky eyes с пигментами
- Черный матовый Смоки (сложнейшая работа в выполнении!)
⠀⠀⠀⠀⠀⠀⠀⠀⠀
❗️По окончании одного курса, Вы получаете сертификат о прохождении курса повышения квалификации❗️
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Преподаватели курса: @_mne__bez__sahara_  @mariya_dorovskaya
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Набор ограничен. Чтобы забронировать место, звоните прямо сейчас:+7 989 619 38 40
⠀
#мкростов #мкшахты #визажистшахты #визажистростов #обучениемакияжушахты #обучениемакияжуростов #курсымакияжашахты #курсымакияжаростов #повышениедлявизажистовшахты #повышениедлявизажистовростов #мккраснодар #визажисткраснодар #обучениемакияжукраснодар #курсымакияжакраснодар #повышениедлявизажистовкраснодар #makeupartist #визажистростов #макияжростов #студиямакияжаростов #школамакияжаростов #курсыпомакияжуростов #обучениемакияжуростов #курсыпомакияжуростов #hudabeauty #anastasiabeverlihills #макияждлясебяростов #мкростов #кпкдлявизажистовростов";1556514723;89;250983766;False;мккраснодар
Bw0s8kfB0Rz;Доброе утро 😃 хотите попробовать работать с эпоксидной смолой? Пишите 💫  #resinartkrd #обучениекраснодар #отдыхкраснодар #эпоксиднаясмолакраснодар #мастеркласскраснодар #рисованиекраснодар #мккраснодар #кмр #гмр;1556506585;13;8963381230;False;мккраснодар
Bw1-Mv4nvQu;"1 мая – это, конечно, не только начало мая, но и начало долгих выходных. Наша же студия не отдыхает ради вас! В среду проведём мастер-классы по интерьерной живописи и флюид арту🎨 Если вы хотите украсить свой дом, добавить ему уюта и сделать его более интересным, и просто получить духовное удовольствие, то приходите к нам😊
❗Помните, что вы можете просмотреть предыдущие расписания в профиле @vsepicasso и выбрать ЛЮБУЮ интерьерную картину, которую хотите нарисовать (а флюид арт получается у каждого индивидуальный).
❗Посмотреть расписание мастер-классов на ВСЕ дни майских праздников (с 1-е по 5-е мая) вы можете выше, в актуальной истории под названием «Расписание».
⚫Чтобы записаться пишите в Direct или в📲 WhatsApp 8 (918)-417-84-74. .
.
.
#картинамаслом #урокирисования #мккраснодар #живописьмаслом #живопись #картинымасломкраснодар #картиныкраснодар #курсырисованиякраснодар #рисованиекраснодар #школарисованиякраснодар #школарисования #художественнаяшколакраснодар #мастеркласскраснодар #краснодар #крд #krasnodar #krd #vsepicasso #всепикассо #времяспользой";1556549185;42;5614243960;False;мккраснодар
Bw12UdhoWVD;"Чудесный видео ролик о МК по росписи тарелочек для тех, кто еще думает пойти или не пойти!
⠀
А для жителей других регионов и стран  есть возможность приобрести видео уроки по точечной росписи!
⠀
☝️😊Спасибо огромное видеографу @lavcreation за прекрасную работу! Александра умеет сделаться незаметной и создать непринужденную атмосферу! Из большого количества отснятого материала выбрала все самое-самое. Я в восторге! Александра снимает различные мероприятия, очень рекомендую!👌 И, Александра, отдельное спасибо за мини курс по работе с ИГ! 🙈😆💗💗💗
⠀
#видео #мк #мккраснодар #мкточечнаяроспись #точечнаяроспись #краснодар #видеограф #съемка #мастеркласс #своимируками #хендмейд #ручнаяработа #декоринтерьера #подарок #декоративнаятарелка #art #artwork #video #mk #handmade #krd #pointtopoint";1556545312;268;2206373954;True;мккраснодар
Bw19VQ6Hx7D;"💄26 мая
🌹КРАСНОДАР
Мастер-класс неподражаемой ЯНЫ ПАНФИЛОВСКОЙ 💎

В программе : ✅1 Показ: идеальный салонный макияж, как раскрыть истинную красоту вашей клиентки
✅2 Показ: Инста-макияж. Как создать интересный контент! ✅работа с кожей , основные моменты работы с коррекцией лица , работа со светотеневой коррекцией , правильные акценты
✅брови , современная форма ✅идеальные растушёвки , особенности работы с тенью (от светлого и тёмного , нюансы), работа на объём. Особенности создания воздушного макияжа,секреты работы с нижним веком
✅форма губ , идеальные пропорции ✅фотография и ракурс , учимся правильно подавать свою работу.
✅ все фирменные секреты Яны. 🕰Тайминг МК:
🕚11:00-13:30 первая демонстрация
🕜13:30-14:30 перерыв
🕝14:30-17:00 вторая демонстрация
🕔17:00-17:30 перерыв
🕠17:30-20:30 Отработка
⚠️Для отработки с собой необходимо иметь всю косметику,  кисти, ресницы ( пучки), клей и пинцет. Яна предоставит ряд средств для глаз и губ для тестирования.
Так же предоставим модель на отработку👱🏻‍♀️ ✅Стоимость МК:
➖7.500 без отработки⚠️
➖15.000 с отработкой⚠️ 🔴 Бронь места - оплата 50% на карту организатора 💳4276830020476023
Галина Александровна Н.
(остаток за 10 дней до начала обучения)
После оплаты чек, ФИО, контактный телефон просьба присылать на Ватс ап 89182612111, 89888881280
➖➖➖➖➖➖➖➖➖➖➖➖➖➖
❗В случае отказа от МК - предоплата не возвращается, по уважительной причине переносится на другой мк, не меньшей стоимостью❗по условиям оферты
https://vk.com/club119778822

#mk #mkkrd #master #masterclass #мк#мастеркласс#мкяныпанфиловской#янапанфиловскаявкраснодаре#математикацвета#людмилатараканова#мккраснодар#визажист#цвет#косметика#мастеркласскраснодар #обучение #стилист#визажисткрд #визажисткраснодар #стилисткраснодар #макияж #прическа#мейкап #мейк #бровист#броубар#салонкрасоты #студиякрасоты
- [ ]";1556548730;6;4166939840;False;мккраснодар
