post_id;text;date;likes;owner_id;is_video;by_tag
-okL2MGYUs;Мой первый мк)) индивидуальный) вообще творческие посиделки это больше подходит к определению того, что сегодня было)))) Теории практически нет, рассматриваем основу композиции,  разные приемы: состаривание, эмбоссинг, использование биг шота, швейной машинки, резака, фигурных дороколов. Особенно интересно будет новичкам!)) делаем мы новогодние календарики) спасибо @maria_horoshavtseva что пришла. Я надеюсь, я подарила тебе 3 беззаботных часа!))) #мккурган;1448725156;41;1971626632;False;мккурган
BFVmED5Ao0T;#выезднойкурс #обучение #45регион #курган2016 #еленакущ #мккурган#17июня2016;1463120992;7;1906300162;False;мккурган
BGLqQXGAozY;#студияблоссум #еленакущ #выезднойкурс #мккурган #реснички #наращиваниересниц;1464935129;14;1906300162;False;мккурган
BIw-yIJj7EB;"Очаровательная Ксения Знайкина (дипломированный психолог и телесный терапевт) на #Beautyдевичник , а уже совсем скоро 21го августа именно она расскажет всем участницам #momsDAY45 о детской йоге ,  детской психосоматике,  массаже для деток, детско- родительских отношениях и многом другом. Записаться на #momsDAY45 можно написав ВК  Дарье Реутовой  или позвонив по тел 89091751010

#фотография1 #теремоккурган #фотостудияваренду #банкетныйзалкурган #мккурган #йогакурган #детскаяфотосессиякурган #детскиймассажкурган #детскаяйогакурган";1470482373;21;612207399;False;мккурган
BJppTcEBAWc;Посылочка для новичка!!!много красоты...кому интерестна информация???пишите или звоните...все расскажу...#мккурган #мэрикэй;1472383714;4;2190761586;False;мккурган
BKAU2sIhYSM;Начало нового учебного года не только в школах но и у нас в студии! Скоро начнутся занятия по флористике и мастер-классы по прикладным видам творчества! А сейчас мы усиленно готовим помещение под проведение этих занятий!!! Набор на дневную и вечернюю группу по флористике открыт, успевайте записаться , группы не более 5-6 человек, а это значит максимум внимания каждому обучающемуся! Курс рассчитан на 2 месяца занятий (выбраны самые интересные и востребованные темы, теория плюс практика) по три раза в неделю, подробности viber 89128358813 или в direct/ личное сообщение. #салонцветовgrandprix #гоголя92 #цветыкурган #обучениефлористике #курганмастеркласс #мккурган #☎️610303;1473144745;88;997657930;False;мккурган
BL9QiMtj3gS;"‼️‼️‼️Для всех Курганцев, кто хотели ко мне на мк - есть возможность, в эту субботу, посетить мой мастер класс по созданию  блокнота на кольцах) 📌тематика блокнота на выбор: мамины заметки, кулинарный блокнот или планэр 📌странички на выбор
📌около 4х часов мк, после чего  вы уйдёте с готовой работой, новыми знаниями и отличным настроением 📌мы научимся делать аккуратные уголки, обтягивать обложку тканью и прошивать на машинке, устанавливать люверсы, декорировать обложку, сможете задать мне любой вопрос по скрапбукингу! 📌начало 29 октября в 11:00
📌стоимость 1200, все материалы включены!
Для записи пишите в вк @svoystyle #курган #мккурган #творчествокурган #свойстиль";1477336784;59;1971626632;False;мккурган
BMn0vyxBTT4;"Визажисты Кургана и области, возможно пару мест на теоретическую часть мастер- класса мы найдём 😉, не упустите свой шанс! Уверяю вас, это будет очень информативно, ярко и незабываемо! 💥💥💥. @red_julya , смотри как тебя ждут наши девочки! 😍.
#Repost @zolotka45 with @repostapp
・・・
Лисёнок ждет приезда крутого визажиста😜 Так сложились обстоятельства, что на мк ""пойдет"" он без меня😔 Подарочек для Юлии Шмигельской🎁 Девочки, кто не в курсе, 14.11. в 11:00 пройдет мк от Юлии!!! Все вопросы к Оксане Гребенниковой @oksanagrebennikova !!! Возможно еще остались места☝️";1478765056;77;1308504535;False;мккурган
BSfsuETg7Gc;"Дорогие друзья, приглашаю на мастер-класс по созданию лисёнка тедди своими руками! 💪
🌹8 и 9 апреля студия ""Натали-арт"" (г. Курган), начало в 10 часов, продолжительность МК 5-6 часов каждый день. Стоимость участия - 3500 р. (все материалы предоставляются!) Справится каждый, опыт не требуется! 👉Активная ссылка на видео про лиса в профиле! Для записи на МК пишите в Директ. Свободно два места на МК!

#Курган #Курган45 #kgn45 #kgn #Kurgan #KurganCity #мккурган #вкургане #регион45 #рукиоткуданадо #развлечениякурган #моехобби #кургансити #жизнь_сулыбкой";1491377314;304;3103492660;False;мккурган
BUdbz0-lukg;"Доброе утро.
Сегодня в Челябинске оно солнечное. 💛🌞 А у меня минутка информации. Если вы планируете торт с пряниками в период с 1-14 июня, пишите об этом сейчас, @zvonarevigor будет ограничен по времени. На 1 июня в связи с большим спросом на ""Четвертинки"" открыла запись на допополнительные наборы. 1.6 кг 1600₽
1. Ванильный бисквит, крем йогурт-малина, вишневый конфитюр 
2. ""Сникерс"", шоколадный бисквит, арахис в карамели, карамельный крем-суфле, крем-чиз. 
3. Клубничный бисквит, крем манго, клубнично-малиновый ганаш, крем с маскарпоне 
4. Морковный бисквит, карамель, грецкие орехи, крем-чиз. 
И осталось 1 место на мастер-класс для новичков, 28 мая.

Заказы и подробная информация только: Viber/WhatsApp 8(950)724-74-89 или vk; или кнопка ""связаться"" (активная ссылка в профиле) Директ НЕ работает";1495596307;77;1597358602;False;мккурган
BWKR-6AjgMh;Друзья очень хочу провести мк, можем сделать с вами вот такую зайку. Пожалуйста, кто действительно хочет поучаствовать, мастер класс будет платный,проголосуйте в опросе в вк. Или прямо в коментах пишите) Я предполагаю человек 4 х,чтобы у каждого получилось все максимально хорошо и что бы наша встреча была уютной и комфортной))Возраст участников от примерно 16 до 28 лет;1499248587;32;4679641471;False;мккурган
BWe01DNBDEQ;В июле объявляю акцию подарков для всех девушек,женщин,леди элегантного возраста!!! Для всех, кто станет консультантом компании Мэри Кэй!!! Только в июле от компани и особенно от меня мнооого, очень много дорогих подарков! Это шанс для каждой из вас! Шанс даётся всем, но использует его только мудрейшая!  Территориально по России! Не имеет значение, где вы живете и в каком городе, подарки вы обязательно получите. Какие? Пишите в личку. Всем отвечу. Подарки будут стоимостью до 10000 рублей!!!!!!!!!!!!!! Условия все в личку. 💋💋💋С любовью Елена!!!💖💖💖 #миркрасоты #красивойбытьлегко #красотаспасетмир #женскийбизнес #женскийбизнесбезбеготни #клиенты #подарки #мэрикэй #красивостроимбизнес #бизнеследи #деньгилегко #общение #женскиештучки #мккурган #женщинаможетвсе;1499937945;26;2395968624;False;мккурган
BYqxZUjjJi4;"А в @gogol_kgn сегодня снова были плодотворные посиделки. Переводили картинки на полимерную глину! Девочки ушли домой с кулончиками, изготовленными их собственными ручками)
Спасибо, @gogol_kgn, что проводите такие и подобные мероприятия!!!
.
.
#полимернаяглина #handmade #кофейня #гоголькурган #мккурган #мкгоголь #кулоны #броши #ручнаяработа #украшенияназаказ #украшенияручнойработы #курган #kurgan #тюмень #иваново #шадринск #кемерово #барнаул #онгудай #кострома #шарья #кропоткин #сыктывкар #новгород #новосибирск #петрозаводск #абинск";1504633766;126;941315269;False;мккурган
BYsQuQNhzSj;"#Repost @plushandiya (@get_repost)
・・・
А в @gogol_kgn вчера снова были плодотворные посиделки. Переводили картинки на полимерную глину! Девочки ушли домой с кулончиками, изготовленными их собственными ручками)
Спасибо, @gogol_kgn, что проводите такие и подобные мероприятия!!!
.
.
#полимернаяглина #handmade #кофейня #гоголькурган #мккурган #мкгоголь #кулоны #броши #ручнаяработа #украшенияназаказ #украшенияручнойработы #курган #kurgan #тюмень #иваново #шадринск #кемерово #барнаул #онгудай #кострома #шарья #кропоткин #сыктывкар #новгород #новосибирск #петрозаводск #абинск";1504683745;92;1506091378;False;мккурган
BaGGf5LF2oI;"Вчера прошёл мой мастер класс в Кургане для работающих мастеров ""Дизайн бровей. Оформление воском. Тридинг"" 👩🏼👩🏼👩🏼
Приятная усталость свалила с ног быстрее, чем я дописала этот пост! 😬
Девочки, с вами было интересно и легко работать! 🌹Реализации знаний в работе и творческих успехов!🌹
• • • 
#мклузиновой #мастеркласс #мккурган #мастеркласскурган #курган #брови #бровикурган #бровинашевсе #идеальныеброви #воск #тридинг #оформлениебровей";1507698684;79;3040434772;True;мккурган
BaGGk6VDjHZ;"Зал Арт2.0 в @fotografia1_45 - идеальное полотно для творчества !
В этом зале вы можете создать любой по стилистике фото- проект, провести МК или тренинг, ДЕФИЛЕ или детский праздник- все , что пожелает душа!
.
.
Аренда 700р в час
В аренду так же сдаются стулья (мягкие) для семинаров и лекций (до 50шт)
.
Запись по тел 26-18-86
.
.
.
#фотография1  #стилисткурган #стиль #мойстиль #впоискестиля #фотографкурган #профессиястилист #fashion #фэшн #фэшниллюстрация #fashionphoto #мккурган #курган #вкургане #мк #workshop";1507698324;32;612207399;False;мккурган
BaGJH-WFKKq;"Мой первый показ оформления и окрашивания бровей ✨
Оформление нитью ✔️
тонирование краской #премиум класса #lycon ✔️
Модель Мария @sigmascouting_kurgan
• • •
Спасибо девочкам из @sigmascouting_kurgan за моделинг. Пунктуальность превыше всего 👌🏼
• • •
#мклузиновой #мастеркласс #мккурган #мастеркласскурган #курган #брови #бровикурган #бровинашевсе #идеальныеброви #воск #тридинг #оформлениебровей";1507699660;72;3040434772;False;мккурган
BaGNR8EllCd;"Вторая модель Аделина @sigmascouting_kurgan 👩🏻
Оформление бровей классическим воском 
Окрашивание #бинацил #binacil
• • •
#мклузиновой #мастеркласс #мккурган #мастеркласскурган #курган #брови #бровикурган #бровинашевсе #идеальныеброви #воск #тридинг #оформлениебровей";1507701839;44;3040434772;False;мккурган
BaIlbE-j-W7;"ОСЕННИЕ СКИДКИ! -40%
.
Аренда залов БУДУАР, АРТ2.0 и LOFT = 400р
.
С 17 по 25 октября!
.
* скидка распространяется только на рабочие часы студии!
.
Запись по тел 26-18-86
.
.
.

#фотография1  #стилисткурган #стиль #мойстиль #впоискестиля #фотографкурган #профессиястилист #fashion #фэшн #фэшниллюстрация #fashionphoto #мккурган #курган #вкургане #мк #workshop #фотогрфкурган #фотостудиякурган";1507781605;35;612207399;False;мккурган
BaL1bTkj89p;"ОСЕННИЕ СКИДКИ! -40%
.
Аренда залов БУДУАР, АРТ2.0 и LOFT = 400р
.
С 17 по 25 октября!
.
* скидка распространяется только на рабочие часы студии!
.
Запись по тел 26-18-86
.
.
.

#фотография1  #стилисткурган #стиль #мойстиль #впоискестиля #фотографкурган #профессиястилист #fashion #фэшн #фэшниллюстрация #fashionphoto #мккурган #курган #вкургане #мк #workshop #фотогрфкурган #фотостудиякурган";1507890659;32;612207399;False;мккурган
