post_id;text;date;likes;owner_id;is_video;by_tag
Bm7ddTiHIWA;"🍏🍐🍊🍋🍌🍒🍑🌶
Этому посту уже 2 года.
Увидела его и захотелось продублировать.
Именно этот рецепт я давала на своих мастер-классах. И самый любимый у меня был маракуйевый зефир😻
С тех пор много воды утекло...
И любимый зефир уже банановый, и рецепт менялся много-много раз...
И форма поменялась, и насадки теперь другие... Пришёл опыт, а с ним желание и умение экспериментировать!
~~~
Это я к чему...
Рецептов зефира в интернете масса, видео на ютюбе ещё больше...
А сделать его все так же трудно)
И вопросов все так же много у начинающих.
Вспоминаю свои первые неудачные 15 замесов... и как только руки не опустились?)))
~~~
Сейчас у меня порядка 30 рецептов в копилке.
Осенью буду пробовать тыква-корица и грецкий орех - дорблю.
Сделаю их в прямом эфире в ШКОЛЕ ЗЕФИРА.
~~~
Все эти проверенные рецепты собраны в видео-уроке ""Зефир, Зефирная Роза и Зефиросэндвичи""
Цена 9️⃣9️⃣9️⃣ руб
~~~
А новые вкусы я добавляю в файл, и они автоматически становятся доступны всем ученикам в личном кабинете на сайте.
~~~
😛😋
Пюре:
125 грамм пюре
125 грамм сахара
 В Сироп:
200 грамм сахара
8 грамм агара
125 мл воды
1 белок крупного яйца ( 35-45 грамм)
🔴1)Пюре увариваем до густого состояния. Затем к нему добавляем сахар и нагреваем при помешивании до полного растворения. Убираем охлаждаться в холодильник
⭐️если в фруктах мало пектина, добавляем пектин в порошочке. ⭐️классика это яблочное пюре, но можно брать любые ягоды или фрукты (вишня, слива, смородина, маракуя, клубника, банан…)
⭐️пюре может быть готовое детское в баночках, мороженное пюре, замороженные ягоды или сваренное собственноручно из свежего сырья.
⭐️можно яблоки запечь в духовке, можно уварить в кастрюльке на плите, а можно не совершать такие подвиги и  запечь в микроволновке. Примерно на 8-9 минут на максимальной мощности. ⭐️яблоки мелко не резать, хватит на пополам.
⭐️яблоки лучше всего брать кислые сорта (антоновка или семеринка)
⭐️черную смородину и чернику можно не протирать сквозь сито, а разморозить и пробить блендером.
🔴2) Переложите охлажденное пюре в чашу миксера и добавьте белок. Пока не взбивайте!
~~~
Продолжение смотрите в галерее фото)))";1535258509;2698;1501311666;False;мкмосква
Bo1Ls-VHMUk;"🎄
Пряничные ХИТРОСТИ

Новый Год прекрасный повод собраться всем вместе и заняться выпечкой!
Используйте веселые и простые формочки, которые легко узнаваемы и которые смогут разукрасить самые маленькие участники.
Аромат имбиря, корицы и меда создадут настоящее новогоднее настроение! посиделки с друзьями и родными, смех и сказочная атмосфера наполнят вашу душу теплом и радостью.
⠀
Я сама пошла на свой первый МК ради того, что бы полезно проводить время с внуками. И лишь затем это переросло в любимую работу.
⠀
🔴мед лучше брать ароматный, выбирая темные сорта
🔴будьте внимательны при нагревании мёда. Не дайте ему закипеть!
🔴продукты должны быть одинаковой температуры, поэтому заранее достаньте их из холодильника.
🔴тесто нужно очень тщательно вымесить
🔴имбирь в тесто добавляется в сухом молотом виде. Можно и в свежем, но тогда отожмите сок от волокон. И используйте совсем немного. Вкус и аромат у свежего намного ядреннее. Легко переборщить 🤷‍♀️
🔴можно в тесто добавить пару ложек какао, на внешнем виде это никак не отразится, но шоколадное послевкусие 
гарантировано
🔴пряничное тесто перед выпеканием должно обязательно вызреть , его готовят за день - два до выпечки , готовое тесто может лежать до месяца в холодильнике.
🔴раскатывать тесто сразу на силиконовом коврике и на нем же выпекать! Не переносить пряники на противень во избежании деформации
🔴вырезать пряники на достаточном расстоянии, что бы они при выпечке не слились
🔴мелкие и крупные пряники выпекать на разных противнях
🔴если пряник очень растекается по противню, то это значит в тесте мало муки
🔴если края у пряников как обрубленные, то это значит, тесто забито мукой
🔴что бы избежать потери целого противня пряников - испеките один пробный пряник и исправьте ошибки, если они есть
🔴после выпечки прижмите пряник доской, что бы он стал плоским
🔴рисовать можно на обеих сторонах пряника
🔴дырочки в пряничных ёлочных игрушках можно делать в сыром тесте трубочкой для коктейлей
🔴или сверлом по уже залитому прянику";1539342841;4028;1501311666;False;мкмосква
BpL44uXHu16;"💃💃💃
⠀
#зефиросендвич_квадро
Рецепт песочного печенья.
Это печенье очень нежное и рассыпчатое.
Тесто замешиваем на желтках.
Оно получается очень пластичным.
⠀
🎥Тонкости приготовления смотрите на нашем канале на ютуб
⠀
200г сливочного масла
2 желтка
300 г муки
100г сахарной пудры
2г соли
⠀
!Все продукты , кроме сливочного масла, должны быть охлажденными!
⠀
📌Сливочное масло должно быть прохладным но легко резаться ножом.
 Смешайте хорошенько в чаше миксера муку  и  сливочное масло насадкой лопатка.
📌Добавьте просеянную сахарную пудру. Перемешивайте еще пару минут на средних оборотах.
📌Введите желтки
📌 На самой маленькой скорости миксера замешивайте до тех пор, пока желток не вмесится в тесто. Замесить можно и вручную, на столе.Только  делать это необходимо быстро, чтобы масло не начало таять под руками.
📌 Делим готовое тесто на 3-4 куска. Берём один кусок, кладём между двумя листами силиконизированной пергаментной бумаги и раскатываем скалкой до толщины 4-5 мм. Тоньше раскатывать не нужно. Такая толщина самая вкусная)
📌Раскатанные пласты теста кладём в холодильник на полку(ровную поверхность) на 1 час
📌Разогреваем духовку до 180°
📌 достаем из холодильника раскатанные заготовки теста, вырубками вырезаем будущие печеньки , лишнее тесто убираем и прямо этот лист пергамента переносим на противень и отправляем в разогретую духовку на 7-10 минут. (Выпекайте до появления золотистого оттенка по краям печенек.
📌Горячее готовое печенье мягкое (за счёт высокого содержания жира) . Нужно оставить остывать их на ровной поверхности. Например, на столе .
📌После полного остывания печенье довольно крепкое, можно сложить его стопочками и убрать в герметично закрывающийся контейнер.
⠀
По тесту мы делали прямой эфир.
Кто готовил вместе с нами?
Как Вам рецепт?
⠀
*неприлично вкусное - это отзыв от нашей подписчицы. И мы с ней полностью согласны!!!!";1540104728;5938;1501311666;False;мкмосква
BpkAJQrHZJM;"⠀
Долгожданный пост про сальмонеллу.
Я сама не ожидала, что выйдет так долго.
Информацию собирала буквально по крупицам... все о ней знают, все пугают, а что делать не говорят...
⠀
Кроме справочника по СанПину, который мне гордо вручила Юлия и который полезен в производстве; я практически не нашла информации, что же делать среднестатистическому жителю, что бы обезопасить себя от сальмонеллы...
⠀
Я перечитала Википедию, кучу страниц в интернете, пересмотрела доктора Комаровского, Малышеву🙈🙈🙈
⠀
Итак, ФАКТЫ:
1. Ни одна из видов сальмонелл при заражении продукта никак НЕ изменяет его вид, вкус и запах
2. Разносчиками сальмонеллы являются куры, утки, крупный рогатый скот, свиньи... и хомячки и даже черепахи!!!
3. Сальмонелла может присутствовать в сыром мясе, в открытых водоёмах, в детских песочницах (попадает туда с отходами жизнедеятельности животных)
4. В перепелиных яйцах сальмонелла так же бывает 
5. При заморозке не погибает
6. На свежем яйце присутствует только на скорлупе. Но во время хранения может проникнуть внутрь через поры.
7. Погибает при температуре 75 градусов в течении 10 минут
⠀
Это факты, которые мне удалось почерпнуть.
⠀
Завтра будет пост, что же делать, что бы максимально обезопасить себя. ⠀";1540913840;1518;1501311666;False;мкмосква
BpmZsv-ncBN;"🍳🍳🍳
Итак, как обезопасить себя от сальмонеллы?
⠀
Подчёркиваю: информацию я искала в свободном доступе в интернете, именно, как обычный человек.
Как обрабатывают яйца на производствах и в ресторанах - это отдельная тема.
⠀
Нас всех интересуют яйца: как мыть, чем мыть, как хранить, чем заменить?
⠀
Хотя почему то чуть дальше, чем сырой белок для зефира - и мы уже ничего не боимся!
⠀
🔴У кого есть дома хомячки и черепахи?
Это прямые разносчики сальмонеллы.
И дети после игры с ними не бегут каждый раз тщательно мыть руки.
🔴Кто любит стейки средней прожарки?
А значит, что это мясо так же не прошло должной обработки
🔴Кто любит омлет или яичницу глазунью? И снова риск сальмонеллеза
🔴У кого в холодильнике сырые и готовые продукты хранятся вместе на одной полке?
🔴Кто складывает яйца на любую свободную полочку на дверце, если не хватило ячеек?
🔴Кто кладёт начатый лимончик или половинку луковицы в пустую ячейку из-под яиц? А смысл мыть яйцо спец.средством, если лимон с чаем уже выпили?
🔴Кто в морозилке всегда хранит котлеты и мороженое вместе в одном ящике? А заморозка не убивает сальмонеллу
🔴Кто купается летом в водоёмах? Прямой риск подхватить сальмонеллу
🔴Кто покупает домашний творог на рынках? И ест его с домашней сметаной?
В молочных продуктах такая же вероятность сальмонеллы, как и в сыром яйце...
⠀
Страшно? Да. Страшно.
Но мы доверяем СанЭпидНадзору и верим, что птицефабрики ведут строгий контроль за поставляемыми мясом и яйцами.
⠀
Сальмонеллез относится к ""болезням грязных рук""... ПОЭТОМУ:
⠀
Достаточно придерживаться принципов безопасного питания:
1. Мыть тщательно руки
2. Отделять сырое от готового
3. Иметь отдельную доску и НОЖ для сырого мяса
4. Обдавать эти доску и нож кипятком после завершения работы
5. Для детей варить яйца вкрутую не менее 10 минут
6. В холодильнике выделить отдельную полку для сырого мяса
⠀
Шанс заразиться сальмонеллой минимален. Равен шансу выиграть миллион в лотерею.
⠀
*да, заболеть можно, но дело не только в сырых яйцах...
⠀
Желаю всем здоровья!!!";1540994346;1201;1501311666;False;мкмосква
BqnX-CInwIr;"Кто помнит прошлогоднего свина? Ну не красавчик ли?
А у меня 2 дня курсов в Тюмени завершены, утром ненадолго в Москву, а потом в Екатеринбург @conditoria и Благовещенск @profihleb.ru.
Девочки такие умнички и дорогая @mamzelle.caramel, с которой чуть не померли с голоду, а все почему? Потому что работали! Да и вообще, к НГ нужно привести себя в форму... буду худеть пока не влезу обратно в свой 34-36... а у вас как дела?";1543174478;1527;342368570;False;мкмосква
BqpcIDHBLXP;"🍷🍷🍷
Сварить глинтвейн...
Хорошее начало, правда?
Главное, не увлечься на этом этапе!!!
⠀
И далее в своём любимом рецепте зефира заменяете воду для сиропа глинтвейном!
⠀
😜Вкус настолько яркий и по уютному зимний, что у многих наших учениц и заказчиков он уже стал любимым.😘
⠀
Вот по этому рецепту делали мы.
⠀
✔️В ЧАШУ ДЛЯ ВЗБИВАНИЯ:
100г яблочного пюре
100г сахара
1 яичный белок (40г)
2г лимонной кислоты
⠀
✔️В СОТЕЙНИК ДЛЯ СИРОПА:
120г глинтвейна
200г сахара
25г инвертного сиропа
7г агар-агара
⠀
🍷Делайте, дегустируйте!
Ставьте хэштег #зефирсЮлейБородиной и я приду к Вам в гости)
Посмотреть и  оценить👍";1543243766;7111;1501311666;False;мкмосква
BqsY021nA7L;Комбинация рисунка: печать+ручная роспись... лучшее сочетание для корпоративного подарка. #cnhindustrial #cnhindustrialvillage;1543342699;1171;342368570;False;мкмосква
BqxLnY8nzIx;Идеальный вариант! Глаз радуется, не свинки, ни елки... такая вот эстетика для @miss_home.ru;1543503545;561;342368570;False;мкмосква
BrBst7-nHqQ;"Дорогие ученики ШПИ 6, вот и завершаются наши онлайн курсы. Надеюсь полученные знания перевернули ваше пряничное сознание и плотно осели в ваших головах, руках и сердце... надеюсь эта пряникомания захлестнула вас с головой
.
А этот Дед Мороз ждёт вас с нетерпением на курсе😘";1544057771;1858;342368570;False;мкмосква
