post_id;text;date;likes;owner_id;is_video;by_tag
BS-975klTYj;"Добрый день, дорогие мои! Какое счастье передать свой опыт талантливым ученикам! Даже не скажешь,  что это первые  работы! Сердечное спасибо @tvorcheskay.masterskaya 🌷за организацию мастер класса. 
#декоративнаяштукатурка #лепнойдекор #decoration #самарамастерклассы #handmade #барельеф #объемнаяживопись#мастерклассвсамаре#мкмытаревойжанны #самарамастерклассы #мксамара";1492426527;277;1562466835;False;мкмытаревойжанны
BTEq4mTlCvY;"Сколько талантов у самых разных людей, самых разных профессий. Сегодня лепили из холодного фарфора красивые декоративные тарелочки. Каждая работа так индивидуальна и по своему интересна, что в них просматривается даже характер человека....(и вспомнились мне тут артерапевтические навыки). А как человек красив , когда творит, сколько в нем удивительных тонких эмоций просыпается, какое красивое и воодушевлкнное лицо становится....Спасибо вселенной,спасибо девочкам за сегодняшний день! Творили в просторной студии @tvorcheskaya.masterskaya  Натальи Полегошко у которой сегодня тоже проснулся талант к созданию цветов ,спасибо вам за организацию мастер класса 🌷
#самарамастеркласс #холодныйфарфор#мкмытаревойжанны #самарамастерклассы #мксамара";1492617865;202;1562466835;False;мкмытаревойжанны
BTUEaBJlRak;Дрбрый вечер,  инстаМир!  Красоты вам в ленту с пожеланиями добра и счастья 🌷🌸🌷 учусь отделывать рамки и совершенствую  массу из штукатурки . #цветывскульптуре #барельеф #скульптурныецветы #обьемныекартины #рельефныекартины #декупаж #скульптурнаяживопись#барельеф#обьемнаяживопись #рельефнаяживопись #лепнина#шпатлевка#мкжаннымытаревой #цветочнаяскульптура #цветывскульптуре #мксамара #мкспб #мкмосква#мкмытаревойжанны #урокицветочнойскульптуры #цветывскульптуре#;1493134563;551;1562466835;False;мкмытаревойжанны
BTZCovcFsmW;Вот такая рамочка с ирисом! #цветывскульптуре #барельеф #скульптурныецветы #обьемныекартины #рельефныекартины #декупаж #скульптурнаяживопись#барельеф#обьемнаяживопись #рельефнаяживопись #лепнина#шпатлевка#мкжаннымытаревой #цветочнаяскульптура #цветывскульптуре #мксамара #мкспб #мкмосква#мкмытаревойжанны #урокицветочнойскульптуры #цветывскульптуре;1493301407;362;1562466835;False;мкмытаревойжанны
BTvh-wUF865;Добрый день,дорогие мои! Как стыдно, я проснулась ,муж в бане, сын работает сегодня, почему-то, меня никто не будил и вспомнила что я сегодня ночью делала....бегом на балкон....а вооот что!!! Давайте полюбуемся#цветывскульптуре #барельеф #скульптурныецветы #обьемныекартины #рельефныекартины #декупаж #скульптурнаяживопись#барельеф#обьемнаяживопись #рельефнаяживопись #лепнина#шпатлевка#мкжаннымытаревой #цветочнаяскульптура #цветывскульптуре #мксамара #мкспб #мкмосква#мкмытаревойжанны #урокицветочнойскульптуры #цветывскульптуре;1494056038;375;1562466835;False;мкмытаревойжанны
BUHIHvLFx4y;Добрый денечек ,дорогие жители нашей красивой планеты☺,запели у нас птички , зацвели сады и  вот такое большое  35х46  панно ☺ приключилась у меня на медни#мкжаннымытаревой #цветочнаяскульптура #цветывскульптуре #мксамара #мкспб #мкмосква#мкмытаревойжанны #урокицветочнойскульптуры #цветывскульптуре;1494847786;580;1562466835;False;мкмытаревойжанны
BUMub6iFiom;"Когда меня спрашивают как я это сделала, я чувствую себя немного неловко, потому что в действительности я этого не делала , а находилась в состояние ""эйфории"", когда мысли отсутствуют и тебе просто хорошо и как-то все само собой  рождается ☺😊😯
Привет дорогой мой волшебный  инстаМир ! Немного красоты в ленту. !#мкжаннымытаревой #цветочнаяскульптура #цветывскульптуре #мксамара #мкспб #мкмосква#мкмытаревойжанны #урокицветочнойскульптуры #цветывскульптуре";1495035647;491;1562466835;False;мкмытаревойжанны
BU_pULFleCb;Вот взялось и слепилось,  и кто у нас тут родился? ☺маленькая егоза😆 вот прям в голубом цветочке ее и домик , такая махонькая и такая нежная с озорными васильковыми  глазками , совсем непослушными рыжими кудряшками и задорным курносым носиком....а как нас зовут мы еще не придумали ☺ .#handmade_mannia #цветывскульптуре #барельеф #скульптурныецветы #обьемныекартины #рельефныекартины #декупаж #скульптурнаяживопись#барельеф#обьемнаяживопись #рельефнаяживопись #лепнина#шпатлевка#мкжаннымытаревой #цветочнаяскульптура #цветывскульптуре #мксамара #мкспб #мкмосква#мкмытаревойжанны #урокицветочнойскульптуры #цветывскульптуре;1496744238;377;1562466835;False;мкмытаревойжанны
BUeDR1wF6D0;Мои родители ходили в моря и я жила год у  бабушки с дедушкой в деревне Северное. Под окном моей спаленки цвела яблонька и одна из ее веточек через синие решетчатые ставни, заглядывала ко мне в комнату, такая пышная,вся сплошь покрытая нежными прозрачно-белыми на солнце и чуть-чуть перламутрово-розовыми в тени  цветами. (Мои воспоминания) Махонькая ,кудрявая девочка с белыми как у яблоньки, пушистыми кудряшками в расшитой заботливыми бабушкиными руками длинной,белой  сорочке , скатывалась с перины по вязаным подзорам и бежала по холодному натертому воском , деревянному полу к  окну . Вскарабкавшись  на стол покрытый зелёной плюшевой скатертью с золотистой бахромой по краям, она распахивала прикрытое ставнями окно и с восхищением долго смотрела ., ...и  не могла насмотреться на эти плавные движения белой,осыпанной цветами ветки,которая с такой мягкой  отчётливостью, так грациозно рисовалась на  радостной синеве неба, а на ветках сидели серые всклокоченные птички и звонко насвистывали ей свои истории ...и кажется она их понимала и рассказывала им свои,вдыхая запах ароматных ,душистых  цветов кудряшка  была счастлива...☺😊☺боже мой как хочется вернуться в детство!!!! ....ну хотя бы так ☺🌹🌞🌷#мкжаннымытаревой #цветочнаяскульптура #цветывскульптуре #мксамара #мкспб #мкмосква#мкмытаревойжанны #урокицветочнойскульптуры #цветывскульптуре;1495617000;357;1562466835;False;мкмытаревойжанны
BV1JpyTlkGb;Добрый день дорогие мои! Спешу поделиться с вами радостью и своими маленькими успехами, в студии @artcherdak  познакомилась с замечателтными ,талантливыми, красивыми людьми 🌹🌸🌷@irishkanik75  Ириной, , Аленой и Кристиной ,жаль не все любят фотографироваться . Верхние работы с маком и ирисом ДЕЛО РУК  Ирочки , спасибо вам огромное за ваш талант, доброту и теплоту души! Я очень-очень рада нашему знакомству #объемнаяживопись #барельеф #мастерклассывсамаре #мастерклассвсамаре  #цветыручнойработы #панно #барельеф #floralarrangement #объемнаяживопись #provence #vintage #vintagedecor #vintagelace #vintagelifestyle #amazing #flowers #artfido #artwork #paintingentertainment#красиваясамара#мкмытаревойжанны #мксамара #самарамастерклассы;1498539577;253;1562466835;False;мкмытаревойжанны
BV4vQPVl-Q8;Дорогие мои, у меня сегодня розовое настроение,  я слепила розы(картина 35х46 ) и дарю их  вам. Эти розы, так нежны и так элегантны и загадочны в своей красоте, а порой так ранимы и ,доверчивы..Их шипы как защита от грубости, от мира колючего ,людей  пустых  и грубых,. Они горды и  наполнены мудростью, чисты и  непорочны, они божественны, они со мной ,во мне ..мои розы. Хочу чтобы во круг меня жили люди-розы, понятные ,добрые ,сопереживающие. ..#мкжаннымытаревой #цветочнаяскульптура #цветывскульптуре #мксамара #мкспб #мкмосква#мкмытаревойжанны #урокицветочнойскульптуры #цветывскульптуре;1498659954;585;1562466835;False;мкмытаревойжанны
BVFiRxzlqS9;"Сегодня прошел мастер класс  с очаровательные и талантливыми ученицами Таня , Лена  @elen_p0_ _p0_  и Кристина ! Девочки, спасибо вам огромное за вашe старание  и талант!!☺🌷🌹🌷 спасибо Ирочке и  студии @artcherdak_ за просторное помещение!
Art
#альфрейнаяживопись #барельеф #объемнаяживопись #handmade #декоративнаяштука #панно #artwork #мастерклассывсамаре #@artcherdak тарева #amazing #самарамастерклассы #мкмытаревойжанны #";1496941875;335;1562466835;False;мкмытаревойжанны
