post_id;text;date;likes;owner_id;is_video;by_tag
59l2fGPm92;"На одном из мастер-классов по красоте ))
Пока я вела обучение-мне сплели браслет 😀 взаимовыгодное сотрудничество 😀
#люблюсвоюработу #люблюмэрикэй #мастеркласс #мкмэрикэй";1438693254;17;1445788994;False;мкмэрикэй
9v5FqVj4jN;"Морозный Иркутск 
#зима #донг58дней #мкмэрикэй #мэрикэй #крыши #небо +безупречное правило #третей";1446823513;35;2012980993;False;мкмэрикэй
BAUeESzvmzX;"Участвую в квесте Mary Kay
День 1-й:
""Я-лучший клиент""! #квесткраскижизни#мэрикэйвсамаре#мерикейкинель#мкмэрикэй#мэрикэй
Я мастер селфи 👸";1452345827;13;1445788994;False;мкмэрикэй
BNyqls3h6E9;"Важен каждый день. Важен каждый час. Важна каждая минута. И не останавливайтесь, пока не реализуете весь свой потенциал, пока не воплотите вашу не реальную мечту, пока не обретёте свою судьбу, став тем человеком, которым вы, и только вы, можете стать.
#мккрасота#мкмэрикэй#мкким#";1481276313;42;1373694985;False;мкмэрикэй
BOHmW7nhP5W;"Ахахааа....
#мккрасота#мкмэрикэй#мкким#";1481978738;22;1373694985;False;мкмэрикэй
BQj0xsFBthU;Мужчины бывают разные: ласковый, спортивный, брутальный, легкомысленный, надежный! А ВАШ мужчина какой? Поможем подобрать аромат для любого мужчины. Подробности в Директ или Ватсап : 89624533275 #мэрикэйставрополь #консультантмэрикэй #мэрикэйдлямужчин #мкмэрикэй;1487220788;20;1707459590;False;мкмэрикэй
BQlG7bDBUec;Акция от консультанта по красоте! Подробности в лс. #макияждлясвадьбы #школамакияжа #мэрикэйставрополь #мкмэрикэй #мэрикэйдлямужчин;1487263860;25;1707459590;False;мкмэрикэй
BTLcmopBljs;Наша плодотворная суббота собрание, после этого открытый мастер класс для клиентов. Еще поощряли  первых оплативших билет на дни с Мэри Кэй который пройдёт у нас в Якутске #мкмэрикэй# marykay#мэрикэйякутск;1492845259;115;444648262;False;мкмэрикэй
BTMvKxIhWS7;"Девчоночки, жду Вас на тестирование новинок в четверг 27апреля по адресу Адмиральский проспект 33А. 
Запись по тел. 067-309-96-10
До встречи💄💋
#МКСметанина #МКмакияж #mk #mkua #mkodessa  #MKua #MKyxod #МКукраина #мкмэрикэй #МКновинки";1492888547;9;527125416;False;мкмэрикэй
BdhY_0YD29a;"👰Девчонки👑😘! Нужна ваша помощь и объективное мнение! 
Я участвую с командой в вызове "" 125 классов за январь "" !

Я знаю это очень большая цифра, но дорогу осилит идущий💪! Если вы хотите подарить 🎁 себе и подруге высококачественный уход💆, бархатистость кожи и блеск в глазах 👁 от удовольствия,  Если вы хотите залюбить себя и побаловать СПА-процедурками, пишите и звоните -- мы назначим удобное время! 
Тематики: Уход за кожей лица💆 и Азы макияжа💄👄👁👌! Что требуется от вас:
1⃣ хорошее настроение👍, 2⃣отзыв о моей работе✍ и о средствах✍! 3⃣Фото 📸 на память вам и отчётность для меня! И все!!! Это абсолютно бесплатно!🆓🆓🆓 А кто уже был у меня в гостях, я приглашаю на повторную встречу, ведь у меня есть чем вас удивить ещё!

За отзывы в комментариях буду очень признательна! ➕К карме вам обеспечен!";1515056402;29;2198342188;False;мкмэрикэй
