post_id;text;date;likes;owner_id;is_video;by_tag
BuLoN-qjI2r;"Сегодня  у нас с вами  ликбез на тему - Что такое Биозавивка.❗️
⠀
Разница
между БИОЗАВИВКОЙ(Био) волос и ХИМИЧЕСКОЙ ЗАВИВКОЙ (хим.зав)прежде всего в препаратах, которые используют для этих процедур
⠀
☝🏼 Сначала немного химии
⠀
В ХИМИЧЕСКОМ СОСТАВЕ основной действующий компонент - тиогликолевая кислота или её производные.
PH таких составов более щелочной (а значит агрессивнее) чём у БИОСОСТАВОВ.
В БИОСОСТАВЕ основной действующий ингредиент- цистиамин хлоргидрат (органический белок, имеющий структуру схожую с человеческим волосом)
Процесс формирования локона происходит в первом случае, за счёт разрушения, во втором, за счёт видоизменения связей в кератиновых цепочках волос.
⠀
А теперь по делу...
📌Хим.завивка не раскручивается и в процессе отрастания корней волос, очень заметна разница👎🏼( прямые корни далее завиток)
⠀
🌀Био-раскручивается (в некоторых случаях полностью, в других частично) через 3- 8 месяцев в зависимости от структуры волос, размера завитка, бренда биосостава👍🏼
Хим.завивка сильно меняет качество волос👎Вовсе не в лучшую сторону.
Био- практически не портит волосы, структура сохраняется .👍
⠀
📌С помощью хим.завивки практически не возможно создать локоны в стиле карвинг, ➰➰➰текстурирование,
пляжная волна. Составы для Хим.завивки дают менее естественный эффект, чем Био
⠀
☝️Био позволяет создавать любой современный вид локона, волны, завитка))🌀
⠀
📌Хим.завивка -это стойкий результат, размер локона практически не меняется в зависимости от тщательности укладки и срока давности процедуры.💇‍♀️
⠀
Био- причёска может быть очень разной и зависит от тщательности укладки и разновидности укладочных средств.➰🔝〰️➿🌀🔝🔝🔝 В комментариях с удовольствием отвечу на ваши вопросы! #завивкановосибирск #завивкабезвреда #кудри #кудряваяжизнь#завивкаволоснск #афрокудриновосибирск #завивкабезвреда #завивканск #кудриновосибирск #мкпозавивкам #завивкаобучение #обучениекудрявыхмастеров #мкроманаковаленкова #мкпозавивкам #завивкабарнаул #биозавивкаомск #завивканск #биозавивкакрасноярск #завивкатомск #биозавивкабердск #обучениепарикмахеровновосибирск #мкновосибирск  #мкпарикмахеров #обучениекудрям #парикмахерновосибирск";1550833407;120;2949299006;False;мкновосибирск
Bv--7tfH8Sx;"Сет для век 💥💣(чёрный,серый,коричневый) 🔥
Пигменты сертифицированы ✔️
Органический состав ✔️
Хорошая цена и отличное качество 💯✔️
Eyelid set 💥💣 (black, gray, brown) 🔥
Pigments certified ✔️
Organic composition ✔️
Good price and great quality 💯✔️
➖➖➖➖➖➖➖➖➖➖➖
Консультация и заказ в Директ💌
Consultation and order in Direct💌
➖➖➖➖➖➖➖➖➖➖➖
#Borabora #pm #pmu #professionalcosmetics #MOSKOV #mk #mklondon #pmnewyork #mknewyork #rostovondon #mkNY #pmlondon #mkmexico #mkphiladelphia #mklosangeles #mklasvegas #mkhouston #mkphoenix #mkbirmingham #mkleeds #mkbirmingham #pmlasvegas #mkекатеринбург #мкНовосибирск #мкомск #губы #губыРостов #векипм #мастерпм #перманентныймакияж #пмстрелка";1554704076;14;5844290948;False;мкновосибирск
Bv-qY3hjYpA;"Почему шитье и другие виды рукоделия набирают обороты в своей популярности? Количество тех, кто чувствует потребность в занятии творчеством , постоянно растет! 😃
⠀
Когда ты увлечена подобными процессами, в сознании происходит переключение концентрации внимание с огромного списка повседневным задач на определенное монотонное действие, которым ты занята. Так ты определенным образом медитируешь и обретаешь внутреннюю гармонию😌🙌
⠀
🌺Занимаясь шитьем, рисованием или другим прикладным делом, ты получаешь возможность творческой самореализации. Когда ты что-то создаешь, это дает выход твоим эмоциям. Все вместе это способствует накоплению той самой женской энергии, которая так нам нужна.
⠀
В свою очередь, мы готовы порадовать тебя разнообразием женских дел, которые привнесут гармонию и удовольствие в твою жизнь💗
⠀
Cтарты курсов смотри в предыдущем посте😘
Активная ссылка для записи в профиле👆
➡️Или напиши в директ @factura_nsk
Запись по телефону 8-913-798-28-07
Запись и вопросы в WhatsApp 8-960-790-61-20.
⠀
#factura_nsk  #мкновосибирск #курсыкройкиишитья #курсышитьянск #fashionиллюстрация #курсырисования #курсыкройкиишитья";1554693305;34;5635374433;False;мкновосибирск
Bv0RwLnDvgZ;"7 ВАРИАНТОВ С ЧЕМ НОСИТЬ СВИТШОТ😉
Сейчас свитшот - это настолько универсальная вещь гардероба, что его можно комбинировать почти с чем угодно! Разнообразие материалов, цветов, декора дает возможность включать фантазию!
✔️Черные узкие или прямые джинсы/брюки в сочетании с черной обувью. Всегда выигрышное сочетание - монохромный, темный низ удлиняет ноги, верх выглядит роскошней за счет натурального объема.
✔️Похожий вариант - классические джинсы или джинсы бойфренда. Суть та же - хорошо сидящие джинсы и подходящая обувь формируют красивый силуэт и не отвлекают внимание от свитшота.
✔️Юбка в пол. Особенно интригующе выглядит сочетание легкой шифоновой юбки и плотного, теплого свитшота. Противоположности не просто притягиваются, но еще и здорово смотрятся вместе.
✔️Шорты любой текстуры, длины и цвета. Для повседневного образа замечательно подойдут джинсовые или однотонные шорты, а если вам хочется чего-нибудь чуть более экспериментального - кожаные или кружевные.
✔️Мини-юбка. Достаточно смелый вариант для любителей мини.
✔️Слои и еще раз слои. Как раз очень актуально для Сибири😃. Надеваем под свитшот рубашку навыпуск, сверху - бомбер, джинсовую или кожаную куртку и обувь на плоской подошве, например, оксфорды, слипперы или броги. Можно набросить на плечи теплое пальто или парку, можно экспериментировать с жилетами из меха, кожи и других теплых материалов. Все в ваших руках.
✔️Юбка-миди, юбка-карандаш или юбка итальянской длины. Разумно и элегантно - вы воплотите образ настоящей леди. Напомним, что традиционная длина юбки-миди располагается где-то в интервале между щиколоткой и коленом, а итальянская длина - величина довольно определенная: на два пальца ниже колена. Главное здесь - изящная простота💃.
⠀
🚩Мастер-класс по пошиву СВИТШОТА
🗓6 апреля, суббота
⌛10:00-14:00
✅1390  руб. вместо ❎1890 р
⠀
Запись в Директ @factura_nsk
Запись на сайте: http://novosib.facturaschool.ru.
Запись по телефону 8-913-798-28-07
Запись и вопросы в WhatsApp 8-960-790-61-20.
⠀
#factura_nsk  #мкновосибирск #курсыкройкиишитья #курсышитьянск #fashionиллюстрация #курсырисования #курсыкройкиишитья";1554344844;41;5635374433;False;мкновосибирск
Bv0Wfn6DL9C;"Привет!😙
Представь себе вот что. Ты шагаешь по лестнице в окружении цветов.🌸🌸🌸
Открываешь дверь и попадаешь в светлое помещение.🌞 Здесь тепло, уютно, ароматно.🌿 Каждая деталь - наслаждение для глаз, цвета гармоничны, запахи уносят в самые приятные воспоминания.💗 Раз! - и вот на твоих ногах тапочки, ты сидишь в кресле с вкуснейшим травяным чайком в руках, а вокруг тебя такие же счастливые девушки ✨👭✨. Улыбки, знакомства, щебетания на общие темы. И творчество.🌈 Творить в такой атмосфере просто волшебно!✨✨✨ Именно так говорят девушки, которые приходят к нам в гости.
Все здесь сделано со вкусом, любовью, вниманием к деталям.😍
Я зову тебя порисовать вместе в нашем ароматном пространстве.🤗
Творческая встреча состоится 14 апреля.
🕒 Время - с 11.00 до 15.00.
📍Адрес: Гоголя, 38, аромастудия @aromasalvia.
👌Все материалы включены.
💵 Благодарность - 1000р.
🖍 Рисовать будем спиртовыми маркерами один из самых женских цветов в мире - лотос. 🌸🌸🌸
Для записи пиши мне в директ @olkahomyaki ❤️😘
Будет аромалотосно! 😅🤩👍";1554347330;98;502849909;False;мкновосибирск
Bv0YydjDKo0;"#маникюр2019
#мкногтей
#мкновосибирск
#маникюрнск
#топ
#стиль
#ногтимосква
#стильныеногти
#топовыйманикюр
#нейлдизайн
#шеллак
#шеллакнск
#френч
#инстаногти
#шилак
#nail
#nailnsk
#градиент
#размещениерекламы
#курсыманикюра
#класическийманикюр
#френчманикюр
#фотоногти
#стразы
#repost
#идеальныеблики
#мкнск";1554348652;18;3700780912;True;мкновосибирск
Bv0gj5PDj9S;"Приглашаем Вас на мастер-класс  по пошиву модного, стильного Свитшота на весну!💚
. 
В нашей уютной студии Вы приобретете навыки шитья и приятно проведёте время в команде профессионалов ❤️ Мастер-класс подходит для начинающих, приходите к нам и мы научим Вас шить😍🤩
. 
Дата проведения : 13 и 14 апреля 2019 г. с 12.00 до 17. 00
. 
Место проведения :г. Новосибирск, ул. Серебренниковская 13, офис 30, 2 этаж
. 
Стоимость посещения : 
3500 р (с нашими материалами)

2500 р (без материалов)
.

Количество мест: ограничено
.
Время работы :5 часов
.
В наличии есть двух, трехниточный футер различных цветов 💚❤️💙💜💛🧡
.

Для записи  позвоните нам 8-913-218-15-94 или  пишите в Директ 📩
.
.
#мастеркласс#мастерклассновосибирск#мастеркласспошитью#мкновосибирск#шьемсвитшот#мастерклассы#шитье#толстовки#толстовкиновосибирск#новосибирск#сибирь#ателье#ательеновосибирск#обучение#обучениешитьюснуля#учимшить#ательеуантонины#модаистиль#дизайнерыновосибирск#дизайнодежды#весна#весна2019мода";1554352608;23;7127816077;False;мкновосибирск
Bv0qa-unpC_;"В Наличии фартуки 💥😻
Качество 🔥
Are available aprons 💥😻
Lux quality🔥
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
Консультация и заказ в Директ 💌
Consultation and order in Direct 💌
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
#Borabora #pm #pmu #professionalcosmetics #MOSKOV #mk #mklondon #pmnewyork #mknewyork #rostovondon #mkNY #pmlondon #mkmexico #mkphiladelphia #mklosangeles #mklasvegas #mkhouston #mkphoenix #mkbirmingham #mkleeds #mkbirmingham #pmlasvegas #mkекатеринбург #мкНовосибирск #мкомск #губы #губыРостов #векипм #мастерпм #перманентныймакияж #мастертатуажа";1554357778;38;5844290948;False;мкновосибирск
Bv1bDQ7Bay4;"❗️9-10 апреля в г. Новосибирск состоится 2-х дневный мастер-класс ""Эклер на любой манер"" в кондитера @afpastrystudio 🤗
.
2ух дневный практический мастер-класс Анны Феликовой по приготовлению изделий из заварного теста. На этом курсе Анна раскроет все тонкости и нюансы в приготовлении заварного теста, научит вас самостоятельно готовить эклеры, пирожные шу и торт крокембуш. Вы узнаете, что сделать, чтоб эклеры не взрывались в духовке, а тесто было нежным и не сухим, какова идеальная текстура крема, как правильно отсаживать и начинять эклеры и многое другое!

Вы узнаете, что сделать, чтоб эклеры не взрывались в духовке, а тесто было нежным и не сухим, какова идеальная текстура крема, как правильно отсаживать и начинять эклеры и многое другое!
​.
Программа курса:
​Эклеры Шоколад-бобы Тонка
Эклеры Манго-малина
Эклеры Oh Vanilla
Эклеры кофе-фундук-пралине
Эклеры ""Парма""
Шу Шоколад-Арахис
Шу Мандарин
Крокембуш
.
Уровень подготовки участников не имеет значения.
.
Всем студентам выдаются фартуки, предоставляется весь необходимый инвентарь и продукты для работы.
.
Каждый участник по окончанию обучения получает техкарты, сертификат о прохождении курса и дегустационный набор десертов.
.
Место проведения: г. Новосибирск, ул. Новая, 28, оф. 306.
.
❗️Стоимость: 9900 РУБ.
.
➡️ Записаться в @pryanik_no_stress или по ссылке в профиле “расписание МК”
.
👉 На нашем сайте gdetort.ru размещено большое количество предстоящих кондитерских мастер-классов и вебинаров.
.
🤝 Если Вы кондитер или организатор, то Вы можете 🤗 совершенно бесплатно 🤗 анонсировать Ваше мероприятие на нашем сайте www.gdetort.ru. Ссылка в профиле👈";1554383274;279;2246665401;False;мкновосибирск
Bv2_YZ_Dfy6;"Хочу познакомить Вас поближе с нашим мастером по сахарной флористике @elenawilkinson 
Итак, Елена Вилкинсон: -Многократный победитель самых престижных международных соревнований в номинации Сахарная флористика "" Cake International "", начиная с 2013 г. 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆
-Золотой победитель  соревнований на протяжении трёх лет 2014-2015-2016 гг международной старейшей школы Squires Kitchen , Великобритания. 🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺
-Постоянный сотрудник журнала Cakes & Sugarcraft ( ""Сахарное Искусство "", Великобритания ) с 2016 г.
🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀
-Действующий преподаватель одной и старейших и известнейших школ мира Squires Kitchen , Великобритания 🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁
-Действующий преподаватель по сахарной флористике , влюблённый в своё дело, в жизнь и людей!
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
И самое главное! Есть два места на курс Елены по сахарной флористике 
15-17 апреля! 
Ждем Вас! 🌸";1554435876;36;1526013639;False;мкновосибирск
