post_id;text;date;likes;owner_id;is_video;by_tag
BZ1gr5LDSCX;"Работы учеников....
#кондитерскиекурсы #мкоксанамитинская #мкпотортам #оксанамитинская #мкростов #кремовыеторты #кремовыйдекор#малазийскаятехника";1507141588;94;3686157176;False;мкоксанамитинская
BZ1haY4jT2L;"Девочки мои дорогие!!!
Два дня мгновенно пролетели...
Все прекрасно поработали!!! #кондитерскиекурсы#мкпотортам
#мкоксанамитинская
#оксанамитинская #кремовыйдекор #малазийскаятехника";1507141968;71;3686157176;False;мкоксанамитинская
BZ9fvscDh3P;"Мы отличная команда
#кондитерскиекурсы #курсыкондитеров #кремовыйдекор#оксанамитинская #шокофлористика #шоколадныйпион #мкпотортам #мкростов #мкоксанамитинская";1507409530;51;3686157176;False;мкоксанамитинская
BZWazA6DqUS;"Начался МК...Ростов
#шокофлористика 
#шокоцветыдляторта #мккондитера #мкростов#оксанамитинская #мкоксанамитинская#цветыизшоколаднойпасты #шоколадныйпион";1506098313;75;3686157176;False;мкоксанамитинская
BZb2mPPDX9d;"Девочки....ваши цветы великолепны
#шоколадныйпион #шокофлористика #шокопастадляцветов#мккондитера #мкоксанамитинская #оксанамитинская #мкростов";1506280660;72;3686157176;False;мкоксанамитинская
BZb3fUGD68B;#шоколадныйпион #шокофлористика #мкростов #мкпотортам #мкоксанамитинская #мккондитера;1506281128;61;3686157176;False;мкоксанамитинская
BaAHod4DCA1;"Практические навыки оттачиваем...
Все замечательно справились!!!
#мкпотортам #мккондитера #мкповыравниваниютортов#мккремоваявышивка#мкоксанамитинская 
#мкшокоцветы #мкшоколадныйпион
#мкбескаркасныецветы#цветыизшоколаднойпасты #цветыбезпроволоки";1507497551;42;3686157176;False;мкоксанамитинская
BaB1ARqDDee;"Шоколадное чудо...
Цветы учеников......
#мкпотортам #мкоксанамитинская 
#шоколадныйпион 
#шокофлористика #кремовыйдекор 
#кремовыеторты";1507554893;92;3686157176;False;мкоксанамитинская
BaEUw_cjWLI;"Замечательный курс! 
Наш результат прекрасен!!!
#шоколадныйпион #шокофлористика #мкоксанамитинская 
#бескаркасныецветы #мкпотортам 
#мккондитера #цветыизшоколаднойпасты
#пластичныйшоколад 
#цветыизшоколаднойпасты 
#шокодекор # chocolateflawers
#oksana_mitinskaya";1507638654;61;3686157176;False;мкоксанамитинская
BaPpVWzjYgi;"Потрясающая группа! Реальность наших  шоколадных цветов непередаваема на фото! 
#шокофлористика #шокоцветы 
#бескаркасныецветы #мкпотортам 
#мкоксанамитинская #кремовыйдекор #кремовыйторт#оксанамитинская";1508018537;63;3686157176;False;мкоксанамитинская
BaPqCM2jJxz;"Нереально красивые!!!
Спасибо за работу,девочки!
#пионизшоколада#шокоцветы 
#шокофлористика #мкпотортам 
#бескаркасныецветы
#мкоксанамитинская";1508018904;79;3686157176;False;мкоксанамитинская
BaV4R6qDahV;"#шокоцветы 
#шокофлористика 
#мкоксанамитинская 
#кремовыйдекор #кремовыеторты #бескаркасныецветы#мкпотортам 
#пластичныйшоколад #шокодекор 
#шоколаднныецветы 
#сhocolateflowers #oksana_mitinskaya";1508227700;79;3686157176;False;мкоксанамитинская
BaV5hc8jv8I;"#шокоцветы #мкпотортам 
#мкоксанамитинская 
#бескаркасныецветы 
#шокофлористика 
#пионизшоколада";1508228351;55;3686157176;False;мкоксанамитинская
BarY2J-Dpfx;"Пятигорск 
Сев.Кав.МинВоды....
Замечательное начало❤❤❤
#шокофлористика #шокоцветы
#бескаркасныецветы 
#мкоксанамитинская 
#мкпотортам #мкпятигоск
#кремовыйдекор #кремовыйторт 
#оксанамитинская";1508949417;25;3686157176;False;мкоксанамитинская
Barm9gwDPvj;"Работа ученицы
#шокофлористика #шокоцветы 
#мкпотортам #мкпятигоск 
#мкоксанамитинская 
#бескаркасныецветы
#пионизшоколада#шокодекор 
#пластичныйшоколад 
#шоколаднныецветы
#chocolateflowers #цветыизшоколада🍫🍫🌹🌹 #цветыизшоколаднойпасты";1508956817;91;3686157176;False;мкоксанамитинская
BaxAPRqD0id;"Работы учеников..
СУПЕР!!!
#шокофлористика 
#пластичныйшоколад 
#мкпотортам #шокоцветы #мкМИТИНСКАЯпятигорск
#бескаркасныецветы 
#chocolateflowers #кремовыйдекор 
#кремовыеторты #оксанамитинская 
#мкоксанамитинская";1509137842;99;3686157176;False;мкоксанамитинская
BayG7cbDFDG;"Три дня пролетели мгновенно ...
Уже грустить стала...
Ваши потрясающие работы никого не оставили равнодушными. ... #мкМИТИНСКАЯпятигорск 
#мкпотортам #кремовыйдекор 
#кремовыйторт #шокоцветы 
#пластичныйшоколад 
#мкоксанамитинская";1509174904;86;3686157176;False;мкоксанамитинская
