post_id;text;date;likes;owner_id;is_video;by_tag
BRskPSCFSOE;"18 марта,  17:00
СУББОТА

Мастер-класс по сухому валянию. 🐺🐺🐺
Лисички нынче в тренде, а спящие лисички вне всяких сомнений стали самыми популярными брошками в этом сезоне.

Поэтому не будем медлить и сваляем пушистенькую себе к весеннему гардеробу. Оттенок лисички можно будет выбрать на месте.

Предварительная запись обязательна. Телефон: 77-23-58

Ограничение по возрасту — 12 лет.

Все материалы предоставляются!

Мастер: Элеонора Кнурова

Подробности на сайте: crafthome56.ru/events

С любовью, Творческая мастерская ""CraftHome"" ♥♥♥";1489661591;31;2550798157;False;мкоренбург
BS87p9FlJzg;"Благодарю детей и взрослых за проявленный интерес к моим мастер-классам. Общение с детьми бесценно для меня. 
#торторенбург #тортыворенбурге #тортыназаказоренбург #оренмама #оренбург #оренторты #орен #выпечкаоренбург #сладкийстолоренбург #подарокоренбург #пирожноеоренбург #мкоренбург #кендибароренбург #пирожноеоренбург #капкейкиоренбург #пряникиоренбург #candybarоренбург";1492358223;21;3632883372;False;мкоренбург
BSG8_S6gf2V;Вчера был замечательный мастер класс по макам, все участницы просто светились от счастья, когда уходили домой со своими маками... 3 часа пролетели незаметно... #мкоренбург #оренбург #мастеркласс #рукоделиеоренбург #валяниеоренбург;1490546983;9;4847162903;False;мкоренбург
BSGCotqBQKJ;Девочки , Москва , есть 1 место на мастер класс по весенним кулёмам 8 апреля.  Кто с нами лепить весну? #кукларучнойработы #авторскаякукла #кукла #куклакулема #кулема #кулёма #dollart #artdoll #artdolls #doll #dolls #куклыдроновойюли #мкдронова #мкоренбург #санктпетербург #питер #мксанктпетербург #мастерклассмосква;1490516389;214;1093057356;False;мкоренбург
BSJjpnQB0pr;Кира #кукларучнойработы #авторскаякукла #кукла #куклакулема #кулема #кулёма #dollart #artdoll #artdolls #doll #dolls #куклыдроновойюли #мкдронова #мкоренбург #санктпетербург #питер #мксанктпетербург #мастерклассмосква;1490634361;262;1093057356;False;мкоренбург
BSKk443DSn8;"Таааа-дам!
Как и обещала, про МК Беллы Тютюнник (эксперт марки Pandhy's, преподаватель-технолог марки OASIS, вдаделец салона красоты  и практикующий мастер  и просто замечательный человек 😘 из Питера).
Это моя самая веселая учеба 😆😅 прошла на одном дыхании и с улыбкой до ушей. Было ой как не просто! За несколько часов практики нужно было научиться #шугаритьТелом а не рукой 💪 , как это я делала обычно! Было интересно, увлекательно и замарательно 😀 паста летала, улетала, закидывалась....было нечто! 
Белла умница! 👍Я, честно, не понимаю, где она берет столько сил и энергии. К каждой девочке подошла, поправила, поставила как надо, мне так вообще подмышку залезла😃, чтобы я локоть держала как нужно. Для преподавателя, не бояться контакта с учениками и не звездить- очень ценно! 
Белла, СПАСИБО еще раз! 😘
Леночке Сухоруковой @shugairis организатору всего этого сейшена, отдельное спасибо! Если бы не ты, Лена, пришлось бы ехать в Питер, потому очень хотела попасть именно к Белле! 
ПыСы при проведении МК ни одна девочка-модель не пострадала ☺
❤❤❤❤❤❤❤❤❤❤❤❤❤❤
#люблюэпилячить #мкбеллытютюнник #мкоренбург #ленасухорукова #шугарьтелом 
#шугарюулыбаясь #шугарингсалават #шугарингспорт  #депиляциясалават #эпиляцияслв #беллатютюнник";1490668565;54;2222642381;False;мкоренбург
BSRZKEPBI6n;#кукларучнойработы #авторскаякукла #кукла #куклакулема #кулема #кулёма #dollart #artdoll #artdolls #doll #dolls #куклыдроновойюли #мкдронова #мкоренбург #санктпетербург #питер #мксанктпетербург #мастерклассмосква;1490897295;238;1093057356;False;мкоренбург
BSRcuelgbI3;Сегодня был мк по брошкам котяткам) вот таких милашек сделали мои ученицы, державшие иголку для валяния впервые! Все молодцы! Всеми горжусь и жду новой встречи!) #мкоренбург #мастерклассыоренбург #мастеркласс #приходите_валять;1490899167;12;4847162903;False;мкоренбург
BSSTu5UAL8B;"Мастер-класс по сухому валянию || Цыпленок

1 апреля в 17:00 🐥

Скоро Пасха и, по результатам небольшого опроса, оказалось, что женщинам хочется валять цыплят 😊

Валять будем «по-сухому», за 2,5-3 часа у всех получится цыпленок.

Стоимость: 690р.
Материалы предоставляются.

Запись на мастер-класс по телефону: 77-23-58, 69-20-96 #мкоренбург #оренбург #мастерклассыоренбург #рукоделиеоренбург #мамыоренбурга";1490928006;25;4847162903;False;мкоренбург
BSbsPMlFqdL;"Уютного вечера! 🌼🌼🌼🌼🌼
Вот и подоспело свежее расписание! 
4 апреля, 
ВТОРНИК
15:00-17:00 Текстильная мастерская для юных с @natalia_min4enkova 
18:30-20:00
Акварельные скетчи для взрослых.  Мастер: @ika_zavodnoyapelsin

6 апреля,  18:30
ЧЕТВЕРГ
Стартует новый курс от @ika_zavodnoyapelsin под названием ""Fashion-portret-sketching""  8 апреля
(мега) СУББОТА
10:00 -11:00
СКЕТЧ-ЗАВТРАК#3

12:00 - 15:00
Мастер-класс по декору деревянного ящика с @irina.creamess 
14:30 - 15:30
Приглашаем деток писать портреты мам, пап, дедушек или бабушек.  Мастер: @ika_zavodnoyapelsin 
16:00 - 17:00 @ika_zavodnoyapelsin будет рисовать с детками эмоции в технике ""графика"". 17:00 - 19:00
Мастер-класс по сухому валянию цыпленка от @dobryj_el (повтор). ТРАДИЦИОННО:  среда, пятница 18:30 - 19:00 - ХАТХА-ЙОГА 🙏
Мастер: Елена Назарова 👇
Убедительно просим вас - заранее записываться на мастер-классы по телефону: 77-23-58 или 69-20-96

Подробнее обо всех мероприятиях мастерской можно узнать на нашем сайте: http://crafthome56.ru/events/ ☝

Всегда рады помочь вам в реализации творческих задумок и планов! 
С любовью, 
Творческая мастерская ""CraftHome""! ♥♥♥";1491242843;36;2550798157;False;мкоренбург
