post_id;text;date;likes;owner_id;is_video;by_tag
BZT6yrcFppc;"❗️3 ОКТЯБРЯ❗️
В Орск с МК приезжает @nikolina_alexandra ! 
В программе: 
Самый востребованный свадебный макияж 2017-2018!
👰🏼
Кошачий глаз🐱
Запись через директ или по тел: 30-20-93
#МКОРСК";1506014424;180;300962076;False;мкорск
BZwQ3b4lVra;"❗️4 ОКТЯБРЯ❗️Осталось 2 места! 
В Орск с МК приезжает @nikolina_alexandra ! 
В программе: 
Самый востребованный свадебный макияж 2017-2018!
👰🏼
Кошачий глаз🐱
Запись через директ или по тел: 30-20-93
#МКОРСК";1506965521;302;300962076;False;мкорск
BaV24yYhFvl;"@tanyasorvacheva и её прекрасная ключница😍 
У тебя всё отлично получилось👍🏻думаю это был твой старт в творчестве😉👩‍🎨
#мкорск #феякисточекикрасок #декораторорск #краскадляперекраски #дайтемнекисточкуикраски #яперекрашуэтотмир #decorlabеленымарченко";1508226969;36;5459463981;False;мкорск
BcT6xRSlECU;"Еще один вариант нанесения декоративных покрытий на поверхность. Сколько людей, столько вариантов. Подготовка фона. А дальше? Розы? Пионы? Какие цветы вам нравятся?

#начало #подготовка #декордома #декоративныепокрытия #декоративнаяштукатурка 
_______________________________________________

#мкволгоград #мкоренбург #мкорск #оренбуржье #поволжье #скульптурнаяживопись #объемнаякартина #прованс #будьвтренде #sculpturepainting #super_kovaleva";1512456863;71;2288636121;False;мкорск
BcfDqHMlqu2;"Оренбург и Орск. МК по скульптурной живописи. Ориентировочно 20 - 24 декабря. Сделайте себе и близким подарок. Запись и вопросы в Директ.

Проснись, дружок, кончай дремать:
Уходит время — не догнать
Тот миг восторга, озаренья!
Ведь в этом счастье и спасенье
От суеты, от горьких тем,
От множества мирских проблем.
С восходом утренней зари
Проснешься и увидишь ты,
Как та Заветная Мечта
Реальностью войдет в тебя.
(С.П.Хисамутдинова)

_________________________________________ ⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜⚜ #мастерклассыдлявзрослых #подарокоренбург #мкоренбург #мкорск #orsk #orenburg #скульптурнаяживопись #мастерклассоренбург #оренбургскаяобласть

____________________________________________________________________________________

#орскдети #оренбург2017 #оренбуржье #творческийоренбург #orskru_obzor #orenburg_russia #orenburgonline #orenburg_ural #новотроицк #novotroitsk #orskru";1512830622;113;2288636121;False;мкорск
Bg0Gx4OlypA;Друзья!👯‍♀️ в это воскресенье , 1 апреля в 14:00 ( длительность 3 часа) в @elementarnowatsonklub состоится мой первый мастер-класс по изготовлению корзинки из трикотажной пряжи🤗 вы сможете связать ее своими руками🙌🏻и забрать с собой🏡все материалы и инструменты предоставляются 😉 стоимость посещения мастер-класса 500₽😊количество мест ограничено‼️ желающие пишите в Direct👌🏻#мастеркласс #мкорск #вязание#интерьерноевязание;1522126836;105;1377485132;False;мкорск
BiZ3issAvle;"Сегодня потрудились с детками на МК.😉 К Параду на 9 мая готовы! 🎉🎈 А завтра новый МК, новые знания и новые знакомства 💃 
Ждём всех желающих 😍

#орск #мкдлядетишек #мкорск #фамилияорск #ручнаяработа";1525541400;56;1614363987;False;мкорск
BirvcRMAhDb;"Вот так весело и с пользой мы проводим выходные в @FAMILIA.ORSK . 👍☺ Сегодня у нас был МК по работе с полимерной  глиной!  Ребята сделали браслеты и значки! 
А завтра нас ждёт кулинарный МК.! Присоединяйся и ты🌷😉 #орск #ручнаяработа #мкдлядетишек #мкорск #мк #полимернаяглина";1526141132;42;1614363987;False;мкорск
BjZFp6LgAUu;"Дорогие наши клиенты!!!🦋🦋🦋. У нас хорошая новость в период выпускных !
Наш мастер Анастасия Сафронова прошла МК по причёскам у одного из лучших мастеров и получила именной сертификат!
Много секретиков и трендов этого сезона для Вас. Будьте самыми красивыми с нашими профессиональными Мастерами#салонвизажорск#прическиорск#выпускныеорск#мкорск#визажорск.
.
Салон Визаж на Краматорской 27.
☎️25-99-19";1527662728;20;2142209594;False;мкорск
Bjj7cB4gW3V;Не ждите повода создать свой шедевр 😊 Вчера немного постучали в студии @decorlab_elena_marchenko Ценителей String Art стало еще больше!  #стрингарт #StringArt #Орск #оренбургскаяобласть #ручнаяработа #handmade #рукоделиеорск #подарокорск #подаркиорск #подарокручнойработы #интерьерноепанно #декоративноепанно #панноизгвоздейиниток #малышиотлуши #малыши_от_луши #malishi_ot_lushi #стрингарторск #stringartorsk #stringartОрск #стрингарторенбург #мастерклассорск #мастерклассыорск #мастер_класс_орск #мкорск #мастерклассоренбург #мастер_класс_оренбург;1528026470;31;5933524183;False;мкорск
BkZ0uS-HuZF;Кавказская пленница холст и вино #холстивино #орск #мкорск #мк;1529834889;16;7229565527;False;мкорск
