post_id;text;date;likes;owner_id;is_video;by_tag
BtTUdwVlW-o;"…Надо учиться любить себя — любовью здоровой и святой, чтобы оставаться верным себе и не терять себя. ☺️❤️
⠀
Любовь к себе– наш важнейший внутренний ресурс. Она крайне необходима для того, чтобы принимать себя безусловно и разрешать себе делать выбор.
⠀
Обратите внимание, на то, как вы себя ощущаете, в чем вы одеты, где вы проживаете и кто вас окружает. 
Устраивает ли это вас? Позволяете ли вы себе жить так, как вам хочется?
⠀
Если же нет, то признайтесь - всё, что есть у вас сейчас создали вы сами. Вы постоянно соглашаетесь на меньшее.
⠀
Но если вам не нравится то, в какой ситуации вы находитесь - начните выбирать свое!
⠀
Как?
⠀
Элементарно, каждый день начните задавать себе вопрос - я хочу увидеться с близкими или побыть дома, сходить в тренажерный зал или прогуляться. Перестаньте идти против себя и соглашаться на всё, чтобы быть хорошим человеком.
⠀
Будьте хороши в первую очередь для самих себя, и вы увидите, как изменится отношение окружающих к вам. Они с большей заинтересованностью и заботой будут спрашивать как вам удобнее и лучше, что вы любите, чтобы хотели получить в подарок.
⠀
Живите и чувствуйте - вы самый драгоценный бриллиант в этой вселенной и ваша ценность без-гра-нич-на 💎";1548944003;66;349071070;False;мкпермь
Bti6FFCFQTv;"Я знаю, почему у вас нет денег и отношений 😱
⠀
Многие из вас задаются вопросом - Алина, почему я столько всего делаю для повышения заработка и обретения отношений, но ничего не меняется! Что делать, подскажи?⠀
⠀
Смотрите, когда вы ставите себе цель или желание - это происходит на уровне сознания. Но у нас есть такой сундучок в голове под названием подсознание, внутри которого сотни противоречий на ваши желания в виде страхов и убеждений.
⠀
Приведу пример:
⠀Мужчина, имеет свой личный бизнес, всячески старается его развивать, но весь доход тратит на бизнес, иногда приходится брать в долг и получается что работает в ноль. Когда начинаем разбирать ситуацию, то оказывается, что у него в подсознание есть страх - если у меня будут деньги я перестану развиваться, много денег это небезопасно, меня могут обокрасть.
⠀
Из этого примера, мы понимаем, что если на пути к нашей цели у нас есть страхи и убеждения, то пока мы не разберемся с ними и не посмотрим страхам в глаза, то в жизни будут происходить обстоятельства, которые будут нас возвращать к точке невозврата - к долгам, тяжелому зарабатыванию денег, конфликтам с партнером.
⠀
Хотели бы вы, разобраться, какие убеждения мешают вашему развитию?";1549467040;56;349071070;False;мкпермь
BtqnkxPFgEZ;"Настроение и безопасность зависит от денег?!🤨
⠀
💎Сегодня мы с вами обсуждали, что же вам дают деньги, кто-то из вас отметил внутренний подъем, кто-то же стабильность. Но хотелось бы чтобы это не было основополагающим.
⠀
😖Пока ваше эмоциональное и физическое состояние зависит от денег, деньги не придут к вам. К вам могут прийти долги и кредиты.
⠀
🔄Идти необходимо от обратного, создать и прочувствовать в своей жизни, что у вас уже есть стабильность, поддерживать своё настроение и в этом состоянии идти к достижению своих целей.
⠀
✔️А чтобы это всё прочувствовать, я готовлю для вас упражнение, выполняя которое каждый день вы заметите, как меняется ваша уверенность и внутреннее состояние.
⠀
Хотите попробовать на себе это упражнение?";1549725773;45;349071070;False;мкпермь
BtusXonlMPX;"Все виноваты в том, что у меня неприятности!
⠀
💯Первый шаг на пути к изобильной жизни - ответственность. Если ты хочешь интересные события, поддерживающее окружение, новый уровень жизни и дохода - займись этим. Никто не создаст это по мановению палочки для тебя.
⠀
♨️Первой целью к ответственности и пониманию того, что всё что со мной происходит это создал я, отказаться от позиции Жертвы. Жертва - это когда ""у меня не получилось сделать план продаж, потому что все клиенты бедные, в стране кризис, а начальник ставит нереальные задачи"". Быть постоянно в позиции - все виноваты, но не я, все плохие, а я хороший.
⠀
Быть жертвой.
Быть ребенком.
Ждать когда всё сделают за тебя.
И чемоданчик с миллионом принесут к твоим ногам.
⠀
🚫Да, бывают случаи, допустим вы работаете командой, и один из коллег не соблюдает сроки работы, в связи с чем ваша компания выплачивает штраф. Это была его ответственность выполнить эту работу.
⠀
❓Но если это происходит раз за разом, задумайтесь, зачем он вашей команде? Какой урок несет для вас эта ситуация?";1549862505;34;349071070;False;мкпермь
BtwKFUmlJD1;Основы того, что вы должны знать о деньгах, и почему вы до сих пор не имеете то, что вы хотите 💰💰 #тетахилингпермь;1549912059;32;349071070;True;мкпермь
BtydiIdF5Aw;"🤑Легко приходят деньги к тем, у кого мышление богатства. Потому что обеспеченные люди во всем видят возможности и знают как масштабировать свои идеи.
⠀ 
А те, кто видит во всем ограничения 😫 и откладывают свои цели на потом - имеют мышление бедности. Эти люди влезают в долги, чувствуют вину перед людьми, держут обиду на близких.😠 Чувствуете разницу?
⠀
🤩Богатый человек постоянно развивается, чему-то учится, всевозможными способами расширяет своё окружение. Для него каждый человек -🤝 огромный ресурс. И он сам при этом чувствует, насколько он ценный и что может дать миру.
⠀ 
А если вы привыкли жаловаться 😑 на других, осуждать и критиковать, постоянно ноете, что у вас ничего не получается, не понимаете в чем можете себя реализовать, НО хотите это изменить, то просто начните с малого.
⠀
🤯Поставьте цель, начните изучать, осваивайте различные направления, работайте над убеждения в своей голове.
⠀ 
А я с радостью всегда вам в этом помогу - советом, либо консультацией 
Ваша Алиночка 🙂";1549988944;44;349071070;False;мкпермь
Bu-0XjWlUK-;"У нас произошли изменения в расписании МК Люси Лютиковой. Обратите внимание!!! ------------------------------------------------------------------------
17 марта |вс| с 13.00 | МК по фомфлористике ""Яблоня"" - делаем брошь с цветами, бутонами и листьями - стоимость 2000₽

30-31 марта |сб-вс| с 10.00 | МК ""Пион"" - цветок на стебле с листьями и бутоном - стоимость 4500₽

Предварительная запись обязательна !!!
Количество мест ограничено, поэтому всех желающих просим не откладывать ""на потом"", а писать в Директ или комментариях.
#мкпермь#цветыизфоамирана#рукотворныецветы#фомзависимые#цветыручнойработы#цветочныефеи#свободноевремяспользой#пермьтворческая#творческаястудия#свойдекор";1552551053;48;1479994503;False;мкпермь
Bu-Pb3lH4zv;Всем привет!😊 Прекрасный вечер в уютной студии « Арт-Леди»! 😉Видео отчёт с мк по смоле! ⭐️ #мксмола #resinart #мкпермь #арт_леди_пермь;1552532177;41;5560346591;True;мкпермь
Bu-XcmZFplT;"Друзья!⠀ Есть тут среди нас любители бумажного творчества? 
Скрапбукинга?
😊⠀
Уже сегодня на мастер-классе будем  учиться делать объемные весенние открыточки.⠀
⠀
Все как мы девочки любим - красивые бумажки, ленты, кружево, ну и цветочки!🌹
⠀
Ждем вас, 14 марта в 18.30 ⠀
Стоимость 650 руб. ⠀
Все включено.⠀
Цветовая гамма и декор вам будут предложены на выбор!⠀ Запись в директ!⠀
Или по тел. студии: 8 (342) 27 888 10
⠀
⠀
#скрапбукингпермь
#кардмейкингпермь
#артвечеринкипермь 
#артледипермь
#мкпермь 
#мастеркласспермь
#art_lady_perm";1552535890;55;1608569138;False;мкпермь
Bu-bYKaD-H-;"Курс ""Вязание тунисским крючком"" ОНЛАЙН

СТАРТ 14 марта 2019г!

Вы давно вяжете крючком и спицами?! И хочется попробовать чего-то нового😉

Или Вы только начали вязать? 
Тогда мы предлагаем Вам в одной технике вязания попробовать совместить два вида - спицы и крючок вместе😊

Тунисским крючком можно создать стильные шапочки для себя и малышей, уютные кардиганы, которые идеально держат форму, а также очень теплые юбки для холодной зимы, которые отлично будут сочетаться с шубкой или дубленкой. 🔆Научим вязать по прямой и по кругу.🔆 Предлагаем Вам попробовать научиться вязать тунисским крючком😉

Вязание спицей-крючком имеет несомненно свои преимущества перед спицами и крючком по отдельности: - расход пряжи примерно на 20% меньше, чем крючком
- трикотажное полотно  не деформируется и не вытягивается, как при спицах
- придает силуэту стройность фигуры
- сочетает в себе фактуру тканного полотна, иметирует спицы ( лицевые, изнаночные) и крючок. 
Курсы будут проводится в закрытой группе. Каждой участнице будет создан отдельный альбом, где она будет общаться с ведущей, показывать что связала, а так же делать  фотоотчеты о выполненных  заданиях. 
Каждый день кроме выходных в течении месяца, на стене группы будут появляться видео уроки + фото+ схема.Будут даваться задания. Вместе изучим более 15 рисунков, а также в конце курса будут даны расчеты для вязания шапочки по кругу, прямой юбки, жакета и кардигана. 
Будем учиться вязать одно- и двухсторонними крючками и двойным тунниским крючком на леске. ⚡⚡⚡ Стоимость - 1200 руб за весь курс интенсивного обучения, продолжительностью 1 месяц ⚡⚡⚡ Успевайте записаться😉

Запись в личных сообщениях, и только у меня!
#мкпермь#мконлайн#мктунисскийкрючок#мукрючком#вяжутнетолькобабушки#crochet#crocheting";1552537951;33;2017680178;False;мкпермь
