post_id;text;date;likes;owner_id;is_video;by_tag
Bed9EcCBIGD;"🌹
Порой в самые черные минуты жизни я вдруг вижу свет, исходящий из сокровенной глубины всего сущего.";1517088581;19;3442863899;False;мкпитер
BlIKLekCP2Z;"💥Оформление бровей (Работа выполнена участницей мастер-класса)
.
▪️Коррекция пинцетом
▪️Подготовка к окрашиванию (пилинг+шампунь+
обезжириватель)
▪️Окрашивание хной Bio Henna Premium (Блонд + Кофейный, 1/2)
.
▫️В нашей студии оказываются услуги по макияжу и дизайну бровей от преподавателей и действующих мастеров.
▫️Весь перечень и прайс услуг в шапке профиля по ссылке
▫️Услуги оказываются по предварительной записи, в дни, когда не проходят курсы❗️
.
Запись по телефону:
📲+7 921 920 44 60";1531389642;20;3260332146;False;мкпитер
BspswxghoLz;"📖Методическое пособие с функцией рабочей тетради ""ОСНОВЫ ДИЗАЙНА БРОВЕЙ"", разработано для авторского интенсив-курса ""Мастер-бровист. Архитектора, моделирование, коррекция и окрашивание бровей"".
-
▫️Пособие может быть использовано самостоятельно и совместно с обучающим базовым интенсив-курсом.
▫️Много полезной информации, так необходимой каждому мастеру.
▫️Памятки бровистов всегда под рукой.
▫️Места для записи.
▫️150 страниц информации, таблиц, схем и заданий для выполнения.
▫️заполнение таблиц с пошаговым выполнением процедуры.
▫️рекомендации по подбору косметики для бровей.
🔥все ученики интенсив-курса и курса по блокам получают тетрадь в подарок!🎁
-
Пособие позволит ознакомится:
▪️значение и функции бровей, особенности их роста.
▪️санитарные правила и организация рабочего места бровиста.
▪️моделирование, архитектура и конструирование идеальной формы бровей.
▪️все виды и особенности коррекции бровей.
▪️виды красителей, колористика, создание миксов и все техники окрашивания.
▪️разбор красителей и рекомендации по подбору.
▪️техника безопасности, противопоказания и полный beauty-кейс мастера.
▪️уход и восстановление бровей.
▪️косметика и макияж.
▪️И много другой полезной информации.
•
📍Пособие можно приобрести в студии или заказать по почте.
▪️Для заказа по почте, пришлите в Директ или WA точный адрес, индекс, Ф.И.О и номер телефона.
▪️Отправление после оплаты.
🔹Стоимость - 2300₽
-
Заказ и все подробности в Директ или по телефону:
📲+7 921 920 44 60";1547547455;52;3260332146;False;мкпитер
Bt3zJE6Bgj0;"⛔️Противопоказания к процедуре окрашивания и коррекции бровей:
-
🔘ОТНОСИТЕЛЬНЫЕ:
Процедуру можно выполнять только после получения разрешения от терапевта или другого лечащего врача.
В случае невозможности получения медицинского разрешения на проведения процедуры, клиент должен подписать информационное согласие на проведение процедуры, в котором клиент подтверждает, что ему подробно и ясно объяснили этапы проведения процедуры и возможные последствия, и что он согласен продолжить процедуру без разрешения терапевта или другого лечащего врача.
-
• Отек • Диабет • Прием некоторых прописанных лекарств, антибиотиков • Нервное/возбужденное состояние • Рак кожи • Смещение (грыжа) позвоночного диска • Хлыстовая рана • Эпилепсия • Недавние операции в зоне проведения процедуры • Не диагностируемые боли • Гормональные нарушения • Кормление, лактация, гормоны • Беременность.
-
🔘ОГРАНИЧИВАЮЩИЕ
(ЗАПРЕЩАЮЩИЕ)
Процедуру либо нельзя проводить совсем, либо она не должна затрагивать некоторые участки тела клиента, либо возможность проведения процедуры зависит от состояния и самочувствия клиента.
-
• Высокая температура • Шрамы ( 2 года после обширных операций, 3-6 месяцев после маленьких) • Гиперкератоз • Инфекционное или заразное заболевание • Солнечный ожог • Кожные аллергии • Алкогольное или наркотическое опьянение • Гормональные имплонтанты • Ячмень • Слезящиеся глаза • Глазные инфекции • Коньюктивит • Диарея или рвота • Недавние переломы • Защемление нерва в зоне проведения процедуры • Наличие известных аллергических реакций • Синусит • Воспаление нерва • Экзема • Невралгия • Глазные инфекции • Не диагностируемые шишки и опухоли • Мигрень/головная боль • Местные вздутия • Гиперчувствительность кожи • Блефарит • Воспаления • Ботокс • Порезы, синяки, ссадины • Филлеры (1неделя после процедуры) • Наличие в рабочей зоне свежих ран, раздражения, сыпи и других повреждений кожи • Наличие родинок, бородавок и папиллом в зоне коррекции (при коррекции нитью и воском)
-
❗️Одним из важных противопоказаний является наличие аллергической реакции на хну и на компоненты профессиональных красителей, а также противопоказания связанные с состоянием глаз.
#противопоказания_брови_arte";1550168046;21;3260332146;False;мкпитер
BtamYTuhpMI;"Немного отвлекусь от заказов, для своего же вдохновения!)) сейчас работаю над чайными наборами, их много, спасибо моим заказчикам! Но, как говорится, лучший отдых - это смена деятельности)))
#flowers #botanical #peonies #tairkraski#декоративнаяштукатурка#клавель#скульптурнаяживописьсанктпетербург#мастихин#мкспб#творческаястудияспб#мастеркласспетербург#мкпитер#fattoamanoitalia";1549188276;314;7122946323;False;мкпитер
Bu-6SrkFJ1e;"1. Точные штрихи кистью

Маскировка и выбор областей с использованием инструментов выделения в Lightroom может быть немного сложным процессом. Не всегда удаётся выделить точный край. Просто удерживайте клавишу Ctrl или Cmd (Windows или Mac), и Lightroom будет «привязываться» к краям насколько это возможно.

2. Настройки резкости

Клавиша Alt волшебным образом действует в Lightroom. Она выполняет целый ряд визуальных преобразований. В случае с увеличением резкости это поможет вам точно увидеть, как работает инструмент и точно настроить степень его влияния.

Удерживая клавишу, перемещая ползунок «Маска», изображение станет черно-белым, выделив края, которые подвергнутся увеличению резкости. Таким образом вы можете сразу удалить пустые области фона из выделения.

Удерживание клавиши Alt при работе с ползунком резкости вы также увидите, как слайдер влияет на снимок.

3. Используйте Dehaze для выделения проблем

Инструмент Dehaze позволит вам обнаружить любые следы пыли на сенсоре. Все проблемные места станут чётко видны, и вы сможете их удалить с помощью инструмента Defringe. Затем нужно просто вернуть Dehaze в нормальное положение, и вы получите чистый снимок.

#фото #мк #мкфото #мкфотограф #мкспб #мкпитер #курсы #лекции";1552554159;12;11107719541;False;мкпитер
Bu0JNzdBm4a;"Немножко с задержкой но все же ...и так ,результаты конкурса . 2 победителя получающиеся бесплатное посещение мк ,это  @natotomato и @superstupidfox И два победителя @mariiamurka @ekholkina получают скидку на мк ..возможность пройти 3х дневный мк всего за 5000т
Девочки. Напишите в direct
Всем спасибо за участие 🌸
 #мк #мкспб #мкпитер #курсы #визажист #мквизажист";1552193100;10;11107719541;True;мкпитер
Bu0h1DVBb8p;"Прошу обратить внимание!!💕💕💕 Вам предоставляется уникальная возможность!👌 19 марта в Санкт-Петербурге будет проходить мастер-класс мастера-преподавателя Ольги Костинецкой из Ростова-на-Дону (в карусели ее работы) для мастеров перманентного макияжа  из многих городов России, Украины, Белоруссии, Германии...🌟
Опытные мастера будут отрабатывать технику  на моделях. 
Нам нужны модели на стрелки с растушевкой.!!
Возраст до 45 лет.не опущенное веко, без старого татуажа!

19 марта в 10.00
Стоимость 1500 руб!!!
Для гарантированного обеспечения мастеров моделями , нужно будет внести предоплату.
______
Запись через администратора WhatsApp в шапке по ссылке ⤵️
Директ/ Viber/Telegram + 7-905-203-04-93
______
@permanent_spb98
@permanent1_spb
#обучениеперманентныймакияжспб #обучениеперманентспб
#курсыперманентспб
#курсытатуажспб 
#перманентспб
#курсытатуажапитер
#курсыпитер #мастерклассспб #мастерклассперманент #мкпитер #базовыйкурспитер #базовыйкурсспб #стрелкасрастушевкойспб";1552205789;423;7812718492;False;мкпитер
Bu0ql5hAw88;"21 марта создадим ФЛОРАРИУМ своими руками в творческом пространстве «Teplo.Weekend» офисе 333 !
⠀
👉 Флора́риум, расти́тельный терра́риум — специальная закрытая ёмкость, изготовленная из стекла или других прозрачных материалов и предназначенная для содержания и разведения растений. Внутри создаются растительные композиции, напоминающие внешне естественные природные ландшафты.
⠀
На мастер-классе под чутким руководством нашего мастера Лады мы сами создадим форму Флорариума😃 и при желании посадим в грунт суккулент😁
⠀
Ждем вас 🍀21 марта на мк Флорариум в технике ""Витражи Тиффани"" 🌵Стоимость: 1500р без посадки суккулента
Стоимость: 1800р с посадкой суккулента
Длительность: 2.5.-3 часа
Возраст от 10 лет
Форма на выбор: кубический📦 и алмазный💎
⠀
Запись по ☎ 960-24-15 или напишите в Директ😉
⠀
P.S. На такой МК можно приобрести ПОДАРОЧНЫЙ СЕРТИФИКАТ от «Teplo.Weekend» и сделать близкому человеку приятный сюрприз🎁
⠀
#teplo_weekend #teplo_мк";1552210384;18;5930539458;False;мкпитер
Bu0rBvxg91I;"Всем доброго дня! Обещанный пост про материалы, Часть 1.
⠀⠀
От материала зависит очень многое, как процесс работы, так и результат.
На данный момент в своей работе я использую декоративную штукатурку Clavel Riviera. 
Ривьеру я действительно считаю прекрасным материалом для скульптурной живописи.
⠀⠀
Давайте разберёмся, в чем же её плюсы?
1. Фактура.
Изначально предназначение Ривьеры - стены. Так как штукатурка является декоративной, то при нанесении можно сделать очень красивый рельеф.
⠀⠀
2. Объём
В составе Ривьеры есть натуральные волокна, они выполняют функцию армирования. Поэтому штукатурка очень пластичная и держит такой колоссальный объём без трещин.
⠀⠀
3. Колеровка
А именно возможность самостоятельной колеровки с помощью различных красителей. Очень удобно на мой взгляд, можно сделать любой цвет, какой хотите и желаете именно Вы. ⠀⠀
4. Консистенция
На самом деле многие спрашивают, какую ещё штукатурку помимо Ривьеры можно использовать? Честно, искала что-то подобное, но может быть именно мне не везёт, и я не могу найти аналог. И самая важная причина - консистенция. Ривьера густая, пластичная, уже готова для работы. Да, иногда после того как откроете заветное ведро, штукатурка настолько свежая, что никакой лепесток объём не держит. Но это не проблема. Нужно лишь убрать лишнюю влагу и всё 😉
⠀⠀
Вот и всё, коротко, что касается самого важного материала в скульптурной живописи. Если что-то забыла, пишите 😉
⠀⠀
Уважаемые Мастерицы, если вдруг Вы знаете аналог Ривьеры и это не секрет, то буду благодарна, если поделитесь 💛🙏
⠀⠀
#скульптурнаяживопись
 #рельефнаяживопись #скульптурнаяживопись #объемнаяживопись #рельефнаяштукатурка #декоративнаяштукатурка #sculpturepainting #объемныецветы #мастеркласспетербург #петербург #мкпитер #обучениесанктпетербург #мастихинка_материалы";1552210612;783;606322402;False;мкпитер
