post_id;text;date;likes;owner_id;is_video;by_tag
Bv39NZApoox;"Поскольку очень активно вы записываетесь на индивидуальные мастер-классы по тортам и десертам, решила,что будет важным посвятить этому отдельный пост)))
Итак, день мк мы с вами подбираем индивидуально! Программа мастер-класса разнообразна,по-этому у вас будет выбор : готовить торты, десерты,начинки, декор или сразу все вместе в один день!☺
Этот день длится с 10 утра до 20 вечера. Работаем начиная с теории и выпечки ,заканчивая декором и дигустацией)😊
Весь теоритических материал и приготовленные десерты вы забираете с собой и счастливые идёте покорять своими умениями мир🥰☺
.
Подробности уточняйте в директ!
 Или пишите в WhatsApp 🥰
.
А на фото тортик весом 1,300
Нежный, сливочный и очень вкусный🍓🤗
.
#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1554468291;540;1028388847;False;мкпитерторты
Bv4gwaXBfvM;"Поскольку очень активно вы записываетесь на индивидуальные мастер-классы по тортам и десертам, решила,что будет важным посвятить этому отдельный пост)))
Итак, день мк мы с вами подбираем индивидуально! Программа мастер-класса разнообразна,по-этому у вас будет выбор : готовить торты, десерты,начинки, декор или сразу все вместе в один день!☺
Этот день длится с 10 утра до 20 вечера. Работаем начиная с теории и выпечки ,заканчивая декором и дигустацией)😊
Весь теоритических материал и приготовленные десерты вы забираете с собой и счастливые идёте покорять своими умениями мир🥰☺
.
Подробности уточняйте в директ!
Или пишите в WhatsApp 🥰
.
А на фото тортик весом 1,300
Нежный, сливочный и очень вкусный🍓🤗
.
#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1554486928;349;6117738832;False;мкпитерторты
Bv_MCa1hwIv;"Хочешь научиться вкусно готовить тортики и десерты самостоятельно для своих родных и для продажи? Ответил да- записывался скорее на мастер-классы на любой вкус и цвет,как говорится😁🥰
Будем печь, много варить, собирать,смешивать,декорировать и наслаждаться общением и множеством полученных знаний!🍓🌺🧁♥️💞🌺🧁🍓
МК как групповые ,так и индивидуальные! 
На апрель осталось всего пару свободных мест!
Успей быть лучшим!!!
👌👌👌👌👌👌
.
#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1554710947;521;6117738832;False;мкпитерторты
Bv_MM1eJaa1;"Хочешь научиться вкусно готовить тортики и десерты самостоятельно для своих родных и для продажи? Ответил да- записывался скорее на мастер-классы на любой вкус и цвет,как говорится😁🥰
Будем печь, много варить, собирать,смешивать,декорировать и наслаждаться общением и множеством полученных знаний!🍓🌺🧁♥️💞🌺🧁🍓
МК как групповые ,так и индивидуальные! 
На апрель осталось всего пару свободных мест!
Успей быть лучшим!!!
👌👌👌👌👌👌
.
#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1554711032;412;1028388847;False;мкпитерторты
Bvj7ZV-hC58;"Хотите зарабатывать дома, рядом с детьми и с большим удовольствием???
Тогда я вас этому научу!!!!!
____________________________
Бомбический 2х дневный мастер-класс ""Торт на счастье""♥️
Я- Алёна , ваш верный товарищ, помощник и строгий наставник! 
Чтобы торт был идеальным ,вам нужно быть в числе моих учеников! Мой опыт приготовления вкуснейших тортов с обалденным декором ,позволит вам делать это наравне с лучшими кондитерами! А применяя полученные знания , вы станете востребованной феей сладкого счастья!☺
Я шла к результату 3 года, приготовила своими руками более тысячи тортов и десертов, испробовала сотни рецептов пока не создала свои пропорции успеха😊 
А вас научу быть гениальным за 2 дня!)
.
Итакс☺ 
Мастер-класс будет полностью практический 😉 
Ваш уровень подготовки не имеет никакого значения! Главное - иметь огромное желание и две руки!❤ Остальному я вас научу!😘
.
ЗАПИСАТЬСЯ НА МК МОЖНО НАПИСАВ В ДИРЕКТ ИЛИ WHATSAPP 👌🥰
.
#tort_na_schastye #мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1553796368;401;6117738832;True;мкпитерторты
Bvj_2g3hx8I;"Хотите зарабатывать вкусно, дома и с удовольствием???
Тогда я вас этому научу!!!!!
____________________________
Бомбический 2х дневный мастер-класс ""Торт на счастье""♥️
Я- Алёна , ваш верный товарищ, помощник и строгий наставник! 
Чтобы торт был идеальным ,вам нужно быть в числе моих учеников! Мой опыт приготовления вкуснейших тортов с обалденным декором ,позволит вам делать это наравне с лучшими кондитерами! А применяя полученные знания , вы станете востребованной феей сладкого счастья!☺
Я шла к результату 3 года, приготовила своими руками более тысячи тортов и десертов, испробовала сотни рецептов пока не создала свои пропорции успеха😊 
А вас научу быть гениальным за 2 дня!)
.
Итакс☺ 
Мастер-класс будет полностью практический 😉 
Ваш уровень подготовки не имеет никакого значения! Главное - иметь огромное желание и две руки!❤ Остальному я вас научу!😘
.
ЗАПИСАТЬСЯ НА МК МОЖНО НАПИСАВ В ДИРЕКТ ИЛИ WHATSAPP 👌🥰
.
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1553798609;270;1028388847;True;мкпитерторты
BvoBzhZBoRd;"""Вишенка на торте!""
Декор-это основа визуальной покупки вашего предложения! Будь-то торт или десерт!) Мастер-класс по декору позволит вам охватить все разновидности тематического и универсального торта!😘
Я- Алёна , ваш верный товарищ, помощник и строгий наставник! 
Чтобы торт был идеальным ,вам нужно быть в числе моих учеников! Мой опыт приготовления вкуснейших тортов с обалденным декором ,позволит вам делать это наравне с лучшими кондитерами ! А применяя полученные знания , вы станете востребованной феей сладкого счастья!☺
Я шла к результату 3 года, приготовила своими руками более тысяч тортов и десертов, испробовала сотни рецептов пока не создала свои пропорции успеха😊 
__________
Виды декоров для мастер-класса:
Мужской , женский, детский , ягодный и флористический декор. 
Так же на нашем практическом занятии вы научитесь работать с :
🍓Вафельными картинками
🍓Изомальтом и карамельной вазой
🍓Карамелью на палочках 🍓Освоите идеальные шоколадные подтеки
🍓Узнаете все секреты изолирования и декорирования живыми цветами
🍓Правила украшения торта ягодами!
🍓Выравнивание торта кремом и подбор рельефных видов фактур для определённых стилистик.
______________
Стоимость однодневного мастер-класса по декору тортов 3900 тыс.
В нее входит всё вышеизложенное обучение, все инструменты,ингредиенты и расходник ,а так же свою работу,свой тортик вы забираете с собой домой 🤗 
А в итоге, вы будете уверенно продавать и дарить свои невероятно красивые торты !😘
Всегда ваша- я🥰🥰🥰
.
#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1553933830;197;6117738832;False;мкпитерторты
BvoCCeZnRRn;"""Вишенка на торте!""
Декор-это основа визуальной покупки вашего предложения! Будь-то торт или десерт!) Мастер-класс по декору позволит вам охватить все разновидности тематического и универсального торта!😘
Я- Алёна , ваш верный товарищ, помощник и строгий наставник! 
Чтобы торт был идеальным ,вам нужно быть в числе моих учеников! Мой опыт приготовления вкуснейших тортов с обалденным декором ,позволит вам делать это наравне с лучшими кондитерами ! А применяя полученные знания , вы станете востребованной феей сладкого счастья!☺
Я шла к результату 3 года, приготовила своими руками более тысячи тортов и десертов, испробовала сотни рецептов пока не создала свои пропорции успеха😊 
__________
Виды декоров для мастер-класса:
Мужской , женский, детский , ягодный и флористический декор. 
Так же на нашем практическом занятии вы научитесь работать с :
🍓Вафельными картинками
🍓Изомальтом и карамельной вазой
🍓Карамелью на палочках 🍓Освоите идеальные шоколадные подтеки
🍓Узнаете все секреты изолирования и декорирования живыми цветами
🍓Правила украшения торта ягодами!
🍓Выравнивание торта кремом и подбор рельефных видов фактур для определённых стилистик.
______________
Стоимость однодневного мастер-класса по декору тортов 3900 тыс.
В нее входит всё вышеизложенное обучение, все инструменты,ингредиенты и расходник ,а так же свою работу,свой тортик вы забираете с собой домой 🤗 
А в итоге, вы будете уверенно продавать и дарить свои невероятно красивые торты !😘
Всегда ваша- я🥰🥰🥰
.
#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1553933952;272;1028388847;False;мкпитерторты
BvwF9qoBFP2;"Хочу чуть подробнее рассказать вам о себе, как о человеке который сможет научить вас готовить вкуснейшие торты и десерты, а так же грамотно их украшать)))💝
Почему именно ко мне- потому что я чистой воды практик-труженник🥰
 Все рецепты отработаны и выведены в идеальные пропорции для превосходного результата!👌 А результат у нас один- вкусно, стабильно, красиво!!!!🍓
Если вы:
-любите готовить -хотите научится готовить десерты и торты
-уже готовите ,но это не предел ваших мечтаний
-у вас не получается выйти за грани умений
-вы мечтаете удивлять вашей работой родных и друзей
- желаете научиться готовить и собирать торты/ десерты идеально ровными, и безупречно красивыми
- хотите зарабатывать на продаже приготовленных вами вкусностей💞
.
Если хоть один из пунктов вам близок- записывайтесь на мой  ПРАКТИЧЕСКИЙ мастер-класс по 5ти тортам🍰, порционным десертам ( 6 вкусов)🧁, и разнообразному декору ( изомальт,карамель,шоколад, вафельная бумага, живые цветы)🌺🍀🧁🍓🥰
.
Очень буду рада нашей полезной встрече ,после которой вы точно будете готовить всё!!! И будете делать это на высоком уровне!👌
.
Всех люблю♥️
Ваша Алёна🧁🌺🍓
.
Записаться на мк можно написав в Директ или WhatsApp
.
#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1554204445;1114;6117738832;False;мкпитерторты
BvwGbDjpwoc;"Хочу чуть подробнее рассказать вам о себе, как о человеке который сможет научить вас готовить вкуснейшие торты и десерты, а так же грамотно их украшать)))💝
Почему именно ко мне- потому что я чистой воды практик-труженник🥰
 Все рецепты отработаны и выведены в идеальные пропорции для превосходного результата!👌 А результат у нас один- вкусно, стабильно, красиво!!!!🍓
Если вы:
-любите готовить -хотите научится готовить десерты и торты
-уже готовите ,но это не предел ваших мечтаний
-у вас не получается выйти за грани умений
-мечтаете удивлять вашей работой родных и друзей
- желаете научиться готовить и  собирать торты и десерты идеально ровными и безупречно красивыми
- хотите зарабатывать на продаже приготовленных вами вкусностей
Если хоть один из пунктов вам близок- записывайтесь на мой  ПРАКТИЧЕСКИЙ мастер-класс по 5ти тортам🍰, порционным десертам ( 6 вкусов)🧁, и разнообразному декору ( изомальт,карамель,шоколад, вафельная бумага, живые цветы)🌺🍀🧁🍓🥰
.
Очень буду рада нашей полезной встрече ,после которой вы точно будете готовить всё!!! И будете делать это на высоком уровне!👌
.
Всех люблю♥️
Ваша Алёна🧁🌺🍓
.
Запись на мк в директ/ WhatsApp .

#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1554204686;582;1028388847;False;мкпитерторты
