post_id;text;date;likes;owner_id;is_video;by_tag
BBHVfs9OX6q;"Доброе пятничное всем!!!🙌🏻 Просили много разнообразных творческих занятий?! Пожалуйста, очередное с пылу с жару😉 7 ФЕВРАЛЯ ""Письма для любимых"" - творческое занятие по КАЛЛИГРАФИИ И ЛЕТТЕРИНГУ от талантливой Антонины Рыжковой @tonya_ryzh и нашей светлой лаборатории!!! ✍🏻📜Будем создавать самые романтичные подписи для открыток ко дню влюблённых (а открытки, кстати, мастерим сами уже в это воскресенье)💌!!! Ай да с нами творить красоту в уютной, душевной атмосфере любимой @luka_pizza 
За всеми подробностями пишите в Директ мне или @zhukova_dasha_ 📮📩 и да, цена ну оооочень привлекательная ☺️";1454052609;115;299668678;False;мкпокаллиграфии
BBKciMnKuG1;"Доброе субботнее всем!!!🙌🏻 Просили много разнообразных творческих занятий?! Пожалуйста, очередное с пылу с жару😉 7 ФЕВРАЛЯ ""Письма для любимых"" - творческое занятие по КАЛЛИГРАФИИ И ЛЕТТЕРИНГУ от талантливой Антонины Рыжковой @tonya_ryzh и нашей светлой лаборатории!!! ✍🏻📜Будем создавать самые романтичные подписи для открыток ко дню влюблённых (а открытки, кстати, мастерим сами уже в это воскресенье)💌!!! Ай да с нами творить красоту в уютной, душевной атмосфере любимой @luka_pizza 
За всеми подробностями пишите нам в Директ или же @geiergalina и @zhukova_dasha_ 📮📩 и да, цена ну оооочень привлекательная ☺️";1454156963;51;2274317743;False;мкпокаллиграфии
BBkH5YVKuBR;"Каким должен быть идеальный творческий мастер-класс? Конечно, в первую очередь познавательным и информативным! Увлекательным? Обязательно! Проходящим в теплой, уютной дружеской обстановке? Непременно! Стильным и атмосферным? Ооо, да!! Наша светлая лаборатория вновь организовала и чудесно провела именно такой идеальный МК! Долгожданное творческое занятие по леттерингу и каллиграфии от талантливой  @tonya_ryzh состоялось в просторном светлом зале нашего любимого ресторана @luka_pizza и прошло буквально на одном дыхании, хотя занимались мы без малого 4 часа!! Совместно с нашим очаровательными участницами мы постигали невероятно красивое, тонкое, возвышенное искусство письма. Фея своего дела Тонечка поделилась с девочками историей каллиграфии, рассказала о ее месте в современном мире, поделилась ценнейшими знаниями, собственными секретами мастерства, а главное вселила в сердце каждого веру в себя и в успех новых начинаний!  Это мероприятие вышло невероятно атмосферным: именно таким, каким рисовало его наше воображение: тихое шуршание акварельной бумаги, плавные взмахи пера, сплетение мыслей и мечтаний в робкие, но такие искренние строки для самых любимых - гармония в чистом виде!

Если вы еще не видели всю красоту происходящую в тот день, то вы можете посмотреть фотокарточки, перейдя по активной ссылке в профиле☝🏻️ , потому что уже готов большой, стильный, уютный, очень красивый фотоотчет!Наслаждайтесь, вдохновляйтесь и влюбляйтесь в это искусство - искусство, подвластное каждому, стоит только открыть душу и распахнуть сердце! 
А если вы ооочень хотели, но по каким-то причинам не смогли попасть на первое занятие, то совсем скоро стартует набор на повторный МК, потому что желающий оказалось действительно очень много!  Так что не упускайте свой шанс окунуться с головой в такой красивый, искренний, увлекательный, а главное невероятно душевный процесс!

До скорых встреч! Света всем!💡";1455018558;80;2274317743;False;мкпокаллиграфии
BBzSjnCKuBq;"Доброго понедельника дорогие друзья!!! Плодотворной всем недели 💪🏻 А для тех, кто был на нашем первом занятии по каллиграфии и леттерингу есть хорошая новость - готов большой, весёлый и душевный видеоотчет🎥 
Так что в перерыве рабочей суеты за чашечкой горячего кофе просим к просмотру😉 (активная ссылка на полный ролик в био 👆🏻). Улыбки и позитивные эмоции гарантируем!!! Приятного просмотра😀 
А для желающих посетить наш второй урок посвящённый этой красивейшей науке, милости просим!!! Запись открыта!!! Ждём ваших писем в Директ 📩📮";1455527463;54;2274317743;True;мкпокаллиграфии
BCKUDkoquCV;Доброго дня друзья!!!🙌🏻 Сегодня среда, а значит до нашего волшебного творческого занятия по леттерингу и каллиграфии от чудесной @tonya_ryzh  остаётся  совсем немного времени🙈 Ждём с нетерпением встречи с участницами, готовим приятно шуршащие конвертики с материалами для каждой и  настраиваемся на творческий лад💆🏻 P.S. А если вы так хотели попасть на наше занятие в первый раз, но по каким-то причинам не смогли, есть шанс реабилитироваться и осуществить свою мечту, ведь у нас ещё есть пару свободных местечек 😉✌🏻️ За подробностями пишите в Директ📮;1456300001;54;2274317743;False;мкпокаллиграфии
BJ-AroOAL9B;"Друзья, у меня на мастер-классе в это воскресенье осталась пара свободных мест! Ищу двух учеников! Мастер-класс для новичков, никакой подготовки не надо 😉 И, кстати, обучение каллиграфии - хороший подарок другу. Подробности к меня под фотографией ""кисть и тушь""";1473067060;140;224952197;False;мкпокаллиграфии
BJVRdORBpnl;Так долго ждала МК от @traveling_calligraphy и наконец-то дождалась! Сходила в @greencaferostov на интересное творческое занятие, с прекрасным учителем @r_eka_ 🙌🏻😊 Спасибо @renne_decor за то, что помогли организовать это мероприятие! А так же спасибо фотографам @melnikof и @melnikovanastin , с нетерпением ждем фотографии!😊 #ваша_даша #traveling_calligraphy #мкпокаллиграфии #каллиграфия #calligraphy #flowers #vsco #vscocam #vscolife #vscobest #vscogood #vscorussia #vscogrid #vscogoodshot #vscodaily #vsconature #tagsforlikes #like4like #picoftheday #photooftheday #rostov #ростовнадону #фотограф;1471700123;123;283543422;False;мкпокаллиграфии
BKm64N6DnMu;"Доброе утро!;) Ростоооов, внимание! У нас открыт набор на однодневный мастер-класс по каллиграфии от @nikolietta_calligraphy , который пройдет 6 октября;) Можно совсем-совсем новичкам;) Все инструменты входят в стоимость и вы заберете их домой! Программа в комментариях, записаться у меня!;) #мкпокаллиграфии #ростов #рнд #мастеркласс #вростове #обучениекаллиграфии";1474439749;276;799331;False;мкпокаллиграфии
BM85_mnhfH5;"Приглашаем 19 и 20 ноября на двухдневный интенсив по каллиграфии BrushPen-ом и кистью🎁 Вы не только освоите эти инструменты и их особенности при письме, но и сделаете уникальную подарочную упаковку! 🎁По 4 часа каждый день - с 12:00 до 16:00
Все детали и подробности у @fantasy_room_moscow
Стоимость- 5000 р за два дня, по промокоду ""Артлофт"" - всего 4000! Мы вас ждем! 🙌";1479472450;40;474792783;False;мкпокаллиграфии
BPQko87BfhF;"Мои работы с МК. ...
Со старым Новым годом всех!🍾🙌🏻🎄#2017#новыйгод2017#январь2017#зима2017#лабораториячерногокролика2017#маце#попросшествииморозов#ченамдоманесидится#минус30#мороз#начинающийкалиграф#каллиграфия#каллиграфияпером#мск#мкпокаллиграфии";1484427310;27;558500963;False;мкпокаллиграфии
BPQlClthPch;Училась.#2017#новыйгод2017#январь2017#зима2017#лабораториячерногокролика2017#маце#попросшествииморозов#ченамдоманесидится#минус30#мороз#мкпокаллиграфии#мск#каллиграфияпером#каллиграфия#начинающийкаллиграф;1484427520;22;558500963;False;мкпокаллиграфии
BSfhAtwlxp6;"Скорее бери себя, детей, друзей, бабушек и дедушек и к нам на мастер-класс по китайской каллиграфии вместе с Дзю Линем🐼🐼🐼 Наличие опыта изучения китайского абсолютно НЕ ТРЕБУЕТСЯ))) Вс, 9 апреля ,12,00))) Записывайся по телефону 375-38-86

Стоимость участия 700 руб 🎆🎆🎆 #китайскаякаллиграфия #каллиграфиянск #мкпокаллиграфии #китайскийязыкнск #китайскийязыкдляначинающих #pandaschool #pandaschoolnsk";1491371175;61;2029844419;False;мкпокаллиграфии
BT_AK4MhAx4;"Модерн. Он такой разный и мне кажется им легче всего передать эмоции! 💭

А я хочу напомнить, что уже через неделю, 🎆20 мая в 10.00 в Кафетериусе🎆состоится моя творческая встреча - каллиграфический завтрак!
❕Осталось одно место❕
Подробности в Директ 📫
Жду вас, будет интересно 😄
#кудапойтиказань
#мкказань #мкпокаллиграфии #каллиграфияказань #кафетериус #мастеркласспокаллиграфии";1494575182;193;4266247488;False;мкпокаллиграфии
BW4TJ23nsC6;"Вчера я прочитал лекцию и провёл мастер-класс по каллиграфии в Публичной библиотеке. Приятно, что аудитория собралась заинтересованная и любознательная! 🤓
Выставка современной каллиграфии размещена в читальном зале на третьем этаже, вы ещё успеваете! 
#каллиграфия #левлиберман #челябинск #лекция #мкпокаллиграфии #чоунб #публичнаябиблиотека #школа_каллиграфии_льва_либермана #levliberman #levlibermanschool #libermanschool #calligraphy #calligraphy_in_che";1500792705;63;1168120743;False;мкпокаллиграфии
