post_id;text;date;likes;owner_id;is_video;by_tag
BdLBr6slFpA;"Очень много вопросов про МАСТЕР-КЛАССЫ в последнее время! Поэтому, кто давно интересовался- пост для вас!😉
⠀— Главное в технологиях современной каллиграфии и леттеринга – это Ваша рука. Возникает вопрос — а нужно ли письмо от руки в эпоху компьютерных технологий? Красиво писать можно и с помощью компьютера, но это – не есть Творчество. 🧐Мы творим душой и сердцем и рука – это инструмент передачи творческой энергии от сердца к сердцу. 
из разнообразных шрифтов, вычурных и не очень, можно увидеть на меловых досках для меню в кафе, среди логотипов мировых брендов, на уличных билбордах, современных открытках, свадебных пригласительных, в заголовках журналов, в шапках веб-сайтов – список можно продолжать еще долго
⠀

Кто жаждет творить и проявлять себя – приглашаю на свои МАСТЕР-КЛАССЫ. 
Предлагаю программы как для продвинутых, так и для начинающих– ГРУППОВЫЕ и ИНДИВИДУАЛЬНЫЕ.
⠀
• Для новичков – 5 занятий • Для продвинутых – 3 занятия 
Продолжительность одного урока 2,5 часа 
ВЫ НАУЧИТЕСЬ
 Сначала выбираем материалы (каллиграфические маркеры и кисти, брашпены, тушь)
⠀
 Потом рисуем основные элементы, из которых состоят буквы (выносные элементы и др. как правильно сесть, постановка руки, как првильно держать материалы в руках, угол наклона тела и ручки).
⠀
 Потом рисуем алфавит и ищем собственный фирменный стиль (шрифт) прописные и строчные… каллиграфические шрифты неограниченно разнообразны, изменяются плотности, наклоны, пропорции, жирности, декоративности шрифта.
⠀
 Потом даю основы композиции, стилисические композиции (креативные текстовые композиции) из букв и делаем финальную работу
⠀
Уникальность курса состоит в том, что обучиться красивому письму может каждый, и не важно есть ли у Вас способности к рисованию. Недаром О почерке «как индикаторе характера и индивидуальности» писал еще в XI веке китайский философ и художник Го Жо сюй ( в своей книге «Записки о живописи».)
⠀
Если есть вопросы- жду в комментариях 😉";1514305983;81;3477873338;False;мкполеттерингу
BfyWJK2FlAc;"Ну что, привет, март🌸 Мы искренне радуемся, немного мечтаем и составляем список “must do” на эту весну.
Если вы ещё не решили, чем заняться, рекомендуем обратить внимание на мастер-класс по леттерингу, который пройдёт в «Воздухе» уже в эту субботу, 3 марта в 12:00! @vi_vikki научит основам, расскажет все о леттеринге, и, конечно, без хорошего настроения и вкусняшек не оставит☺️🌟
Задавать вопросы и записываться прямиком к @vi_vikki 🙌🏻🌿
.
.
#ВоздухСтудияАстрахань #МКпоЛеттерингу";1519920299;135;4582370865;False;мкполеттерингу
BgzDcwjFhla;"Весь день за 3 минуты🙈 это было...потрясающе, удивительно, захватывающе!и еще очень очень  много слов о мк #рольская_ipad
.
.
.
.
#letteringonipad #типичныйобнинск #мкполеттерингу #каллиграфия #digitalcallygraphy #digitallettering #rolskaya_team";1522091536;39;6755494971;False;мкполеттерингу
BhgF241hvSy;"📣МАСТЕР-КЛАСС!
«Леттеринг-постер» пройдёт в Тюмени 15 апреля! 😊
Попробуем с вами поработать разными шрифтами и создать красивую композицию! 📝
От вас фраза 3-5-7 слов, которую хочется нарисовать. Все материалы включены! 📋✏️✒️
Продолжительность 3 часа.
Стоимость 700р.
Чтобы записаться, пиши @zateya_tyumen 🤗
•
•
#леттеринг #тюмень #мкполеттерингу #леттерингтюмень #рисуюбуквы #шрифт #каллиграфия #современнаякаллиграфия #мастеркласс #lettering #lettering_ru #ruslettering #calligraphy #handmadefont";1523602748;96;2142678657;False;мкполеттерингу
BiUkDUhBmXd;"раскидала карандашики на ночь глядючи, да краски сушу. А спонсор @mi_voyloshnikova
#мкполеттерингу #машавойлошникова #вкусныебуковки #вкусные_буковки";1525363409;12;1359445296;False;мкполеттерингу
BiXBdtKBMkz;"Ты же видел в ленте наверняка краски-баночки, карандашики, кисточки? Так вот, это было неспроста #мкполеттерингу #вкусные_буковки три дня мастер-класса от чудесной @mi_voyloshnikova завершились.
небольшой по продолжительности, но очень вместительный МК получился. 
я же не держала в руках кисти с 2011го года. со времен кошек 30х годов (растяжки и пейзажики гуашные не в счет), так что то, что вышло в итоге из-под моего ""пера"" - вышло неплохо. 
да, надо набивать руку. заново. 
короче.
Маша учит искусству леттеринга, и Маша молодец. И еще - все это прошло в теплой ламповой и творческой обстановке, за что отдельное спасибо всем участникам МК. а Маше я искренне желаю Творчества, Вдохновения, Идей и их воплощений!
Благодарю тебя! (и зови еще - с удовольствием поучаствую!)";1525445938;11;1359445296;False;мкполеттерингу
BibKHbCh0ik;"🌟Приглашаем на КУРС ПО ЛЕТТЕРИНГУ «От линии до проекта»🖌
Стартует 8 мая.
Если вы дизайнер🎨, иллюстратор, а может просто творческий человек, пишите и любите буквы, тогда, присоединяйтесь!
⠀

Курс состоит из 8 занятий, занимаемся 2 раза в неделю по 3 часа в небольшой группе, +1 консультация в skype по итоговой работе.
⠀

Вас ждет интересная творческая атмосфера, практика, общение с единомышленниками, работа над собой и конечно же чай с печеньками🍪
⠀

Записывайтесь по тел.8 913 952-70-27 или в ЛС Алсу Баланева @alsou_gd ⠀ 📆8 мая - 2 июня.
⠀

Вторник с 19:00- 21:00. Занятие проходит у нас в клубе «Be Happy» 
Суббота с 12:00 - 14:00. Golden scrap, студия скрапбукинга, ул. Ленина, 21/1 к. 1, офис 202.
⠀ 📍Бумага, основные инструменты, печать итогового проекта включены. 💰Стоимость курса 5500 руб. (возможна оплата 50% + 50%)
Место бронируется по предоплате 1000 руб.
⠀

#behappy#clubbehappy#behappynsk#арендазалов#залыдлямероприятий#лофт#арендазаловнск#нск#nsk#novosibirsk#залынск#уютныйдом#леттеринг#курсполеттерингу#мкполеттерингу#леттерингнск";1525584692;25;1832827466;False;мкполеттерингу
BjPp8o1g-d7;Завтра в @granatovyi_sad_elista стартует мой цикл мастер классов по акварели и леттерингу))) приходите все🙌 все подробности в группе @granatovyi_sad_elista;1527346336;58;272282095;True;мкполеттерингу
Boblj_HABgF;"Выложу фоточки с нашего мастер-класса по леттерингу в прошлую субботу в @krapivakrapiva)
Честно, каждый раз так нервничаю перед МК, как-будто надо выступать перед большой аудиторией 😂, а все потому, что хочется, чтобы все было на высшем уровне, пытаешься продумать каждую минуту мастер-класса, каждый момент, чтобы каждый вынес оттуда что-то новое и интересное, и в то же время, чтобы у всех все получилось)
.
А пока мы составляем расписание на следующие МК я предлагаю вам написать ваши пожелания, какие мастер-классы вы бы хотели? Акварель, леттеринг, карандашная графика с натуры?) буду планировать с учетом ваших пожеланий)
.
Будет интересно, обещаю!
.
P.S. Спасибо @krapivakrapiva, что принимает нас в своей студии) супер-уютное место❤️❤️ все девочки с потрясающим отношением)";1538483984;176;291777475;False;мкполеттерингу
BoguxIBg1Wz;"Готовлюсь к предстоящему мастер классу🎓. Опыт ведущего или преподавателя у меня очень  маленький. Одно дело - уметь что-то делать, другое - научить этому.Но мне всегда говорили,что я очень хорошо объясняю😄. Вот сижу сейчас,структурирую теоретическую часть,чтобы ничего не упустить.Что бы в воскресенье все ушли домой не только с расписанной мелом досочкой,но и со знаниями основ леттеринга. Полученных знаний вам хватит,чтобы научиться создавать качественные крутые надписи. Но тут,как в любом деле,без тренировки никуда😊. Кстати осталось одно место на мастер класс.Записаться можно у @tvorcheskie_ast
.
.
.
#леттерингастрахань#мкполеттерингу#астраханьмастеркласс#мастерклассастрахань#меловойлеттерингастрахань#обучениелеттерингуастрахань#меловыедоскиастрахань#меластрахань#рисуюмелом#рисуюбуквы#меловойлеттеринг#кафе#кафеастрахань#меловоеменюастрахань#мастеркласс#астрахань#событияастрахань#astrakhan#astrakhan_people#astrakhan_live";1538656582;32;5573405650;False;мкполеттерингу
