post_id;text;date;likes;owner_id;is_video;by_tag
-1Y9-vwf21;"Новый год наступает на пятки! Чуете?
🎄🎅🏼🎁❄️☃️ ⠀ 
Я уже да, потому что мы распродали почти все билеты на мастер-класс по праздничному мейкапу в школе макияжа Аделины Андреевой!💁🏻‍♀️ ⠀ 
Но парочку я успела отложить специально для тебя и твоей подруги🔖😉Зажгём на МК и многому научимся - пиши в директ✍🏼🙌🏼";1449155483;108;2248269222;False;мкпомакияжу
9vPjjZwf7B;"Все-таки за 8 лет работы бьюти-индустрия надёжно прописалась не только в моём сердце❤️, в голове👉🏼👩🏻, но и НА голове!🙆🏻‍♀️В формате таких вот забавных кисточек в прическе(и это не рога блин, как предположили некоторые🖌😏)
⠀ 
А по-моему, шикарный образ для проведения мастер-класс по продажам людям из сферы красоты! Чтобы сразу понимали, куда попали😈😃";1446801738;111;2248269222;False;мкпомакияжу
Bg9Z6Upn7iz;А у нас вчера в @model_school в непринужденной, дружной,творческой обстановке прошел мастер класс по 💄нюдовому макияжу💄 Было много вопросов, много ответов, демонстрация и отработка многих секретов визажистов👌🏻как сделать макияж- без макияжа??!!! И выглядеть при этом не старше своих лет, но и тем не менее ,аккуратно скрыть некоторые недостатки и мастерски подчеркнуть достоинства💄 как мне показалось девочки хватали все на лету, я старалась уделить внимание каждой леди! Теперь юные модели @model_school вооружены секретами нюдового макияжа и готовы покорять вершины! Девочки, мои дорогие и старательные, вы большие умнички!!! Для меня огромное удовольствие поделиться с вами своими знаниями! #И пусть вокруг вас весь мир кружит#школамоделейСветловодск#model-school#макияжСветловодск#БровиСветловодск#ЛаминированиересницСветловодск#прическиСветловодск#стилист-визажист#ВикторияФролова#☎️097-668-12-25#МКВикторииФроловой#визажистВикторияФролова#макияжСветловодск#МКпомакияжу#;1522438857;80;1360693962;False;мкпомакияжу
BhB8CO5Hf5v;Вся банда@model_school пришедших на мастер класс в сборе! #модели#школамоделейСветловодск#макияжСветловодск#стилиствизажист#ВикторияФролова#☎️097-668-12-25#МКВикторииФроловой#МКпомакияжу#визажистВикторияФролова#макияжСветловодск#;1522590965;55;1360693962;False;мкпомакияжу
BmyRTHsBpdW;"📞 +7 (906) 076-21-91 телефон/WhatsApp/Viber
www.lizamoskva.narod.ru
Москва
✔Прически от 3000 руб.
✔Макияж от 3000 руб.
✔Причёска и макияж от 4500 руб. 💍bleskliza💍 
#стилист #стилистмосква #свадебныйстилист #свадебныйстилистмосква #визажистнадом #прическанасвадьбу #макияжнасвадьбу #образневесты #низкийпучок #мкпомакияжу #мкпоприческам #longhair #свадебныймакияж #прическанапраздник #свадебныйстилист #свадебныйстилистмосква #визажистнадоммск #свадебныйстилистмск #прическинадомумск";1534950144;2;5801117244;False;мкпомакияжу
BmyRb_6hnYu;"📞 +7 (906) 076-21-91 телефон/WhatsApp/Viber
www.lizamoskva.narod.ru
Москва
✔Прически от 3000 руб.
✔Макияж от 3000 руб.
✔Причёска и макияж от 4500 руб.
. 💍bleskliza💍 
#стилист #стилистмосква #свадебныйстилист #свадебныйстилистмосква #визажистнадом #прическанасвадьбу #макияжнасвадьбу #образневесты #низкийпучок #мкпомакияжу #мкпоприческам #longhair #свадебныймакияж #прическанапраздник #свадебныйстилист #свадебныйстилистмосква #визажистнадоммск #свадебныйстилистмск #прическинадомумск";1534950217;2;5801117244;False;мкпомакияжу
BmySafThsHW;"📞 +7 (906) 076-21-91 телефон/WhatsApp/Viber
www.lizamoskva.narod.ru
Москва
✔Прически от 3500 руб.
✔Макияж от 3500 руб.
✔Причёска и макияж от 4500 руб. 💍bleskliza💍 
#стилист #стилистмосква #свадебныйстилист #свадебныйстилистмосква #визажистнадом #прическанасвадьбу #макияжнасвадьбу #образневесты #низкийпучок #мкпомакияжу #мкпоприческам #longhair #свадебныймакияж #прическанапраздник #свадебныйстилист #свадебныйстилистмосква #визажистнадоммск #свадебныйстилистмск #прическинадомумск";1534950729;3;5801117244;False;мкпомакияжу
BmySuhFBiuD;"📞 +7 (906) 076-21-91 телефон/WhatsApp/Viber
www.lizamoskva.narod.ru
Москва
✔Прически от 3500 руб.
✔Макияж от 3500 руб.
✔Причёска и макияж от 4500 руб. 💍bleskliza💍 
#стилист #стилистмосква #свадебныйстилист #свадебныйстилистмосква #визажистнадом #прическанасвадьбу #макияжнасвадьбу #образневесты #низкийпучок #мкпомакияжу #мкпоприческам #longhair #свадебныймакияж #прическанапраздник #свадебныйстилист #свадебныйстилистмосква #визажистнадоммск #свадебныйстилистмск #прическинадомумск";1534950893;2;5801117244;False;мкпомакияжу
BmyTDsihsEk;"📞 +7 (906) 076-21-91 телефон/WhatsApp/Viber
www.lizamoskva.narod.ru
Москва
✔Прически от 3500 руб.
✔Макияж от 3500 руб.
✔Причёска и макияж от 4500 руб. 💍bleskliza💍 
#стилист #стилистмосква #свадебныйстилист #свадебныйстилистмосква #визажистнадом #прическанасвадьбу #макияжнасвадьбу #образневесты #низкийпучок #мкпомакияжу #мкпоприческам #longhair #свадебныймакияж #прическанапраздник #свадебныйстилист #свадебныйстилистмосква #визажистнадоммск #свадебныйстилистмск #прическинадомумск";1534951067;2;5801117244;False;мкпомакияжу
BmyTGEfBgsW;"📞 +7 (906) 076-21-91 телефон/WhatsApp/Viber
www.lizamoskva.narod.ru
Москва
✔Прически от 3500 руб.
✔Макияж от 3500 руб.
✔Причёска и макияж от 4500 руб. 💍bleskliza💍 
#стилист #стилистмосква #свадебныйстилист #свадебныйстилистмосква #визажистнадом #прическанасвадьбу #макияжнасвадьбу #образневесты #низкийпучок #мкпомакияжу #мкпоприческам #longhair #свадебныймакияж #прическанапраздник #свадебныйстилист #свадебныйстилистмосква #визажистнадоммск #свадебныйстилистмск #прическинадомумск";1534951086;2;5801117244;False;мкпомакияжу
BmyTzzKh6OV;"📞 +7 (906) 076-21-91 телефон/WhatsApp/Viber
www.lizamoskva.narod.ru
Москва
✔Прически от 3500 руб.
✔Макияж от 3500 руб.
✔Причёска и макияж от 4500 руб. 💍bleskliza💍 
#стилист #стилистмосква #свадебныйстилист #свадебныйстилистмосква #визажистнадом #прическанасвадьбу #макияжнасвадьбу #образневесты #высокийпучок #мкпомакияжу #мкпоприческам #longhair #свадебныймакияж #прическанапраздник #свадебныйстилист #свадебныйстилистмосква #визажистнадоммск #свадебныйстилистмск #прическинадомумск";1534951461;2;5801117244;False;мкпомакияжу
Bmybs7Gh7aI;"📞 +7 (906) 076-21-91 телефон/WhatsApp/Viber
www.lizamoskva.narod.ru
Москва
✔Прически от 3500 руб.
✔Макияж от 3500 руб.
✔Причёска и макияж от 4500 руб. 💍bleskliza💍 
#стилист #стилистмосква #свадебныйстилист #свадебныйстилистмосква #визажистнадом #прическанасвадьбу #макияжнасвадьбу #образневесты #низкийпучок #мкпомакияжу #мкпоприческам #longhair #свадебныймакияж #прическанапраздник #свадебныйстилист #свадебныйстилистмосква #визажистнадоммск #свадебныйстилистмск #прическинадомумск";1534955599;2;5801117244;False;мкпомакияжу
Bo10Th_hlGm;"📞 +7 (906) 076-21-91 телефон/WhatsApp/Viber
www.lizamoskva.narod.ru
Москва
✔Прически от 3500 руб.
✔Макияж от 3500 руб.
✔Причёска и макияж от 4500 руб. 💍bleskliza💍 
#стилист #стилистмосква #свадебныйстилист #свадебныйстилистмосква #визажистнадом #прическанасвадьбу #макияжнасвадьбу #образневесты #низкийпучок #мкпомакияжу #мкпоприческам #longhair #свадебныймакияж #прическанапраздник #свадебныйстилист #свадебныйстилистмосква #визажистнадоммск #свадебныйстилистмск #прическинадомумск";1539364128;5;5801117244;False;мкпомакияжу
