post_id;text;date;likes;owner_id;is_video;by_tag
BUoQPG0lZP9;Как я мечтаю давно попасть на мк к этой красотке @maricherry_fox,а теперь еще и появился  классный шанс получить причёску и макияж бесплатно 😀 от 🔝мастера 😍 вся информация под последним постом у @maricherry_fox и я тоже #хочу_до_после от тебя в подарок 😜✌🏼💄.Может повезет и перед днем рождения выиграю 😉.#визажистыспб#спб#питер#мкпоприческамспб#фотосессияподключпитер#питер#питернеспит#питеронлайн;1495959337;56;285631477;False;мкпоприческамспб
BapPbABlMhz;"Осень - пора новых знаний, открытий и опыта 😂, не так ли?! Если Вы готовы делиться своими знаниями и опытом в сфере создания красоты, мы рады предложить  комфортные условия для работы в нашей уютной гримерной студии в центре города, на Невском проспекте 139. 
У нас Вы сможете провести обучение или мастер-класс по макияжу, оформлению бровей или созданию причёсок, укладок👌 
В Вашем распоряжении 8 гримерных столов, с большими зеркалами, правильным  светом💡, широкими столешницами и всем необходимым для комфортного обучения или работы 😉 Так же мы можем предоставить, по необходимости, до 10 дополнительных посадочных мест. 
Для удобства показа макияжа на модели мы можем предложить камеру 📷 с возможностью трансляции на ТВ с ульта HD матрицей, на таком экране видны все нюансы работы 👌 а также флипчарт, и конечно же всеми любимая кольцевая лампа ✌️ У нас есть отдельная фото-зона, которая тоже в вашем распоряжении 😊
Вкуснейший, ароматный, свежесваренный кофе, чай, печеньки в ассортименте 😉 
Арендовать всю студию можно от трёх часов! Только до конца ноября цена аренды всей студии на три часа 1500р., на целый день с 9 до 19ч 3000р. 
Ждём Вас по адресу: 
Невский проспект, д.139 
От ст.м. пл.Александра Невского 6 минут пешком
Бронирование по телефону 📲 +79219065890
Больше информации по ссылке в шапке профиля 👌

#арендагримеркиспб #арендарабочегоместавизажистаспб
#курсывизажиста #обучениевизажуспб #обучениемакияжуспб  #самсебевизажистспб #обучениенабровистаспб #архитектурабровейспб #окрашиваниебровейспб #обучениеукладкамспб #мкпоприческамспб #визажистстилистспб #визажистспб #макияжспб";1508877367;63;6037311861;False;мкпоприческамспб
BfEM5clhkNu;Очаровательная Викуля была в моих руках🙌🏻 несколько дней, спасибо, что выручала💕 😘😘😘 #МаринаПобединская;1518371948;829;3033147321;False;мкпоприческамспб
BfY1CjYhPqh;"❤️Вот и видео📹 с моего курса по прическам😍
.
Сейчас у меня очень плотная запись📝, поэтому планирую провести 2х дневный интенсив 4 самых востребованных причёсок невест с отработкой!!! Интенсив подойдёт и для мастеров с опытом и без❤️ Кто хочет пишите в Директ 🙋🏼🙋🏼🙋🏼😘 Ваша #МаринаПобединская";1519064535;620;3033147321;True;мкпоприческамспб
BfpzmqzFLdo;"Меня часто спрашивают провожу ли я обучение по Прическам 💁🏼 в связи с этим решила в апреле запустить однодневный мастер класс по самым востребованным свадебным причёскам. 
Приглашаю всех желающих на мой мастер класс 20 апреля, начало в 10:00.
На МК будут представлены: 🌸 Экспресс причёска;
🌸 Объёмные локоны;
🌸 Текстурный пучок. 
Отработка одной прически на выбор. 💐По окончанию курса выдаётся сертификат 📜
Курс рассчитан, как для новичков так и для работающих мастеров. ✨
Запись на МК и подробная информация  пожалуйста по телефону +7-981-758-47-04 (WhatsApp/Viber) либо в Директ. 
#прическанасвадьбу #прическиспб #обучениеприческамспб #мастерклассспб #мастеркласспоприческамспб #свадебныйвизажистспб #свадебныйстилистспб #прическанасвадьбуспб #свадебнаяприческа #свадебнаяприческаспб #мкпоприческамспб";1519633755;64;1393607038;False;мкпоприческамспб
Bggm2bKFdNu;"🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊Ну что,Девочки!
Я очень долго думала и наконец то решилась✌🏼
С 1.04 
Запускаю Курс:
Только самое интересное и Актуальное!👌🏼
✅Тщательно продуманная программа позволит творить красоту и каждый день выглядеть прекрасно,а так же начать творить красоту для других🎀
✅Прически для себя
3 дня по 3 часа
🌸Индивидуальное обучение.
🌸Группа 3 человека
✅Обучение «Стилист по причёскам» 
5 дней по 5 часов
🌸Индивидуальное обучение
🌸Группа 3 человека
 Запись в Direct!🖤💗🖤
#обучениеприческамспб#стилистспб#стилистпоприческамобучение#мкпоприческамспб#мастеркласспоприческамспб#спб";1521472562;42;1926017862;False;мкпоприческамспб
BkwfNObFlR-;"Небольшой фотоотчет с моего недавнего МК «Свадебный стилист» 👰🏼
И у меня небольшой опрос для ВАС 🤗
1️⃣ Стоит ли мне ещё делать МК?
2️⃣ Если ДА, то какой именно?
- макияж;
- прически;
-то и другое.

Я довольна осталась от МК, надеюсь девочкам понравилось и они получили знания за которыми шли 👩‍🎓🤗
Отдельное спасибо моей прекрасной модели @nastenasannik 😍

#студиямакияжаспб #макияждлясебяспб #обучениевизажистовспб #макияжспб #свадебныймакияжспб #свадебныйстилистспб #свадебныеприческиспб #свадебныйобразспб #свадьбаспб #невестаспб #свадебнаяприческаспб #прическиспб #прическаспб #выпускнойспб #прическинасвадьбуспб #выпускной #tomamakeupartist #makeupstudiotb #мкспб #мкпоприческамспб #мкпомакияжуспб @best__hairstyle__russian";1530595360;93;1393607038;False;мкпоприческамспб
BlIEQKqFXfC;"Привет мои хорошие 🤗🤗🤗 Последнее время  мне хочется больше делать экспресс прически 💁‍♀️
И это совсем не потому, что мне лень или надоели сложные прически. Нет! Просто в таких легких прическах есть свой шарм, аккуратная небрежность, естественность и шик. И это стало так модно, и актуально 😍

В сентябре планирую провести МК по экспресс причёскам 😃👱🏻‍♀️
Хотели бы на такой МК ко мне? 🤗

P.S. Ну и какая Прическа без украшения 😍🌸 Спасибо моей рукодельнице @dreamelephant_wed 
#свадебнаяприческаспб #свадебныеприческиспб #мкпоприческамспб #мкспб #свадебныйстилистспб #свадебныйвизажистспб #прическинавыпускнойспб #прическинасвадьбуспб #прическиспб #экспрессприческиспб #мкпоэкспрессприческамспб #свадебныецветыспб";1531386535;124;1393607038;False;мкпоприческамспб
BmeO8NpArYx;"Заметила,что в ленте мало хвостов,а ведь они такие красивые 😍
#прическиспб #свадебныеприческиспб #свадебныйстилистспб";1534277820;80;2140038384;False;мкпоприческамспб
BmePK8Ggi8_;"Сделали бы себе такой хвост на мероприятие!?Мне очень нравится)
#вечерниепрически #стилистповолосам #прическинадлинныеволосы";1534277940;94;2140038384;False;мкпоприческамспб
BmeWAC6AAf5;"Хвост со всех ракурсов 😍
#прическиспб #свадебныепрически #свадебныйстилистспб";1534281548;68;2140038384;True;мкпоприческамспб
BnMnG0cFguo;"Вот так нас вдохновило 1 сентября 😍
Шикарный макияж @alexeeva_victoria 
Модель @elena_gordeychik 
И укладка от меня 😊Как вам образ ?
#визажистспб #макияжспб #свадебныйстилистспб";1535833993;233;2140038384;False;мкпоприческамспб
BoI4bJ4lG_w;"А вы любите пучки? Или больше предпочитаете прически с сохранением длины?
.
Я большая любительница высоких причесок и чем пышнее и текстурней, тем по мне она шикарней смотрится. С таким пучком хоть в свет, хоть дома. Джинсы или любая повседневная одежда, Добавили украшение и Прическа смотрится уже более торжественно.
В том или ином виде любая девушка будет выглядеть интересно, ухожено и привлекательно 💁‍♀️
.
А украсить мне прическу помогли аксессуары ручной работы от @elli_hm__ .
#макияждлясебяспб #макияжспб #самсебевизажистспб #обучениемакияжуспб #визажистспб #прическинакаждыйденьспб #прическиспб #прическанасвадьбуспб #прическинасвадьбуспб #пучокспб #свадебныеприческиспб #прическаспб #обучениеприческамспб #мкпоприческамспб #мкпоприческам";1537856339;86;1393607038;False;мкпоприческамспб
