post_id;text;date;likes;owner_id;is_video;by_tag
Bt050GkD7n-;".
Новые флаконы для мужских ароматов!
.
Друзья, продолжается запись на ближайшие мастер-классы!
.
16 февраля, суббота, 19.00
17 февраля, воскресенье, 18.00
Запись в direct
.
🖤
.
#essbouquet 
#уникальныйпарфюм #созданиепарфюма #индивидуальныйпарфюм #созданиесвоегопарфюма #мкпосозданиюпарфюма #созданиепарфюмаспб #мастеркласспарфюм #парфюмсвоимируками  #духисвоимируками 
#мастерклассспб #мирароматов #кожаныеароматы #древесныеароматы #мужскиеароматы #подароксдушой #подароксвоимируками #парфюмерныймастеркласс";1550070976;31;9264334320;True;мкпосозданиюпарфюма
Bt3ZDvMDdoV;".
Дорогие друзья!
.
Мы хотим поздравить вас с Днём Святого Валентина!
Не так важно - проводите Вы его в одиночестве или вдвоем с близким человеком – любовь к миру начинается с любви к себе! 
Подарите себе сегодня чуть больше внимания, чуть больше радости, чуть больше удовольствия и чувственности! 
Влюбитесь в себя прямо сегодня и каждый день, не дожидаясь повода! 🌹
.
А мы вам непременно в этом поможем, - с любовью Ess Bouquet !
🖤
.
#essbouquet 
#уникальныйпарфюм #созданиепарфюма #индивидуальныйпарфюм #созданиесвоегопарфюма #мкпосозданиюпарфюма #созданиепарфюмаспб #мастеркласспарфюм #парфюмсвоимируками #духисвоимируками 
#мастерклассспб #мирароматов #кожаныеароматы #древесныеароматы #мужскиеароматы #женскиеароматы #подароксдушой #подароксвоимируками #парфюмерныймастеркласс
#любовьксебе #деньвалентина";1550154370;24;9264334320;False;мкпосозданиюпарфюма
Bt524jwDPw9;"Дорогие друзья!
.
Расписание классов на ближайшую неделю:
.
19 февраля, вторник, 19.00
21 февраля, четверг, 19.00
22 февраля, пятница, 19.00
23 февраля, суббота, 19.00
24 февраля, воскресенье, 13.00 и 18.00
.
И помните, что флакон с парфюмом, сделанным Вашими руками - прекрасный подарок близкому человеку! .
🖤

#essbouquet 
#уникальныйпарфюм #созданиепарфюма #индивидуальныйпарфюм #созданиесвоегопарфюма #мкпосозданиюпарфюма #созданиепарфюмаспб #мастеркласспарфюм #парфюмсвоимируками  #духисвоимируками 
#мастерклассспб #мирароматов #кожаныеароматы #древесныеароматы #мужскиеароматы #подароксдушой #подароксвоимируками #парфюмерныймастеркласс";1550237116;30;9264334320;False;мкпосозданиюпарфюма
Bt8q5pCD03E;".
Наши новые стильные флаконы 50 ml хороши как для подарка, так и для себя, любимой! 🖤
.
#essbouquet 
#уникальныйпарфюм #созданиепарфюма #индивидуальныйпарфюм #созданиесвоегопарфюма #мкпосозданиюпарфюма #созданиепарфюмаспб #мастеркласспарфюм #парфюмсвоимируками  #духисвоимируками 
#мастерклассспб #мирароматов #кожаныеароматы #древесныеароматы #пудровыеароматы #подароксдушой #подароксвоимируками #парфюмерныймастеркласс";1550331630;36;9264334320;True;мкпосозданиюпарфюма
BtV5Bkfn6V5;".
Друзья, 
мы рады приветствовать вас - наших новых подписчиков!
.
Ess Bouquet (Эсс Буке́) - это парфюмерные мастер-классы, которые проходят в Санкт-Петербурге и Москве! 
В скором времени мы объявим набор в группы по разным ароматам, а пока открыта запись на индивидуальные классы, где вы сделаете свои первые духи за 2-3 часа!
.
Итак, содержание парфюмерного мастер-класса: 
1. Немного из истории парфюма 
2. Знакомство с ингредиентами для создания духов (из лучших лабораторий Франции, Швейцарии, Японии) 
3. Особенности восприятия ароматов 
Почему жасмин + лимон = жареная рыба? 
4. Подбор индивидуальных ароматических ингредиентов 
5. Составление индивидуальной формулы духов 
6. Создание собственного парфюма 10 ml каждому участнику
.
Парфюмерные мастер-классы от Ess Bouquet – это не только готовый флакон с уникальным ароматом, созданным своими руками, но и новая изысканная форма досуга и общения со своими друзьями или со своей второй половиной!
.
🖤
#essbouquet 
#уникальныйпарфюм #созданиепарфюма #индивидуальныйпарфюм #созданиесвоегопарфюма #мкпосозданиюпарфюма #созданиепарфюмаспб #мастеркласспарфюм #парфюмсвоимируками #духисвоимируками 
#мастерклассспб #изысканныйдосуг #досугспб";1549030279;26;9264334320;False;мкпосозданиюпарфюма
Btaen-bDZbs;"Дорогие девушки, 
мы открываем запись на мастер-класс по пудровым ароматам.
.
Петербурженкам особенно близки пудровые духи, дарящие дымку нежности, загадочность и тонкую аристократичность. 
Пудровые ароматы - пожалуй, самая значительная группа ароматов, основанная на запахах цветов, главные аккорды - цветочный и гурманский. Понятие «пудровый запах» условное, действительно связано с запахом рассыпной пудры. Пудровый - значит приглушенный, обволакивающий, матовый, кремовый, бархатистый, мягкий, слегка пыльный, как бы припудренный. 
Можно попробовать понять, что такое пудровый аромат духов, если представить себе яркую композицию со сладкими нотами, чуть сухую, но при этом невероятно роскошную. Такое сочетание будет «говорить» очень женственно, несомненно добавляя шарм его обладательнице.
.
Примеры известных пудровых ароматов: 
L’Instant Magic Guerlain, Petits et Mamans Bvlgari, Eau de Shalimar Guerlain, Allure Chanel, Petits et Mamans Bvlgari, Chloe аромат Love, Montale Powder Flowers .
Пудра может быть будто приглаженной, суховато-бархатной, может быть крем-пудрой или с ощутимыми металлическими нотками, а, возможно, будет пудрой «тонкого помола». Вариантов очень много! Выберите и создайте свою 💐/запись в Директ/.
.
А как вы лично относитесь к пудровым ароматам?
.
🖤
#essbouquet 
#уникальныйпарфюм #созданиепарфюма #индивидуальныйпарфюм #созданиесвоегопарфюма #мкпосозданиюпарфюма #созданиепарфюмаспб #мастеркласспарфюм #парфюмсвоимируками #духисвоимируками 
#мастерклассспб #изысканныйдосуг #досугспб";1549184210;32;9264334320;False;мкпосозданиюпарфюма
Btdn018DiLw;".
Интересно ли вам читать мысли известных личностей на нашей страничке, друзья?
.
#цитатыизвестныхлюдей .
#essbouquet #мирароматов #мирдухов #парфюмерныймастеркласс
#уникальныйпарфюм #созданиепарфюма #индивидуальныйпарфюм #созданиесвоегопарфюма #мкпосозданиюпарфюма #созданиепарфюмаспб #мастеркласспарфюм #парфюмсвоимируками #духисвоимируками 
#мастерклассспб #изысканныйдосуг #досугспб";1549289698;22;9264334320;False;мкпосозданиюпарфюма
BtdrWRvDzN-;".
Дорогие девушки!
.
Определилось расписание ближайших парфюмерных мастер-классов для небольших групп в Санкт-Петербурге :
.
9 февраля, 18.00 – Пудровые ароматы 
10 февраля, 14.00 – Пудровые ароматы 
10 февраля, 18.00 – Пудровые ароматы
.
Запись в директ и по ссылке в профиле 💐
.
#essbouquet 
#уникальныйпарфюм #созданиепарфюма#индивидуальныйпарфюм#созданиесвоегопарфюма#мкпосозданиюпарфюма#созданиепарфюмаспб #мастеркласспарфюм#парфюмсвоимируками #духисвоимируками 
#мастерклассспб #изысканныйдосуг #досугспб #мирароматов #пудровыеароматы #пудровыедухи #парфюмерныймастеркласс";1549291544;24;9264334320;False;мкпосозданиюпарфюма
Btg4fFVDRkj;"Дорогие девушки!
.
Осталось несколько мест на ближайшие мастер-классы по пудровым ароматам!
.
9 февраля, 18.00
10 февраля, 14.00
10 февраля, 18.00
.
Готовим для вас шампанское и новые дорогие молекулы 💎
.
Адрес:
Санкт- Петербург, ул.Льва Толстого, 9 - БЦ Толстой Сквер
.
#essbouquet
#уникальныйпарфюм #созданиепарфюма #индивидуальныйпарфюм #созданиесвоегопарфюма #мкпосозданиюпарфюма #созданиепарфюмаспб #мастеркласспарфюм #парфюмсвоимируками  #духисвоимируками 
#мастерклассспб #изысканныйдосуг #досугспб #мирароматов #пудровыеароматы #пудровыедухи #парфюмерныймастеркласс";1549399130;45;9264334320;True;мкпосозданиюпарфюма
BtldzyUjxPP;".
Все духи, парфюмированные и туалетные воды принято относить к одному или нескольким семействам ароматов.
.
Это отношение зависит от того, какие основные ноты ярче звучат в композиции. Но во многих случаях происходит сочетание нот, и тогда аромат относят к двум семьям сразу, например цветочно - фруктовые.
.
Наиболее популярные группы ароматов: - цветочные, цитрусовые, гурманские (кондитерские, сладкие), акватические (морские), фруктовые, фужерные (травянистые, зеленые), восточные (ориентальные), древесные, пудровые, пряные (специевые), кожаные, шипровые.
.
Неповторимое созвучие нот делает аромат уникальным и узнаваемым. Важно правильно подобрать аромат, так, чтобы он гармонировал с владельцем и ненавязчиво подчеркивал его индивидуальность.
Известная дочь великого художника Палома Пикассо сказала однажды: ""Духи - это автограф личности"".
.
А знаете ли Вы, к какому семейству ароматов относятся ваши любимые духи? 
Если нет, оставляйте название своего парфюма и мы Вам ответим
🖤
.
#essbouquet 
#уникальныйпарфюм #созданиепарфюма #индивидуальныйпарфюм #созданиесвоегопарфюма #мкпосозданиюпарфюма #созданиепарфюмаспб #мастеркласспарфюм #парфюмсвоимируками  #духисвоимируками 
#мастерклассспб #изысканныйдосуг #досугспб #мирароматов #пудровыеароматы #пудровыедухи #парфюмерныймастеркласс";1549552881;38;9264334320;False;мкпосозданиюпарфюма
