post_id;text;date;likes;owner_id;is_video;by_tag
BP2F14pBdyS;"Дорогие мои, вчера прошел наш #стильныйдевичник в @artego.krd Вместе с @li_zinchenko , @traveliver мы вещали о красоте, стиле, макияже, и конечно, наших мечтах и желаниях)

Что могу сказать) Как всегда получила кайф от общения с аудиторией, очень благодарной и задающей массу вопросов, за что ей отдельное спасибо! Пришли новые и прежние слушатели моих #мкпостилю. Так что определенно - будем проводить мероприятия подобного формата часто, так что следите за афишами) Тем более, что зрители остались в востроге!) А пока, в ожидании фото-видео отчета, с радостью делюсь некоторыми фото)
PS. Девочки, @traveliver @ivancha_anna_ , спасибо вам отдельное за пойманные моменты моей части мероприятия)

#аленаархипова #мкпостилю #стильныйдевичниккраснодар #имиджмейкеркраснодар #артегокраснодар #девочкитакиедевочки #обучениестилюкраснодар #курсыстилистов #мечтысбываются #какмечтать #какнайтисвойстиль";1485686232;29;773147096;False;мкпостилю
BP2Gu8QBwmV;#тенденциимоды и #тренды - обо всем мы говорили в уютной обстановке #артегокраснодар :-) как смешивать #модныецвета и разбавлять их правильными #аксессуарами от моих партнёров @kalinkajewelry тоже поболтали:-) #архиповастилист #мкпостилю #мк #какнайтисвойстиль #трендовыйцвет #смешиваниецветов #колористика #яркийобраз #розовый #красный #имиджмейкеркраснодар #имиджстудия #твойстиль #имидж;1485686699;41;773147096;False;мкпостилю
BP2HfCFB6Vr;"Уж простите за спам:-) но так хочется поделиться с вами моментами кайфа - когда я работаю со своими слушательницами в зале, и они готовы примерить #модныелуки прямо на сцене!) так что проведение #мкпостилю - одно из самых ""заряжающих"" энергетикой занятий лично для меня:-) #тенденциимоды  #тренды #артегокраснодар #архиповастилист #мкпостилю #мк #какнайтисвойстиль #трендовыйцвет #смешиваниецветов #колористика #яркийобраз #розовый #красный #имиджмейкеркраснодар #имиджстудия #твойстиль #имидж";1485687093;41;773147096;False;мкпостилю
BPfwV52Air8;"Теперь не надо выбирать: тепло или модно.
Это раньше было - либо ты модный, либо ты в пуховике. 😂
Теперь балом правят: многослойность, объемные пуховики (как одеяла) и стеганые юбки.😍
И мы с @elenafed в это воскресенье расскажем, как провести зиму #на_стиле ✌️
Записаться можно по телефону 8-920-057-38-81 или 8-952-464-26-84.";1484936762;100;1654043776;False;мкпостилю
BPy8pTUh-vS;"Доброе всем утро:-) надеюсь у вас настроение сегодня прекрасное!? Ведь сегодня очень важный день - стоит подумать о своих #желаниях и #целях, а также о собственном #стиле, #трендах2017 и конечно #макияже :-) в общем, ждём вас на нашем #стильномдевичнике в @artego.krd !)
А для тех, кто все ещё сомневается, талантливая @traveliver сделала шикарный видео ролик о том, что мы приготовили всей командой #артегокраснодар @li_zinchenko  для вас сегодня!) До встречи в 11:00!) #аленаархипова
#стильныйдевичниккраснодар #мкпостилю #девочкитакиедевочки #какнайтисвойстиль #картажеланий #обучениестилюкраснодар #стиль #имидж #имиджмейкеркраснодар #артего";1485580747;43;773147096;True;мкпостилю
BQTZ-TdBE9t;Создавайте образы, отражающие ваше состояние души, делайте макияж, с которым вы чувствуете себя красивой... #lookoftheday #юбка @white_pony_kiev, #рубашка @pinko_kiev #образ #стилисткиев #мкпостилю #женскиештучки;1486669865;157;266864008;False;мкпостилю
BQpQqYKBlG8;"Впервые в Красноярске фотограф Руслан Ибрагимов и стилист Инесса Логинова проведут совместный мастер-класс по fashion-съемке 
Руслан и Инесса работали с такими компаниями, брендами и изданиями, как Inglot, ЮТВ, Costa Bella, Max&Co, TAC, Командор, ТРЦ Июнь, Brevno, A Nice Day, Commode, Giulia Novars, Ремикс, The Issue magazine, Lucy’s Magazine, Nif magazine, Jute Magazine, Solis Magazine, Solstice Magazine, MammaMia magazine, Awake magazine, Shopping Guide, собака.ru, #about, Premium, Стольник. 
Мастер-класс рассчитан как на новичков, так и на фотографов и стилистов, имеющих опыт в fashion-съемках. Вы сможете поучаствовать в создании съемки, начиная от разработки идеи и концепции, заканчивая отбором и ретушью отснятых на мастер-классе кадров. Вы узнаете, что нужно для публикаций в иностранных журналах и как с ними взаимодействовать. У Вас будет возможность поработать с профессиональной моделью и задать все интересующие Вас вопросы, а также поучаствовать в портфолио-ревю. Запись по телефону: 8 (923) 018-41-42
#redstd #фотостудияред #фотостудиякрасноярск #красфото #мкпофотокрасноярск #мастеркласспофотографии #мкпофэшнсьемке #фэшн #мккрасноярск #мкпостилю";1487403181;38;377745775;False;мкпостилю
BQqQEcSggi1;"Первый раз в жизни была на мастер-классе по стилю. 
Я считала, что это сложная наука, которая мне не по зубам... Да и шопоголиком я себя не считала.

Но Руфина @shoppingauer показала, как из нескольких простых вещей сделать классный стильный гардероб. 
При этом совершенно не обязательно быть замужем за олигархом, чтобы выглядеть модно.

Руфина, огромное тебе спасибо за кладезь полезной информации. 
Все, что ты рассказала и показала, созвучно с моим представлением о стиле, который мне очень нравится, но я не решалась его попробовать.

Думаю, мой гардероб ждут большие перемены.

#shoppingauerblabla #nastinblog #beautyblog #мкпостилю #шопер #настинблог #шопинг #стильнаяодежда #базовыйгардероб #стильнонезначитдорого #модадоступнакаждому #styleworkshop";1487436424;98;413198424;False;мкпостилю
BQry0ltAj_3;"Вчера на мастер - классе. 
Тот момент, когда ты не видишь, что тебя фоткают.

Лыба до ушей... #настинблог #бьютиблогер #модадоступнакаждому #стильнонезначитдорого #базовыйгардероб #мкпостилю #styleworkshop #shoppingauerblabla #nastinblog #beautyblog #style #fashionista #мастеркласспостилю #foxteamufa #foxteamstudio";1487488199;190;413198424;False;мкпостилю
BR-4YQoBudj;#мкбыковой_23марта Сегодня впервые побывала на мастер классе по стилю😎 Ещё и у Миссис Хрустальная Корона 👑 Ольги Быковой @martini_ob Узнала много полезного🤓 Про базовый гардероб, из скольки деталей должен состоять #look, сочетание цветов/оттенков, про модные тенденции весны 2017 , про разбор гардероба, про правильные покупки итд👗👖👠👟🕶👜 Лично я в полном восторге💥 Рекомендую всем и девочкам и даже мальчикам☝🏽 время от времени посещать данные мероприятия😉, ведь от того, как мы выглядим зависит весь наш день, настроение и энергетика которую излучаем✨ #миссисновосибирскint2017 #мкольгибыковой #мкпостилю #мода #looksgood;1490276130;182;419109214;False;мкпостилю
BR3dkJQDnsm;"Тебе хочется перемен?👧🏼
Тебе хочется стать королевой выпускного бала?👸🏼
Тебе хочется встретить любимого мужчину или стать ещё более интересной для своего?👰🏼
Уверена, наш проект будет ярким впечатлением этой весны! Мы ждём тебя!!😉 #бьютивыходной #перезагрузка #мкпостилю #стилист #визаж #уход #ароматы";1490027191;48;1273990272;False;мкпостилю
BRH2OxXByzL;"""Я не завишу от вещей, я ими повелеваю"" (С) Э. Хромченко
Благодаря моей ❤️к имиджу и стилю сбылась и ещё одна моя мечта: в 2014 году я побывала на МК Эвелины Хромченко #Дресскодуспеха 
До этого я читала Ее блог, смотрела #модныйприговор, но очень хотела увидеть Ее ""вживую"": как на человека, а не на икону стиля в экране телевизора. И моя мечта сбылась 🙏🏻
Ее энергия Стиля чувствовалась в зале на 300 человек! А самое главное, у меня было полное совпадение Ее слов и посыла, который эта Женщина несет в мир с помощью своего индивидуального образа👏🏻👏🏻👏🏻кстати, вчера вновь состоялся МК ""Дресс-коды успеха2017"" от @evelinakhromtchenko - аудитория уже в 500 человек! 👏🏻👏🏻👏🏻
Я за живое общение😀🙃👭👭Можно смотреть вебинары и читать книги по Цветотипам, читать блоги по актуальным трендам, но эта ""общая"" теория далека от вашей индивидуальности. 
На своём МК #создайосознанныйстиль расскажу про 3 ключа к индивидуальному стилю, которые я по частицам находила за 6 лет своей работы в области имиджа и стиля, вытачивала в процессе обучения у таких мэтров стиля как #эвелинахромченко, #александрвасильев и открывала этими 🗝🗝🗝 ключиками двери к внутреннему миру ❤️женщин через их одежду #изнутринаружу. 👗👠👜 🗝МК ""СоздайОсознанныйСтиль"" состоится в пятницу, 3️⃣ марта, 
В детокс-кафе ""После шести"" @posle6 (ул. Советская, 8, м Площадь Ленина)
в 18.45🕖
🎯запись в ВА 89039053110
Оплата на сберкарту 💳 или на месте.
✅Стоимость 500₽. #имиджмейкервсапогах #имиджтренер #дресскод #мкпостилю #девочкитакиедевочки #внутренняякрасота #imageinsideout #coloroftheday #selfmama #инстамама";1488429510;64;3105425322;False;мкпостилю
BRKZ7dbh0q2;"Помогает мне готовится к МК 😊 внёс небольшие корректировки, но я согласна с его мужским взглядом на женский образ😉👌
Вчера пришла домой с новой стрижкой - он смотрит так внимательно ( в отличие от мужа😂, сразу заметил перемену). Спрашиваю ""Даня, нравится тебе моя прическа?""- ""Дя!""😆 А ваши детки замечают перемены в вас?
#создайосознанныйстиль #мамадочиисыночка #мамагепард #инстамаманск #инстадети #имиджмейкервсапогах #имиджтренер #мкпоимиджустилю #мкпостилю #инстанск";1488515335;59;3105425322;False;мкпостилю
BRKe35OhS_f;"Как ваше настроение, дорогие мои?)
Надеюсь хорошо! Хочу чуть подробнеее рассказать о курсе, ИНТЕНСИВЕ, который мы запускаем в @artego.krd 14 и 16 марта. Это двух-дневный курс, 2 дня полного погружения в ваш персональный стиль!) ""Я особенная, или САМ СЕБЕ СТИЛИСТ""
О чем я буду говорить - конечно о вашем стиле! При этом, как всегда практика и только практика. Кто бывал на моих #мкпостилю знает, что приемов и модных лайфхаков я всегда даю много))
В структуре тренинга все необходимые темы, такие как #психология имиджа, #цвет и работа с ним, #коррекция фигуры, основы грамотного #шоппинга и работа с #гардеробом, и конечно, #шоппинг со стилистами нашего агентства!
Перечислю подробнее программу:
👸ПСИХОЛОГИЯ ВАШЕГО ИМИДЖА (11-00 до 13-00)
• Внутренняя Я (проработка внутреннего образа, «легенды»)
• Я как Образ (коллажная техника работы с собственным образом)
🎨ОСНОВЫ ЦВЕТА (13-00 до 14-00)
• Основные правила работы с цветом
14-00 до 15-00 перерыв на обед
👧ЦВЕТОВАЯ ПАЛИТРА (15-00 до 16-30)
• Формирование собственной палитры цветов
👗«ХУДЕЕМ» НА ГЛАЗАХ (16-30 до 18-00)
• Правила коррекции фигуры
2 день
👗👜👠ВАШ НОВЫЙ ГАРДЕРОБ (11-00 до 14-00)
• Формирование нового гардероба (составление в формате коллажа)
• Основы создания гармоничного образа
• Как расставлять акценты в образе
• Работа с аксессуарами
• Золотые правила шоппинга
• Карта шоппинга
С 14-00 до 15-00 перерыв на обед
💡РАЗБОР ГАРДЕРОБА (15-00 до 16-00)
• Разбираем Ваш гардероб
• Формируем шоппинг-лист
👋👋ШОППИНГ (16-00 до18-00)
• Составляем Ваш новый гардероб под руководством стилистов 
Записывайтесь, приходите будем очень рады!) @artego.krd
фото @nataly__rf

#аленаархипова #интенсив #курспостилю #самсебестилист #артегокраснодар #имидж #стиль #краснодар #какнайтисвойстиль";1488517928;75;773147096;False;мкпостилю
BRkrC6njpQU;"#мкпостилю#семинарпостилю#стильмода

Каждый раз, когда я смотрю на фото с МК, мне кажется, что я танцую)).";1489396725;34;3044385979;False;мкпостилю
BRnvtV2BEWL;"А я сегодня гуляла с вороной 😋😋😋
Собрала кучу комплиментов 😍
Потому что я обожаю это платье @ksenafavnboutique от израильского дизайнера Ксена Фавн 
Уже еду домой - в 18.00 встречаемся на мк по стилю в @cospaceisrael - приходите, буду ждать!
#израильскийдизайнер #ginditlvfashionweek #israel #fashion #стилистизраиль #имиджконсультант #тельавив #telaviv #любимаяработа #мкпостилю #стилист #блог #блогстилиста";1489499833;109;30007692;False;мкпостилю
BRpdsw7BmPp;"Друзья, срочная новость! На МК фэшн фотографа Руслана Ибрагимова и стилиста  Инессы Логиновой освободилось 2 места! 
Отличная возможность для тех, кто хотел попасть. Поспешите, МК уже через 3 дня😉 Тел: 89230184142 #мкдляфотографов #redstd #фотостудияред #фотостудиякрасноярск #мкпофэшнсьемке #мкпостилю #событиякрасноярска #модакрасноярск #фэшнфотография #мастеркласспостилю #мквкрасноярске #мастерклассывкрасноярске #красноярск #красноярсклук";1489557499;92;377745775;False;мкпостилю
