post_id;text;date;likes;owner_id;is_video;by_tag
BTBDP2bjEym;"Я решилась!
Моему мк в Питере быть!
Совершенно новая и очень насышенная программа! 
Вы узнаете, как правильно рассчитать вес торта, чтобы избежать перевеса. Какой лучше выбрать крем, в зависимости от дизайна и начинки. Особенности транспортировки и доставки тортов. И еще много того, о чем вы хотели узнать, но стеснялись спросить).
МК подойдет как для начинающих,так и продолжающих кондитеров,каждый почерпнет для себя много нового. Особеннно будет актуален для тех, кто планирует заниматься изготовлением свадебных и ярусных тортов, ведь свадебный сезон на подходе!
В программе:
-выпечка 2х видов бисквита бисквита (ванильный и фисташковый);
-приготовление 3х видов крема;
-ягоды в тортах(свежие, замороженные, как правильно приготовить ягодную начинку для торта);
-рассмотрим несколько вариантов сборки многоярусных тортов;
-техники выравнивания, основные ошибки;
-живые цветы, как правильно обработать и хранить;
-шоколадный декор(несколько техник);
-работа с аэрографом;
Работать будем в небольшой группе(до 10 человек).
Все детали, подробности и запись у @anita_dolce_vita";1492496421;203;245183946;False;мкпотортампитер
Bv39NZApoox;"Поскольку очень активно вы записываетесь на индивидуальные мастер-классы по тортам и десертам, решила,что будет важным посвятить этому отдельный пост)))
Итак, день мк мы с вами подбираем индивидуально! Программа мастер-класса разнообразна,по-этому у вас будет выбор : готовить торты, десерты,начинки, декор или сразу все вместе в один день!☺
Этот день длится с 10 утра до 20 вечера. Работаем начиная с теории и выпечки ,заканчивая декором и дигустацией)😊
Весь теоритических материал и приготовленные десерты вы забираете с собой и счастливые идёте покорять своими умениями мир🥰☺
.
Подробности уточняйте в директ!
 Или пишите в WhatsApp 🥰
.
А на фото тортик весом 1,300
Нежный, сливочный и очень вкусный🍓🤗
.
#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1554468291;540;1028388847;False;мкпотортампитер
Bv4gwaXBfvM;"Поскольку очень активно вы записываетесь на индивидуальные мастер-классы по тортам и десертам, решила,что будет важным посвятить этому отдельный пост)))
Итак, день мк мы с вами подбираем индивидуально! Программа мастер-класса разнообразна,по-этому у вас будет выбор : готовить торты, десерты,начинки, декор или сразу все вместе в один день!☺
Этот день длится с 10 утра до 20 вечера. Работаем начиная с теории и выпечки ,заканчивая декором и дигустацией)😊
Весь теоритических материал и приготовленные десерты вы забираете с собой и счастливые идёте покорять своими умениями мир🥰☺
.
Подробности уточняйте в директ!
Или пишите в WhatsApp 🥰
.
А на фото тортик весом 1,300
Нежный, сливочный и очень вкусный🍓🤗
.
#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1554486928;349;6117738832;False;мкпотортампитер
Bv_MCa1hwIv;"Хочешь научиться вкусно готовить тортики и десерты самостоятельно для своих родных и для продажи? Ответил да- записывался скорее на мастер-классы на любой вкус и цвет,как говорится😁🥰
Будем печь, много варить, собирать,смешивать,декорировать и наслаждаться общением и множеством полученных знаний!🍓🌺🧁♥️💞🌺🧁🍓
МК как групповые ,так и индивидуальные! 
На апрель осталось всего пару свободных мест!
Успей быть лучшим!!!
👌👌👌👌👌👌
.
#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1554710947;521;6117738832;False;мкпотортампитер
Bv_MM1eJaa1;"Хочешь научиться вкусно готовить тортики и десерты самостоятельно для своих родных и для продажи? Ответил да- записывался скорее на мастер-классы на любой вкус и цвет,как говорится😁🥰
Будем печь, много варить, собирать,смешивать,декорировать и наслаждаться общением и множеством полученных знаний!🍓🌺🧁♥️💞🌺🧁🍓
МК как групповые ,так и индивидуальные! 
На апрель осталось всего пару свободных мест!
Успей быть лучшим!!!
👌👌👌👌👌👌
.
#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1554711032;412;1028388847;False;мкпотортампитер
Bvi2tVohJcI;""" Десерт мечты""
Практический однодневный мастер-класс по капкейкам и трайфлам! 
Порционный десерт такого вкуса,что к вам вернутся за тысячи километров!😊
Я знаю о этих десертам всё и поделюсь всеми секретами и правилами вкусной продажи с вами!🥰
Я- Алёна , ваш верный товарищ, помощник и строгий наставник! 
Чтобы торт был идеальным ,вам нужно быть в числе моих учеников! Мой опыт приготовления вкуснейших тортов с обалденным декором ,позволит вам делать это наравне с лучшими кондитерами ! А применяя полученные знания , вы станете востребованной феей сладкого счастья!☺
Я шла к результату 3 года, приготовила своими руками более тысячи тортов и десертов, испробовала сотни рецептов пока не создала свои пропорции успеха😊 
Мастер-класс подойдет как для начинающих кондитеров, так и для людей не имеющих опыта в выпечке! Важно!!!!💎 Ваше желание прийти и забрать все знания которые я вам подарю)))😊
Курс включает в себя 3 вкуса капкейков и 3 вкуса трайфлов. ......
Капкейки:
🧁Шоколадные с домашней карамелью, орешками и карамельным кремом.
🧁Шоколадные с конфитюром из манго и классической сырной шапочкой.
🧁Ванильные с лимонным кремё и ванильной творожной шапочкой.
..........
Трайфлы:
♥️ Сникерс! И этим все сказано)))
❤ Шоколадные с домашней солёной карамелью и фундуком.
❤Ванильные с клубничным конфи и сливочной сырно-творожной шапочкой.
.
Стоимость практического мастер-класса с полным теоритически и техническим оснащением 5500 до 10 апреля, после 6000 тыс/рублей . 
Все приготовленные десерты вы забираете с собой☺🥰
Все ингредиенты включены в стоимость мастер-класса!
После окончания курса ""десерт мечты"" вы сможете не только вкусно и красиво готовить десерты дома и радовать подарками и угощениями близких, но и успешно продавать свою качественную работу 🥰";1553760240;461;6117738832;False;мкпотортампитер
Bvi5Zqsni2D;""" Десерт мечты""
Практический однодневный мастер-класс по капкейкам и трайфлам! 
Порционный десерт такого вкуса,что к вам вернутся за тысячи километров!😊
Я знаю о этих десертам всё и поделюсь всеми секретами и правилами вкусной продажи с вами!🥰
Я- Алёна , ваш верный товарищ, помощник и строгий наставник! 
Чтобы торт был идеальным ,вам нужно быть в числе моих учеников! Мой опыт приготовления вкуснейших тортов с обалденным декором ,позволит вам делать это наравне с лучшими кондитерами ! А применяя полученные знания , вы станете востребованной феей сладкого счастья!☺
Я шла к результату 3 года, приготовила своими руками более тысячи тортов и десертов, испробовала сотни рецептов пока не создала свои пропорции успеха😊 
Мастер-класс подойдет как для начинающих кондитеров, так и для людей не имеющих опыта в выпечке! Важно!!!!💎 Ваше желание прийти и забрать все знания которые я вам подарю)))😊
Курс включает в себя 3 вкуса капкейков и 3 вкуса трайфлов. ......
Капкейки:
🧁Шоколадные с домашней карамелью, орешками и карамельным кремом.
🧁Шоколадные с конфитюром из манго и классической сырной шапочкой.
🧁Ванильные с лимонным кремё и ванильной творожной шапочкой.
..........
Трайфлы:
♥️ Сникерс! И этим все сказано)))
❤ Шоколадные с домашней солёной карамелью и фундуком.
❤Ванильные с клубничным конфи и сливочной сырно-творожной шапочкой.
.
Стоимость практического мастер-класса с полным теоритически и техническим оснащением 5500 до 10 апреля, после 6000 тыс/рублей . 
Все приготовленные десерты вы забираете с собой☺🥰
Все ингредиенты включены в стоимость мастер-класса!
После окончания курса ""десерт мечты"" вы сможете не только вкусно и красиво готовить десерты дома и радовать подарками и угощениями близких, но и успешно продавать свою качественную работу 🥰";1553761652;258;1028388847;False;мкпотортампитер
Bvj7ZV-hC58;"Хотите зарабатывать дома, рядом с детьми и с большим удовольствием???
Тогда я вас этому научу!!!!!
____________________________
Бомбический 2х дневный мастер-класс ""Торт на счастье""♥️
Я- Алёна , ваш верный товарищ, помощник и строгий наставник! 
Чтобы торт был идеальным ,вам нужно быть в числе моих учеников! Мой опыт приготовления вкуснейших тортов с обалденным декором ,позволит вам делать это наравне с лучшими кондитерами! А применяя полученные знания , вы станете востребованной феей сладкого счастья!☺
Я шла к результату 3 года, приготовила своими руками более тысячи тортов и десертов, испробовала сотни рецептов пока не создала свои пропорции успеха😊 
А вас научу быть гениальным за 2 дня!)
.
Итакс☺ 
Мастер-класс будет полностью практический 😉 
Ваш уровень подготовки не имеет никакого значения! Главное - иметь огромное желание и две руки!❤ Остальному я вас научу!😘
.
ЗАПИСАТЬСЯ НА МК МОЖНО НАПИСАВ В ДИРЕКТ ИЛИ WHATSAPP 👌🥰
.
#tort_na_schastye #мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1553796368;401;6117738832;True;мкпотортампитер
Bvj_2g3hx8I;"Хотите зарабатывать вкусно, дома и с удовольствием???
Тогда я вас этому научу!!!!!
____________________________
Бомбический 2х дневный мастер-класс ""Торт на счастье""♥️
Я- Алёна , ваш верный товарищ, помощник и строгий наставник! 
Чтобы торт был идеальным ,вам нужно быть в числе моих учеников! Мой опыт приготовления вкуснейших тортов с обалденным декором ,позволит вам делать это наравне с лучшими кондитерами! А применяя полученные знания , вы станете востребованной феей сладкого счастья!☺
Я шла к результату 3 года, приготовила своими руками более тысячи тортов и десертов, испробовала сотни рецептов пока не создала свои пропорции успеха😊 
А вас научу быть гениальным за 2 дня!)
.
Итакс☺ 
Мастер-класс будет полностью практический 😉 
Ваш уровень подготовки не имеет никакого значения! Главное - иметь огромное желание и две руки!❤ Остальному я вас научу!😘
.
ЗАПИСАТЬСЯ НА МК МОЖНО НАПИСАВ В ДИРЕКТ ИЛИ WHATSAPP 👌🥰
.
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1553798609;270;1028388847;True;мкпотортампитер
BvoBzhZBoRd;"""Вишенка на торте!""
Декор-это основа визуальной покупки вашего предложения! Будь-то торт или десерт!) Мастер-класс по декору позволит вам охватить все разновидности тематического и универсального торта!😘
Я- Алёна , ваш верный товарищ, помощник и строгий наставник! 
Чтобы торт был идеальным ,вам нужно быть в числе моих учеников! Мой опыт приготовления вкуснейших тортов с обалденным декором ,позволит вам делать это наравне с лучшими кондитерами ! А применяя полученные знания , вы станете востребованной феей сладкого счастья!☺
Я шла к результату 3 года, приготовила своими руками более тысяч тортов и десертов, испробовала сотни рецептов пока не создала свои пропорции успеха😊 
__________
Виды декоров для мастер-класса:
Мужской , женский, детский , ягодный и флористический декор. 
Так же на нашем практическом занятии вы научитесь работать с :
🍓Вафельными картинками
🍓Изомальтом и карамельной вазой
🍓Карамелью на палочках 🍓Освоите идеальные шоколадные подтеки
🍓Узнаете все секреты изолирования и декорирования живыми цветами
🍓Правила украшения торта ягодами!
🍓Выравнивание торта кремом и подбор рельефных видов фактур для определённых стилистик.
______________
Стоимость однодневного мастер-класса по декору тортов 3900 тыс.
В нее входит всё вышеизложенное обучение, все инструменты,ингредиенты и расходник ,а так же свою работу,свой тортик вы забираете с собой домой 🤗 
А в итоге, вы будете уверенно продавать и дарить свои невероятно красивые торты !😘
Всегда ваша- я🥰🥰🥰
.
#tort_na_schastye 
#мктортыпитер #мкпотортампитер #мастеркласстортыпитер #мастерклассспб #мастеркласс #мастеркласстортыспб #мкторты #мкпитер #мкспб #мастеркласспитер #мастерклассспбторты #мастеркласспитерторты #мкпитерторты #тортыпитер #тортыспб #торты #мкпотортам #мкпотортамспб #мкпотортам #мастеркласстортыпитер";1553933830;197;6117738832;False;мкпотортампитер
