post_id;text;date;likes;owner_id;is_video;by_tag
Be7hfsVnQPs;"Начали запись 🙌🏻.
Курс 🌿 «Свадебная флористика»🌿 дата курса - 18.02 . Стоимость 2500₽. Записывайтесь сейчас в direct или по телефону ! 
Этот курс направлен для декораторов без знаний или начального уровня подготовки. изучаем в теории, смотрим видео и фото с реальных проектов, как всегда получаете таблицы и концентрат тезисной информации - которой удобно пользоваться!
что изучим:
1. Как украсить президиум молодых: композиции на столе, арки за столом, композиции на конструкциях, над столом и прочее
2. Изучаем, как сделать арку, спадающую композицию, композицию на узкой вазе, композицию в широкой вазе и кое-что ещё.
3. Когда покупать цветы/ как перевозить/ как хранить/ когда собирать
4. Как украсить фото зону, гостевые столы, сцену, вэлком зону, зону приема даров, кенди бар и вообще: зачем это все нужно?
5. Оформление президиума молодых: юбки, экраны, драпировки, арки, задники, подиум
6. Оформление гостевых столов цветами и декором, тонкости драпировок, все про чехлы и мелкий декор.
7. Оформление выездной регистрации: арки, шатры, дорожки, чехлы, ограничители, стол для регистрации
8. Оформление прочих зон текстилем и декором: фото зона, кенди бар, велком зона, прием даров, стол для торта, банеры, конструкции, сцена, технические стены

На какие вопросы ответит этот курс:
Как собрать арку из цветов? что сделать чтобы не упала, не завяли цветы.
Как довезти готовые гостевые композиции в ресторан?
Как сделать композицию как на картинке из интернета?
Цветы наверху вазы, а внизу в воде плавает рыбка: сколько она там протянет?
Как сделать огромные композиции?
Сколько цветов в стене из цветов?
Дождь на выездной регистрации?
Почему за оформлением не видно молодых?
Работа с искусственными цветами на свадьбе?
Надеть 150 чехлов с бантами за 1 час
Гладить ли ткани заранее или на месте?
как собрать конструкции для фото зоны? джокер или дерево? ...и многое другое :) .
.
.
#курсыростов #флористростов #курсыфлористикиростов #основыфлористики #olineschool #онлайншкола #школаонлайн #asimpleschool #a_simple_school #обучениеростов #школафлористики #школафлористикиростов
#цветыростов #ростовцветы #простошколарасписание";1518080757;39;4062723221;False;мкпофлористике
Bey0zuuH4Tv;"Меня часто спрашивают - ""есть ли у вас ограничения на занятиях по возрасту?"", "" молода ли моя дочь  или стара ли я ,  для флористики или декора?"" Могу перефразировать это так : ""буду ли комфортно себя чувствовать в компании в процессе обучения, найду ли я себе потом применение, буду ли кому нибудь профессионально нужна ? "" ответ дам в комментариях чуть позже ) а пока полистайте карусель ☝🏻 сделала подборку возрастов.  Причём 1 фото в момент обучения в моей школе. Фото за ним - это встреча человека уже на реальном проекте в моей команде или случайно пересеклись в совместных проектах с другими командами флористов нашего города. #просто_стать_флористом #флористика_для_провинции";1517788892;43;4062723221;False;мкпофлористике
BfHJ-L9ncvM;"Совсем скоро у нас планируется Новый воркшоп!☺️#практика_просто_необходима 
На воркшопе у каждого участника есть возможность почувствовать себя частью команды,узнать все тонкости декора и флористики на практике, а также поделиться своими 🤝🤓🌿
Так что, следите за обновлениями 🙌🏼💚
А пока, мы предлагаем вспомнить ,как это было в прошлом году 🤗 листаем ➡️
.
.
.
#курсыростов #флористростов #курсыфлористикиростов #основыфлористики #olineschool #онлайншкола #школаонлайн #asimpleschool #a_simple_school #обучениеростов #школафлористики #школафлористикиростов
#цветыростов #ростовцветы #простошколарасписание
#мк";1518471077;51;4062723221;False;мкпофлористике
Bg-Ys1xno9P;"У меня есть прекрасная новость 🌸
15 апреля @flowers_nr распахнёт двери своей мастерской для желающих творить вместе со мной) Мастер-класс рассчитан на любой возраст и уровень подготовки! 🌱
Ждём вас ❤️
#мастеркласс #мастеркласспофлористике #nikonovakaterina #весеннийвенок #плетемвенки #венокизветок #весна #весенниймастеркласс #@flowers_nr  #мастерскаяцветочноечудо #времятворить #слюбовьюкприроде";1522471776;34;1984147454;False;мкпофлористике
Bg23zqYFnDa;"Идеи для пасхального декора 🐣☝️
#вдохновение_td #типичныйдекоратор #typicaldecorator";1522219650;157;3284036662;False;мкпофлористике
BgEQgx3BefB;А вот и результат. :)#мкпофлористике #мкпофлористикеспб #мастерклассдлядетей #мастеркласс #мастерклассспб #мкспб #подароксвоимируками #мкнаденьрождения  #детскийпраздник #детскиймк #детскиймастеркласс #детскиймастерклассспб;1520521326;12;2042913884;False;мкпофлористике
BgRKf7rBLiu;Жаловаться не прилично, но голова болит адово, и посему я не могу сложить все свои мысли в интересные строчки. Чую, как приближается мой д.р. старость- не радость. Я стала метеочуствительна. Пойду напьюсь таблеток и буду смотреть эфир @lena_senchuk . Может отвлекусь.;1520954381;61;3105238053;False;мкпофлористике
BgT6ylFAw-A;#приглашиение#hygge❤️ #мкпофлористике#суккуленты#суккулентымосква#комнатныерастения#уход#клубтворческихлюдей#этоинтересно#красиво#мастеркласс#мкмосква#интерьернаякомпозиция#красиво#уютдома#балансвнутри#украшаемдом🏡 #весеннийпереплох#отдохнидушой#работасживымирастениями#цветыубираютнегатив#феншуй#символикарастений#весеннеенастроение#точкароста#кашпоручнойработы#керамиканазаказ#пвторскаяпосуда#весенниймастеркласс#керамика от @jlv_ceramics;1521046809;32;339940101;False;мкпофлористике
BgV0FpUny1j;"Ура!🤗У нас назначена дата курса 🌿«Основы флористики» 🌿,который вы все так ждали !
Записывайте дату✏️ 31.03 и 01.04 
Стоимость одного дня 2500₽. Записывайтесь сейчас в direct или по телефону ! 
Много полезной  информации, а также практика с инструментами ✂️☝🏼
От новых терминов до нужных адресов и контактов📝 - всем этим мы готовы с вами поделиться на нашем курсе 🤗

Курс разбит на 2 дня: 
1 этап - теория 5 часов. 
1. Инструменты флориста, где купить и как с ними работать
2. Типы цветов, зелени и способы ухода 
3. Основные флористические техники
4. Где, как купить и заказать цветы в Ростове. Как транспортировать и как хранить 🌱
2 этап курса - практика 5 часов 
1. Техника сборки простейших форм композиции из цветов: круглая, треугольная, прямоугольная и их модификации 
2. Закупка цветов на оптовом рынке ( посещаете его вместе с флористом)
3. Работа в мастерской над созданием индивидуального букета и композиции

На какие вопросы вы получите ответы 📝: ⠀
• Что сделать, чтобы цветы не завяли еще до того, как с ними начнем работать?
• Как собрать и когда, чтобы не завяли у заказчика?
• Подойдет ли кухонный нож и домашние ножницы для работы?
• Где купить инструмент для работы и каким он должен быть?
• Можно ли работать секатором, а не ножом?
• Сколько надо и не надо тратить на инструмент?
• Как собрать круглую композицию? Что такое прямоугольная композиция?
• Что такое тейпирование, удлинение, отпаривание, отпаивание, запаривание, вставка, шпильки?
• Зачем лягушка и флористический пластилин?
• Кто такой скотч анкор и почему он важен?
• А если оазис развалится? Что делать чтобы оазис не высох? На сколько глубоко должен быть стебель букета в оазисе?
• Можно ли все прятать в холодильник, ставить под кондиционер или опрыскивать водой?
• Как не поломать голову цветка?
• Как спрятать оазис?
• Какой высоты должен быть стол для флориста?
• Почему выпадают цветы?  Каждый этап можете купить отдельно. 
После прохождения курса вы унесете с собой не только ценные знания о работе флориста, но и получите возможность практиковать свои навыки на реальных проектах!💪🏼🤗 #простошколарасписание
#симплшкола";1521110404;33;4062723221;False;мкпофлористике
Bgg9fLRgUC5;"Всем бодрого вечера 💪🏼 фото @eliomus 
Наш зал GREEN и его старая амбарная доска, кстати говоря ширина стены целых 6 метров, а высота 7 метров 😎
#stbrown #залgreen #фотостудия";1521484430;128;217685615;False;мкпофлористике
