post_id;text;date;likes;owner_id;is_video;by_tag
1JQTRyL79I;#сонькатворит#мкросписьпостеклу;1428347191;2;1743538054;False;мкросписьпостеклу
BASRXLXPu6W;Сегодня вечером мы в мастерской расписывали тарелочки #мастерклассыдлядетей #саровдети #мкросписьпостеклу #sarov;1452272057;3;2450759026;False;мкросписьпостеклу
BASS1NtPu8Y;#мкросписьпостеклу #мастерклассыдлядетей #саровдети #sarov;1452272828;5;2450759026;False;мкросписьпостеклу
BASTew0Pu9t;#мастерклассыдлядетей #мкросписьпостеклу #саровдети #sarov;1452273168;3;2450759026;False;мкросписьпостеклу
BQU4HXiD2bq;"Вчера был чудесный день. Я провела #Мастер-класс по росписи подсвечников. Спасибо, кто пришёл. Была счастлива поделиться своими знаниями, быть проводником в мир росписи по стеклу. Рассказать о нюансах работы. 
На фото процесс работы и подсвечник одной из учениц. 
Отдельное спасибо, Нурие, за добрую, уютную, творческую атмосферу, которая царит на её творческой площадке @myloveka_ 
В дальнейшем планируем ещё мастер-классы для детей и взрослых по витражной росписи и батику. На мастер-классе используем только безопасные для здоровья краски.
#росписьпостеклу #витражнаяроспись #мкросписьпостеклу #декола #decola #мкдлядетей #мкдлявзрослых #мкбатик #батикфрязино #росписьфрязино #фрязиномк #мкфрязино #мастерклассфрязино #МК_ЕленаЧерныгова #мкщелково";1486719222;55;2096017005;False;мкросписьпостеклу
BR8wRpzh9dH;"Процесс росписи баночки для специй красками по стеклу и керамике.
#процесс #витражнаяроспись #росписьпостеклу #декола #decola #decolaclub #мастерклассфрязино #мастеркласс #мкросписьпостеклу #мкфрязино #краскипостеклуикерамике";1490204773;49;2096017005;False;мкросписьпостеклу
BRk8p3Jhv4V;"Готовлю эскизы для мастер-класса по рописи кружки. Мастер-класс пройдёт в творческой мастерской Миловека, в среду, в 15.00.
#мкфрязино #фрязиномк #Миловека_ЕленаЧерныгова #мкросписьпостеклу #росписьпостеклу #мкросписькружки #втражнаяросписьфрязино";1489405956;42;2096017005;False;мкросписьпостеклу
BS1X8MNDTBx;"Для росписи по стеклу я использую краски фирмы Lefranc & Bourgeois🇫🇷. Чем же они хороши?

А всем:
🎨 они яркие,
🎨 они стойкие,
🎨 не токсичные,
🎨 не боятся солнечного света и пыли.

После просушки и обязательного обжига краски надежно закрепляются на поверхности👌. Конечно, чтобы проверить это я не рекомендую специально пытаться процарапать рисунок ножом, но пальцем поковырять можно😄. Проверено - все будет в порядке!

Про особенности ухода за посудой и изделиями, украшенными ручной росписью, расскажу попозже😘.";1492104617;133;4713740272;False;мкросписьпостеклу
Bo6gUloCSD2;"В пятницу провела два мастер-класса. 🎨
С утра для мам с малышами. Создавали картину «Ежик под деревом». К нам в гости пришел ежик из сказочного леса, узнали, что они едят и когда у ежика появляются колючки. Сделали нашему гостю друзей ежиков, а потом поселили их под осенние деревья. Малыши рисовали, мамы помогали, подсказывали. Деревья у всех разные получились, у кого-то много-много листьев, аж ствола дерева стало не видно, замело листьями, у кого-то уже часть листьев опала, но все деревья замечательные.
Вечером, у ребят постарше, 6-9 лет, был мастер-класс по росписи кружки, тема - осенние мотивы.🍁🍂🍄
Показала ребятам, как выглядит витражная роспись, можно рисовать красками, а можно только контуром. Сначала потренировались рисовать контуром, на отдельных листочках, каждый выбрал свой цвет контура и рисовал. Затем ребята выбрали рисунок для своей кружки и приступили к росписи. Обвели контур, заполнили цветом, по желанию кто-то сделал это краской, а кто-то цветным контуром, просушили рисунок. У всех получились замечательные кружки, если возникали трудности, смазался контур, потекла краска, помогала, подсказывала, как исправить. Больше всего я рада, что все остались довольны, видеть радость, от сделанной работы, в глазах ребенка бесценно. Теперь они дома будут пить только из своих личных кружек или подарят ее самому близкому и дорогому для них человеку.";1539521424;32;5507275599;False;мкросписьпостеклу
Bo_FDHXAC96;"Наконец решилась! .
На проведение МК по рисованию акрилом на детских каникулах 👩‍🎨 все материалы будут предоставлены, не беспокойтесь 🎁
.
На слайдере представлены варианты работ👉
.
Итак расписание:
🕙  31 октября; 1,2,3 ноября с 10:00 до 14:00;
🕒  5,6 ноября с 15:00 до 19:00.
.
Выбирайте удобное для вас время, то, что хотели бы попробовать нарисовать и пишите в Ватсап по ссылке в шапке профиля ✍️
.
Цены указаны на фото в слайдере👉
.
Всем добра, спасибо 💓

#мкказань #мкросписьтарелки #мкросписьподереву #мкросписьпостеклу #мкроспись";1539674897;48;1422180536;False;мкросписьпостеклу
Bovb1CVn4yD;"💎Вот так, лёгкими движениями руки, используя только один контур по стеклу и рисунок точками разных диаметров, мы сотворим с вами нежнейшую и изысканную пару бокалов для вина!🥂
⠀
Пробуйте! Смелее!
⠀
Полное видео смотри на моём канале IGTV в профиле!";1539150128;147;2286074015;True;мкросписьпостеклу
