post_id;text;date;likes;owner_id;is_video;by_tag
BUg155gA1FZ;"⚡Девочки⚡ хотим пригласить Вас на наши семинары, которые пройдут 10 и 11 июня в г. Санкт-Петербург 💅10 июня вас ждет Мастер-Класс дизайна ногтей «Морское путешествие» 💅11 июня - мастер-класс «слайдеры в композиции» 😍Обучение у одного из лучших технологов России Наталья Фролова 😍 https://vk.com/id78697088, https://vk.com/artstudiolavanda
Цена: 🔥10 июня - 3000 рублей 🔥11 июня - 1500 рублей 
По окончанию каждого курса Вы получите сертификат 👏 🎁Вас будут ждать подарки, розыгрыши, фуршет, презентация собственных слайдеров от ТМ ROSI 🎁 👍Всем участникам курса топ и база ROSI в подарок, а так же скидка 10% на всю продукцию ROSI ❗Успей записаться количество мест строго ограничено! ❗ 
Адрес: м. Международная ул.Будапештская 11 литера В, второй этаж, секция ROSI 
Записаться можно по телефону: 8-(981)-168-04-43; 8-(812)-988-38-01";1495710651;26;2223177996;False;мкросписьспб
BqJfOVjl85K;"Для девушек тигры и цветы!🐾🌹🐯
⠀
Для пантерррр тоже найдутся иллюстрации!
⠀
🔹Только ручная работа
🔹прорисовка самых мелких деталей
✂️индивидуальный пошив из качественных тканей с возможностью изменения дизайна
🌈 различные расцветки
⠀
-------------
Разработка эскиза/выбор рисунка и макет входят в стоимость.
✍Заказать/задать вопрос можно в Direct или удобный для вас мессенджер whatsup/viber (прямая ссылка в шапке профиля).
💵Стоимость зависит от сложности и размера рисунка, дополнительного дизайна.
🛁Можно стирать в режиме деликатной стирки, рисунок долговечен.
⏰Срок изготовления 3-14 дней.
📦💌🌍Доставка СДЭК, почтой или др. способ
❗При заказе от 6000.- бесплатная доставка по РФ, 50% скидка на международную доставку
-----------------------------------------------
@koler_art
@koler_art
@koler_art
⠀
#koler_art #персиковыйсвитшот #лососевыйсвитшот #голубойтигр #тигрнасвитшоте #подарокдевушке #подарокдевушкенанг #подарокжененадр #ручнаяроспись #handmade #росписьпоткани #росписьакрилом #мкроспись #мкросписьспб #свитшотспб #свитшомск #свитшоттверь #свитшотновгород #art #моедело #люблюрисовать #decolaclub #свитшотлюблино #свитшотшушары #свитшотсертолово #рисуноктигр #необычныйсвитшот #необычнаятолстовка #толстовканазаказ #свитшотназаказ";1542171648;33;2252060931;False;мкросписьспб
BttQGEZB-Ad;"Кусочек процесса росписи,начальный этап!

От большего к меньшему!

Хотите попробовать рисовать на одежде и создать своими руками уникальную вещь?

Пишите в директ!
На неделе будет анонс мастер-класса по росписи одежды от Koler artworkshop

____________________
#мкросписьспб #росписьакрилом #decolaclub #мастерклассспб #мкросписпоткани #мастерклассрисунокнаткани #мкспб #рисоватьнатканиспб #рисоватьнаодеждемк #мкросписьджинсовки #росписджинсовкиспб #рисунокнаджинсах #рисунокакрилом #рисоватьлегко #научитьсярисоватьнаткани #spb #рисунокнафутболке #handmade #artwork #lovepaint #denimart #koler_art_process #msk #футболкасрисунком #свитерсрисунком #свитшотспб #свитшотсрисунком";1549814127;27;2252060931;False;мкросписьспб
BtyaOp_g6pJ;"Друзья! Приглашаю на мастер-класс по росписи одежды!😃
⠀
Сможет каждый! Набираю небольшую группу из 4х-5ти человек.
Под моим чутким руководством Вы создадите свой шедевр!)
⠀
⠀
Что можно расписать? Да все что угодно:
Джинсовые куртки, джинсы, футболки, толстовки, свитшоты, рубашки и т.д.
⠀
Возможно в преддверии праздников кто-то захочет сделать подарок своему близкому человеку😏
⠀
Итак, всего за 4 часа вы:
🔹Познакомитесь с техникой рисования на ткани
🔹Услышите о различных красках по ткани и об их особенностях
🔹Создадите уникальную роспись на вещи своими руками!
🔹Получите ответы на вопросы по росписи и не только)
⠀
Как будет проходить мастер-класс:
В начале я расскажу вам о том, какие бывают способы рисования на ткани и в чем их основные различия,далее приступите к работе!
⠀
Дата: согласовывается с желающими принять участие.
Стоимость:1600,-
Возраст: 16+
⠀
В стоимость включены:
— все материалы для росписи
— вкусный чай
— комфортная, уютная, позитивная атмосфера
⠀
Предварительно с каждый участником мы выбираем желаемый рисунок. Вы можете принести свою вещь для росписи или заказать у меня базовую вещь.
⠀
Для записи и вопросов пишите:
в Direct (личные сообщения)
 whatsup (прямая ссылка в шапке профиля)
_______________________________________________________________________
#мкросписьспб #росписьакрилом #decolaclub #мастерклассспб #мкросписпоткани #мастерклассрисунокнаткани #мкспб #рисоватьнатканиспб #рисоватьнаодеждемк #мкросписьджинсовки #росписьджинсовкиспб #рисунокнаджинсах #рисунокакрилом #рисоватьлегко #научитьсярисоватьнаткани #spb #рисунокнафутболке #handmade #artwork #lovepaint #denimart #футболкасрисунком #свитерсрисунком #свитшотспб #свитшотсрисунком #футболкасвоимируками #футболкавподарок #хочурисоватьспб #рисуемнаткани #покажукакрисоватьнаткани";1549987212;41;2252060931;False;мкросписьспб
BuDPDNODRUo;"Расписание ближайших мастер-классов по росписи!!!
🔻
Преподаватель @lanolya.art.

23.02.2019 в 13:30 (суббота) - роспись плиточки-панно, 1500р.

24.02.2019 в 15:00 (воскресенье) - большие часы МДФ, 2000р.

Продолжительность 3 часа. Все материалы и хорошее настроение включены! 👩‍🎨☕🍰🍩Чай, кофе, конфетки тоже!

За подробностями и для записи direct 📩, whatsapp/viber 📲+79117056060 или звоните!

#артквартира";1550551776;31;8672933663;False;мкросписьспб
BvJaLMTlth1;Коты,Питер❤️🐭 #мкспб #мквитражспб #мкросписьспб #мкпитер #питер #коты #картинанастекле #картинанастеклеспб #картинанастеклепитер #мквитраж #мкросписьстекла #мквитражнаяроспись #мастеркласспитер #подарок #картина #картинапитер #картинаспб;1552906419;43;4911142009;False;мкросписьспб
BvOse6rFJqB;❗️❗️❗️осталось 1 место,на мастер-класс по витражной росписи,на выбор кот или лев,по мотивам работ Ваю Ромдони.мк в эти выходные,2 дня,каждый по 4,5 часа.подробности👉в Директ🦁 🐈 #мкспб #мквитражспб #мквитражнаяросписьспб #мквитраж #мквитражнаяроспись #росписьпостеклуспб #мкросписьпостеклу #мкросписьспб #радужныйкот #мквитражнаяроспись #радужныйлев #ваюромдони #мастеркласс #мастеркласспитер #витражпитер #картинанастекле #картинанастеклеспб #картинанастеклепитер #мккартинанастекле;1553083790;32;4911142009;False;мкросписьспб
BvnuW3Hllyf;Чайная роза 💛 #мкспб #мквитражспб #мквитражнаяросписьспб #мквитраж #мквитражнаяроспись #росписьпостеклуспб #мкросписьпостеклу #мкросписьспб #радужныйкот #мквитражнаяроспись #радужныйлев #ваюромдони #мастеркласс #мастеркласспитер #витражпитер #картинанастекле #картинанастеклеспб #картинанастеклепитер #мккартинанастекле #роза #желтаяроза #розакартина #розанастекле;1553923634;53;4911142009;False;мкросписьспб
BvtZ3uZFygv;"🌸”Love story” Жирафы 6 апреля в 15.00❗️г.Орск 🌼«Вид из окна» 7 апреля в 17.00 фестиваль в Леонардо,СПБ
🌷поднос «Павлин» 20.04 в 17.00 СПБ 🌺 «Маки»24 апреля 18.00 СПБ
💐”Тюльпаны» 27 апреля в 12.00 СПБ
#картинанастеклепитер #мкорск #мквитражорск #мкросписьпостеклу #мкспб #мквитражспб #мквитражнаяросписьспб #мквитраж #мквитражнаяроспись #росписьпостеклуспб #мкросписьпостеклу #мкросписьспб #радужныйкот #мквитражнаяроспись #радужныйлев #ваюромдони #мастеркласс #мастеркласспитер #витражпитер #картинанастекле #картинанастеклеспб #картинанастеклепитер #мккартинанастекле #роза #желтаяроза #розакартина #розанастекле #фестивальлеонардо";1554114219;41;4911142009;False;мкросписьспб
Bvza6zmg0PG;"🧚‍♀️ 🎨 🖌
#картинанастеклепитер #мкорск #мквитражорск #мкросписьпостеклу #мкспб #мквитражспб #мквитражнаяросписьспб #мквитраж #мквитражнаяроспись #росписьпостеклуспб #мкросписьпостеклу #мкросписьспб #радужныйкот #мквитражнаяроспись #радужныйлев #ваюромдони #мастеркласс #мастеркласспитер #витражпитер #картинанастекле #картинанастеклеспб #картинанастеклепитер #мккартинанастекле #фея #клевер#фестивальлеонардо";1554316154;54;4911142009;True;мкросписьспб
Bw7tvJcFQzn;"❤️ «Фея» 25 мая
💛 «Чайная роза» 26 мая
💚 «Монстера» 30 мая
Запись идёт!!!
#павлин #поднос #мкорск #мквитражорск #мкросписьпостеклу #мкспб #мквитражспб #мквитражнаяросписьспб #мквитраж #мквитражнаяроспись #росписьпостеклуспб #мкросписьпостеклу #мкросписьспб #радужныйкот #мквитражнаяроспись #радужныйлев #ваюромдони #мастеркласс #мастеркласспитер #витражпитер #картинанастекле #картинанастеклеспб #картинанастеклепитер #мккартинанастекле #клевер#фестивальлеонардо";1556741880;34;4911142009;False;мкросписьспб
BwMqlTRF2CP;"Первая работа большого формата🙈30*40,через полгода, как я начала дружить с витражными красками😍 🧚‍♀️ 🎨 🖌я рисовала каждый день🦄
#картинанастеклепитер #мкорск #мквитражорск #мкросписьпостеклу #мкспб #мквитражспб #мквитражнаяросписьспб #мквитраж #мквитражнаяроспись #росписьпостеклуспб #мкросписьпостеклу #мкросписьспб #радужныйкот #мквитражнаяроспись #радужныйлев #ваюромдони #мастеркласс #мастеркласспитер #витражпитер #картинанастекле #картинанастеклеспб #картинанастеклепитер #мккартинанастекле #клевер#фестивальлеонардо";1555163169;50;4911142009;False;мкросписьспб
BwjRA8xF54b;"Фестиваль в Леонардо ❤️#витраж #росписьнастекле #витражнаяроспись #витражнаяросписьпостеклу #мкспб #мквитражспб #мкпитер #мквитражпитер 
#картинанастеклепитер #мкорск #мквитражорск #мкросписьпостеклу #мкспб #мквитражспб #мквитражнаяросписьспб #мквитраж #мквитражнаяроспись #росписьпостеклуспб #мкросписьпостеклу #мкросписьспб #радужныйкот #мквитражнаяроспись #радужныйлев #ваюромдони #мастеркласс #мастеркласспитер #витражпитер #картинанастекле #картинанастеклеспб #картинанастеклепитер #мккартинанастекле #клевер#фестивальлеонардо";1555921516;42;4911142009;False;мкросписьспб
BwrCcS4Fnj1;"Поднос «Павлин» 💙
#павлин #поднос #мкорск #мквитражорск #мкросписьпостеклу #мкспб #мквитражспб #мквитражнаяросписьспб #мквитраж #мквитражнаяроспись #росписьпостеклуспб #мкросписьпостеклу #мкросписьспб #радужныйкот #мквитражнаяроспись #радужныйлев #ваюромдони #мастеркласс #мастеркласспитер #витражпитер #картинанастекле #картинанастеклеспб #картинанастеклепитер #мккартинанастекле #клевер#фестивальлеонардо";1556182311;48;4911142009;False;мкросписьспб
BxsI26Zo0ea;Мастер-класс 🧚‍♀️,в эту субботу в 13.00,жду вас 😍😊запись уже началась  #мкросписьпостеклу #мкспб #мквитражспб #мквитражнаяросписьспб #мквитраж #мквитражнаяроспись #росписьпостеклуспб #мкросписьпостеклу #мкросписьспб #радужныйкот #мквитражнаяроспись #радужныйлев #ваюромдони #мастеркласс #мастеркласспитер #витражпитер #картинанастекле #картинанастеклеспб #картинанастеклепитер #мккартинанастекле #клевер#фестивальлеонардо;1558366713;33;4911142009;False;мкросписьспб
