post_id;text;date;likes;owner_id;is_video;by_tag
BuTpWdhh2Ho;"Семинар РОСТОВ,  ждем желающих .
#семинар #семинарростов #мкростов #краскадлябровей #хнадлябровей #семинарбровист";1551102437;24;9522402521;False;мкростов
Bv-2g0XhxPE;"13 - 14 июля ждём очаровательную  Ильзиру Карагузину @ilzi_ , автора книги ""Слоёное счастье"", с новой программой!
. 
Необычная сборка, запоминающиеся разрезы, вкусы, которые не оставят равнодушным никого! Итак, в программе:
. 
Торты
✨ Крокембуш
✨ Вертикальный карамельный торт с черносливом
✨ Необычный черничный торт
✨ Торт яблоко-карамель
. 
Чизкейки
✨ Малина-лимон
✨ Смородиновый Париж-Брест
✨ Малина-вишня
✨Шоколадный чизкейк без выпечки
. 
Декор
✨ Различные виды крема для выравнивания
✨ Текстура - пчёлы ✨ Работа с вафельной бумагой (бабочки, цветы) ✨Темперирование
✨Кремовая живопись
. 
Для записи пишите в WhatsApp по активной ссылке в шапке профиля (начинается со слов Taplink) .
.
.
Без наших партнёров все это было бы невозможно:
🔥Всемогущая техника, верный помощник на вашей кухне @cookingchef_official
🔥Стильная и удобная посуда для ваших кулинарных импровизаций @esprado.ru
🔥Натуральное пюре из самых спелых фруктов и ягод @ravifruitrussia
🔥Информационный партнёр, магазин для кондитеров @butikforcake_rnd";1554699661;173;6963207892;False;мкростов
Bv-66zBjBob;"13 профессий макраме мастера
⠀
Я на выходных посчитала сколько профессий совмещаю занимаясь любимым делом. Итак, поехали:
1. Макраме мастер
2. Менеджер по закупкам/снабжению. Веревки надо найти и закупить. Коряги собрать, просушить, подготовить (может я ещё Дровосек 🤔)
3. Фотограф. Визуал наше все
4. Копирайтер. Изделия надо описать, про услуги рассказать, тексты продающие написать, развлекательные добавить и про информационные не забыть
5. Менеджер smm. Аккаунт надо оформлять и продвигать
6. Маркетолог. Исследовать рынок услуг, тенденции, конкурентов, целевую аудиторию
7. Специалист по связям с общественностью/ PR менеджер. Формировать и поддерживать положительное мнение о персоналии, продукте.
8. Продавец-консультант. Про изделие надо рассказать, показать с разных сторон, предложить варианты
9. Бухгалтер. Учёт расходов и доходов должен быть
10. Специалист по складскому учету и движению товара. Сколько веревки прибыло/убыло
11. Декоратор/оформитель для проведения фотосъемки изделий
12. Упаковщик
13. Курьер. И на почту, и в транспортную компанию
⠀
И я уверена, это ещё не все. Так же сам себе кнут, пряник, премия и отпуск😁
Ваши 'внутренние мастера' не конфликтуют друг с другом?";1554701971;445;6622403827;False;мкростов
Bv-6jpAhc9E;"✓ 14 апреля. МК Thuya Professional Line 👩‍🎓 ✓

Уважаемые мастера,
В воскресенье состоится повышение квалификации бровистов 🎓 от Thuya.

В данном курсе вы узнаете все о бренде.
Узнаете особенности и нюансы работы.
Научитесь правильно и без вреда для здоровья клиента делать долговременную укладку бровей.
Разберём красители и научимся создавать уникальные цвета.

Хочешь подробную программу?
Пиши в директ 🙌

По окончанию курса выдаётся официальный международный сертификат Thuya.

Курс включает в себя две отработки на моделях.
Все материалы и инструменты на период обучения предоставляются.

И только в апреле, можно пройти обучение со скидкой 🤗
Всего 3000р за качественное образование.

Обучение проводит официальный технолог компании @thuya.russia  Торишная Ольга.
@obuchenie_browmaster 📲 +79604502940";1554701782;236;4770419883;False;мкростов
Bv-HAobnoRX;"Мамули, ловите расписание детских МК по масляной живописи (будни)😍✨ @love2draw 🎨
⠀
Любой уровень подготовки))
⠀
Все материалы предоставляются!
⠀
Время от 1,5 до 2,5 часов ✨
⠀
Связь:
⠀
📲 89287767615
📥 Директ
📮 W/A";1554674756;23;9258189191;False;мкростов
Bv-vhyIn-Vo;"Наша подготовка к лету☀️🔥 визуализируем 😀😀😀 ⠀
⠀
Такие разные стили у ребят, хоть и одна картина 😍
⠀
У каждого - своя индивидуальность, которая проявляется в том числе через рисунок✨
⠀
Связь:
⠀
📲 89287767615
📥 Директ
📮 W/A";1554695999;11;9258189191;False;мкростов
Bv0-uwTHJVu;"#визажистволгоград #визажистставрополь #визажистпятигорск #визажистновороссийск #визажисткраснодар #визажисттаганрог #lclassic #визажистазов #promakeuplab #визажисткисловодск #визажистбатайск #визажистволгодонск #визажистанапа #мкростов# визажистмахачкала#makeup
Школа-Студия BELLA VISTA Симиренко 37/2
89888881280 Ватс Ап  Круглосуточно ✅";1554368470;13;738302262;True;мкростов
Bv0_01vBCY6;"Любите пиццу? Мы тоже!🍕
⠀
В предстоящее воскресение, мы будем готовить с @cinnabon_events её вместе с вашими детками!
⠀
Малышей будут ждать веселый аниматор @more_radosti_rostov и талантливые повара, которые помогут маленьким кулинарам раскрыть секреты традиционной итальянской кухни. 🇮🇹
⠀
📆 7 апреля ⏰ 12:00
📍 Большая Садовая 64
💰 Стоимость 500₽
🎁 Бесплатный напиток каждому участнику!
⠀
Запись на МК по телефону ☎ 8 (863)269-87-38
⠀
#ya_mana_na_dony";1554369000;361;4569069010;False;мкростов
Bv0wF1yhRGG;"Количество деталей на этом портрете зашкаливает, а мне так нравится 😍
Стараюсь букет не «приклеивать» к невесте, но тут он так гармонично выглядывает 😺😍 ⠀
⠀
Запись на свадебную съемку в Директ 🤗🌸💕";1554360750;1305;271906189;False;мкростов
Bv13IrkHMd3;"Почему на ""Постановочной курсе"" мы простригаем формы на длинных волосах?
Отвечает Андрей Акимов:"" На этом курсе необходимо научиться строить формы в пространстве, что это значит? 
Мы берём за основу геометрические фигуры ( круг, квадрат, треугольник)
Почему именно эти и почему их только три?))))
Дело в том что любой дизайн строится на этих трёх геометрических фигурах, эти фигуры комбинируются между собой и получаются более сложные фигуры, но это производные от трёх основных.
В стрижках если ты знаешь как строить эти фигуры в чистом виде, без труда комбинируешь и получаешь новые формы. На длинных волосах это проще всего сделать потому что начинаешь видеть в пространстве визуальное представление этих фигур. Как только ты выполняешь выбранную  фигуру, видишь как падают волосы и понимаешь какой эффект даёт ( круг, треугольник и квадрат ) при падении, потому что волосы не остаются в пространстве в котором ты подстригаешь, соответственно делая наблюдения у тебя появляется понимание эффекта от формы. Запоминаешь и комбинируешь или строишь что то новое.
Это даёт безграничную свободу в выборе вариантов стрижек для клиентов! 
Длинные волосы тренируют выполнение правильной оттяжки потому что их сложно тянуть))) сложнее удерживать в пальцах, сложнее распределять волосы расческой и удерживая стричь сложнее, а если с двух сторон мы получим одинаковые стороны в миллиметрах - это заставляет совершенствоваться. На коротких волосах это проходит более идеально)"".Записаться на курс можно по телефону 89282379234 Майя
#андрейакимов #обучениепарткмахеров #стрижкикрд #стрижкикраснодар #мккраснодар #мксочи #мканапа #мкростов #семинаркраснодар #семинарсочи #семинаранапа #семинарростов #семинарновороссийск #стилисткрд #стилистсочи #стилистростов #стилисткраснодар #vidalsassoon #saco";1554397998;47;6877028086;False;мкростов
