post_id;text;date;likes;owner_id;is_video;by_tag
BgeZk1fA-_B;А вот и мы !! Какие же молодцы!!! Сашенька из Читы и я сегодня много узнала об этом удивительном крае Забайкалья!! Надеюсь ты тоже будешь помнить нашу снежную Самару и те эмоции  которые получила сегодня!! Хорошей тебе дороги , светлый и легкий человек!! #Барельеф #живописныйрельеф #айдамы#мастерклассывсамаре#скульптуравживописи #скульптурнаяживопись #gipsy #самарамастеркласс #кудапойтивсамаре #interiordesign #instagood #lol#amazing#мкжаннымытаревой #афишасамара #мксамара#урокицветочнойскульптуры;1521398493;402;1562466835;False;мксамара
BhkMU2VFph0;Девочки люблю вас, вы супер!!! #мастеркласссамара #мкжаннымытаревой #урокицветочнойскульптуры #мксамара#афишасамара #мкмосква;1523740357;989;1562466835;False;мксамара
BngICLRlYJh;Мастер класс по холодному фарфору в Москве! 14 сентября) есть места, пишите в Директ . приглашаю всех желающих творить в этой чудесной технике!) . Рецепт холодного фарфора по вашим просьбам : 1 чашка клея столярного Момент и Титан в соотношение 50:50. 1 чашка кукурузного крахмала. 1 ст л вазелинового и детского масла Джонсон, 1 ч л глицерина. О,5 ч л свечи стеариновой . О, 5 ч л лимонного сока или уксуса.  Варим до густоты теста и вымешиваем щедро смазав руки кремом . На мк рассказываю ещё варианты холодного фарфора по своим наработкам .  #мкмосква #мастеркласс #подаркисамара #керамическаяфлористика #панновпод#скульптурнаяживопись #барельеф #рельеф#картинаназаказ #подаркиручнойработы #холодныйфарфор #ярмаркамастеров #декупаж#coldporcelain#video #artist #artvideo #мкжаннымытаревой #мксамара;1536489327;495;1562466835;True;мксамара
BqsdYIDl2F8;"Очень красивые вышли работы! 🍂
#студия217  #мк_студия217 #мксамара";1543345085;79;690740578;False;мксамара
BtfTMgfhU1o;Доброе утро, друзья!!! А в студии Артчердак, @artcherdak_  каждую субботу с 10 утра продолжаем  готовить наших волшебных садовниц! 🌺🌺🌺 #мксамара#полимернаяглина #instaart #подарки8марта #подаркисамара #мастеркласссамара #handmadeflower #цветыручнойработы #панно #паннонастену #тарелочка #ceramicflowers #афишасамара #кудапойтисамара #9vaga_shabbysoft9 #9vaga_rose9 #артсамара#paletteknifepainting #paletteknife #sculpting #мкмытаревойжанны #урокицветочнойскульптуры #цветывскульптуре;1549345990;587;1562466835;False;мксамара
BtsjNm3FGbh;В нашей студии @design.studio217 мы проводим и индивидуальные занятия.💕 Как правило, они самые продуктивные! Потому что все внимание уделяется одному ребенку. Ученица Катя очень любит кроликов, поэтому мы нашли фото кролика в интернете и нарисовали его! Кате только исполнилось 7 лет. #студия217  #студия217обучение #мксамара #художественнаяшкола #обучениерисованию #детисамара #samara #art;1549790595;1055;690740578;False;мксамара
Bu-5cFvlf_S;"РИСУЕМ НА ВОДЕ ЦВЕТЫ: тюльпаны, маргаритки, анютины глазки, ромашки
.
▶️24 марта в 15.00◀️
.
Эбру - это древняя восточная техника живописи на воде.
.
🖼️Холст - специальная вода,
🎨Краски - специальные, которые не смешиваются между собой.
.
Картину с воды сохраним, для этого перенесём рисунок с воды на бумагу.
.
☝️Кстати, можно переносить рисунок с воды на ткань, дерево, гипс и другую впитывающую поверхность.
.
✔️ Если вы хотите сохранить свой рисунок не только на бумаге, напишите мне об этом заранее😊 💞💞💞💞💞💞💞 У такого вида творчества огромный терапевтический эффект, поэтому тем, кто в поисках ресурсного состояния, я очень рекомендую попробовать 🦄
.
Невероятная радость окутает вас и погрузит в Волшебный мир эбру✨
.
А я с удовольствием стану проводником в этот красочный мир, пишите, у вас все получится!
.
Требуемый уровень подготовки: с нуля😘
.
.
Пишите, звоните ☎️ +7 927 209 32 88 (Viber, WhatsApp) отвечу на все вопросы.";1552553712;75;482745221;False;мксамара
Bu-fn_pAZhA;"Друзья! 
Кто ещё не знаком с глиной или хочет полепить ещё, приглашаю  вас на индивидуальный мастер-класс по ручной лепке из глины!
▪️Варианты изделия могут быть разные - тарелки, блюда, кружки, вазы , подсвечники, элементы декора. Вообщем тема свободная!
▪️Лепим, если надо декорируем - делаем фактуру, раскрашиваем ангобами. По количеству  сколько успеете, зависит от сложности. После первого обжига сама покрою белой или прозрачной глазурью, после второго обжига изделие ваше. ▪️Стоимость 1600₽, занятие 3ч, проходит в мастерской, материалы и обжиги включены. Можно вдвоём для компании - 1300₽/чел
▪️По времени и дате согласовываем
Ваши фантазия и настрой, моя максимальная поддержка и все получится!🙌
Запись и вопросы в директ

#мксамара #мкручнаялепка #мкизглины #керамикасамара #керамикаручнойработы #самара #handmadeceramics #present #посудасвоимируками #ручнаялепкаизглины #лепимруками #керамикадлядома #мк #самара";1552540178;72;2065805963;False;мксамара
Bu-lIzxlS99;"❤Дорогие мастера парикмахерского искусства!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
💙Приглашаем вас на учебный курс по техникам стрижек «АВС».
⠀⠀⠀⠀⠀⠀⠀⠀⠀
💚Преподаватель - Валерия Миникаева  выпускница  Лондон академии Vidal Sassoon и HOB академии,Бронзовый призёр Wella Trend Vision, работала в школе «Куафюр» у Ирины Михайловны Котовой.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
🧡Курс состоит из 5 блоков,  каждый  блок включает теоретическую часть, демо показ и отработку стрижки на одной модели.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
💖 1 блок
- техника точных стрижек,
- движение волос
-коррекция формы лица и головы,
- постановка рук и тела мастера - индивидуальный подбор формы стрижки клиентам.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
💚 Ловите шанс научиться делать качественные стрижки здесь и сейчас!!!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
💕Обучение состоится 9 апреля в 10.00, стоимость 1 блока - 3000 ₽
Последующие блоки - 5000 ₽
💕по адресу: Московское шоссе 47,
3 этаж, студия «Карамель».";1552543068;248;3162357828;False;мксамара
Bu-mygUFmA7;"❤Дорогие мастера парикмахерского искусства!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
💙Приглашаем вас на учебный курс по техникам стрижек «АВС».
⠀⠀⠀⠀⠀⠀⠀⠀⠀
💚Преподаватель - Валерия Миникаева  выпускница  Лондон академии Vidal Sassoon и HOB академии,Бронзовый призёр Wella Trend Vision, работала в школе «Куафюр» у Ирины Михайловны Котовой.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
🧡Курс состоит из 5 блоков,  каждый  блок включает теоретическую часть, демо показ и отработку стрижки на одной модели.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
💖 1 блок
- техника точных стрижек,
- движение волос
-коррекция формы лица и головы,
- постановка рук и тела мастера - индивидуальный подбор формы стрижки клиентам.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
💚 Ловите шанс научиться делать качественные стрижки здесь и сейчас!!!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
💕Обучение состоится 9 апреля в 10.00, стоимость 1 блока - 3000 ₽
Последующие блоки - 5000 ₽
💕по адресу: Московское шоссе 47,
3 этаж, студия «Карамель».
.
#buyanova_hairstyle 
#селфисамара
#парикмахерсамара
#волосысамара
#стилистсамара
#колористсамара
#окрашиваниесамара
#стрижкисамара
#визажистсамара
#стрижки_buyanova 
#мксамара
#обучениесамара
#парикмахерскаясамара
#валерияминикаева";1552543934;122;8630430660;False;мксамара
Bu-qR4yFKJ_;"Название картины ""Олеся"" 😊
Нежная и легкая, как ее хозяйка 👩
_______________________________
#картиныдляинтерьера #картинывподарок #картиныназаказ #холстмасло #мксамара #самараинтересная #самаратворческая #мастеркласссамара #АртВикторияСамара";1552546060;43;8690158224;True;мксамара
Bu0ftAflXl5;"Приятные муки творчества: выбираем  модель для будущих брюк 😀
Активно готовим  новый летний  гардероб✂️👚✂📍👗👜👠";1552204675;69;4954729823;False;мксамара
Bu1VeugAfMT;"Авторская юбка ученицы #школашитьявашеймечты 👑
#подаркисудьбыдлягалины
.

Поговорим о детали в одежде , которая называется ШЛИЦЕЙ....
Что это такое и где она располагается ？
.
Все вы видели складочку на юбке“карандаш” в заднем шве, вот это она и есть.... и не только, мужской пиджак чаще всего представлен этой деталью , с одной или двумя ....а  на рукавах видели ？
.

Обработка бывает с подкладом или без , да и способов очень много ! Разобраться самостоятельно по видео-урокам для некоторых сложно , вот я  и предлагаю новый мастер-класс по обработке шлицы с подкладом и без....
.
Выберете и запишитесь（в директ или по тел.89613818777）на вам удобное время в расписании: .
Добро пожаловать！
.

А какие узлы  вас пугают и что бы вы хотели научиться делать в шитье ？Поделитесь💗 и в коментариях , для меня это важно ....";1552232869;75;5542862664;False;мксамара
Bu1jAqKFEFy;"Дорогие коллеги! ⠀
✅12-13 апреля
✅Г.Самара
⠀
💪🏽Авторский мастер класс от 
Джулии
Студия Светланы Газизовой  #letosvesnoy
⠀
☝🏽Мини группы ⠀
❤️Губы ОТ А ДО Я (от эскиза до красивого фото)
• все секреты красивых губ с использованием пудровой техники напыления • показательный мастер-класс от Джулии #letosvesnoy_работыджулии
• индивидуальная отработка на модели
• постановка руки
• разбор пигментов
• вручение сертификатов о повышении квалификации ⠀
Организатор Юлия Хафизьянова @tatuag_samara
⠀
👉🏼Все подробности в директ или по телефону: 8(917)101-24-69 (WhatsApp, Viber)
⠀
#обучениетатуаж #мксамара #перманентныймакияжобучение #татуажобучениесамара #бровиобучениесамара #перманентобучение #пмгуб #letosvesnoy_работыджулии";1552239963;40;1634063900;False;мксамара
Bu29zokl9ng;"Ну вот и прошёл самый ответственный для всех флористов праздник 8 марта. И у меня появилась свободная минутка что б поделиться своими эмоциями о мастер классе.
К слову сказать, это мой первый мастер класс и первый опыт работы с детьми. 
Если честно, нахожусь под впечатлениями до сих пор😊 Так долго я к нему готовилась, переживала, морально настраивалась а 2 дня мастер класса прошли на одном дыхании! Весело, креативно, интересно и уютно, по домашнему👍 к чему располагала студия Элька-Арт где хозяйка @kolomiytseva_ekaterina организовала пространство с теплотой и душой❤
Особенно порадовали детки, такие умнички! (зря я за них переживала) Все с заданием справились! А сколько красоты наделали))) и у каждого флорик свой, не повторимый! 
А сколько вопросов я получила о суккулентах и флорариумах....куча😂 так что теперь в группе будет еще и познавательная рубрика😉. Кучу отзывов мне писали и в ВК и Инст, что очень приятно😘😘😘
И самое главное, что я очень рада была со всеми познакомиться, пообщаться, попить чаю с плюшками!
Спасибо огромное каждому кто нашел время и пришёл!
 Ну, и о главном❗ по многочисленным просьбам в апреле пройдет еще 2 МК! ✅13 апреля(суббота) будем делать флорик с лебединным озером. Расскажу и покажу как делать иммитацию воды😉 (думаю детям будет особенно интересно)
✅14 апреля(воскресенье) МК на геометрическую форму ""Капля"". Только для взрослых!
✅ встречаемся там же, 5 просека 106 😉

Уже можно записываться!

Еще больше фото, листайте карусель 
По всем вопросам 👇 ▪Сообщения в директ
▪Телефон(viber) +7(937)170-01-60

#флорариумсамара#флорариумсвоимируками#афишасамары#суккулентысамара#оригиналтныеподаркисамара#мксамара#досугсамара#самарадетям#творчествосамара#самаралюбимая";1552287566;621;6767897263;False;мксамара
Bu2y-fHlYCq;"Фото с #девичник_buromis
⠀
Девочки, у нас готова 2я порция фото с весеннего #девичник_buromis от @pro_ira.photo
⠀
И чтобы сгладить горечь понедельника после длинных выходных мы с @pro_ira.photo решили подарить вам 🎁 - 30минутную фотосессию!
⠀
Для этого нужно до 15 марта 👇🏻
✅ подписаться на @pro_ira.photo
✅ выложить фото с #девичник_buromis в ленту / сторис с отметкой @pro_ira.photo
⠀
Среди участниц выполнивших условия - 15 марта @pro_ira.photo разыграет 30мин фотосессию 📸
⠀
Все фото в нашей группе в VK @buromis , кому нужна ссылка пишите - пришлю👌🏻
⠀
Ещё раз спасибо всем за участие и до новых встреч уже на летнем #девичник_buromis 🍸
⠀";1552281888;77;3075602182;False;мксамара
