post_id;text;date;likes;owner_id;is_video;by_tag
Bo3SKMHHJ36;"Наполеон от @ellin_luxury_cake 
1,5 кг d 23
Благодарю Вас за 💕 и подписку на 👉 @ellin_luxury_cake⠀~ ~ ~ ~ ~ ~ ~ ~~ ~ ~ ~ ~ ~ ~ ~ ~~ ~ ~ ~ ~ ~ ~ ~ 📍Ассортимент,  цены и условия заказа можно посмотреть в профиле @ellin_luxury_cake_assortiment ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀⠀. Для заказа активная ссылка в шапке профиля 👆
☎ +79536371063
📲 Viber / What's app/Telegram /VK 📩 в  Direct ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
#чизкейксаратов#чизкейк#cheesecake#детскийтортысаратов#тортнаюбилейсаратов#тортсаратов#тортэнгельс#детскийпраздниксаратов#мастеркласссаратов#праздниксаратов#саратов64#саратовторт#тортыназаказсаратов#сладкийстолсаратов#тортысаратов#муссовыетортысаратов#тортнаденьрождениясаратов#капкейки#десерты#МКсаратов#детскийторт#тортдлядевочки#кейкпопсы#cakepops#кэндибар#свадебныйтортсаратов";1539413335;50;4684704476;False;мксаратов
Bo54w9uHiKq;"Наполеон от @ellin_luxury_cake 
2,4 кг d 22 h 12
Благодарю Вас за 💕 и подписку на 👉 @ellin_luxury_cake⠀~ ~ ~ ~ ~ ~ ~ ~~ ~ ~ ~ ~ ~ ~ ~ ~~ ~ ~ ~ ~ ~ ~ ~ 📍Ассортимент,  цены и условия заказа можно посмотреть в профиле @ellin_luxury_cake_assortiment ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀⠀. Для заказа активная ссылка в шапке профиля 👆
☎ +79536371063
📲 Viber / What's app/Telegram /VK 📩 в  Direct ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
#чизкейксаратов#чизкейк#cheesecake#детскийтортысаратов#тортнаюбилейсаратов#тортсаратов#тортэнгельс#детскийпраздниксаратов#мастеркласссаратов#праздниксаратов#саратов64#саратовторт#тортыназаказсаратов#сладкийстолсаратов#тортысаратов#муссовыетортысаратов#тортнаденьрождениясаратов#капкейки#десерты#МКсаратов#детскийторт#тортдлядевочки#кейкпопсы#cakepops#кэндибар#свадебныйтортсаратов";1539500684;42;4684704476;False;мксаратов
Bq-EBdUHhlA;"⠀Листаем➡️ после/до🧚🏼‍♀️
⠀
⠀🌿Аппаратный маникюр без режущих инструментов ✂️
⠀🌿Покрытие под «кутикулу» 💅🏻
⠀🌿Дизайн «френч»
⠀🌿Для записи/по всем вопросам в Direct 💌
⠀
⠀...
⠀#академияуспешныхмастеров#luzan_саратов#lunail#яналуззаппаратныйманикюр#покрытиеподкутикулу#гельлаквсаратове#onenail
#аппаратныйманикюрсаратов#маникюрсаратов#ногти#маникюргельлак#nails#ногтисаратов#мксаратов#дизайнногтей#nailsaratov#nail#гельлак#идеиманикюра#идеальноепокрытие#лайк#идеальныеблики#saratovnails#саратовногти#nailmaster#макроногти#макросъемка#2фрезы #2фрезыбезрежущих✂️инструментов";1543935772;42;7723409242;False;мксаратов
Bq2A4ExjjdK;"⠀
Даже себе представить не можешь, как у меня трясутся пальцы и не попадают по буквам🙈
⠀
Наконец я созрела. Из ""вау! Как же это делается""  я дошла до уровня ""а ещё можно нарисовать ангелов, которые протяговают шоколадные цветы""😁
⠀
Но это не был простой путь☝️сколько всего надо было перечитать, мастер классов посмотреть, поменять поставщиков🤦🏻‍♀️
⠀
А для тебя я все собрала в инструкцию 📝 Видео, с подробным планом 🎥 как что делать, куда обращаться и где закупать. Просто бери и делай🙌
⠀
Свой опыт я преобразовала в видео МК или мы можем встретиться лично (есть позволяет расстояние)😁
⠀
Итак! Барабанная дробь! 🥁
⠀
Я ОБУЧАЮ ШОКОЛАДНОМУ ДЕЛУ🥳
⠀
Все заинтересованные велкам в директ или вотсап (прямая ссылка в шапке)☝️";1543665704;120;5900421888;True;мксаратов
Bq2VZKlHZ41;"С первым днем зимы, дорогие друзья!😘 У нас многие спрашивают, где мы будем перед Новым годом)  Отвечаем. С 7го по 30е декабря мы будем в ""Хэппи Молле""🤗
Чуть позже расскажем более подробно😉
.
.
.
#народныепромыслыгончарнаямастерская #Саратов #саратов #керамика #керамикаручнойработы #ручнаяработа #мастерклассысаратов #лепкасаратов #handmade #handmadesaratov #saratov #ceramic #сызрань #Сызрань #ручнаяработасаратов #гончар #горшок #глиняныйгоршок #глиняныйсвисток #глиняныйкувшин #окарина #свисток #колокольчик #глиняныйколокольчик #глина #керамика #керамикавсаратове #гончарка #глина #мксызрань #мксаратов #Syzran #хэппимолл #happymoll";1543676443;34;6654595024;False;мксаратов
Bq60fQgnH-S;"Всем доброго дня!

Расписание занятий в #мастерскаяпестрядь на неделю 3-9 декабря.

5 декабря, среда, 18:00 
Женский круг. Исследуем баланс женского и мужского внутри себя. 
7 декабря, пятница, 12:00
Мужская рубаха. Оформление горловины.

8 декабря, суббота, 
10:00 Декупаж. Часы.
15:00 Мандалы. Новогодние украшения.

9 декабря, воскресенье, 13:00
Мокрое валяние. Варежки.

Пожалуйста, записывайтесь заранее, мастерицы готовят материалы по количеству участниц.

Запись и все вопросы
в Директ и  личным сообщением
8-927-224-12-21
Viber, WhatsApp

#рукодельныйсезон
#волшебствомандалы
#мокроеваляние
#декупаждлявас
#войлокишелк
#мкпестрядь
#вдохновенноепространство
#радостьтворчества
#расписаниезанятий
#всегдарадывам
#мужскоеиженское
#ручноешитье
#мужскаярубаха
#какоформитьгорловину
#валяемварежки
#радызиме
#рукодельныйсаратов
#мксаратов";1543826964;15;3635875802;False;мксаратов
Bq6djAUHAtH;"Тут должна быть история о моей одержимости фактурами , но это позже) Расскажу вам о программе Мастер класса *Мой новогодний шедевр* ) ну а что, я верю в ваши способности, и после мастер класса вы легко сможете украсить стол вкуснейшим десертом. Мы приготовим каждый по небольшому тортику «молочная девочка», я расскажу все свои секреты как сделать этот торт особенно вкусным, испечём моё любимое рождественское печенье , затем украсим праздничным декором «девочек» и счастливые отправимся домой. Всех карт по деталям МК и декору открыть не могу, но очень постараюсь чтобы вам было интересно и красиво✨ 
Дата 15 декабря (суббота)
Стоимость мк 2400₽
Место Антонио Петти
Время с 11-16 
Впечатления по прошедшим МК читайте по тегу #отзывы_мк_шерли
Записаться можно в Директ или по тел 📲 89085533468";1543814936;143;3123677373;False;мксаратов
Bq7GO8aH-Lm;"А вы знали, что из полимерной глины можно сделать вязанные украшения?
.
Для образца вязанной техники из глины я сделала кулончик - сердечко и варежки.
.
Обычно варежку я украшаю цветочком, но можно и с отделкой поработать - добавила жгут...
Пока в наличии. Цена 200 руб.
.
.
#вязанныеукрашения #моиработы #кулонвподарок #украшенияизглины #лепимварежку#образецдлямк #бижутерия #ручнаяработа #подарок #полимернаяглина #лепка #глина #феоктистовамарина #feoktistova_lepka #feoktistova_marina #polimerclay 
#мк #мкглина #мклепка #мксаратов #саратов #кулонизглины";1543836268;50;2909017894;False;мксаратов
Bq7tma8nQVC;"⠀Листаем➡️ классика❤️ для @_nedzhi ⠀
⠀🌿Аппаратный маникюр без режущих инструментов ✂️
⠀🌿Покрытие под «кутикулу» 💅🏻
⠀🌿Для записи/по всем вопросам в Direct 💌
⠀
⠀...
⠀#академияуспешныхмастеров#luzan_саратов#lunail#яналуззаппаратныйманикюр#покрытиеподкутикулу#гельлаквсаратове#onenail
#аппаратныйманикюрсаратов#маникюрсаратов#ногти#маникюргельлак#nails#ногтисаратов#мксаратов#дизайнногтей#nailsaratov#nail#гельлак#идеиманикюра#идеальноепокрытие#лайк#идеальныеблики#saratovnails#саратовногти#nailmaster#макроногти#макросъемка#2фрезы #2фрезыбезрежущих✂️инструментов";1543856907;33;7723409242;False;мксаратов
Bq9FYnhH3tr;"#мужскойторт от @ellin_luxury_cake 
3,6 кг d 20 морковного с карамелью
⠀Спасибо, что Вы подписаны на мою страницу,  буду очень признательна если Вы поставите ❤и оставите комментарий
~ ~ ~ ~ ~ ~ ~ ~~ ~ ~ ~ ~ ~ ~ ~ ~~ ~ ~ ~ ~ ~ ~ ~ Для заказа активная ссылка в шапке профиля 👆
☎ +79536371063
📲 Viber / What's app/Telegram /VK 📩 в  Direct 📍Ассортимент,  цены и условия заказа можно посмотреть в профиле @ellin_luxury_cake_assortiment ⠀⠀⠀⠀⠀⠀⠀~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
#чизкейксаратов#чизкейк#cheesecake#детскийтортысаратов#тортнаюбилейсаратов#тортсаратов#тортэнгельс#детскийпраздниксаратов#мастеркласссаратов#праздниксаратов#саратов64#саратовторт#тортыназаказсаратов#сладкийстолсаратов#тортысаратов#муссовыетортысаратов#тортнаденьрождениясаратов#капкейки#десерты#МКсаратов#детскийторт#тортдлядевочки#кейкпопсы#cakepops#кэндибар#свадебныйтортсаратов";1543902931;30;4684704476;False;мксаратов
