post_id;text;date;likes;owner_id;is_video;by_tag
Bv0t3InFtXl;"МК Коммерческий макияж Марии Сунцовой @prostomeri 
Успей занять своё место и получить ответы на все вопросы💃

Санкт-Петербург 20 мая
Москва 28 июля
Запись в директ @prostomeri_mc";1554359787;76;6030908155;True;мкспб
Bw-JFXLHwk_;"А у меня вот что 🤓😋 Кто хочет - ай да в ютьюб 🏃‍♀ активная ссылка в профиле 
_____
#курсыфлористики #курсыфлористикиспб #обучениефлористике #флористикаобучение #флористика #флористспб #цветывкоробке #цветывкоробкеспб #цветыспб #кусыспб #мкспб #творческиемкспб #обучениеспб";1556823327;598;214698977;False;мкспб
Bw-V0i5gnJq;"Друзья, приглашаем вас провести субботний прекрасный вечер в душевной компании! 🙌🏼 В Антикафе нашего клуба пройдет “Игротека”
~~~
План прост 👇🏼
~~~
🖥 с 17-00 до 18-00 смотрим Marvel One-Shots на большом экране — зрелищно и увлекательно, а после обсудим понравившиеся короткометражки
~~~
😎 с 18-00 до 19-00 играем в Мафию – под подозрением будут все, потренируем свою наблюдательность и проницательность. Сумеете ли вы вывести мафию на чистую воду или возможно вам самому придется тщательно заметать следы
~~~
🎲 с 19-00 до 21-00 сразимся в настольные игры, построим свои города, освоим ресурсы или запустим электросеть в городе Н
~~~
🙋🏻 Хозяйка нашего антикафе #patriot_antikafe Лена будет ждать вас 4.05 в клубе “Патриот” по адресу Еремеева д. 1
~~~
🕺🏻 Приходите будет весело, приглашайте друзей, запись на мероприятие по телефону  8-921-583-9885 или у администратора в клубе
~~~
♥️ Поддержите нас в соц. сетях репостом! Ставьте хэштег #патриотлюдидолжнызнать делитесь в сториз! Наши занятия абсолютно бесплатны для молодёжи от 14 до 30 лет — актуальные и современные направления, востребованные специальности!";1556830005;5;10447398339;False;мкспб
Bw0-UU3BVKv;"23-25 сентября! СПб!
МК Северный колорит & airtouchoriginal Александр Забегаев @zabegaev_hair 
Программа рассчитана как для начинающих мастеров, так и для тех, у кого уже большой опыт работы.☝🏻 Мы передадим вам весь наш багаж знаний, весь опыт, который мы долго собирали в разных уголках мира.
⠀
Что входит?
👉🏻На мастер классе раскроем все технические моменты самых трендовых и актуальных техник: 
Airtouch, Shatush (начёс), AirTouch + Balayage, Air Touch (затемнение блонда в рельефный блонд).
👉🏻Обсудим тему колористики, дадим ответы на все вопросы, разберём сложные случаи.
👉🏻Поговорим о тонировании волос. Как их подготовить, что бы тонирование было стойким.
👉🏻 Как вести себя с клиентами и что нужно поменять себе, чтобы добиться успеха. Неформальное общение.
⠀
За 2 дня будет выдан огромный поток информации, а на 3-й мы с вами все отработаем. Согласитесь, что в нашем деле практика очень важна.😉
⠀
3 дня мощнейшей прокачки ждет вас.🤩🔥
Честно я вам звидую😏
⠀
Для записи на мастер класс обращайтесь к Юлия Фаона тел/viber/whatsApp/telegram 8921 798 67 18";1556515693;1579;5496938423;False;мкспб
Bw0PuLolwSs;В нашей Школе 😍 регулярно происходят полезные makeup события . 27.04.19 у нас состоялся МК настоящего бьюти -эксперта Ольги Токмаковой @nevo_tok в рамках презентации новинок и бестселлеров от @beautydrugs_ru , @cargocosmetics ,@temptu , @danessa_myricks , @agentnetty_pro . Основной учебной темой Семинара стала работа со сложной кожей , а второй показ был посвящен модным тенденциям .;1556491263;372;2129801611;False;мкспб
Bw1ELj6D-9n;"Ещё один подоспел.‼️ Новый МК‼️.
⠀
👑 МК Шапки « Trend_Hat » 👑
💲29, 30 апреля и 1 мая СТОИМОСТЬ МК 149р.
💸ОБЫЧНАЯ стоимость МК 249 р.
⠀
📌Мастер-класс в формате PDF.  страниц с фото подсказками в сложных моментах.
📌Справится внимательный и усидчивый новичок. Необходимы умения набор петель и вязать резинку 2-2.
📌Описание на любой размер.
📌Плотность вязания, 10см = 18п.
📌Пряжа Alize CottonGold Plus, 55% хлопок 45% акрил, 100г/200м. в 1 НИТЬ‼️ или  YarnArt Джинс  50г/160 м, В 2 НИТИ ‼️, так же есть рекомендации по пряже.
📌Рaсход пряжи: 100гр - зависит от выбранной пряжи. Подробнее об этом написано в мк.
⠀
‼️У вас всегда есть возможность задать мне любой вопрос.
⠀
P.S.: посмотреть работы девочек💃из тест-группы можно по хэштегу #Trend_Hat у вас может получится такая же красота💖 если Вы купите💲 мой мастер-класс.
⠀
💰Для всех кто хотел принять участие в тесте, но не попал к сожалению, скидка действует до конца мая.

Вы же уже полистали карусель? ⏩⏩ Нет? Листайте скорее и наслаждайтесь фото 💖.
——————————————————
Для покупки МК - прощу в #direct 📩
Так же всегда на связи в Viber/WhatsApp +79602446974
——————————————————
#описаниешапки #описание #мквязаниеспицами #мкшапка #шапкарезинка #шапкарезинкой #описаниевязания #мкшапкаспицами #мкдетскаяшапка #мкповязанию #описаниешапкаспицами #шапкаспицаминазаказспб #шапкаспицаминазаказ #шапкаспицамиспб #шапканазаказ #шапканавесну #шапка #мкспб #мквязание";1556518767;73;471852860;False;мкспб
Bw1G4YXDpDu;"🔴 В НАЛИЧИИ В СПб🔴
Стильные красивые украшения на любой вкус🔥
.
Сеты браслетов🔥😍☀🐚🍍
.
.
по 300руб.💰
.
.
.
#usabrands #usashopping #usashoes #mihaelkors #stevemadden
#spb #saintpetersburg #shop #shopping #shoppingonline #onlineshopping #вналичии #вналичииспб #мкспб #майклкорсспб #продамспб #майклкорсвналичииспб #аксессуарыспб #аксессуарывналичии";1556520182;7;11312559964;False;мкспб
Bw1GmgUj-NZ;"🔴 В НАЛИЧИИ В СПб🔴
Стильные красивые украшения на любой вкус🔥
.
Яркие красивые сережки😍
.
.
пара 400руб.💰
.
.
.
#usabrands #usashopping #usashoes #mihaelkors #stevemadden
#spb #saintpetersburg #shop #shopping #shoppingonline #onlineshopping #вналичии #вналичииспб #мкспб #майклкорсспб #продамспб #майклкорсвналичииспб #аксессуарыспб #аксессуарывналичии";1556520036;6;11312559964;False;мкспб
Bw1H42kDqrj;"🔴 В НАЛИЧИИ В СПб🔴
💥Michael Kors💥
.
Очень нежные мюли👠
100% замша❤
.
Размеры: 8,5(на наш 39)
25см до заужения
.
4.000💰
.
.
Больше вещей Вы можете найти на сайте,а мы поможем в выборе и заказе✈
https://www.michaelkors.com

#usabrands #usashopping #usashoes #mihaelkors #stevemadden
#spb #saintpetersburg #shop #shopping #shoppingonline #onlineshopping #вналичии #вналичииспб #мкспб #майклкорсспб #продамспб #майклкорсвналичииспб";1556520710;9;11312559964;False;мкспб
Bw1HBYZjaa_;"🔴 В НАЛИЧИИ В СПб🔴
Стильные красивые украшения на любой вкус🔥
.
Стильные яркие платочки дополнят или соединят детали Вашего образа🔥🔥🔥
.
.
300руб.💰-нижний ряд (по середине продан)
600руб.-верхний ряд(по середине -продан:
.
.
#usabrands #usashopping #usashoes #mihaelkors #stevemadden
#spb #saintpetersburg #shop #shopping #shoppingonline #onlineshopping #вналичии #вналичииспб #мкспб #майклкорсспб #продамспб #майклкорсвналичииспб #аксессуарыспб #аксессуарывналичии";1556520256;7;11312559964;False;мкспб
