post_id;text;date;likes;owner_id;is_video;by_tag
BE5eOOWorjU;Вы уже слышали о нашей школе красоты beautydrugs, если вы планируете мероприятие в сфере красоты, к примеру обучение, мастер-класс или презентацию, мы поможем с организацией этого события и предоставим площадку, звоните, приезжайте, бронируйте заранее!😉😃😄 адрес: ул.Мира 29 #арендазала#арендакраснодар #мккраснодар #мквизаж #мкстилиста #школакрасоты #школакрасотыbeautydrugs #мира29;1462177357;45;1152377221;False;мкстилиста
BE_L7KKR0Mv;"#Repost @dunaspa with @repostapp
・・・
Вы уже слышали о нашей школе красоты beautydrugs, если вы планируете мероприятие в сфере красоты, к примеру обучение, мастер-класс или презентацию, мы поможем с организацией этого события и предоставим площадку, звоните, приезжайте, бронируйте заранее!😉😃😄 адрес: ул.Мира 29 #арендазала#арендакраснодар #мккраснодар #мквизаж #мкстилиста #школакрасоты #школакрасотыbeautydrugs #мира29";1462369090;40;2226744559;False;мкстилиста
BK7okaoDHwh;"Напоминаем о том, что сегодня и завтра Билеты на МК @anetauotman10 по 1000₽, в октябре стоимость 1500₽!!! Действует бесплатная доставка по Казани!🚗 Спешите за новыми знаниями📝📢 Организаторами являемся мы, команда Sorokina. Поэтому приобрести билеты можете в ""Доме Головных уборов Sorokina"" по адресу Баумана 82, 1 этаж (ТЦ Свита Холл) или заказать билет: +7 (987) 000-555-0 #анетауотман #кудапойтиказань #мк #мастеркласс #обучение #саморазвитие #мкстилиста #казань";1475134793;39;289539127;False;мкстилиста
BL6B-PIDKZB;Последние штрихи📸улыбочку😁 скоро начнётся МК @anetauotman10 #sorokina_hats #sorokinahats #anetauotman #анетауотман #мк #мканетыуотман #кудапойтиказань #мкстилиста #янамканетыуотман;1477228486;115;1681718930;False;мкстилиста
BNHbEQUA-wb;"Если вы планируете мероприятие в сфере красоты, к примеру обучение, мастер-класс или презентацию, мы поможем с организацией этого события и предоставим площадку, звоните, приезжайте, бронируйте заранее!?????? адрес: ул.Мира 29 
#арендазала#арендакраснодар #мккраснодар #мквизаж #мкстилиста #школакрасоты #школакрасотыbeautydrugs #мира29 #школамакияжа #школашугаринга #школавизажа #обучениестилист #обучениешугаринг #обучениевизажисткраснодар #обучениекраснодар";1479825334;483;2226744559;False;мкстилиста
BNgabbggzcj;"Аренда помещения под проведение семинаров и мастер-классов сферы красоты и не только.
В школе красоты BeautyDrags, есть все необходимое оборудование для ведения лекций и семинаров. А для отработки полученных знаний у нас подготовлены удобные рабочих места и конечно же мойка. Большие подсвечиваемые зеркала идеальны для отработки навыков стилистов и визажистов.
Школа Beautydrugs - уникальное место в нашем городе, где вам раскроют все секреты создания профессионального визажа, научат ключевым принципам ногтевого и парикмахерского сервиса, а также топовым спа-техникам!
☎️ 8 918 048 58 31
🌎г.Краснодар, ул.Мира, 29
#краснодар#krd #makeup #beauty #beautydrugs#beautydrugsschool #школамакияжаbeautydrugs #мастеркласс #мастекласскраснодар #типичныйкраснодар#typicalkrd #визажисткраснодар#визажиствкраснодаре #makeuptrend
#арендазала#арендакраснодар #мккраснодар #мквизаж #мкстилиста #школакрасоты #школакрасотыbeautydrugs #мира29 #школамакияжа #школашугаринга #школавизажа #обучениестилист #обучениешугаринг #обучениевизажисткраснодар #обучениекраснодар";1480663860;496;2226744559;False;мкстилиста
BNzMGEOA7Tt;"Аренда помещения под проведение семинаров и мастер-классов сферы красоты и не только.
В школе красоты BeautyDrugs, есть все необходимое оборудование для ведения лекций и семинаров. А для отработки полученных знаний у нас подготовлены удобные рабочих места и конечно же мойка. Большие подсвечиваемые зеркала идеальны для отработки навыков стилистов и визажистов.
Школа Beautydrugs - уникальное место в нашем городе, где вам раскроют все секреты создания профессионального визажа, научат ключевым принципам ногтевого и парикмахерского сервиса, а также топовым спа-техникам!
☎️ 8 918 048 58 31
🌎г.Краснодар, ул.Мира, 29
#краснодар#krd #makeup #beauty #beautydrugs#beautydrugsschool #школамакияжаbeautydrugs #мастеркласс #мастекласскраснодар #типичныйкраснодар#typicalkrd #визажисткраснодар#визажиствкраснодаре #makeuptrend
#арендазала#арендакраснодар #мккраснодар #мквизаж #мкстилиста #школакрасоты #школакрасотыbeautydrugs #мира29 #школамакияжа #школашугаринга #школавизажа #обучениестилист #обучениешугаринг #обучениевизажисткраснодар #обучениекраснодар";1481293879;571;2226744559;False;мкстилиста
BOEdK2zAdut;"Если вы планируете мероприятие в сфере красоты, к примеру обучение, мастер-класс или презентацию, мы поможем с организацией этого события и предоставим площадку, звоните, приезжайте, бронируйте заранее!
#школаBeautyDrugs
☎️ 8 918 048 58 31
🌎г.Краснодар, ул.Мира, 29
#арендазала#арендакраснодар #мккраснодар #мквизаж #мкстилиста #школакрасоты #школакрасотыbeautydrugs #мира29 #школамакияжа #школашугаринга #школавизажа #обучениестилист #обучениешугаринг #обучениевизажисткраснодар #обучениекраснодар";1481873257;410;2226744559;False;мкстилиста
BPFHMMoFtdl;"Аренда помещения под проведение семинаров и мастер-классов сферы красоты и не только.
В школе красоты BeautyDrugs, есть все необходимое оборудование для ведения лекций и семинаров. А для отработки полученных знаний у нас подготовлены удобные рабочих места и конечно же мойка. Большие подсвечиваемые зеркала идеальны для отработки навыков стилистов и визажистов.
Школа Beautydrugs - уникальное место в нашем городе, где вам раскроют все секреты создания профессионального визажа, научат ключевым принципам ногтевого и парикмахерского сервиса, а также топовым спа-техникам!
☎️ 8 918 048 58 31
🌎г.Краснодар, ул.Мира, 29

#краснодар#krd #makeup #beauty #beautydrugs#beautydrugsschool #школамакияжаbeautydrugs #мастеркласс #мастекласскраснодар #типичныйкраснодар#typicalkrd #визажисткраснодар#визажиствкраснодаре #makeuptrend
#арендазала#арендакраснодар #мккраснодар #мквизаж #мкстилиста #школакрасоты #школакрасотыbeautydrugs #мира29 #школамакияжа #школашугаринга #школавизажа #обучениестилист #обучениешугаринг #обучениевизажисткраснодар #обучениекраснодар";1484042772;422;2226744559;False;мкстилиста
BPMo8M1DcCg;"Эля Булочка в Краснодаре!💄👑 Школа Beautydrugs Краснодар @beautydrugs_krd 16 апреля приглашает вас на мастер класс неподражаемой Эли Булочки ""Макияж в модной индустрии""! В программе:
✍ Лекция “Макияж в модной индустрии”
✍ Создание образа Full Fashion
✍ Создание образа Creative
✍ Работа с брендами, обзор лучших продуктов кейса

Время:
Теория - 11.00 - 16.30
Практика - 16:30 - 20.00

По итогам мастер-класса выдаётся сертификат.

Стоимость:
Теория - 3500 р
Теория + Практика - 6000 р. Количество мест ограничено!

Для брони места необходима предоплата 50% на карту! 📝 Присылайте имя/фамилию участника и номер мобильного для связи на почту beautydrugs@bk.ru или на Whats App +7(918)441-45-63 🌍 Место проведения: школа Beautydrugs, ул. Восточно Кругликовская 41 Aloe SPA: СПА-центр в Краснодаре

#mkbulochka #cailynrussia #красиваякожа #макияжкраснодар #дневноймакияж #вечерниймакияж #броубаркраснодар #визажисткраснодар #makeupkrd #beautykrd #beautydrugs #beautydrugsschool #школамакияжаbeautydrugs #мастекласскраснодар #типичныйкраснодар #визажиствкраснодаре #makeuptrend
 #мккраснодар #мквизаж #мкстилиста #школакрасоты #школакрасотыbeautydrugs #школамакияжа  #школавизажа #обучениестилисткраснодар #обучениевизажисткраснодар #обучениекраснодар";1484295347;439;1152377221;False;мкстилиста
