post_id;text;date;likes;owner_id;is_video;by_tag
0uquhcw2Tz;эти игрушки сшили мои ученицы под моим чутким руководством!! мк был в Сиесте) #мктильда #тильда #ручнаяработа #игрушкасвоимируками;1427455076;21;1790839312;False;мктильда
1DnrCkISrs;#мастерклассы в Москве: #валяниеизшерсти  #росписьстекла #куклы #тильда #декупаж  и многое другое телефон: 8 916 279 62 32;1428158118;62;1681592121;False;мктильда
2kiQaerMAO;Вот такая яркая Тильдочка вчера появилась на мастер-классе @kurilova_marina @art_class_veranda в замечательной @_basilicata_store_ 😍😍😍 Марина, спасибо огромное за советы, терпение и потрясающе теплую атмосферу!!!! 💐💐💐 #kalinkaart #tilda #bambola #doll #dolls #bambolina #fattoamano #handmade #hobby #handmader #tildadoll #masterclasse #мктильда #тильда #хобби #хендмейд #ручнаяработа #кукла #куколка;1431410058;72;240472863;False;мктильда
3TXd57LamU;"13 июня, суббота, в 12:00
--------------------------------------------
Мастер-класс ""Создание кроликов в морском стиле"" от Юлии Михеевой
-------------------------------------------- Каждая участница уйдет домой с готовой игрушкой! 🌺 Размер готовой игрушки 26 см вместе с ушками. 🌺 Возраст участников от 14 лет. 🌺 Бонус: Всем участницам мастер – класса – выкройка кролика и одежды - в подарок! 🌺 Продолжительность: 4-5 часов
🌺 Стоимость: 2 500 руб. 🌺 Все материалы ВКЛЮЧЕНЫ + БОНУС каждой участнице
✏️ Вопросы и запись по 📞: (812) 951-05-84 #мктильда #шьемкуклу #кукласвоимируками #заяцтильда #мккукла #курсы #обучение #московскийрайон #мастеркласс #хобби #шитье #кукла #мвклуб #тккосмос #космос #тильда #творчество";1432981460;40;288562921;False;мктильда
4MMyoaRPZY;Процесс идет полным ходом и скоро у нас появится много мишек. #ростов#ростовнадону#ручнаяработа#мк#мкростов#тильда#мктильда#handmade#petrodecor;1434888465;38;261814412;False;мктильда
6O_-zczWiM;"В прошлую пятницу мы начали занятия по классической Тильде, небольшой курс из 2-3 занятий. Пока наши ученицы шьют, мы готовим темы следующих мастер-классов по Тильде. Это будет Толстушка!

Занятие начнется 27 августа, четверг, на Пушкинской, 100. Записаться на МК по Толстушке можно по тел. 244-10-07. Стоимость мастер-класса 700 рублей. Подробная информация по тел. 244-10-07, 8-989-508-63-46
 #тильда #тильдаростов #мктильда #юнисклуб #рукоделие #шитье #рукоделиеростов #шитьеростов #мастерклассростов #мкростов #обучениеростов #курсыростов";1439277379;17;1712469953;False;мктильда
6fSIDSTWvz;"В четверг мы закончим занятия по классической Тильде, небольшой курс из 2-3 занятий. Пока наши ученицы шьют, мы уже приготовили тему следующих мастер-классов по Тильде. Это будет Толстушка!

Занятие начнется 27 августа, четверг, на Пушкинской, 100. Записаться на МК по Толстушке можно по тел. 244-10-07. Стоимость мастер-класса 700 рублей. Подробная информация по тел. 244-10-07, 8-989-508-63-46
 #тильда #тильдаростов #мктильда #юнисклуб #рукоделие #шитье #рукоделиеростов #шитьеростов #мастерклассростов #мкростов #обучениеростов #курсыростов";1439823763;32;1712469953;False;мктильда
8zlyGoE0NK;Даже мальчики шьют😁✂🐌🐌🐌 #тильдаулитка #мктильда #садиккружок #сообществотильда;1444800125;20;1703966231;False;мктильда
BA9n_JXBKA4;"Ух... Сегодня на удивление хороший и продуктивный понедельник состоялся!
А мы приглашаем всех желающих к нам на мк по тильде! Читайте, звоните, записывайтесь! 
#квартира #мастерскаяквартира #мастерклассы #мктильда #феечка #мастерскаядекора #тильда #устькаменогорск #казахстан ";1453726760;22;1573285295;False;мктильда
BB5AMErILBP;"Приглашаем на мастер-класс по пошиву зайки-тильда!  Запись по тел:236-40-03
Все мастер классы нашего магазина здесь▶️#мк_лавори
.
.
.
.

#материалы #магазин #материалыдлярукоделия #тильда #зайкатильда #мастеркласс #мк #мктильда #мкказань #мастерклассказань #мкзаяц #магазинтканей #лавори #мк_лавори #хендмейд #сделайсам #своимируками #ручнаяработа #handmade #мастерклассыдлявзрослых #магазинтканей";1455719160;22;2850527091;False;мктильда
