post_id;text;date;likes;owner_id;is_video;by_tag
BaM6vX5lhAd;"В жизни каждого человека есть то, что заставляет гореть глаза, что взрывает волнами эмоций, что позволяет улыбаться каждый день. Я счастливый человек, потому что у меня есть восхитительная семья. И в ней я получаю самые светлые эмоции. Но есть и ещё один важный аспект в жизни каждой женщины. Это увлечённость. Хобби. То, что наполняет душу, даёт другой род впечатлений. Позволяет чувствовать себя реализованной и раскрывает талант. Думаю вы все знаете, чем увлечена Я. Моя семья помогла мне посетить невероятно важный для меня курс от человека, которым я восхищаюсь. Не только работы konfect дарят мне вдохновение, но и обратная сторона тоже научила жить так, как мне комфортно. Сегодня разбирала профессиональные фото от Ксении и Матвея @matveynokhrin , пережила заново курс, в очередной раз вдохновилась энергией и открытостью этих ребят. Спасибо вам за умение вдохновлять на расстоянии в 1000 км и за то, что после курса я словно помолодела лет на 10. Не устану повторять, какие вы крутые! Спасибо вам за всё! С любовью
#mkann_tresh#ann_tresh";1507927000;162;1905288631;False;мкторты
Bh9JKj8nx-L;#тортыназаказ#алматы#мкторты#мктортыалматы#выпечка#тортыалматыдоставка#тортыалматы#тортсыну#тортмалышу#выпечкаалматы#вкусно#сладость#вкусныйторт;1524577561;16;6267054446;False;мкторты
BiLeYg4nHQy;#тортыназаказ#алматы#мкторты#мктортыалматы#выпечка#тортыалматыдоставка#тортыалматы#тортсыну#тортмалышу#выпечкаалматы#вкусно#сладость#вкусныйторт;1525058447;15;6267054446;False;мкторты
BjBH4ihHd-I;Первый ярус - Королевский торт, втрой ярус Красный бархат #тортыназаказ#алматы#мкторты#мктортыалматы#выпечка#тортыалматыдоставка#тортыалматы#тортсыну#тортмалышу#выпечкаалматы#вкусно#сладость#вкусныйторт;1526858590;21;6267054446;False;мкторты
BjM0NiiH0rX;Медовый торт для Даниала С днём рождения 🎉🎉🎉 #тортыназаказ#алматы#мкторты#мктортыалматы#выпечка#тортыалматыдоставка#тортыалматы#тортсыну#тортмалышу#выпечкаалматы#вкусно#сладость#вкусныйторт;1527250929;11;6267054446;False;мкторты
BkVG0sxnO13;Спасибо за заказа @magnetic_mask_offlcial_355 #тортыназаказ#алматы#мкторты#мктортыалматы#выпечка#тортыалматыдоставка#тортыалматы#тортсыну#тортмалышу#выпечкаалматы#вкусно#сладость#вкусныйторт;1529676607;22;6267054446;False;мкторты
BnSzkxwB182;"Дорогие друзья! Сегодня мы открываем набор на курс ""Candybar"". Уже 1 марта #школанастасьи откроет двери  для второго потока. В обширной программе вы получите все знания и навыки, необходимые для создания презентабельной композиции. Стоимость курса дешевле самого маленького Кендибара! Напоминаем - наши курсы дистанционные и все процессы вы будете выполнять на своих кухнях!

Учимся 1 марта - 21 марта.
Сдаём домашние задания 21-31 марта. 31 марта получаем сертификаты.

В программе:
- 3 вида капкейков;
- 3 вида начинок для капкейков;
- 3 вида крема для декора;
- 3 вида зефира;
- Десерт ""Павлова"" с соленой карамелью;
- Кейк-попсы;
- Птичье молоко;
- Маршмеллоу;
- Меренга на палочке.

Итак, в потоке на курс всего 20 мест. Курс ""Candy bar"" содержит 9 вариантов десертов для создания идеального candybar , включает 12 видеоуроков и 18 рецептурных карт, а также множество основ, лайфхаков и секретов. 
Вы не только получите проработанные и испытанные рецептуры, но и сможете сдать домашние задания, поболтать о тонкостях кондитерского мастерства в запланированных прямых эфирах и закрытом сообществе. По окончанию курса каждый участник получит обратную связь с комментариями и сертификат о прохождении курса! Цена просто смешная! Все вопросы задавайте в директ или вайбер)
#mkann_tresh#ann_tresh";1536042016;209;1905288631;True;мкторты
Bnc62D4haUk;"Дорогие друзья! Сегодня мы открываем набор на курс ""Candybar"". Уже 1 марта #школанастасьи откроет двери  для второго потока. В обширной программе вы получите все знания и навыки, необходимые для создания презентабельной композиции. Стоимость курса дешевле самого маленького Кендибара! Напоминаем - наши курсы дистанционные и все процессы вы будете выполнять на своих кухнях!

Учимся 1 марта - 21 марта.
Сдаём домашние задания 21-31 марта. 31 марта получаем сертификаты.

В программе:
- 3 вида капкейков;
- 3 вида начинок для капкейков;
- 3 вида крема для декора;
- 3 вида зефира;
- Десерт ""Павлова"" с соленой карамелью;
- Кейк-попсы;
- Птичье молоко;
- Маршмеллоу;
- Меренга на палочке.

Итак, в потоке на курс всего 20 мест. Курс ""Candy bar"" содержит 9 вариантов десертов для создания идеального candybar , включает 12 видеоуроков и 18 рецептурных карт, а также множество основ, лайфхаков и секретов. 
Вы не только получите проработанные и испытанные рецептуры, но и сможете сдать домашние задания, поболтать о тонкостях кондитерского мастерства в запланированных прямых эфирах и закрытом сообществе. По окончанию курса каждый участник получит обратную связь с комментариями и сертификат о прохождении курса! Цена просто смешная! Все вопросы задавайте в директ или вайбер)
#mkann_tresh#ann_tresh";1536381367;246;1905288631;True;мкторты
BniGlVohWLT;"Дорогие начинающие кондитеры! Приглашаю вас получить знания, которые позволят готовить вкусные сладости своим детям или под заказ своими руками. Цена курса равна цене одного заказного торта)) Курс ""Тортовая классика"" рассчитан на абсолютных новичков. 
В программе:
- ""Тирамису"";
- ""Прага"";
- ""Ванильная смородина"";
- Торт-цифра ""Медовик"";
- ""Красный бархат"";
- "" Наполеон"". Мы разберёмся не только в технологии изготовления, но и научимся выравнивать торт, делать аккуратные подтеки, собирать многоярусные торты, готовить современный торт-цифру. Также рассмотрим малазийскую технику декора,  украшение в стиле ""Rose cake"", создадим Космоторт. 
Итак, в потоке на курс всего 15 мест. Курс ""Тортовая классика"" содержит 6 вариантов классических тортов и 7 техник декора, которые позволят вам создавать натуральные торты своими руками. Вы получите в постоянное пользование 10 видеоуроков, полностью раскрывающих процесс выпечки, сборки и декора тортов, а также 6 тортовых рецептур,  дополнительные 7 техкарт для декорирования и бонусную рецептуру торта-сюрприза.

А ещё сможете сдать домашние задания, поболтать о тонкостях кондитерского мастерства в запланированных эфирах. По окончанию курса каждый участник получит обратную связь с комментариями и сертификат о прохождении курса! Цена просто смешная! Все вопросы задавайте в директ или вайбер)
#mkann_tresh#ann_tresh";1536555139;131;1905288631;False;мкторты
BphSo0hCImc;"Старт курса муссовые торты 1 мая.

Программ курса:

1. Основы работы с  муссовыми тортами;
2. Сборка тортов в кольцах и формах;
3. 4 проверенных рецептурные карты с видео уроками по приготовлению и сборке:
- ""Ежевика-фисташка-греческий йогурт"" (ежевичное конфи, миндальный дакуаз, хрустящий фисташковый слой, нежный сырный мусс на греческом йогурте);
- ""Манго-маракуйя"" (конфи манго с маракуйей, клубничное конфи, миндальный дакуаз с хрустящим шоколадным слоем, сметанный мусс с белым шоколадом);
- ""Вишневое облако"" (вишневый компот, шоколадный бисквит, хрустящий шоколадный слой, сырный мусс);
- ""Пина колада"". (компоте с ананасом и маракуйей, лаймовое кремю, сабле Бретон, кокосовый мусс);
4. Приготовление зеркальной глазури (цветная, черная, белая), заливка торта;
5. Глазурь для Леопарда своими руками, секреты эффекта;
6. Шоколадный велюр;
7. Хранение и транспортировка торта.
#mkann_tresh#ann_tresh";1540823094;300;1905288631;True;мкторты
