post_id;text;date;likes;owner_id;is_video;by_tag
5IYPPrByns;Всегда с огромным позитивом еду проводить мастер-классы в магазине #Леонардо Мои красочные будние #мастеркласс #мастерклассукрашения #мкукрашения #украшениясвоимируками #украшениесвоимируками #украшения #мастерицы #мастерпоукрашениям #сборкабижутерии;1436907732;18;2054120457;False;мкукрашения
BGJTlO-H2Gd;"В @so_bridal сегодня красиво 😍👌 Ну а мы все, домой едем 😀 В бане напарились, горным воздухом надышались, на реку Катунь насмотрелись, на моторке по ней прокатились. Да и на лошадях покатались тоже 🐎
Только что не сплавились на лодке. Ну это уже в следующий раз 😜";1464856133;67;1945017007;False;мкукрашения
BING8t_ATAv;Просто невероятные результаты базового МК 14 июля в пространстве магазина #нестандарт, и это при нулевом опыте работы со смолой! Я так довольна!!! #мквпитере #мк#мкэпоксидка#мксмола#мкукрашения#ручнаяработа #украшениясвоимируками;1469278695;39;2900787186;False;мкукрашения
BIkbLeCh0TQ;Создание любой красоты, неважно какой , всегда носит магический характер и имеет особую энергетику . #карандашнаятехника #украшениесвоимируками #лучшаяшколамакияжа #школасветланыандрейченко #украшениедляволос #аксессуарыдлясвадьбы #аксессуарыручнойработы #аксессуарыдляволос #аксессуарынасвадьбу #мкукрашения;1470061053;68;386873048;False;мкукрашения
BIkrr0ihADg;"Одна из сделанных работ в рамках курса ""Авторские украшения для волос"". #мкукрашения #аксессуарынасвадьбу #аксессуарыдляволос #аксессуарыручнойработы #аксессуарыдлясвадьбы #аксессуары #аксессуарыручнойработы #аксесуарыдляволос #украшениеназаказ #украшениясвоимируками #украшениясвадебные #украшенияручнойработы #школасветланыандрейченко #школасвадебныхстилистов";1470069707;65;386873048;False;мкукрашения
BJ0UYEzAnSh;Такая брошь получилась у нас Натальей сегодня на моем  МК #брошь#брошьручнойработы#броши #брошка #мкброшь#мкукрашения;1472741841;30;484840278;False;мкукрашения
BJkiJVwhUOi;Новый бейдж в копилку)))))в этот раз без имён #marinabizyuk #risha#art#artwork#flowers#garden#mk#мастеркласс#мкцветы#мкукрашения#творчество#искусство#izowine;1472212189;25;342962454;False;мкукрашения
BJnaQJ3hjqm;А я сегодня хвастаюсь! Горжусь своими ученицами невероятно! На фото - целая шкатулка украшений - результат работы 3-х МК, а Вере всего 13 лет! #annaflori #мквпитере#мксмола#мкукрашения#мкэпоксидка#мастеркласс#обучение#своимируками#впитеретворить#питер#хоббихаус#смола #эпоксидка#epoxyresin #epoxy #handmade;1472308714;111;2900787186;False;мкукрашения
BLF1nFCDvlf;"Приглашаем на совместный МК куколки от @kukolki_moi_love и украшения от @tatyanarostovschikova. Украшения из натуральных камней совершено реальные и служат для хозяйки, как самостоятельное украшение!))) По желанию проведём МК только куколки или только украшения.Все материалы включены. На МК куколки вы уходите с выкройкой куколки,обуви и с куколкой которую вы сделаете. Предоплата 1ооо р на карту Сб. Дата 8 октября . Группа не большая 3-4 человека. Возможен индивидуальный МК. По вопросам в Директ. Материалы могут отличаться от фото. Шить будем куколку Заю или по вашему желанию .
#мк #мккукла #куклакраснодар #урокишитья #шитькуклу #мкукрашениякраснодар #мкукрашения #текстильнаякукла #кукларучнойработы #кукламукла #тильда #куклаизткани #ясама #краснодарскийкрай #краснодар #сочи #москва #россия #ростовнадону #волгоград";1475477174;41;1435256448;False;мкукрашения
BLIl5-yj0Ke;"В сб. 8 октября приглашаю на МК украшений из натуральных камней. Все материалы включены. Вы уходите с украшением или с комплектом украшений, которые Вы создадите сами!!))) Группа 3 человека. Возможен индивидуальный МК. Материалы могут отличаться. 
#мк #мкукрашения #украшенияснатуральнымикамнями #украшения #бижутерия #бижутерияизнатуральныхкамней #ясчастлива #ясама #своимируками #хендмэйд #handmadekrasnodar #kdr #крамнодар #красиво #фотография #фото #фотографкраснодар #девочки #девочкитакиедевочки #россия #москва #ростовнадону #волгоград #невеста #свадьбакраснодарскийкрай #свадьба";1475569604;71;1435256448;False;мкукрашения
BLK2ueDjWdI;"В субботу 8 октября приглашаю на МК украшений из натуральных камней. Все материалы включены. Вы уходите с украшением или с комплектом украшений, которые Вы создадите сами!!))) Группа 3 человека. Возможен индивидуальный МК. Материалы могут отличаться. Цена МК от 1000 до 2000, в зависимости от выбранной программы и материалов.
#мк #мастеркласс #мкукрашения #мккраснодар #украшения #мастерклассы #мастеркласскраснодар #ясама #ясамаясчастливая #хендмэйд #хендмэйдукрашения #моднаябижутерия #бижутерия #бижутерияизнатуральныхкамней #невеста #свадьбакраснодарскийкрай #аксессуар #аксессуары #крамнодар #россия #ростовнадону #сочи #новороссийск #анапа #фото #фотография #фотосессия";1475645531;62;1435256448;False;мкукрашения
BN6iMSpg6ew;"🌟🌟🌟
Мастер Класс по плетению серёг Золотые Елочки🎄
Отлично подойдёт начинающим мастерицам! А продвинутые рукодельницы смогут почерпнуть для себя маленькие секретики🎁
В данном мастер классе я рассказываю не только о технике плетения, но и подробно рассказываю где можно приобрести материалы и какие предпочитаю лично я!
Стоимость МК всего 300 руб💥
🌟🌟🌟
Пишите мне в Директ или в комментарии👇🏻, и после оплаты я вышлю вам документ в формате PDF на почту!
Его удобно смотреть как на компьютере, так и на телефоне!✨";1481540346;274;197665655;False;мкукрашения
BPAtThFh2xP;"Всем привет!😄
Смотрите и слушайте👆🔊 новый мастер-класс по сборке сережек Красная фуксия.
Как сделать пины с шариками📍 смотрите тут:
👉 #каксделатьпин
Если понравилось, жду лайки 😘
Остались вопросы, пишите!Буду рада ответить😃
#мк🙌steklove";1483894982;223;3040450584;True;мкукрашения
BPU36lVlvuk;"Итак, это случилось!!💥
Я написала и отсняла для вас мастер класс по плетению сережек Фаберже🌸
Документ в формате PDF - это 35 страниц, более 60 фото, наглядное и понятное изложение каждого шага!⚜️
Удобно смотреть как на компьютере, так и на телефоне!📱
Подойдёт как новичкам, так и продвинутым рукодельницам!✂️
Для работы вам понадобятся следующие материалы:
✔️Жемчуг 4, 6 и 8 мм
✔️Бисер 11/0 и 15/0
✔️Бусины или биконусы 3 мм
✔️Застежки для серёг
🌟🌟🌟
💲Цена МК - 600 руб💲
Оплатить можно на карту Сбербанка, после оплаты я высылаю файл с МК на ваш электронный адрес!
🌟🌟🌟
Также для начинающих в наличии имеются несколько готовых наборов материалов (сел и сделал) для плетения Фаберже - можно выбрать цветовое сочетание!🎨
Цена 1 набора - 600 руб
Такие наборы очень выгодны для новичков, так как вам не придётся покупать все недостающие материалы и переплачивать за количество! 👍🏻
Итак, чтобы приобрести МК или МК вместе с набором материалов - оставляйте свой комментарий👇🏻 или пишите в Директ!📝";1484571634;169;197665655;False;мкукрашения
