post_id;text;date;likes;owner_id;is_video;by_tag
Bo0-PMLHpSI;"Очередная подборка ваших работ😍
Спасибо за ваши старания🙏
Вдохновляйтесь и приходите на наши октябрьские мастер-классы!✨🌸 Будет оочень интересно😉
.
Для записи пишите 📲8(919)100-65-31(WhatsApp)⠀⠀
_⠀⠀
#botanika #fm_botanika #флористическаямастерская #флористическаямастерскаяbotanika #семинар #MKbotanika #мастеркласс #МКНаталияВласова #семинарпитер #семинармосква #семинарпофлористике #мкфлористика #флористика #осень #солнцестояние #декор #мкдлядетей #мкдлявзрослых";1539335781;34;1323581309;False;мкфлористика
Bo6HMoHFrly;"Базовый КУРС «ПОГРУЖЕНИЕ ВО ФЛОРИСТИКУ» 🔥ОСТАЛОСЬ 2 МЕСТА!!!🔥
⠀
Курс идеально подойдёт для тех, кто давно хочет, но не знает с чего начать! В программе собрано все лучшие уроки с моего авторского курса!🔥
⠀
Что это будет?
⠀
3 дня мощного интенсива! На этой программе Вы сможете глубоко погрузиться в профессию флориста, прокачать и привить современный цветочный стиль!
⠀
📆 2-4 ноября
⏰ 3 дня с 11:00 до 18:00
📍 Санкт-Петербург, ул. Лазо д 5
💰 17500р
🤓 Всего 5 мест!
🌸 Все материалы включены в стоимость!
⠀
Программа:
⠀
1 день
⠀
11:00-13:00 
Самая необходимая теория. Инструменты флориста. Работа с оптовыми Базами. Закупка. Сроки заказа. Транспортировка. Форс-мажоры.
⠀
14:00-18:00 Спиральная техника. Виды и формы букета. Упаковка букета.
⠀
2 день
⠀
10:00-13:30
Свадебный букет. Формы, виды, современные тенденции.
Аксессуары из живых цветов.
⠀
14:00-18:00
Понятие «Композиция». Формы. Создание Композиции.
⠀
3 день
⠀
11:00-13:30
⠀
Новогодний венок. Техника плетения новогоднего венка. Профессиональное декорирование.
⠀
14:30-18:00
⠀
Новогодняя композиция . Композиция на новогодний и рождественский стол со свечами.
⠀
Узнать подробности и записаться можно любым удобным способом:
✍🏻@florist_elena_popova -написать в директ
✏️elenapopova.school@gmail.com - написать на почту";1539508251;50;1149071183;False;мкфлористика
Bo8sgoFH1IT;"Всем тем, кто зачитывался Хемингуэем и помнит про старика и его море!🌊 Покосившаяся хижина, невод, опутанный водорослями, лодочка, чуть колышимая от легкого бриза на пристани. Тишина, время от времени прерываемая криками чаек. Штиль🌾
.
У вас еще не проснулось желание забыть о городской суете и махнуть на недельку до второго в эту самую хижину?😃 Даже если у вас нет такой возможности, мы вам это устроим!🙌 Ждем вас на нашем мастер-классе, где мы будет вдохновляться дарами моря и творить, творить, творить … невообразимые вещицы, которые украсят ваш интерьер🕯 🐚
⠀
Итак,  21.10.2018. пройдет семинар «Морская тема», где мы будем создавать необычные подсвечники из природного материала🕯
.
📍Место проведения: г. Москва, кафе Varvara
🗓 Начало: в 15.00.
🏷Цена билета: 5’000₽
.⠀
По всем вопросам 📲8(919)100-65-31(WhatsApp)
_______⠀⠀⠀
#botanika #fm_botanika#флористическаямастерская#флористическаямастерскаяbotanika#семинар #MKbotanika #мастеркласс#МКНаталияВласова #москва#семинармосква #семинарпофлористике#мкфлористика #флористика #море#дарыморя #декор #мкдлядетей⠀
#мкдлявзрослых #подсвечник #ракушки#морскаязвезда #морскаятема";1539594922;30;1323581309;False;мкфлористика
Bo_XUEVhh4P;"Приглашаю всех желающих детей и взрослых на флористический мастер-класс ""Краски Осени"". В теплой,  уютной, творческой атмосфере мы создадим осеннюю интерьерную композицию! Поработаем с интерьерными и натуральными материалами, изучим понятия цвет, фактура, сезонность ..... 📆даты: 27 и 28 октября
⌚12.00 детская группа, 15.00 взрослая группа
🏡академгородок 💰стоимость участия: 1000р для детей, 1500р для взрослых
📝запись 8-913-207-60-37 Пелагея

#творчество #мкфлористика #флористика #флористикаобучение #флористикаидекор #флористическиймастеркласснск#академгородок#детскиемастерклассы";1539684473;11;9018509115;False;мкфлористика
BojFrtNjICn;Мы встретились объективами 😜 @decormehedova.ru  и @anastasia_lublu_leto в Москве. И уже выбирают флористику на тренинг!;1538735705;76;1977434349;False;мкфлористика
BokF5ullaxo;"Мой #мастеркласс в Серебряном городе @silvercitymall на Hand-Made Bazar был настоящим интенсивном🌪💥
15 человек детей и взрослых за 1,5 часа сделали безупречные цветочно-витаминные коктейли 🍹, впрочем, как всегда это бывает под чутким руководством #alinarose_37 
Вопросы и заказы на проведение мастерклассов ✍🏻 в Директ, Watsupp, Viber, по телефону 📲+7•920•677•38•18
#алинапетрунина 
#мкфлористика #флористиваново #silvercitymall #отметитьденьрождения";1538769375;49;992407706;False;мкфлористика
BolhiNgnNn4;"🌊Каждый, кто хоть раз был на море, старается увезти частичку памяти с собой🐚 И чтобы привезенное добро не пылилось на полках, мы научим вас грамотно использовать дары моря в декоре🙌
.
21.10.2018. пройдет семинар «Морская тема», где мы будем создавать необычные подсвечники из природного материала🕯
.
📍Место проведения: г. Москва, кафе Varvara
🗓 Начало: в 15.00.
🏷Цена билета: 5’000₽
.⠀
По всем вопросам 📲8(919)100-65-31(WhatsApp)
_______⠀⠀⠀
#botanika #fm_botanika #флористическаямастерская #флористическаямастерскаяbotanika #семинар #MKbotanika #мастеркласс #МКНаталияВласова #москва #семинармосква #семинарпофлористике #мкфлористика #флористика #море #дарыморя #декор #мкдлядетей⠀
#мкдлявзрослых #подсвечник #ракушки #морскаязвезда #морскаятема";1538817416;24;1323581309;False;мкфлористика
BomNNJwAl91;Спасибо за незабываемые эмоции!!! #детскиймк#мкцветочнаякомпозиция#детскиймастеркласс#мкфлористика#детскиймкказань#;1538840313;49;1947005057;False;мкфлористика
Boq9QDvnJ4Y;"🎥 Мы запускаем серию роликов о букетах на каркасах из природного материала. Следующие 10 роликов будут посвящены одной маленькой травинке, благодаря которой можно создать множество замечательных каркасов. 🌾Эта красотка в наличии на всех полях страны !!! .... продолжение следует ....
Учитесь вместе с нами!!! #мкфлористика #каркасныебукеты #каркасизприродныхматериалов #школатеатрцветов";1538999985;116;1334039042;True;мкфлористика
BoqNdu6DEy1;"Фруктовая флористика -популярное сейчас направление! Фруктовые букеты это отличный подарок, красивый и одновременно вкусный и полезный! 
Приглашаем вас на мастер-класс «фруктовый букет», на котором вы научитесь собирать букетик из фруктов и цветов и сможете радовать подобными букетами своих близких долгое время, так как меняя ингредиенты можно сделать очень много вариантов фруктового букета! Главное-понять сам принцип, а наш флорист с удовольствием поделиться с вами всеми тонкостями этого увлекательного творческого занятия 🍏🌸 ...#флорист #букет #хочустатьфлористом #собираембукет #фруктовыйбукет #букетдлялюбимой #фрукты #флористика #мкфлористика #мастеркласс #новосибирск";1538974666;241;6435297307;False;мкфлористика
BorUDwhHeRD;"🎥 Мы запускаем серию роликов о букетах на каркасах из природного материала. Следующие 10 роликов будут посвящены одной маленькой травинке, благодаря которой можно создать множество замечательных каркасов. 🌾Эта красотка в наличии на всех полях страны !!! .... продолжение следует ....
Учитесь вместе с нами!!! #мкфлористика #каркасныебукеты #каркасизприродныхматериалов #школатеатрцветов";1539011701;52;7651114121;True;мкфлористика
BotQj3XhaMi;"Композиция из суккулентов - модная тенденция для дома или офиса, а главное волшебная✨🔮 Пока все растения в природе плавно готовятся к зиме, расставаясь со своей листвой, флорариум будет радовать вас своей красотой постоянно❗ Конечно, при должном уходе☝ но об этом и многом другом вы узнаете на нашем мастер-классе🙌
.⠀
Создайте свой личный мини-садик на нашем семинаре «Наконец-то суккуленты»🌵⚠️⚠️⚠️Обращаем внимание, что состоится он 28 октября⚠️⚠️⚠️⠀
📍Место проведения: Москва, кафе Varvara⠀
🗓 Начало: в 15.00.
🏷Цена билета: 5’000₽⠀
Предоплата обязательна!💰
Вас ждет: создание необычных форм. Две работы.⠀
.⠀⠀
По всем вопросам 📲8(919)100-65-31(WhatsApp)⠀
_______⠀⠀⠀⠀
#botanika #fm_botanika #флористическаямастерская #флористическаямастерскаяbotanika #семинар #MKbotanika #мастеркласс #МКНаталияВласова #москва #семинармосква #семинарпофлористике #мкфлористика #флористика #moscow #оранжерея #флорариум #суккуленты #миниоранжерея #мкдлядетей #мкдлявзрослых";1539076952;38;1323581309;False;мкфлористика
BotUCD2BSgB;"Вот и второй ролик. 🎥
А впереди Вас ждёт 7 абсолютно разных каркасов на одной и той же основе. И 7 восхитительных букетов. 
#учитесьвместеснами #мкфлористика #школафлористики #школатеатрцветов";1539079019;96;1334039042;True;мкфлористика
Bov0DTQh38S;"🍂🍁В эти осенние прохладные вечера особенно хочется укутаться плед☺️ с кружечкой горячего напитка☕ и предаться воспоминаниям об ушедших летних деньках🌞🌊🏖
.
А знаете, что особенно скрасит эти мгновения?🕯Подсвечник в морском стиле🙌 Ракушки, камешки, звездочки – все дары моря в невероятном декоре🐚 который вы сами сможете изготовить на нашем мастер-классе «Морская тема»🌊
.
Итак, 21.10.2018. ждем вас👇
.
📍Место проведения: г. Москва, кафе Varvara
🗓 Начало: в 15.00.
🏷Цена билета: 5’000₽
.⠀
По всем вопросам 📲8(919)100-65-31(WhatsApp)
_______⠀⠀⠀
#botanika #fm_botanika #флористическаямастерская #флористическаямастерскаяbotanika #семинар #MKbotanika #мастеркласс #МКНаталияВласова #москва #семинармосква #семинарпофлористике #мкфлористика #флористика #море #дарыморя #декор #мкдлядетей⠀
#мкдлявзрослых #подсвечник #ракушки #морскаязвезда #морскаятема";1539162669;35;1323581309;False;мкфлористика
Boy-_7FhXSv;"Мне всегда сложно после поездок влиться в московский ритм, но кажется, что все налаживается.
.
Надеюсь, что вы меня не потеряли. 
Включаю турбо–режим и делюсь с вами фотографиями со своей Цветочной встречи.
Как же я их люблю.
.
Очень много вопросов поступает по поводу обучения.
❗️Из ближайшего – это Рождественский девичник в декабре (в этом году будет только один), масштабная Цветочная встреча пройдет следующим летом, чтобы совместить все то, что мне близко. Местные цветы и, конечно же, работу над масштабной конструкцией без использования флористической пены.
.
А пока смотрю на фотографии от @nastasibarey и горжусь тем, что у нас с вами получилось.";1539269072;261;1732880665;False;мкфлористика
