post_id;text;date;likes;owner_id;is_video;by_tag
BC7E8RMqdQw;мастерим вместе #мамадоча #фьюзинг #helensib22 #восторгвглазах #деткимастерят #мастерская #ручнаяработа #мкфьюзинг #мастеркласс #фьюзингмк;1457936244;86;1286207676;False;мкфьюзинг
BM_Ov1NhOY8;"Мастер-класс для детей ""Фьюзинг-елочная игрушка своими руками"" #фьюзинг #барнаул #стекло #дизайн #подаркисвоимируками #подарки #игрушкисвоимируками #мкфьюзинг #мастерклассфьюзинг #warmglass #vitrage_mk";1479550440;119;3232129985;False;мкфьюзинг
BMs-U0iAlqR;Сегодня у нас снова мастер-класс!!! Будущие, счастливые обладатели красивого петушка!!! #мкфьюзинг#мастеркласс #мастерклассчелбинск#интерьерстекло2017 #новыйгод#подарок#петух;1478937850;38;416709705;False;мкфьюзинг
BOcef49Bpng;Яркие новогодние работы получились у талантливых участниц МК👩🏻‍🎓🙌🏻🌲💫#ваяемвместе #фьюзинг #стекло #мкфьюзинг #warmglass #happynewyear #handmade #ручнаяработапостеклу #мастерклассбарнаул #мастерклассфьюзинг #helensib22;1482679260;62;3232129985;False;мкфьюзинг
BQfFRCVle9E;Через пару часов начнем создавать всевозможные стеклянные сердца 💕 Если не успеваете к нам-преобретайте сертификат на следующие занятия!! 📲89132263620 или в вк: steklodiz Впереди много праздников💫Порадуйте любимых !!!❤💖❤️#мкфьюзинг #фьюзинг #стекло #стеклянноесердце #хэндмэйд #handmade #мастеркласс #фьюзингмк #barnaul #barnaul22;1487061661;47;3232129985;False;мкфьюзинг
BSq87r4Afxh;Процесс создания Пасхальных кроликов🐰 Мастер-класс по фьюзингу #handmade #fusedglass #fusingglass #мк #мастерклассбарнаул #мкфьюзинг #helensib #vitrage_mk;1491754913;84;3232129985;False;мкфьюзинг
BSv27X-g37b;Пасхальные кролики..Набег))) Таких красавцев сделали участники МК в это воскресенье! #мкфьюзинг #пасхальныйкролик #фьюзинг #фьюзингмк #стекло #ручнаяработа #handmade #mkfusedglass;1491919537;123;3232129985;False;мкфьюзинг
BTy1GEnAJQR;50 бутылок для творчества🤗 В наличии-из-под вина и шампанского, сверление под часовой механизм. Для заказа пишите wa📲+79132263620 Доставка#творчество #бутылки #плавлениебутылок #часы #handmade #фьюзинг #заготовка #бутылкиназаказ #мкфьюзинг #барнаул;1494166723;91;3232129985;False;мкфьюзинг
BWHnTa4Bw3q;"🎉🎉🎉Скажите, как вам такие штучки? Это может быть набор магнитиков на холодильник, брошь, заколка, детский конструктор...
.
🌟🌟🌟Да что угодно! Полет фантазии неограничен!🚀🚀🚀
.
🐦🐦🐦Мастер-класс по стеклу (фьюзингу) может быть и для детей, и для взрослых.
.
🙌🙌🙌Пишите в комментариях, какой стеклянной красоты вам бы хотелось? А мы обозначим ваши пожелания мастеру и проведём мастер-класс или даже курс!
.
⛵⛵⛵Сразу оговоримся, что группы будут небольшими: не более 3-х человек!";1499159102;27;1218147670;False;мкфьюзинг
BWNDhvPB4lb;"💚💜💛💙Как вам такие штучки?
.
🌟🌟🌟А мастер-класс по изготовлению украшений из стекла в технике фьюзинга хотите? Можем провести!🙌🙌🙌
.
🎉🎉🎉Если хотите, пишите нам в комментариях и директ, звоните по номеру 213-65-23.
.
😊🌿До новых встреч в нашем уютном пространстве в Новосибирске на Урицкого, 21";1499341672;42;1218147670;False;мкфьюзинг
BWcOSEqBqI8;"🎉🎉🎉Как вам такие штучки? Хотят ли ваши детки мастер-класс по фьюзингу? Пишите в комментариях и директ!
.
👌👌👌У нас есть чудесный мастер, который умеет такоооооое!!! Ммм...😇😇😇 Закачаешься...
.
⛵🚀Мы в Новосибирске на Урицкого, 21";1499850627;24;1218147670;False;мкфьюзинг
BiOUq-ygU_E;Жуки, бабочки, пчелки, кузнечики и божьи коровки! Весна идёт, весне дорогу! Цена 500-900 руб. Доставка по всему миру! Научиться делать такие же сегодня и завтра, а так же каждое воскресенье с 12.00 до 19.00 в Мастерской и Школе Стекла на ВДНХ #кузнечик #пчела #жук #божьякоповка #украшения #броши #брошьизстекла #украшенияизстекла #фьюзинг #мкфьюзинг;1525154019;39;6273498274;False;мкфьюзинг
Bk1tcvvn2JS;В нашей студии всегда тепло, светло и очень душевно! Так говорят ученики и мы полностью согласны! По выходным, и вечерами в будни, проводим Школу Стекла. Смотрите сайт www.mosartglass.ru раздел Школа. #школастекла #обучениемозаика #обучениемосква #мкмозаика #мкфьюзинг #мквитраж #курсфьюзинг #курсвитраж #курсмозаика;1530770599;60;3622896714;False;мкфьюзинг
Bn-yMRkBvlv;"Брошки «Перцы»🌶🌶🌶 Характеры разные! Вам какой больше нравится? Какой соответствует Вашему темпераменту?
#перец #осень #заготовки #красныйперец #чили #острыйперец #болгарскийперец #брошь #фьюзинг #мкфьюзинг #заготовкиназиму #украшения #мастерскаястекла #мастерскаястекланавднх #glassstudio";1537517527;162;6273498274;False;мкфьюзинг
Bnln5gkHfIO;Работы наших учеников с мастер-классов по технике Фьюзинг. Вы тоже так сможете! Занятия по воскресеньям с 12.00 до 19.00! Приходите без записи в любое время!!! Мастерская и Школа стекла на ВДНХ (пав.47 Дом Ремёсел) #школастекла #мастеркласс #мкфьюзинг #фьюзинг #мастерскаястекла #мастерскаястекланавднх #паркремесел #вднх #паркремеселвднх;1536673408;105;6273498274;True;мкфьюзинг
Bo7Z5jKlyBU;"ПРОБНОЕ ЗАНЯТИЕ в студии ЖИВОГО стекла😃👍👍👍!!!
🔸
Ура, товарищи!!!
Мы сделали это!!!
Поддержите девчонок лайками❤❤❤!!!
🔸
Ну что сказать? Мне понравилось, ученикам - тоже👍!
Занятие было ознакомительное и БЕСПЛАТНОЕ, поэтому серьезными инструментами мы не пользовались.
🔸
Творили из того, что было😉 - осколки, обрезки, крошка.
🔸
Зато творческая энергия била ключом💪!
Перевыполнили план на 300%🙈!!!
🔸
Завтра покажу, что получилось😉!
🔸
Не отключайтесь!
Дальше будет интереснее😉!
..................................................... #живоестекло #студияживогостекла_дмд #творческаястудиядомодедово #творю #впроцессе #обучениедомодедово #фьюзингобучение #какпровестивыходной #креатив #мыэтосделали #домодедовогород #домодедово #фьюзинг #мкфьюзинг #пробноезанятие";1539551611;45;3940653740;False;мкфьюзинг
BoCwFFrFYik;"Еще один мастер-класс по фьюзингу с Еленой Михеевой @elenami_a.
1. после мк сфоткалась в красивом зеркале
2. результат прошлого мастер-класса
3 и 4 просто красивые куски стекла
5. мелкие осколки стекол, которые были использованы одной из участниц МК - мне красивым показалось.
6 и 7 наша прекрасная учительница.
#фьюзинг #мкфьюзинг #хобби #невсегдапроакушерство #нетолькоработа";1537650637;102;2252911948;False;мкфьюзинг
