post_id;text;date;likes;owner_id;is_video;by_tag
Br-BqwLgs2a;"💥 УСПЕВАЙТЕ ЗАБРОНИРОВАТЬ до 1 января - СО СКИДКОЙ 5000 ₽🔥 место на мега-познавательный Семинар-практикум с отработкой «ЖЕНСКИЕ СТРИЖКИ - КАК КОНСТРУКТОР» от Ольги Мухиной @mukhinastudio🔥
.
РАСПИСАНИЕ ⬇️⬇️⬇️
.
💎 КРАСНОДАР
🚩28-31 января - «Женские стрижки, как конструктор»
🚩25-27 марта - «Секреты короткой стрижки»
🚩28 марта - «Виртуоз текстуры»
.
💎 СТАВРОПОЛЬ
🚩18-20 февраля - «Секреты короткой стрижки»
🚩21 февраля- «Виртуоз текстуры»
.
💎 КАЗАНЬ
🚩13-16 марта - «Женские стрижки, как конструктор»
🚩17 марта - «Виртуоз текстуры»
.
💎МОСКВА
🚩1-3 апреля - «Секреты короткой стрижки»
🚩4 апреля- «Виртуоз текстуры»
.
💎 ВЛАДИВОСТОК
🚩7-10 апреля - «Женские стрижки, как конструктор»
🚩11 апреля - «Виртуоз текстуры»
.
💎ХАБАРОВСК
🚩14-17 апреля - «Женские стрижки, как конструктор»
🚩18 апреля - «Виртуоз текстуры»
.
💎ИРКУТСК
🚩21-24 апреля - «Женские стрижки, как конструктор»
🚩25 апреля - «Виртуоз текстуры»
.
💎 СЕВАСТОПОЛЬ
🚩14-17 мая - «Женские стрижки, как конструктор»
.
💎 ТЮМЕНЬ
🚩20-23 мая - «Женские стрижки, как конструктор»
🚩24 мая - «Виртуоз текстуры»
.
💎ЧЕЛЯБИНСК
🚩27-30 мая - «Женские стрижки, как конструктор»
🚩31 мая - «Виртуоз текстуры»
.
💎ЕКАТЕРИНБУРГ
🚩3-6 июня - «Женские стрижки, как конструктор»
🚩7 июня - «Виртуоз текстуры»
.
💎УФА
🚩10-13 июня - «Женские стрижки, как конструктор»
🚩14 июня - «Виртуоз текстуры»
.
🔥ПРИ РАННЕЙ БРОНИ - ЦЕНА НИЖЕ🚩
.
☝️ПОСЛЕ НЕЁ ВАША ЖИЗНЬ НЕ БУДЕТ ПРЕЖНЕЙ😉🌈
.
📌БРОНЬ МЕСТ ТОЛЬКО У ОРГАНИЗАТОРОВ @proffmotion или @perfection_school или по телефонам 8-918-456-55-66, 8-918-33-68-231 📌
.";1546082021;43;4018359490;False;мкхабаровск
Br43UbMBFPI;"💥 УСПЕВАЙТЕ ЗАБРОНИРОВАТЬ СО СКИДКОЙ 5000 ₽🔥 место на мега-познавательный Семинар-практикум с отработкой «ЖЕНСКИЕ СТРИЖКИ - КАК КОНСТРУКТОР» от Ольги Мухиной @mukhinastudio🔥
✅С 1 февраля - повышение цены🔝
.
🔹Данный курс направлен на изучение основ фундаментальной геометрии в построении формы стрижки
🔹Без этих знаний практически невозможно построить точно и подконтрольно форму, выводя каждую форму геометрально и ориентируясь на костную структуру черепа. Да, мы можем стричь и без этих знаний работая визуально. Но таким образом никогда не добьемся PerfectНова -результата высокой точности построения и стрижки.
.
🔷КОМУ ПОДХОДИТ КУРС?⬇
❣Опытным мастерам, имеющим пробелы в знаниях, желающим поработать с балансом, положением тела и чистотой техники.
❣Мастерам, с опытом работы 1-3 лет, желающим правильно поставить руку и усвоить суть точности стрижек.
❣Желающим заполнить пробелы в фундаментальных знаниях форм стрижки - круг, квадрат, треугольник.
.
✅ЧЕМУ ВЫ НАУЧИТЕСЬ на этом курсе?⬇ ✔Построению трех геометрических форм- круг, квадрат и треугольник в  стрижке☝ ✔Техникам стрижки, при помощи которых эти формы строятся. Это- линия, слои и градуировка☝
✔Инструментам, с помощью которых эти техники контролируются, а именно: элевация, направление пряди, угол оттяжки, угол среза☝
✔Усвоите, какие недостатки скрывает и, что подчеркивают эти техники☝
✔Научитесь 9 базовым комбинациям стрижек 3 техник (на которых строится  практически все парикмахерское искусство)☝
✔Узнаете о положении тела, и как это положение влияет на построение форм стрижек☝
.
💎НА ПРАКТИКЕ ВАС ЖДЁТ- отработка и создание фундаментальных сочетаний форм стрижек в чистом виде☝
.
✅НА ОТРАБОТКУ ВАМ ПРЕДОСТАВЛЯЕТСЯ:
▪новая качественная болванка
▪Рабочая тетрадь
▪ Учебное пособие в виде схем всего пройденного материала за 4 дня курса.
.
📌БРОНЬ МЕСТ ТОЛЬКО У ОРГАНИЗАТОРОВ @mk_sibir, @proffmotion, @perfection_school или по 📲 8-903-447-74-70, 8-918-466-55-66, 8-918-336-82-31📌
.
✅Ниже👇 в комментарии вы найдёте полное РАСПИСАНИЕ курсов @mukhinastudio👩‍🎓 по Москве, Уралу, Сибири, Дальнему востоку⬇️
.";1545908823;65;7348856970;False;мкхабаровск
BroP1M0hntN;"ХАБАРОВСК 💥 УСПЕВАЙТЕ ЗАБРОНИРОВАТЬ🚩место на мега-познавательный Семинар-практикум с отработкой «ЖЕНСКИЕ СТРИЖКИ - КАК КОНСТРУКТОР» от Ольги Мухиной @mukhinastudio🔥
✅ПРИ БРОНИ ДО 1 января- скидка 5000 ₽💥
.
🔹Данный курс направлен на изучение основ фундаментальной геометрии в построении формы стрижки
🔹Без этих знаний практически невозможно построить точно и подконтрольно форму, выводя каждую форму геометрально и ориентируясь на костную структуру черепа. Да, мы можем стричь и без этих знаний работая визуально. Но таким образом никогда не добьемся PerfectНова -результата высокой точности построения и стрижки.
.
🔷КОМУ ПОДХОДИТ КУРС?⬇
❣Опытным мастерам, имеющим пробелы в знаниях, желающим поработать с балансом, положением тела и чистотой техники.
❣Мастерам, с опытом работы 1-3 лет, желающим правильно поставить руку и усвоить суть точности стрижек.
❣Желающим заполнить пробелы в фундаментальных знаниях форм стрижки - круг, квадрат, треугольник.
.
✅ЧЕМУ ВЫ НАУЧИТЕСЬ на этом курсе?⬇ ✔Построению трех геометрических форм- круг, квадрат и треугольник в  стрижке☝ ✔Техникам стрижки, при помощи которых эти формы строятся. Это- линия, слои и градуировка☝
✔Инструментам, с помощью которых эти техники контролируются, а именно: элевация, направление пряди, угол оттяжки, угол среза☝
✔Усвоите, какие недостатки скрывает и, что подчеркивают эти техники☝
✔Научитесь 9 базовым комбинациям стрижек 3 техник (на которых строится  практически все парикмахерское искусство)☝
✔Узнаете о положении тела, и как это положение влияет на построение форм стрижек☝
.
💎НА ПРАКТИКЕ ВАС ЖДЁТ- отработка и создание фундаментальных сочетаний форм стрижек в чистом виде☝
.
✅НА ОТРАБОТКУ ВАМ ПРЕДОСТАВЛЯЕТСЯ:
▪новая качественная болванка
▪Рабочая тетрадь
▪ Учебное пособие в виде схем всего пройденного материала за 4 дня курса.
.
📌БРОНЬ МЕСТ ТОЛЬКО У ОРГАНИЗАТОРОВ @perfection_school или @proffmotion или по 📲8-918-466-55-66, 8-918-336-82-31📌
.
✅Ниже👇 в комментарии вы найдёте полное РАСПИСАНИЕ курсов @mukhinastudio👩‍🎓 по Уралу, Сибири, Дальнему востоку⬇️
.";1545351249;40;7348856970;False;мкхабаровск
Bs-DKSllBQV;"С радостью публикую расписание мастер-классов на февраль-март
⠀ 
МК «Современные десерты».
2-3 февраля (осталось 1 место)
16-17 февраля
2-3 марта
14-15 марта
⠀ 
Курс для начинающих и домашних кондитеров. Минимум теории и максимальная практика. Каждый забирает с собой торт и коробку пирожных.
Стоимость 4000₽.
⠀ 
Программа курса:
Торт «Клубничный йогурт». Миндальный бисквит Пан де жен, клубничное кули, клубничное кремё, клубнично-сливочный мусс.
⠀ 
Пирожное «Сникерс». Шоколадный бисквит, ганаш из темного шоколада, арахис, сливочная карамель, мусс на темном шоколаде и творожном сыре";1548230287;45;2985903069;False;мкхабаровск
Bs-N-SAFT6I;"Хотите Детский МК?? В придверии весенних праздников
Научу ваших деток или Вас😉
Собирать тактие милые букетики с конфетками для ваших близких... Интересно?
Пишите в директ или WhatsApp 
9098532604 Светлана 🙋‍♀️ Занятия в центре. Вечером в будень или воскресенье..Группа 5-7чел. Дети от 9лет

Кому подарить такой букет?? Маме, бабушке, сестре, учителю, коллеге... Презент сделанный своими руками несёт в себе ""частичку души""... Приучайте к этому своих дорогих деток и сами не забывайте об этом🤗🤗🤗❤ #мкхабаровск #букетмаме #букет8марта #мкдетский #8марта #букетизконфет";1548235956;54;2244833118;False;мкхабаровск
Bs-W221Aoku;"Морские работы 🌊  в технике  ResinArt  вам для вдохновения😃
На каждой работе указан её замечательный автор) 🔹При создании моря заливают обычно 1-3 слоя смолы. Второй и третий слои придают работе глубину, делают её сложнее и интереснее.";1548240614;53;9380390493;False;мкхабаровск
Bs-olyOgEKp;Такое ощущение, что мишки надели свои разноцветные наряды для музыкального представления... конкурса танцев или чего-то подобного. Они удачно выступили и теперь скромно стоят в сторонке, ждут своего очередного выхода. 😀😀😀;1548249911;56;6342704523;False;мкхабаровск
Bs0OQ-gFRRy;"Сегодня пролетел мой первый в этом году мастер-класс по лепке из сахарной мастики (базовый курс). В этот раз лепили милого единорожку и мишку (по типу Тедди). Все подробности в завтрашних постах 🙌🏽
А пока...
❤️ Огромное спасибо девочкам за участие и старания в работе.
Людмила @liudmilagolomedova, Ксеня @kseniya_shilo, Кристина @torttinka и Наталья @cake_story27 - вы все красавицы и большие умницы ☺️
🧡 Сердечное спасибо кафе «Чао-Какао» на Муравьева-Амурского @kakao.ma и лично управляющей Юлии за предоставленное помещение, кофе, вкусный обед, и тёплое обслуживание ☕️
💚 Большущее спасибо Алле @candybox_khv за инструменты для изготовления «шубок» межвежатам и их оперативную доставку до места 🙏🏻
💜 Неизменно нежнейшее спасибо феечке Тоне @kasananas.ph за то, что всегда находит время для меня. И в этот раз приехала пофотографировать 📸 нас. А также ооооочень быстро 🏃‍♀️ обработала и отдала фотографии, чтобы мы в этот же вечер могли посмотреть на свою работу со стороны и похвастаться всем получившейся красотой 🦄🐻";1547900565;108;2033332534;False;мкхабаровск
Bs0_AgUFYon;"Ну вот - через пару часов вылет в мои Московские каникулы.
Если так можно назвать 7 дней художественных МК.
С мастерами у которых немало за плечами выставок , у которых свои большие мастерские и опыт работы за границей .

@annaerist 
@terracotta_ceramics 
@sofinikulina
@myartland.ru
И ещё отличные мастера 
О бо все расскажу по подробней в следующих постах.

А пока пожелайте мне счастливого пути.

#мк#мкхабаровск #хабаровскмк#хабаровскхудожник#краски #цвет#акрилхабаровск #смолахабаровск";1547926120;11;7516036268;False;мкхабаровск
Bs1YOn9F8HE;"Всем доброго утра, друзья! Зимняя красота👍
Очень нежные работы получились на мастер-классе в праздничные дни.

А сегодня пишем маслом мастихином море. Есть пару мест, кто хотел - звоните.
⠀
Для записи:⠀
📲Звоните: 8(4212) 255331⠀
📲пишите  WhatsApp, +79142055464  Активная ссылка, что бы написать нам в WhatsApp  в шапке нашего профиля!⠀
🏡 приходите: Ленинградская 73б- 5 этаж.⠀
___⠀
#знаниехабаровск #хоббихолл #правополушарноерисование #рисованиехабаровск⠀
#хабаровск #мастерклассхабаровск #мкхабаровск⠀
#ярисую#Khabarovsk#пространствохабаровск#risuemkhv #картинамаслом #живописьмасло #живописьмаслом #живописьмасломдляначинающих #живописьмасломдлядетей⠀
#урокиживописимаслом #oilpanting #oilpaint #живопись⠀
#живописьмастихином #мастихин #пишеммаслом#khv #хабаровсккрасота #instakhabarovsk #длясебя#урокирисунка #курсырисованиядлявзрослыхите";1547939450;50;3131467782;True;мкхабаровск
