post_id;text;date;likes;owner_id;is_video;by_tag
BHwfvckhT_v;"Приглашаю всех желающих на мастер-класс по лепке василька из холодного фарфора. МК из 2х занятий по 2 часа по субботам: 16.07 и 23.07 в 12:00 в Артмикс Монино ( ул.Алксниса, 44). Все материалы и инструменты предоставляются. Все подробности и запись в лс.
А тем, кто не хочет учиться, но хочет домой васильки - их можно приобрести, подробности в лс))
#мкхолодныйфарфор #монино #васильки #василькиизхолодногофарфора #цветочности #цветыназаказ";1468318615;29;2897367355;False;мкхолодныйфарфор
BNSLWqYDxfJ;"Захотелось мне уже чего-нибудь новогодненького🎄🎄🎄) решила к анемоне добавить остролиста... Уже в декабре будем создавать эту композицию на МК из 2х частей, совсем скоро анонс!!! А тем, кто не захочет создавать целую композицию, будет возможность собрать отдельно остролист или анемону для броши, подвески или заколки)

#новогодниймк #мкхолодныйфарфор #ногинск #купавна #монино #балашиха #новогодняякомпозиция #мастеркласс #цветочности";1480186195;44;2897367355;False;мкхолодныйфарфор
BPFM9C7DQL5;"В эту субботу в Купавне в клубе ""Мир своими руками"" в 13:30 создаем реалистичную 30см ромашку, приближаем солнечные летние деньки) мк 5тичасовой, стоимость 1400р, все материалы включены. Запись в лс или по телефону 89104381984
#мастеркласскупавна #стараякупавна #мастерклассхолодныйфарфор #мкхолодныйфарфор #керамическаяфлористика #мирсвоимируками #цветочности #холодныйфарфор #мкромашка #ромашка";1484045793;62;2897367355;False;мкхолодныйфарфор
BUZYIvdjcrt;"Как вам наша принарядившаяся Матрешечка?
Она же девочка, ей тоже хочется менять наряды, стать ярче и заметней )))
Интересно узнать ваше мнение...
*****
А по расписанию на неделю:
✨23 мая (вт) в 18.00 - живопись, доступная каждому (масло, акрил, пастель), 9+. Пишем картины за 3-4 часа.
Стоимость - 1900 (размер картины 30х40,масло, акрил), 1300 (пастель); 2750 (размер картины 40х50, масло, акрил).
✨27 мая (сб) в 12.00 - мастер-класс по созданию часов-браслета-намотки с использованием натуральных камней и кожаных шнуров, 13+.
Стоимость - 1700, продолжительность - 4 часа.
✨28 мая (вск) в 11.00 - лепка из полимерной глины шикарного МАКА, 12+.
Стоимость - 1500, продолжительность - 5 часов.
✨28 мая в 12.00 - Завтрак с Мастером по ЭБРУ. Мария расскажет о древнем искусстве рисования на воде, познакомит с возможностями декора при помощи ЭБРУ и, ГЛАВНОЕ, в присутствии гостей задекорирует собственноручно нарисованными на воде узорами шелковый платок!!! Мероприятие бесплатное, но очень интересное!
✨ 28 мая в 14.00 - сразу после Завтрака с Мастером будет мастер-класс по декору в этой интересной технике шелкового или хлопкового платка размером 50х50. Нарисуем на воде диковинные узоры и перенесем их на платок, 7+.
Стоимость - 1200, продолжительность - 2 часа.
Если вы рисуете с подружкой платки в одной цветовой гамме, стоимость МК за двоих - 2000.
******** Место проведения: г. Балашиха, ул. Карла Маркса, д. 16 .
.
.
#хоббимастерскаялимонад #лимонад_расписание_мк #мквбалашихе #мастер_классы_в_Балашихе #мкдлядетей #мксдетьми #картинымасломвбалашихе #живописьмаслом #мкпоживописи #эбрувбалашихе #рисованиенаводе #украшенияручнойработы #мкпобижу #моябалашиха #лимонадвбалашихе #балашихарулит #лимонадныефеи #реутов #железнодорожный #кудапойти #интереснаябалашиха #керамическаяфлористика #мкхолодныйфарфор #досугвбалашихе #релаксвыходнын";1495460163;72;3028413268;False;мкхолодныйфарфор
BX-CNSMFUrx;"ДОПОЛНЕННОЕ РАСПИСАНИЕ НА АВГУСТ🌼!!!
Подробности по активной ссылке в профиле 👆👆👆
или по тел. 8-977-522-01-32";1503132631;45;3028413268;False;мкхолодныйфарфор
Bb-KcstF7N9;"Сегодня просто очень интерестный и классный день. Два МК подряд!!! Очень трудолюбивая и талантливая ученица! Светочка @svetlanavoskodavenko , предчувствую новый год в вашей семье будет выглялеть как приход весны))
Вот результат первого мк - брожь из холодного фарфора в нежных тонах

#мк#мкхолодныйфарфор#мкукрашения#авторскиеукрашения#цветыручнойработыкиев#холодныйфарфор#дизайнерскиеукрашения#брожь#стреньхолодныйфарфор#мккиев#flowersheart#flower#mk#coldporcelain #modernclay";1511726886;12;5368456931;False;мкхолодныйфарфор
Bffk2RlF03c;Вот решида что хочу сделать игрушку над кроваткоц сама с милыми пандочками. Что бы когда она просыпалась и наблюдала за ними. #игрушка#игрушкпдлямалютки #игрушкадляребёнка #беременная #беременность#26недельберемености #ожиданиечуда #ожиданиемалыша #инстабеременяшки #инстабеременная #полимернаяглина#холодныйфарфор #мкхолодныйфарфор #мк;1519290474;24;4584033599;False;мкхолодныйфарфор
BfgucT1lCt3;Знаю на сколько интересно подглядевать за работой таких #мк вот и мой маленький процес работы#процесработы #мкхолодныйфарфор #мк#полимернаяглина#холодныйфарфор #пандочки#хобби#лепкаизполимернойглины #беременная #хоббибеременной;1519329059;20;4584033599;False;мкхолодныйфарфор
Bfh97rbF7ZV;Вот еще одно маленькое закулисье. #полимернаяглина#холодныйфарфор #полимернаяфлористика #мкхолодныйфарфор #мк#цветыручнойработы #ручнаяработа #розы#суккуленты#украина#бурынь#сумы#беременность#инстабеременяшки #закулисье#лепка#хобби#хоббибеременной;1519370734;26;4584033599;False;мкхолодныйфарфор
BfnVeAiFmEw;Сегодня светит сонце и оно немного согревает душу если смотреть через окно с чашкой теплогого цветочного чая. А вообще странный сегодня день когда все хорошо а на душе паршиво, мне кажеться это из за того что я заскучала за теплом и хочу наконецто увидень этот праздник пробуждения природы. Устрала когда постоянно холодно. Еще пытаюсь создать себе настроение наполняя их яркими красками вот как эти анютыны глазки. Маленькие яркие сережки зделаны для того что бы дарить тепло и краски в жизнь.#мысли# беременность#хоббилепка #хобби #хоббибеременной #лепка#лепкаизполимернойглины #лепкасхолодногофарфора#холодныффарфор #мк #мкхолодныйфарфор #украшениеручнойработы #украина #сумы#бурынь#украшения#украшенияназаказ#сережки#ювилиранаяработа#работа#беременная;1519550847;34;4584033599;False;мкхолодныйфарфор
