post_id;text;date;likes;owner_id;is_video;by_tag
Bt0YH7dD0rm;"Нас тут присылало снегом😀
⛔Комплект:шапка и варежки⛔, листайте😊
А кто хочет сам связать подобную модель шапки - пишите в директ,  у меня есть подробный Мастер класс шапки, 300 р";1550053217;439;2157563451;False;мкшапка
Bu-7vtJHL6_;"Приветики 😘
Хочу показать как смотрится берет #beret_sorbet ,связанный по МК Светочки @little_things_knit 😘
Такой пушистик  получился 😍
.

Света @little_things_knit , спасибо тебе огромное много-много раз, что научила вязать такую красоту¡!!! 😘❤️
Мне он очень нравится, а вам? 😊
.
.
Катюша @WOOLFORTUNA , спасибо за Норочку 😘❤️🌹";1552554921;114;2929865224;False;мкшапка
Bu-9L-kDZlP;"Описание от  @avele_knitstudio ▪️ДОБРОЕ УТРО▪️
.
БЕСПЛАТНОЕ ОПИСАНИЕ всем тем, кто хочет связать такой снуд своими руками🥂
.
Используемая пряжа: Alize Lanagold Fine 100г/390м в 2 нити. 
Уровень: новичок 
Инструменты :
Спицы на леске № 4
Описание на размер 57-59 см. 
На спицы набираем 160 петель и вяжем резинкой 1*1 4 ряда. Далее переходим на вязание по схеме(смотри в карусели). Четные ряды вяжем по рисунку, т.е. так же, как предыдущий ряд. 
Вяжем снуд, согласно схеме на высоту 25-27 см. После чего вяжем снова 4 ряда резинкой 1*1 и закрываем петли эластичным способом.
_____________________________
#описаниеLHK #вяжутнетолькобабушки #вяжутнетолькобабушкиноимамочки #вязаниеспицами #вязание #шапкаспицами #вязаниетюмень #вязаниеназаказ #вязаниеназаказтюмень #обучениевязанию #бесплатныймк #описаниевязания #школавязания #урокивязания #мквязание #мкспицы #мкшапка #курсывязания #учувязать #шапкатыковка #шапкарезинкой #простаяшапка #вязаниедлядетей
#снуд #мужскойснуд #вязаниеспицами #вязаниедлявсех #вяжутвсе #схема_от_ek #модноевязание #вязатьмодно";1552555677;2624;4796792842;False;мкшапка
Bu-Xk0rnAOt;"Итоги нашей Лотереи 😀🙌🏻 почему то именно сегодня у нас плохая связь и сам инстаграм и ватсап почему-то глючат 😬 вышла в прямой эфир и нашим случайным победителем стала @lyuddd 😃 поздравляююю... ниии какой махинации и уловок нету. Чистая случайность😉🙌🏻 еще раз Поздравляем... свяжитесь со мной для вручения приза😌🌸
.
.
.
#шапка #шапкаспицами #шапкаслистьями #шапкалистья #шапкаварежки #шапкаиварежки #варежкислистьями #варежкилистья #комплектлистья #комплектслистьями #листьяспицами #вязаныйкомплект #детскаяшапка #детскаяшапкаспицами #шапкаспицами #вязанаяшапка #шапкамедвежонок #шапкасушками #цветнастроениячерный #безфильтров #куклакрючком #мкварежки #мк #мкспицами #мкаварежкиспицами #варежкилистья #варежкислистьями #мкшапка #шапкалистья #шапкаслистьями";1552535958;146;4791187859;False;мкшапка
Bu-Y52FDwT8;"⠀⠀⠀⠀⠀⠀⠀⠀⠀
Спасибо большое за кучу идей и за красивые вкусные названия к шапочке. Мне кажется, сейчас самое сложное, определиться какое  Потому что, нравится ВСЕ! 🙈😅
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
А ещё, у меня даже мысли не возникало, что это цвет ириски, о чем думала когда держала в руках и вязала 😅 Какие же, мы с вами все фантизийные 👌
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Я хочу наложить один узор на данную модель шапочки, и тогда возможно окончательно определюсь с названием. Иииии....хочу сделать МК, и тестирование или совместное вязание. Вообщем, пора! Пора выходит из зоны комфорта, и шагать дальше 😁
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Вы как? Хотите себе сами такую связать?
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
________________⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
🔶  Детская от 1100 р.⠀⠀
🔶  Взрослая от 1400 р.⠀⠀
🔶 Стоимость зависит от выбора/состава пряжи ⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀
_________________⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#вдыхаюжизньвкаждуюпетельку";1552536654;316;3120450281;False;мкшапка
Bu-o9zFjl5-;"Пока у нас снежный апокалипсис, шапки всё ещё нужны 👌👌
⠀
#dream_hat от Марии @lul.wool 😍
⠀
МК на шапочку 300₽";1552545075;410;6602045448;False;мкшапка
Bu-oacUDCnu;"Шапочка от Светланы Гребенюк .
Использовалась пряжа Cashsilk 1,25 мотков,спицы 6mm. 
Набираем 73п,соединяем в круг,вяжем резинкой 1х1 10 рядов. 
Вешаем маркер в начале ряда. 
1) лиц,5 изн, повторяем до конца ряда 
2)лицевую переснять на правую спицу непровязанной,5 изн; повторяем до конца ряда. .
Чередуем ряд 1 и 2 до достижения 19-20 см. 
Каждая третья дорожка будет линией убавки .
Слева и справа от линии убавок провязываем две изн петли вместе. Убавки через ряд. .
В 4ом ряду с убавками провязываем лицевую вместе с изнаночной петлей вместе лицевой.(3 видео) 
Далее продолжаем делать убавки через ряд,провязывая по 2 изн вместе 
Когда на спицах осталось 16 пет,провязать по 3 изн вместе. 
Закрыть макушку. Спрятать хвостики.";1552544785;101;8383562852;False;мкшапка
Bu-r2agj5rz;"Солнечное утро ☀️
И конечно же, в такой важном деле, как фотографирование свитера без усатого 🐾 никуда ☝🏼
Желаем всем хорошего дня 😉
#вязаниеспицами #вязание #вязанаяшапка #вязаныйсвитер #шерстянойсвитер #теплыйсвитер #мксвитер #описаниесвитера";1552546587;100;8514103832;False;мкшапка
Bu-w9rxjijs;"Проверка связи 😇
Интересно , опубликует ли этот пост Instagram🙈
Ура ! Все заработало 😃
На фото шапка из итальянского люрекса и хлопка.";1552549268;147;2036940886;False;мкшапка
Bu-y72djdTr;"Здесь должен был быть вчерашний пост о том, что в России обесценивают ручную работу (в частности вязание), но Instagram не работал и не опубликовал мой пост 🙄
А тк я писала его сразу на одном дыхании, текст не сохранен🙈
Ну значит не судьба 😃
.
Кардиган из Drops Air, описания нет, возможно будет. Пришила пуговички, мне кажется так смотрится ещё лучше 😇";1552550302;3195;1600231882;False;мкшапка
