post_id;text;date;likes;owner_id;is_video;by_tag
BP9K_p7gm9h;"Мастер-класс в @Secret_wool_studio от Ирины: Приглашаем 5 февраля в Secret-wool-studio на мастер-класс по вязанию шапки-бини спицами.

Длительность- 2 часа, с 15до17. Вы получите знания о основных принципах вязания шапки-бини, сборке шапки после готовности. В стоимость входит пряжа на целую шапку, которую Вы сможете довязать дома. Требуются знания и умения вязать лицевые и изнаночные петли.

С собой необходимо принести круговые спицы #4.

Информация и запись по тел. 207-85-76, 8-924-25-44-830

#обучение#обучениеВладивосток#учеба#учебаВладивосток#мастерклассВладивосток#мастерклассвл#мквл#мкВладивосток#курсывязаниявл#обучениевязаниювл #мк #мквладивосток #мквязание #мквязаниеспицами #мквл #мквязаниеспицамиВладивосток #мкспицами #мкспицамивл #мкшапка #мкшапкаспицами";1485923814;15;4290800241;False;мкшапкаспицами
BRZ5uNAlUvn;"Шапочка ""Зимняя сказка"", описание. Если вдруг кому-нибудь. несмотря на стремительно приближающееся лето захочется связать эту шапочку, то спешу сообщить, что к ней есть описание.
Стоимость описания 300.00 рублей.
Приобрести его можно на Ярмарке мастеров (активная ссылка в профиле) или написав мне в Директ или на электронную почту.
Оплата на карту Сбербанка или пополнение счёта мобильного телефона.
#носова_описания";1489035320;119;3500923543;False;мкшапкаспицами
BR_FBiIDrbB;"Детская шапка  р - р 52-54 
Хлопок /акрил 
У меня к розовому особое чувство.... Я его особо никогда не любила, сейчас манит в отдел детской одежды для девочек, для маленьких девочек 😝😝😝😊😊😊хочется розового и все))) Эти милые шапочки связались на одном дыхании, для девочек - сестричек, очень милых и мне дорогих 😍😍😍два розовых, мягких облочка ☁☁☁
#шапкасозвездой #звезднаяшапка #шапка#дети #бутовапарк #маленькаяпринцесса #розовый#детскаяодежда #детскаяшапка #мкшапкаспицами #мкзвездныйстиль #шапки #фемили #фемилилук #семейнаяфотосессия #детям#бутовапарк2 #бебиклуб #бутово #сын #дочкалюбимая#";1490282760;72;4287944670;False;мкшапкаспицами
BVJzxO7Ha8M;"Сегодня-день всемирного вязания на публике!🙌
Поэтому сегодня и завтра можно купить описание шапки-бини с косой со скидкой в 20%-2⃣8⃣0⃣ рублей 😱
Уже связанные шапочки можно посмотреть по тегу #шапка_бини_с_косой
🔸🔸🔸🔸🔸🔸
Описание в формате PDF с подробными фото процесса.
Для шапки потребуется пряжа приблизительно 350м/100 гр, спицы номер 4(плотность вязания 24 петель*30 рядов.
Размер 54-58,глубина 27-28.
🔸🔸🔸🔸🔸🔸
Если будут возникать вопросы-с радостью помогу!";1497085263;44;785065664;False;мкшапкаспицами
BWe-w5SDkqR;"Не найдя никаких вменяемых укороченных спиц длиной 40см, я разозлилась и ... сделала сама круговые спицы, из 1бамбуковой чулочной спицы 4,5 и отреза тонкой трубочки. Сижу, не нарадуюсь 😁 какое это удовольствие! В процессе комплект шапка-снуд ""оранжевое настроение"". #вязаниеназаказ #мкснуд #снудхомут #схемавязанияснуда #шарфтруба #французскаяпряжа #мкшапкаспицами #мкснудрезинка #шарфспицами #снуддлядетей #снуддляребенка #снудподкосуху #комплектшапкаснуд";1499943154;24;4783382098;False;мкшапкаспицами
BXNlq8_nIuU;"Привет, друзья мои🙋 Связалась розовая пироженка у меня😋 планирую ещё помпошу сделать, посоветуйте из розовой пряжи или светло-серая ещё есть🤔
И ешё сегодня я вот такая молодец🤗, приготовила мини МК для тех,  кто вяжет по вот такой вот шапочке-пироженке, ставим мне ❤  читаем и сохраняем😙 Тот, кто осилит и дочитает пост до конца, тот молодец👍 Может что то запутанно написано, спрашивайте в комментариях...
Вязала я из пряжи drops lima
На круговые спицы 3 набрать 110 петель и вязать резинкой 1×1 42 ряда
Затем переходим на спицы номер 4 вяжем первый ряд основного узора и прибавляем постепенно, через каждые 5 петель ещё 22 петли = итого 132 петли ( раппорт 12 петель = 11 раппортов) 
Основной узор: 1,2,3 ряд - все петли лицевые 4 ряд - 4 лицевые затем 8 петель перекрестить направо (4 петли снять на дополнительную спицу и оставить за работой, провязать 4 петли с основной спицы, а затем 4 петли с дополнительной) 
5, 6, 7 ряд все петли лицевые
8 ряд - 8 петель перекрестить налево (4 петли снять на дополнительную спицу перед работой) 4 лицевые
Повторять в высоту до нужной длины шапки😊
Убавляем просто количество петель в самой косе была из 12 (4-4-4) в следующем ряду делаем из 9 (3-3-3) и т.д в конце вяжем просто лицевыми без перехлёстов постепенно убавляя, провязывая несколько петель вместе, затем стягиваем😊 Размер шапки 56-58
Спасибо за внимание, мои дорогие🌸
Кто забыл поставить ❤ вернитесь ⬆⬆⬆.....😙
#letunovskaya_полезное";1501507057;860;4167108040;False;мкшапкаспицами
BY58rm2B_tP;Начните новую неделю с приятных покупок😍 буду ждать зимнее фото принцессы в жёлтом комбинезоне💛;1505142999;43;490414259;False;мкшапкаспицами
BYDv1Q8lOoY;"Ставим 💛💛💛 если пост вам был полезен, если нет, все равно ставим, вам ведь не жалко 😍😍😍 а мне приятно 😘 Описание шапки-тыковки⤵️ ...
Пряжа - Lana Grossa Cashsilk, 40 % Полиамид, 30 % Бамбук, 15 % Шелк, 15 % Кашемир, 50г. – 75 м., расход 100 гр.

Спицы - №5 (вязать свободно)

Обхват головы - 52-54 см.

Набрать 76 петель, соединить вязание в круг, и вязать по кругу резинкой 1х1 - 82 ряда.

83 ряд – *провязать лицевую и следующую за ней изнаночную петлю - лицевой петлёй*, повторять до конца ряда.

84 ряд – все петли провязать лицевыми.

85 ряд – *провязать три петли вместе лицевой петлёй*, повторять до конца ряда, останется 2 петли – провязать вместе лицевой.

Оставшиеся 13 петель переснять на нить, стянуть макушку, закрепить нить на изнаночной стороне.

Вот и всё, шапка готова👌😃 Мастер @lobodanova_lana";1503324323;317;4772144006;False;мкшапкаспицами
BYF1PGMlyY3;Моя любимая @susimiu;1503394265;196;4772144006;False;мкшапкаспицами
BYF36jAl7_Y;"Всем привет 😜
Сегодня говорим о том, как стать лидером в своей нише.
ЧТО НУЖНО СДЕЛАТЬ?
1️⃣🎯Промониторить конкурентов, посмотреть, что они предлагают, и добавить дополнительную функцию.
✅НАПРИМЕР. Даша предлагает красивый маникюр и дизайн любой сложности.
Вам следует делать не только красивый и авторский маникюр, но и СТОЙКИЙ.
2️⃣🎯Прописать, чем вы отличаетесь от ваших конкурентов.
✅ПРИМЕР. Я – единственный блогер моей сферы, который объясняет многое на примерах.
🌀Отличие нужно прописать в шапке профиля, и делать на этом акцент в продающих постах.
3️⃣🎯Выстроить визуализацию по 2 правилам. 👇
🔷В сети люди лишены возможности потрогать товар, поэтому вам нужно сделать фото товара с разных ракурсов.
🔷Оживить профиль. Если это одежда, то одежда на моделях, если это игрушки для детей, то нужно показать ребёнка с этими игрушками.
4️⃣🎯Привнести личность в профиль. Если ваш магазин обезличен, то вовлеченность будет минимальной.
✅ПРИМЕР. Представьте, фото с основательницей бренда и текст: ""Привет, мои хорошие. Сегодня ко мне пришла мысль: ввести в ассортимент нижнее белье для пышек. Если нравится идея, поставьте лайк или напишите комментарий"". 👻
❌ПРИМЕР. Фото раскладки нижнего белья. Текст: ""Мы решили ввести в ассортимент нижнее белье для пышек. Если нравится идея, поставьте лайк или напишите комментарий"".
❗️Второй пример неправильный, так как участвовать в опросе магазина, где на фото нет личности, и общаться под фотками нижнего белья подписчикам неинтересно на подсознательном уровне. 😌
5️⃣🎯Продвигаться.
✅ПРИМЕР. Вы продаете детские игрушки, которые развивают мелкую моторику. А к каждому заказу прилагаете видеоинструкцию: идеи для игр с вашим товаром.
🔷Отличаетесь? Да.
🔷Страничка правильно втзуализирована? Да.
🔷За магазином стоит мамочка-личность с тремя детишками? Да.
❌Но вы не продвигаетесь. Недобросовестный конкурент сворует идею,выдаст ее за свою и продвинет нужным образом.
🎯ВЫВОД:путь к лидерству нужно начинать прямо сейчас! Текст @kurilovkg 😘";1503395670;107;4772144006;False;мкшапкаспицами
BYLYwGCldq7;;1503580658;162;4772144006;False;мкшапкаспицами
BYS4r2-BBO9;У кого как, а у меня много лет осень ассоциируется с вязанием шапочек, люблю вязаные шапочки💖;1503832281;40;490414259;False;мкшапкаспицами
BYp6sw3gpBj;"Еще немного #veronahat всем в ленту. А почему она? Да потому что я от нее в восторге.  Я люблю шапки, которые можно одеть слегка не опрятно, а если нужно, то легким движением руки, привести ее в полное соответствие своему настроению. Я их называю гуттаперчевые шапочки. Хочешь в спорт, хочешь в офис, хочешь погулять с друзьями. Да да.. сегодня настроение #плюш 😁
Цена такой шапочки 1100 руб.
А кто хочет сам себе связать такую шапулю,  МК уже доступен.  Цена МК 300 руб.
И да, наслаждайтесь каждым днем не смотря на погоду. 😘😘😘 #моднаяшапка #fashionhat #мкшапкаспицами #урокивязания #утреннийкофе";1504605089;76;4477136449;False;мкшапкаспицами
BYpyNqnB000;До лета ещё 270 дней, а пока с удовольствием продолжу заниматься любимым делом, всем хорошей осени🍁🍃🍂;1504600640;62;490414259;False;мкшапкаспицами
BYuv2lFhTLk;;1504767175;58;490414259;False;мкшапкаспицами
