post_id;text;date;likes;owner_id;is_video;by_tag
BXlKm_bHg-v;"Первый день курсов от Юлии Коноваловой! Цветы из пластичного шоколада!) А я ещё и фигурку успела слепить! Чудо, а не материал!)
Ждём завтрашние пряники с нетерпением!!!)
#МКшоколадныецветы #цветыизшоколада #фигуркаизшоколада #МКСевастополь";1502298175;53;4051424536;False;мкшоколадныецветы
Bc9m1heA4eR;"Всем привет. Освободилось место на МК Алёны Уйшаг по шоколадным и сахарным цветам. Отличная возможность научится делать цветы из шоколада и сахарной, долго незастывающей мастики в одном МК. Порадуйте себя подарком к праздникам!
Все подробности ниже. !!! Внимание !!!
13-14.января 2018 в городе Ландсхут (Landshut, Niederbayern) пройдёт уникальный МК великолепного мастера Алёны Уйшаг по шоколадной и сахарной флористике.
На мастер-классе вы научитесь делать своими руками шоколадные цветы и сахарный цветок из новой долго незастывающей мастики.
Шоколадные:
Роза
Пион
Ранункулюс
Гортензия
и листья
Сахарный: махровый клематис
Время: каждый день с 9:00 до 19:00
В стоимость входит обучение, все необходимые материалы, использование инструментов, напитки и снэкс.
Готовые цветы вы забираете с собой ￼:)
Стоимость курса- 260 евро за 2 дня.
Контакт: в фб Katja Vynogradova,
insta: @cookeatsmile_youtube
Работы Алёны вы можете посмотреть на её странице в фб Alena Ujsag или в инстаграмм @alena_ujsag.";1513855699;28;3162616915;False;мкшоколадныецветы
BczkWOyBTEG;"@alena_ujsag  и ее шоколадная фабрика! 
#мкшоколадныецветы, #пластичныйшоколад";1513518849;47;1568385205;False;мкшоколадныецветы
Bd9HxDgnXhN;"Клиенты просят невообразимые торты? И вы три дня убиваете, чтобы подготовить каждый лепесток отдельно, сушите, а затем часами мудрите, чтобы собрать цветок воедино?  И это все всего лишь один торт?  Хватит мучится, и отказывать клиентам! 👍
Пора повышать уровень Вашего мастерства и записаться на курс по Шокофлористике 
Трехдневный авторский запатентованный курс по шокофлористике. ☑25-26-27 апреля!!!! Без права преподавания 
Преподаватель шеф-кондитер Оксана Митинская @oksana_mitinskaya 🌸В программе курса 3 дня полного переосмысления о кондитерской флористике и последующее курирование преподавателя для каждого ученика 🌹1 день – Под личным руководством Оксана ставит технику «рука в руку» каждому ученику. 
Теория и практика кондитерской шокофлористики. 
Пошаговые этапы авторского замеса шокопасты, окрашивание в технике «омбре», цветовые переходы, натуральные «живые» оттенки, усовершенствованная техника раскатывания и моделирования деталей вашей композиции. 🌹2,3 день – Самостоятельное моделирование цветочной композиции: 
пион,
 бутон, 
маки, 
розы  пионовидная, 
георгин, 
каллы, 
рунункулюсы, 
суккулент (цветочный кактус) и несколько видов листвы. 
А также сезонные цветочные композиции «весна» 
нарцисс, 
тюльпан, 
сирень 
и мелкоцветы. 👆Авторская быстрая сборка композиции и методика посадки на живой торт 👌Все ученики изучат теорию и практику по технике нанесения сухого красителя. 
Будет представлен полноценный живой торт, с примерами постановки и закрепления цветочных композиций и финальное декорирование.

По много численных просьбам кремом работать не будем, только Шоколадное волшебство. 👆Курс по кремовому акварельному декору будет отдельно. 👍Каждый ученик забирает с собой свои цветочные композиции. 
Будет много интересной и полезной информации и работы. 
Работаем с утра и до вечера, в программе обед и кофе брейк. Душевная атмосфера с приятными ""фишечками"" от преподавателя.

Запись по предоплате. Все вопросы 89232306893";1515986893;106;1526013639;False;мкшоколадныецветы
Bd_AERsAdmb;"#отзыв_даяналус #мкпошоколаднойлепке #мкшоколадныецветы #мклепкаизшоколада #шоколадныецветы #настроениеогонь #спасибо #спасибодаяналус @dayana.cake 
Эти выходные были супер-пупер эмоциональными!!!! 😋 Благодаря Даяночке, я и другие девочки научились делать цветы из шоколада, брошки из изомальта и так же научились так красиво всё это раскрашивать, тонировать и т.д. 😍😍😍💖💖💖😘 узнали много нового, поделились между собой своими секретиками. Было не легко работать в таком темпе эти 2 дня, но мы справились 🙈😃 Даяночка, Вы БОЛЬШАЯ молодец!!! И мы я думаю тоже молодцы 😃 Хочу к Вам ещё!!! 😍💖😘🤗🤗🤗";1516049965;53;5404755391;False;мкшоколадныецветы
BeR_f9MH8Qx;Роскошные подарки для самых самых ❤❤❤ Заказ 89232306893 👌;1516687296;168;1526013639;True;мкшоколадныецветы
Bepc-t7HoPN;"На торте все должно быть съедобным! Согласны? Поэтому ждем вас на
трехдневный авторский запатентованный курс по шокофлористике. ☑25-26-27 апреля и ☑29-30-01 мая!!!! Без права преподавания 
Преподаватель шеф-кондитер Оксана Митинская @oksana_mitinskaya 🌸В программе курса 3 дня полного переосмысления о кондитерской флористике и последующее курирование преподавателя для каждого ученика 🌹1 день – Под личным руководством Оксана ставит технику «рука в руку» каждому ученику. 
Теория и практика кондитерской шокофлористики. 
Пошаговые этапы авторского замеса шокопасты, окрашивание в технике «омбре», цветовые переходы, натуральные «живые» оттенки, усовершенствованная техника раскатывания и моделирования деталей вашей композиции. 🌹2,3 день – Самостоятельное моделирование цветочной композиции: 
пион,
 бутон, 
маки, 
розы  пионовидная, 
георгин, 
каллы, 
рунункулюсы, 
суккулент (цветочный кактус) и несколько видов листвы. 
А также сезонные цветочные композиции «весна» 
нарцисс, 
тюльпан, 
сирень 
и мелкоцветы. 👆Авторская быстрая сборка композиции и методика посадки на живой торт 👌Все ученики изучат теорию и практику по технике нанесения сухого красителя. 
Будет представлен полноценный живой торт, с примерами постановки и закрепления цветочных композиций и финальное декорирование.

По много численных просьбам кремом работать не будем, только Шоколадное волшебство. 👆Курс по кремовому акварельному декору будет отдельно. 👍Каждый ученик забирает с собой свои цветочные композиции. 
Будет много интересной и полезной информации и работы. 
Работаем с утра и до вечера, в программе обед и кофе брейк. Душевная атмосфера с приятными ""фишечками"" от преподавателя.

Запись по предоплате. Все вопросы 89232306893";1517474410;64;1526013639;False;мкшоколадныецветы
BfLwL0whYZC;"repost @e_stefa_cakes
Эти выходные были супер-пупер эмоциональными!!!! 😋 Благодаря Даяночке, я и другие девочки научились делать цветы из шоколада, брошки из изомальта и так же научились так красиво всё это раскрашивать, тонировать и т.д. 😍😍😍💖💖💖😘 узнали много нового, поделились между собой своими секретиками. Было не легко работать в таком темпе эти 2 дня, но мы справились 🙈😃 Даяночка, Вы БОЛЬШАЯ молодец!!! И мы я думаю тоже молодцы 😃 Хочу к Вам ещё!!! 😍💖😘🤗🤗🤗
#отзыв_даяналус #мкпошоколаднойлепке #мкшоколадныецветы #мклепкаизшоколада #шоколадныецветы #настроениеогонь #спасибо #спасибодаяналус @dayana.cake";1518625329;16;7091731937;False;мкшоколадныецветы
Bh3raFMBScf;#тортофеи#мкшоколадныецветы@madamechernova#;1524394187;24;2912861730;False;мкшоколадныецветы
BhViM12FCp-;Дорогие друзья! Приглашаем Вас 12-13 мая в @vilkaufa на двух дневный МК по лепке цветов из пластичного (натурального) шоколада. Прошу Вас не путать с  так называемой шокопастой которая готовиться на основе глазури. Поясню: кондитерская глазурь используется в России на предприятиях с целью удешевления продукции и никакого отношения к шоколаду не имеет. В ее составе растительные или другие жиры. Мы же с Вами будем работать с шоколадом в составе которого 100% какао масло. На МК @elena_grineva_cakes Вы научитесь работать с белым и темным шоколадом (без темперирования). КАЖДЫЙ участник мастер класса СОЗДАСТ СВОЮ красивую КОМПОЗИЦИЮ из цветов. Научитесь технике двойного наложения цвета, как правильно сделать Градиент на лепестках цветов, на темном шоколаде окрашиванию под велюр. Мы сделаем розы и пионы, георгин и хризантему и  другие цветы, чтобы ваша композиция была красивой. Цветы из шоколада можно не только устанавливать на торт, их можно дарить как отдельный подарок, можно делать с начинкой.  Можно делать на подставке с сюрпризом, все это вы узнаете на МК 12-13 мая! Все необходимое на курсе предоставляется, выдаются сертификаты, готовые композиции каждый ученик забирает с собой!!! Это настоящее чудо!!! Не упустите возможность!!! #уфа102 #мегауфа #ufasiti #детскийторт #детскийтортуфа #тортназаказвуфе #мкуфа #кондитерскиемастерклассыуфа #кондитерскиемк #рецептыуфа #рецепты #готовимвместе_gala_cake_ufa #тортуфа #тортназаказуфа #тортназаказвуфе #мкуфа #кондитерскиемастерклассы #кондитерскиймастеркласс #кондитерскиемастерклассыуфа #кондитерскиемастерклассывуфе #вилкауфа #кондитерскиекурсы #кондитерскиекурсыуфа #якондитер #пеку_с_gala_cake_ufa #тортназаказуфа #вкусныйторт #индивидуальныймастеркласс #обучениеуфа #обучениекондитер #тортназаказуфа #мкгриневой #шоколадныйдекор #мкшоколаднаяфлористика #мкшоколадныецветы;1523249058;43;3648137899;True;мкшоколадныецветы
