post_id;text;date;likes;owner_id;is_video;by_tag
BKYQweRg9SO;"Good night 🌛 #chocolateflower#valrhona#pastrychef#мкШоколадныйдекор#цветыизшоколада 💐
Уже не терпится украшать ваши тортики шоко.цветами 😉
#tortini_irkutsk";1473947903;52;1429664242;False;мкшоколадныйдекор
BLom6OagkvH;Сегодня были все в шоколаде) весь день учились темперировать шоколад и делать корпусные конфеты, и, как и обещала показала немного приёмов для декора. Пролетел день на одном дыхании, несколько часов взбодрится, ведь завтра начинается базовый курс.. ух, горячий Октябрь! За замечательные фото спасибо @marcusmesquita , уже скоро смотрите в группе вк @tastelab_spb . Всем сладких снов, с кем то увижусь уже завтра, начинаем в 10.00😬 #jdotsweets #кондитерскиекурсы #обучениедлякондитеров #кондитерскаяшкола #шоколад #шоколадручнойработы #мкшоколадныйдекор #мкшоколадныеконфеты;1476643872;191;515864834;False;мкшоколадныйдекор
BN3_QlvAud5;Елочка зажгись)) #мкшоколадныйдекор #всебудетвтриколаде;1481454922;106;1459439841;False;мкшоколадныйдекор
BN44XlRgd2i;@fedchinyak спасибо за яркий, шоколадный мастер-класс!!! Это было очень здорово, круто, весело!!! Дорогие участницы, спасибо всем вам за активность, теплоту, улыбки, смех и неподдельный интерес. Очень радует, что все развиваются, открывают новые рубежи и границы в кондитерском искусстве. С вами было комфортно и уютно! До встречи в Триколаде)) #мкшоколадныйдекор #всебудетвтриколаде;1481484864;102;1459439841;False;мкшоколадныйдекор
BNZ1yG1DkCq;"В работе🎄😄
#мкшоколад #мкшоколадныйдекор#елочнаяигрушкаизшоколада#домашниевкусняшки☕️ #сластёнадомодедово😋🎁💐🎂🍰🍭👍";1480443321;40;3288226014;False;мкшоколадныйдекор
BOLK-4Uh9p8;Запись уже открыта #мкшоколадныйдекор #мкшоколадныеконфеты #курсшоколада Киев 21-22 января🍭🍪🍡🍰🍬 подробности тел 0502341778 вайбер😉;1482098603;13;1675142296;False;мкшоколадныйдекор
BONCWixB3hN;"Дорогие кондитеры, все кто любит и хочет учиться новому или совершенствовать свои знания!!!!!! В Киеве 21-22 января будет проводиться МК ШОКОЛАД и корпусные конфеты мастером Галиной Веруш @galyna_verush #курсшоколада #мкшоколадныеконфеты #мкшоколадныйдекор #курсыкондитер любит шоколад, поднимите ручки)), мне кажется таких найдется по всему свету очень мало, ведь он издревле будоражил умы людей, поднимал настроение, возбуждал фантазию, является райским наслаждением, потому что в переводе означает райский плод - напиток Богов, сильнейший афродизиак, его завораживающий аромат притягивает и волнует обоняние..... Готовьтесь))), совсем скоро вы будете иметь возможность научится работать с ним и творить чудеса с этим ароматным веществом под чарующим названием ШОКОЛАД!!!!! Программа МК рассчитана на 2 дня. 
1 день-шоколадный декор 
2 день-корпусные конфеты 
Вы научитесь правильно темперировать шоколад и изготавливать из него вкусные и красивые изделия(Перья, ажурные листья, коряги, пояски для торта и пирожных, топперы, спирали, различные цветы, шары, кокосы, корпусные конфеты с начинками, окрашивание шоколада, масла какао, виды темперирования, работа с краскопультом и подручными средствами для окрашивания декора.) Ждем Вас по адресу:🚇 Академгородок. Ул. Уборевича (Ефремова), 19а 
подробности по тел ☎ 0502341778. Запись уже открыта 😉 
Viber, WhatsApp .";1482161187;39;1675142296;False;мкшоколадныйдекор
BOPPrHPBwB5;"Приглашаем всех желающих на ПРАКТИЧЕСКИЙ мастер класс.
Киев 29 января 2017!
В программе:
Зефир
(без применения красителей и консервантов)
-приготовление зефира 3х вкусов: яблоко-мята, черная смородина, абрикос.
Показать полностью…
-вы узнаете как правильно варить сироп, идеальную консистенцию зефира.
-идеальную форму и отсадку зефира
Маршмеллоу
(популярное лакомство на натуральных ингредиентах)
-рецепт приготовление ванильного и фруктового маршмеллоу.
Кейкпопсы
--приготовление шоколадных, бисквитных и всеми так любимых ""красный бархат""
-мини пирожное на палочке покрытое разноцветной глазурью и шоколадом не оставят равнодушными даже взрослых. Такое лакомство будет приятным дополнением к торту, кенди бару, или как отдельный десерт на любом празднике.
А главное Вы сможете повторить все на своей кухне. Все сладости после МК Вы заберете с собой.
Побалуйте близких натуральным изысканным лакомством
Ждем Вас по адресу: Академгородок. Ул. Уборевича (Ефремова), 19а
подробности по тел 0502341778
Viber #курсшоколада #мкшоколадныеконфеты #мкшоколадныйдекор #курсыкондитер #зефиркиев #маршмеллоуназаказкиев #маршмеллоу #курсыпозефиру #сладостикиев #курсыкиев #мккиев #кондитерскиекурсы #кондитеркиїв #зефір #зефирчик #кейкпопсы #кейкпоскиев";1482235280;46;1675142296;False;мкшоколадныйдекор
BOzJvUJBZPD;"Новый ВИДЕО УРОК от кондитерской школы @pastry_inspiration_school
Делаем зимний декор муссового тортика из пластичного шоколада!
Берем на заметку!

#урок #видеоурок #муссовыйторт #шоколад #мкдекор #мкдекорторта #мкшоколадныйдекор #кондитер #видео #сладкаялента";1483440128;459;2246665401;True;мкшоколадныйдекор
BOzPS8jhpZq;#мкшоколадныйдекор #выравниваниетортов #курсшоколада #курскондитера;1483443041;30;1675142296;False;мкшоколадныйдекор
