post_id;text;date;likes;owner_id;is_video;by_tag
BaAHod4DCA1;"Практические навыки оттачиваем...
Все замечательно справились!!!
#мкпотортам #мккондитера #мкповыравниваниютортов#мккремоваявышивка#мкоксанамитинская 
#мкшокоцветы #мкшоколадныйпион
#мкбескаркасныецветы#цветыизшоколаднойпасты #цветыбезпроволоки";1507497551;42;3686157176;False;мкшоколадныйпион
BgsnxeMhP94;"Птичка может выглядеть и так☺️
Внутри суфле ""птичье молоко"", малиновое конфи, миндальный дакуаз, пион из шоколада 🤤
Участвую в конкурсе #это_мой_торт_март , организатор @anuta_maletina @amp.lituda 
_____________________________________
Для заказа пишите в Директ/WhatsApp☎️
_____________________________________
#тортназаказмосква#тортназаказ#детскийтортназаказмосква#птичьемолоконазаказмосква#леденцыназаказмосква#зефирназаказмосква#эклерыназаказмосква#маршмеллоуназаказмосква#candybarмосква#кейкпопсыназаказмосква#кейкпопсымосква#медовикназаказмосва#медовикназаказ#наполеонназаказмосква#аннапавлованазаказ#сладостидлярадости#макаронсназаказмосква#макаруны#макаронмосква#меренгиназаказмосква#наполеон#трайфлыназаказмосква#мкшокофлористика #мкшоколадныйдекор #мкшоколадныйпион #шоколадныйпион #пионизшоколада #шокофлористика";1521875699;48;2920372541;False;мкшоколадныйпион
BgsoZwzhntk;"Пион из шоколада, прекрасная альтернатива живым цветам!
Полностью съедобен👍🏼😊
Товарищи-кондитеры (кто подписан на меня и не только), ХОТИТЕ НАУЧИТЬСЯ ДЕЛАТЬ ТАКИЕ ЖЕ ШОКОЛАДНЫЕ ПИОНЫ? ☺️Нужен Видео-Мк?
_____________________________________
Для заказа пишите в Директ/WhatsApp☎️
_____________________________________
#тортназаказмосква#тортназаказ#детскийтортназаказмосква#птичьемолоконазаказмосква#капкейкиназаказмосква#свадебныйтортназаказмосква#муссовыйтортмосква#муссовыйтортназаказмосква#маршмеллоумосква#маршмеллоуназаказмосква#тирамиссумосква#candybarмосква#кейкпопсыназаказмосква#кейкпопсымосква#медовикназаказмосва#медовикназаказ#наполеонназаказмосква#аннапавлованазаказ#сладостидлярадости#макаронсназаказмосква#макаруны#макаронмосква#меренгиназаказмосква#наполеон#трайфлыназаказмосква#пионизшоколада #шоколадныйпион#мкшокофлористика #мкшоколадныйдекор #мкшоколадныйпион";1521876029;39;2920372541;False;мкшоколадныйпион
Bq92y5sF5Ih;"Трёхдневный Мк🌺🌷🌹
Два места по приятной цене!!!
#мкпитер#мкдекорторта #мккондитера 
#мкшоколадныйпион
#мкоксанамитинская
#мкшокофлористика 
#мкшоколадныецветы 
#цветыизшоколада 
#шокодекор🍫🍫🍫";1543928837;114;3686157176;False;мкшоколадныйпион
Bq_zSqKlXFJ;"Всего 2 места!!!!
#Repost @oksana_mitinskaya with @get_repost
・・・
Трёхдневный Мк🌺🌷🌹
Два места по приятной цене!!!
#мкпитер#мкдекорторта #мккондитера 
#мкшоколадныйпион
#мкоксанамитинская
#мкшокофлористика 
#мкшоколадныецветы 
#цветыизшоколада 
#шокодекор🍫🍫🍫";1543994109;27;3953312113;False;мкшоколадныйпион
BqkTD3xlThr;"Итоги трёхдневного МК Шокофлористика❤❤❤ замечательные цветы!!!
Очень рада была новым знакомствам...новым встречам❤❤❤
Мой Любимый Урал!!!люблю вас!!!
#мкшоколадныецветы 
#мкпермь 
#мкшокофлористика 
#мкшоколадныйпион
#пионизшоколада 
#бескаркасныецветы 
#цветыбезпроволоки";1543071241;125;3686157176;False;мкшоколадныйпион
Bqu4b9XFIxG;"Итоговые работы МК г.Нижний Новгород
Двухдневный курс🌺🌷🌹
#мкнижнийновгород 
#мкшоколадныецветы 
#мкшоколадныйпион 
#пионизшоколада 
#шокофлористика 
#шокодекор#шокопаста 
#пластичныйшоколад 
#цветыизшоколада 
#цветыбезпроволоки 
#бескаркасныецветы";1543426381;136;3686157176;False;мкшоколадныйпион
Bqu5iNvFMRW;"Пролетели  два дня!!!👍👍👍
Просто незаметно!!!
Тёплая  и дружная группа-все справились великолепно💋💋💋
До новых встреч,дорогие❤❤❤
#мкнижнийновгород 
#мккондитера #мкдекорторта 
#мкшоколадныецветы 
#мкшоколадныйпион 
#пионизшоколада 
#шокофлористика 
#шокодекор#шокопаста 
#цветыбезпроволоки 
#цветыизшоколада 
#цветыизшоколаданазаказ";1543426956;83;3686157176;False;мкшоколадныйпион
BquBgLYlkEA;"Мк Шокофлористика
Мои девочки огонь❤🔥🔥🔥🔥🔥
#мкшоколадныецветы 
#мкшоколадныйпион 
#шокодекор #пионизшоколада 
#шокофлористика 
#декоризшоколада🍰🍫🍮 #цветыбезпроволоки 
#бескаркасныецветы";1543397756;122;3686157176;True;мкшоколадныйпион
BrS7EUnlgK9;"По Вашим многочисленным просьбам...
Какие  красители я использую в работе???
@deko_pro ❤мои фавориты много лет!!!
Люблю Топ-Декор и никогда не поменяю. ..могу любой цвет и оттенок подобрать-обучаю колористике на моих Мк...всем рекомендую❤❤❤
#мккондитера#мкдекорторта
#мкоксанамитинская
#мкшоколадныйпион
#мкшоколадныецветы 
#мкшокодекор#шокодекор🍫🍫🍫 #мкмосква#мкпитер 
#мкказань#мкчелябинск 
#мкекатеринбург 
#шокофлористика 
#шоколадныецветы 
#цветыизшоколада 
#цветыизшоколаданазаказ";1544635720;300;3686157176;False;мкшоколадныйпион
