post_id;text;date;likes;owner_id;is_video;by_tag
BY0OhoXDS05;"МК,,шокоцветы,,
Уже завтра...Краснодар
#оксанамитинская#мкпотортам
#мккондитера#мкшокоцветы#шокофлористика#шокоцветыдляторта
#бескаркасныецветы#авторскиеторты #кремовыйдекортортов";1504951028;69;3686157176;False;мкшокоцветы
BZMBBYVl2Fq;"Итоги МК .....все справились...
Наша солнечная осень...в Сибири
#мккондитера #мкпотортам #мкшокоцветы #шокофлористика 
#шокоцветыдляторта #оксанамитинская #Mon Ami
мкновосибирск#кремовыеторты #кремовыеторты #кремовыйдекортортов";1505749255;35;3686157176;False;мкшокоцветы
BaAHod4DCA1;"Практические навыки оттачиваем...
Все замечательно справились!!!
#мкпотортам #мккондитера #мкповыравниваниютортов#мккремоваявышивка#мкоксанамитинская 
#мкшокоцветы #мкшоколадныйпион
#мкбескаркасныецветы#цветыизшоколаднойпасты #цветыбезпроволоки";1507497551;42;3686157176;False;мкшокоцветы
BgwAtOwnq0E;"Пчёлки-трудяжки мои❤❤❤
#мккондитера #мкшокоцветы 
#мкоксанамитинская
#мкшокофлористика 
#мктюмень#пионизшоколада";1521989435;173;3686157176;False;мкшокоцветы
BhpEAfrDQ5u;"Курсовой тортик...
#мкоксанамитинская
#мкпятигорск #мкпионы 
#шокоцветы#пионизшоколада 
#кремовыйторт#тортывпятигорске 
#мкшокофлористика#мкшокоцветы 
#бескаркасныецветы 
#цветыбезпроволоки";1523903768;290;3686157176;False;мкшокоцветы
BhpFCnYD0D3;"Результат нашей замечательной группы❤❤❤Пятигорск,Ессентуки, Георгиевск, Астрахань, Мин.Воды...
Мои дорогие!!!всех люблю!!!❤❤❤
Все старались!!!все молодцы!!!
#мкпятигорск#мккондитера
#тортывпятигорске 
#мкоксанамитинская
#мкшокоцветы#пионизшоколада 
#бескаркасныецветы 
#нарциссы#бокальнаяроза 
#пионизшоколада";1523904310;144;3686157176;False;мкшокоцветы
BhssdTEFsbd;"Отчёт с прошедшего курса Оксаны Митинской#Repost @oksana_mitinskaya (@get_repost)
・・・
Результат нашей замечательной группы❤❤❤Пятигорск,Ессентуки, Георгиевск, Астрахань, Мин.Воды...
Мои дорогие!!!всех люблю!!!❤❤❤
Все старались!!!все молодцы!!!
#мкпятигорск#мккондитера
#тортывпятигорске 
#мкоксанамитинская
#мкшокоцветы#пионизшоколада 
#бескаркасныецветы 
#нарциссы#бокальнаяроза 
#пионизшоколада";1524025639;72;3128603283;False;мкшокоцветы
BhstItElSYZ;"Курс #Repost @oksana_mitinskaya (@get_repost) в кулинарной студии ChoCo @studio_master_class_choco ・・・
Курсовой тортик...
#мкоксанамитинская
#мкпятигорск #мкпионы 
#шокоцветы#пионизшоколада 
#кремовыйторт#тортывпятигорске 
#мкшокофлористика#мкшокоцветы 
#бескаркасныецветы 
#цветыбезпроволоки";1524025994;74;3128603283;False;мкшокоцветы
Bi-FtFBhbwL;"Repost from @oksana_mitinskaya @TopRankRepost #TopRankRepost По многочисленным просьбам моих будующих учеников и участников моих МК!!!❤❤❤ Вас ждёт новый усовершенствованный трёхдневный курс.Более доработанная техника, развивающая скорость в изготовлении цветов, с помощью которой вы навсегда забудете о толстых рваных краях и грязных прожилках...мои цветы без основы-без шоколадных кусков и нагромождений на тортах...Они лёгкие и изящные-бескаркасные...не содержат проволку...их не отличишь от настоящих живых цветов!!!!
Я лично,,рука в руку,,ставлю технику каждому участнику МК, раскладываю по полочкам всю свою авторскую теорию и практику, в т.ч.окрашивание и тонирование, демонстрационное крепление цветов на торт,сборка композиции.
Ваше представление о кондитерской флористике перевернётся с ног на голову и вы познаете лёгкость и тонкость работы с самыми,на первый взгляд, сложными цветами.❤❤❤
#мкоксанамитинская#мккондитера 
#мкшокофлористика#мкккраснодар
#мкчелябинск#мкмосква#ставрополь
#мкставрополь #мкпермь#мкижевск
#мкалматы#мкказахстан#мкпитер 
#мкшокоцветы#шокоцветы
#шокодекор#пионизшоколада 
#бескаркасныецветы";1526756784;40;5785417934;False;мкшокоцветы
Bi2S6ZsDifp;"Снова рубрика : МОИ УЧЕНИКИ.
Моя изящная красотка @svetik_cake 
Замечательные торты, со своим видением,её цветы прекрасны...круть!!!
#мкоксанамитинская#мкшокоцветы 
#шоколадныйцветок#шокодекор
#шокофлористика#пионизшоколада
#тортымеждуреченск 
#бескаркасныецветы 
#цветыбезпроволоки";1526495274;155;3686157176;False;мкшокоцветы
