post_id;text;date;likes;owner_id;is_video;by_tag
Bu_vR4XhhiW;"Кто ещё сидит в кустах и никак не запустит свой курс?
Страшно?
Стартуем 31 марта, возьму за руку и доведу до запуска за три недели - в два раза быстрее, 
три раза в неделю по 20 минут - сэкономим время для важных дел в 10 раз, 
всего за 7900 рублей - остальные 100000 рублей  сохраните для себя)

В шапке профиля регистрируйтесь до 25 числа со скидкой и получите Тетрадь для предпринимателя в двух частях бесплатно!
Встретимся на интенсиве!

#запуск 
#онлайнкурсы 
#онлайнбизнес 
#старт 
#снуля 
#вместенестрашно 
#интегратор
#онлайншкола";1552582445;25;4350789535;True;онлайнмк
Bv--AslA_p7;"Всем прекрасного дня 🤗🌺 мой вчерашний показ растушеванной стрелки на Онлайн МК 🤗 К сожалению по техническим причинам первая  часть прямого эфира не сохранилась 🙈 и по этой причине буду показывать эту технику ещё раз 14-го апреля в 14:00🤗 те кто не успел оплатить , можете ещё записаться 🤗🌺
Так как многие хотят пройти обучение у меня , но ввиду обстоятельств ( семья, дети, нехватка средств, не можете приехать и многое другое) не можете пройти обучение, не растраивайтесь🤗! Для этого я начала проводить онлайн занятия 🤗 Эти занятия идеально подойдут для начинающих визажистов, для того чтобы научиться краситься самой и для повышения квалификации 🤗 Не упустите шанс узнать все мои фишки , как создать красивый,стойкий макияж 💄 с чистой тушевкой , с четкими линиями и с сияющим тоном😍
Онлайн МК
Показ растущеванной стрелки на теневой технике👏🏻💥
7 апреля в 18:00
Будет показ  в прямом эфире на закрытой странице !
Эфир сохраниться 24 часа! 
В прямом эфире вы можете задавать интересующие вас вопросы 🤗
Стоимость МК 1000₽ 
Выдаётся сертификат в электронном виде!
#онлайнмк#онлайнобучени#онлайнобучениевизажу";1554703592;1918;1444664550;False;онлайнмк
Bv-tboElx_a;Мой сертификат📃💻 Онлайн МК от @piminova_valery Спасибо за новые знания, технику макияжа 👀💄и кучу положительных эмоциий🤗💋 #мояработа#мояучеба#сертификаты#обучениенадому#индивидуальноеобучение#стойкиймакияж#яркиймакияж#макияжнатинтах#яркиегубы#онлайнмк;1554694900;26;4032210919;False;онлайнмк
Bv03nOwgRYb;"#рецепты_kepser_food 
Пряные маффины с орехами

120 грамм масла (можно ГХИ)

Подсластителя по вкусу - в моём случае эритритол 
60 грамм сливок (можно растительное молоко , сливки, воду) 
180 грамм универсальной муки фирмы Гарнец либо кукурузной,нутовой,кокосовой,миндальной

8 грамм разрыхлителя безглютена

3 яйца

Любые орехи -50 грамм

Взбить масло комнатной температуры с подсластителем до пышности, добавить молоко , и яйца по одному взбить до однородной массы. Перемешать муку с разрыхлителем просеять в яично-масляную смесь , взбить до однородности. Влить в формочки. Выпекать при 160° 20-25 минут (до румяности) 
P.S. обязательно при любой выпечке заранее разогревайте духовку

#мкалматы#мкповыпечкеалматы#ппвыпечка#ппторт#безглютеновыйторт#тортыназаказалматы#песочноепеченье#пппеченье#онлайнмк#чизкейньюйорк#ппшоколад#органикшоколад#фисташковыйрулет#зефир#шоколад#ручнаяработа#органическийшоколад#Алматы#назаказ#безсахараалматы#выпечка_безглютена_назаказ_Алматы#выпечкабезсахара#пп#безглютеновыйторт#glutenfree#refinedsugarfree#keto#lowcarb";1554364694;99;3067425082;False;онлайнмк
Bv04QOigdWt;Подготовка к МК по подставкам идёт полным ходом... #онлайнмк#подставки#stand;1554365030;1074;3111986116;False;онлайнмк
Bv0femRgYcP;"Игра понятий💎
Кто такой инвестор?
Инвестор — это лицо или организация размещающие капитал, с целью последующего получения прибыли , инвестиции.
Если тот или иной проект будет убыточным, то капитал будет утрачен полностью или частично.
.
А можно ли “инвестиции в себя”, назвать убыточным проектом?
Или, вообще, понятие инвестировать в себя, не уместное сочетание слов?
.
Ведь забота о себе - это необходимость каждого человека и не несёт нам прибыль.
На мастер-классе подробно окунёмся в данную тему. Будет интересно, услышать мнение человека, который имеет стаж в сфере инвестиций и финансов 13 лет.
.
Приглашаю 6 апреля, в 16.00 (мск.)
на бесплатный онлайн мастер-класс
Анастасии Хрусталёвой
@nastia_khrustaleva
.
В сетевом бизнесе за полгода работы в NL Int.:
💲 чек более 50 000 рублей
⭐ квалификация Star

На мастер-классе Анастасия Хрусталёва расскажет как использовать эти знания для легкого старта в бизнесе и в жизни в контексте сетевой компании NL!

Получив и применив эти знания, ты сможешь шире смотреть на инвестиции и финансы, в разных сферах своей жизни.
.
Чтобы попасть на данный бесплатный онлайн мастер-класс, пиши свой номер в Директ.💎
.
Присоединяйтесь!
.
#BrilliantsGroupNL #мастеркласс #онлайнмк #вебинар #мастерклассвонлайне";1554352040;20;8531642865;False;онлайнмк
Bv0qf7IhdM3;"Доброе утро, мои дорогие😘
.
Детали💙💜 #colorsmoky
Все как я люблю😍 да и вы, думаю😇
#отработка с #онлайнмк @ilonavincho
.
#vardbeauty#VxB#byAM#samaramakeup#muasamara#обучениесамара#мксамара#визажсамара";1554357818;115;2973754630;False;онлайнмк
Bv0xTE-F8wg;"🎉60+ уроков за 1990 руб. А можно и за 1000🎉 :) Как вам?!😉
.
Мы долго усердно над этим работали, чтобы дать вам эту возможность!🤗
.
😍Если вы еще не знали, то у нас есть Онлайн Школа😍 (ССЫЛКА В ПРОФИЛЕ), где есть интересные уроки и мк на разные темы😉
.
❗️Сегодня там размещено более 70 уроков и большинство вы можете посмотреть всего за 1990р.😎 За все! Уроки помечены значком Подписка!😉
.
🎉И скоро там будет не 70, а 80, а потом и 100, и каждую неделю больше и больше🎁🎁🎁
.
❗️Все уроки с Поддержкой❗️. Вы смотрите урок, вы пробуете, повторяете дома и если что-то не получается - задаете вопросы на странице урока.
.
🤔Чему сегодня можно обучиться по Подписке.🤔 Это:
.
👉более 10 уроков по муссовым тортам и бисквитам
👉15 уроков по разным сахарным цветам
👉уроки по макаронс. 👉уроки по зефиру и меренге
👉уроки по росписи пряников
👉уроки по эклерам, птичьему молоку, шоколадным фигуркам
👉фуд фотография
и многое другое
.
🎁И каждую неделю мы будем пополнять коллекцию🎁
.
❗️Важно! Подписка - это доступ к урокам на ограниченное время. Сейчас вы можете выбрать 4 периода: 1, 3, 6 месяцев или сразу на 1 год.
.
🎁Чем больше месяцев вы выбираете, тем дешевле обходится вам обучение.🎉 И помните, что все новые уроки в Подписке будут вам доступны к просмотру😉😎
.
🎁1 мес: промо цена 1990
🎁3 мес: промо цена 4990
🎁6 мес: 9000 руб. это всего 1500 руб/мес
🎁1 год. 12000 руб. это всего 1000 руб/мес.
.
😱1000 руб. в месяц за 60+ уроков. С гарантией новых уроков каждую неделю! Как вам такое?!😱😰
.
❗️Уроки можете смотреть в любое для вас удобное время. С компьютеров, телефонов или планшетов!
.
❗️Пишите в комментарии 🎁“хочу 60 уроков”🎁. Мы вышлем детали для доступа😉";1554361383;197;9176717206;False;онлайнмк
Bv1GYN3g6f4;"А вы не забыли про мой торт ""Апельсинка"" в этом торте (в бисквите) ни грамма красителя свой натуральный цвет 😍👍 с кремом чиз. Сытный, вкусный, сочный 🤤
.
#мк #мкказахстан #городсемей #семеймастеркласс #городалматы #городастана #семейторты #тортысемей #алматытортыназаказ #астанатортыназаказ #казахстан #астанамк #алматымк #шымкент#атырау#актобе#тараз#кызылорда#оскемен#устькаменогорск#актау#караганды#талдыкорган#тортыказахстан#мкторт#семейтортыназаказ#тортысемейназаказ #семеймастерклассторт#онлайнмк#казахстан";1554372435;890;3100049641;False;онлайнмк
Bv1HGZyFLUF;"Прошедшие недели активно навивали ретро стиль для программы 2ого потока школы пряничной йоги. Вылилось это в программу по созданию пряничной  3д конструкции в виде ретро карусели.

На фото первый ретро комплект.  В карусели тортик от Наташи @sweets_yancen . .
Такие работы для меня особые,  т.к. наполненны деталями, цветом  и конечно же атмосферой.

#алёнапечет 
#алёнарисует_мп
#алёнавсехнаучит 
#аленкиныпрянички
#пряникихабаровск
#имбирныепряники
#онлайнМК 
#пряникиназаказхабаровск 
#instagood #amazing #royalicing #royalicingcookies #cookies #cookieart #cookielove  #icing #icingcookies #decoratedcookies  #имбирныепряники #пряники #имбирноепеченье #ручнаяработа #сладкийстол #candybar #ilайсинг";1554372814;226;6173398715;False;онлайнмк
Bv1JPJXgjXU;"""Марракеш"" новинка💥 об этом торте можно писать очень долго🤤 чем сто раз говорить нужно один раз попробовать👍 фото с прошлого МК💐
.
#мк #мкказахстан #городсемей #семеймастеркласс #городалматы #городастана #семейторты #тортысемей #алматытортыназаказ #астанатортыназаказ #казахстан #астанамк #алматымк #шымкент#атырау#актобе#тараз#кызылорда#оскемен#устькаменогорск#актау#караганды#талдыкорган#тортыказахстан#мкторт#семейтортыназаказ#тортысемейназаказ #семеймастерклассторт#онлайнмк#казахстан";1554373934;1236;3100049641;False;онлайнмк
Bv1T2_wn0Vy;"#ошибкиполезны

Говорят, ошибки полезны.

Однако, совершив неудачу, мы в первую очередь бросаемся искать виноватых, жалеть себя или исправлять последствия. И времени на то, чтобы сесть и подумать, почему произошло именно так, у нас нет. В результате мы начинаем осторожничать и выбирать, возможно, не такие интересные, зато безошибочные решения и действия.

В действительности, существует немало скрытых причин безуспешности. Хочешь узнать о них?

Тогда регистрируйся прямо сейчас👇
Сегодня 4 апреля в 20:00 по МСК пройдет бесплатный онлайн мастер-класс Дины Гумеровой ""Скрытые причины безуспешности""!💎
. 
Эта уникальная девушка собрала уже более 3500 благодарных отзывов!

Её знания помогают менять жизнь через мышление и работу мозга. 
За 2 года работы в онлайне создала:
🔺 Большой 3-х недельный курс
🔺5 интенсивов
🔺4 марафона
💰пришла к доходу более 2 млн. в месяц.

В сетевом бизнесе за полгода работы в NL Int.:
💲 чек более 100 000 рублей
⭐️ квалификация DS

На мастер-классе Дина Гумерова расскажет как использовать эти знания для легкого старта в бизнесе и в жизни в контексте сетевой компании NL!

Получив и применив эти знания, ты сможешь смело позволить себе достигать любые цели и добиваться своего успеха. Приглашаю всех желающих, кто готов начать строить жизнь своей мечты прямо сейчас!

Пришло время действовать!🙌
. 📌 СЕГОДНЯ 4 АПРЕЛЯ В 20:00 🔥
Ставь будильник, чтобы не пропустить!
.
Напиши свой номер телефона мне в Директ, и у тебя будет возможность пообщаться с девушкой-миллионером.💎
. 
#BrilliantsGroupNL #мастеркласс #онлайнмк #вебинар #мастерклассвонлайне";1554379503;57;345688189;False;онлайнмк
Bv1lMrxgYhR;"Вчера меня закидали помидорами - мои кролики к Православной Пасхе никакого отношения не имеют. 
Но во-первых, у меня есть заказчики из Европы и Америки, а во-вторых, эти кролики просто очень милые 🤷‍♀️🤷‍♀️🤷‍♀️ Пасхальный кролик является символом Пасхи на Западе, таким же, как в России—  куличи и крашеные яйца.  Дети Европы и Америки верят в сказочную историю о том, что пасхальный кролик прячет в свое кроличье гнездо разноцветные шоколадные яйца. В пасхальное утро малышам необходимо найти это гнездо, чтобы получить сладости.  Но сладости кролик приносит только хорошим и воспитанным деткам, о чём  целый год им рассказывают их родители 🙈🙈🙈😂😂😂 (второй Новый год)
Вот такая история 🤷‍♀️🤷‍♀️🤷‍♀️ ПС: таких милашек (2х кроликов) можно будет сшить МК 21ого апреля, в С-Петербурге.
Длительность: 2-3 часа
Стоимость: 800₽
🐇🐇🐇
И напоминаю, что в апреле я провожу последние МК (но не исключены гастроли 😉)
#пасха#мк#мастеркласс#тильда#кукларучнойработы#онлайнмк#видеомк#подарок#текстильныеигрушки";1554388594;80;3662962392;False;онлайнмк
Bv1x_D2gfjf;"КОГДА ДОБАВЛЯТЬ ЛИО-ЯГОДЫ ВО ВРЕМЯ ПРИГОТОВЛЕНИЯ?
⠀
▪️В начале.🔻
Если важно, чтобы ягоды отдали свой вкус, аромат и цвет по максимуму.
Например, при приготовлении кремов, макарун, тортов, кексов, соусов.
⠀
▪️В конце.🔻
Если важно, чтобы ягоды не потеряли свою форму и текстуру. Например для декора, или с той  целью, чтобы кусочки остались хрустящими ♥️
⠀
Для заказа пишите в Директ или по ссылке в шапке профиля ☝🏼☝🏼☝🏼";1554395298;43;7436688266;False;онлайнмк
Bv2-bsoFiUR;Пахлава. Спасибо за заказ! #пахлаваалматы #домашняявыпечкаалматы #алматыпироги #алматымк #онлайнмк #онлайнрецепты;1554435378;47;1633363312;False;онлайнмк
Bv2Hgv9Dq9q;"У вас еще прохладно? Значит мое предложение для Вас! 😉

Шапка #turn_hat свяжется за один день по моему подробному МК и согреет вас и вашего ребёнка в прохладные весенние деньки.

Мастер класс в формате PDF открывается на любом устройстве. Высылается на е-мейл почту или на любой, удобный Вам, мессенджер.

Что хранит в себе этот файл?
✔ Порядное описание шапки на размеры 46-48/50-52/54-56/58-60. (Можете связать себе и ребенку. Будет #family_look 👍 )
✔ Фото с пояснениями.
✔ Ссылки на видео-ролики сложных моментов. (Доступны при наличии интернета.)
✔ А так же советы и примечания.

МК можно приобрести всего за 2⃣0⃣0⃣ рублей. Отзывы о МК и примеры готовых работ тестовой группы можете посмотреть по тегу #turn_hat

Оплата на карту сбербанка или Яндекс деньги.

Для связи директ, комментарии. Пишите скорее, пока не потеплело, чтобы успеть выгулять вашу обновку 😉 .
.
.
.
.
.
#онлайнурокивязания #вяжубезудержу #шапкамастеркласс #мастерклассвязание #эксклюзив #детииродители #мамасыночка #вязаниеспицами #спицы #вязание #мамадочки #стильноевязание #своимируками #вязанаямода #вязаниемк #хэндмэйд #вяжутнетолькобабушки #научитьсявязать #онлайнмк #вязальныйблогер #вязаниеслюбовью #модноевязание #люблювязать #вязаниемастеркласс #научитьсявязатьлегко #наборпетель #любимоезанятие😍";1554406584;141;2251856427;False;онлайнмк
Bv2TXQeh2av;"Как вы думаете,что делает визажист в свой выходной?😉 Учится, повышает свою квалификацию и профессионализм💪

Вчера, наконец, прошла долгожданный мастер- класс по Минеральному макияжу от @ulianastar  Именно потрясающие работы Ульяны вдохновляли развиваться дальше, именно ее прямые эфиры в Телеграмм и Инстаграм смотрела ещё будучи в декрете, поздними ночами, уложив спать свою малышку. Благодаря чему научилась сочетать в макияже кремовые и минеральные продукты, правильно их использовать.

Те, кто меня знают, думают, что у меня идеальная кожа. Если бы! Чудеса маскировки))😜 Ни один кремовый консилер не перекроет недостатки так, как сделает это минеральный💪 При этом ещё и деликатно подсушит имеющиеся воспаления, скроет тонкие линии морщинок,пятнышки и шрамики.

На фото как раз мои любимые баночки с минеральной косметикой😍 Которая представляет собой не что иное, как пудру разных оттенков и текстур. Но по эффекту порою превосходит привычные нам кремовые продукты😉

#учусьупрофи #ульяна_онлайн #онлайнмк  #повышениевизажиста #визажисткурск #макияжвкурске #olmira46mua";1554412797;31;2993635145;False;онлайнмк
Bv3hCgmFOyZ;"Еще один видео мк -""Мишки"" .

Прямой эфир с моего курса по росписи пряников. 
В эфире я не просто рассказываю, как сделать такой пряник, но и показываю упражнения, которые помогут в дальнейшей практике этой волшебной техники -  пайпинг.

Стоимость урока - 300₽. #алёнапечет 
#алёнарисует_мп
#алёнавсехнаучит 
#аленкиныпрянички
#пряникихабаровск
#имбирныепряники
#онлайнМК 
#пряникиназаказхабаровск 
#instagood #amazing #royalicing #royalicingcookies #cookies #cookieart #cookielove  #icing #icingcookies #decoratedcookies  #имбирныепряники #пряники #имбирноепеченье #ручнаяработа #сладкийстол #candybar #ilайсинг";1554453522;231;6173398715;False;онлайнмк
Bv3n7VHBsEY;"Не успели провести один вебинар, в структуре уже следующий!!!
Завтра, 6.04 БЕСПЛАТНО поделится информацией об инвестициях звезда #BrilliantsGroupNL Анастасия Хрусталева🌟
...
Игра понятий💎
Кто такой инвестор?
Инвестор — это лицо или организация размещающие капитал, с целью последующего получения прибыли , инвестиции.
Если тот или иной проект будет убыточным, то капитал будет утрачен полностью или частично.
.
А можно ли “инвестиции в себя”, назвать убыточным проектом?
Или, вообще, понятие инвестировать в себя, не уместное сочетание слов?
.
Ведь забота о себе - это необходимость каждого человека и не несёт нам прибыль.
На мастер-классе подробно окунёмся в данную тему. Будет интересно, услышать мнение человека, который имеет стаж в сфере инвестиций и финансов 13 лет.
.
Приглашаю 6 апреля, в 16.00 (мск.)
на бесплатный онлайн мастер-класс
Анастасии Хрусталёвой
@nastia_khrustaleva
.
В сетевом бизнесе за полгода работы в NL Int.:
💲 чек более 50 000 рублей
⭐️ квалификация Звезда

На мастер-классе Анастасия Хрусталёва расскажет как использовать эти знания для легкого старта в бизнесе и в жизни в контексте сетевой компании NL!

Получив и применив эти знания, ты сможешь шире смотреть на инвестиции и финансы, в разных сферах своей жизни.
.
Чтобы попасть на данный бесплатный онлайн мастер-класс, напишите свой номер в Директ.💎
.
Присоединяйтесь!
.
#BrilliantsGroupNL #мастеркласс #онлайнмк #вебинар #мастерклассвонлайне";1554457133;409;8526700544;False;онлайнмк
Bv3tgGngg7P;"КОНФЕТЫ, ОТ КОТОРЫХ ВЫ НЕ ПОТОЛСТЕЕТЕ😉
⠀
Конфеты любят все❤️
А как быть тем, кто следит за фигурой❓
⠀
✅Представляем рецепт желейных конфет, которые не просто не добавят вам лишнего веса, но еще и полезны для организма⬇⬇⬇
⠀
📝Берем:
⠀
📌150 мл. кипятка.
📌ваши любимые сублимированные ягоды в порошке.
📌30 грамм желатина.
📌Заменитель сахара по вкусу и по желанию👌🏻
⠀
🔷Желатин заливаем кипятком и тщательно перемешиваем до полного растворения.
✔️Остужаем.
⠀
🔷Смешиваем желатин и ягодный порошок, добавляем заменитель сахара.
⠀
🔷Теперь разливаем будущие конфеты по формам и ставим в холодильник на ночь.
⠀
Приятного аппетита!🌸";1554460056;39;7436688266;False;онлайнмк
