post_id;text;date;likes;owner_id;is_video;by_tag
BiCQGQXleSJ;"Хотите связать плюшевого друга для своего ребенка сами?
.
Для этого вам нужно всего лишь уметь вязать столбики без накида!
.
А с этим справится даже новичок в вязании!
.
С помощью моего мастер класса вы ТОЖЕ ЭТО СМОЖЕТЕ!
В нем более 40 фото, с пошаговым подробным  описанием. 
А также обратная связь от меня!
Если вдруг вам что-то будет непонятно, я всегда на связи👌
.
Всего лишь один моток  плюшевой пряжи, крючок, пару часов свободного времени, хорошее настроение и ваш малышь скажет вам огромное детское😍 спасибо!
.
.
.
Цена МК 100гр
Рост игрушки 26см
.
.
.
#империaл #мастеркласс #мкплюшевыймишка #вязаныйкотмастеркласс #плюшевыйкотмастеркласс #купитьмастеркласс #плюшевыйкот #плюшевыеигрушкимк #мкплюшевыеигрушки #jl_crochetмастерклассы";1524748967;102;5836832174;False;плюшевыеигрушкимк
BkKMgR-FYqd;"Символ будущего года.
Свинка🐽

Автор: Ирина Подолюк

Голова: 
1ряд – 6сбн в кольцо амигуруми 
2 ряд – 6приб = 12сбн 
3 ряд – (1сбн, 1приб) х 6 раз = 18сбн 
4 ряд – (2сбн, 1приб) х 6 раз = 24сбн 
5 ряд – (3сбн, 1приб) х 6 раз = 30сбн 
6 ряд – (4сбн, 1приб) х 6 раз = 36сбн 
7 – 11 ряд = 36сбн 
12 ряд – (4сбн, 1уб) х 6 раз = 30сбн 
13 ряд – (3сбн, 1уб) х 6 раз = 24сбн 
14 ряд – (2сбн, 1уб) х 6 раз = 18сбн 
15 ряд – (1сбн, 1уб) х 6 раз = 12сбн 
Набить, оформить мордочку. 
Уши: 
1 ряд - 6сбн в кольцо амигуруми 
2 ряд – (1сбн, 1приб) х 3 раза = 9сбн 
3 ряд – (2сбн, 1приб) х 3 раза = 12сбн 
4 ряд = 12сбн 
Пятачок: 
1ряд – 6сбн в кольцо амигуруми 
2 ряд – 6приб = 12сбн 
3 ряд = 12сбн за заднюю стенку 
4 ряд = 12сбн 
Тело: 
1ряд – 6сбн в кольцо амигуруми 
2 ряд – 6приб = 12сбн 
3 ряд – (1сбн, 1приб) х 6 раз = 18сбн 
4 ряд – (2сбн, 1приб) х 6 раз = 24сбн 
5 ряд – (3сбн, 1приб) х 6 раз = 30сбн 
6 ряд – (4сбн, 1приб) х 6 раз = 36сбн 
7 – 10 ряд = 36сбн 
11 ряд – (4сбн, 1уб) х 6 раз = 30сбн 
12 ряд = 30сбн 
13 ряд – (3сбн, 1уб) х 6 раз = 24сбн 
14 ряд = 24сбн 
15 ряд – (2сбн, 1уб) х 6 раз = 18сбн 
16 ряд = 18сбн 
17 ряд – (1сбн, 1уб) х 6 раз = 12сбн 
Набить. Пришить к голове. 
Ножки: 
1 ряд – 4 в.п., со второй 1сбн, 1сбн, 3сбн в последнюю петлю, поворот 1сбн, 1приб = 8сбн 
2 – 9 ряд = 8сбн 
Не набивать, закрыть убавками.
Ручки(2 штуки)
1. 4 сбн в КА(4)
2. 4 пр(8)
3-10. 8 сбн (8)
Сложить края отверстия и провязать 3 сбн.Ручки не набивать наполнителем.
#бесплатныймк#свинка#амиругуми#мк#вязание#крючок#плюшеваяпряжа#плюшевыеигрушкимк";1529310486;36;6310401718;False;плюшевыеигрушкимк
BkdOesmBO6I;"Готовлю свой первый мк по вязанию плюшевой игрушки👌
. . . . 
#мквязание #мккрючком #мквязанойигрушки #плюшеваяпряжа #плюшевыеигрушки #плюшевыеигрушкикраснодар #плюшевыеигрушкимк #желтый #мультики #герои #вяжутнетолькобабушки #вяжуназаказ #игрушкакрючком #героимультиковкрючком #вязание #вязаныеперсонажи";1529949056;27;2281986358;False;плюшевыеигрушкимк
BlvSKGpDadw;"Вот и свершилось 😍😝 Принцесса Пупырка в моем плюшевом исполнении☺ персонажей вязать сложно,  а из плюшевой пряжи... Очень сложно!!! Но,  я результатом довольна ☺ Девушка... Как говорится 😁 свободна.. Для заказа пишите в директ😊

#мультики #времяприключений #приключения #принцессапупырка #финн #джейк #плюшевыеигрушкимк #плюшевыеигрушкикраснодар #плюшевыеигрушки #игрушкакрючком #игрушкиизплюшевойпряжи #игрушкиназаказкраснодар #игрушкиназаказ #персонажи #принцесса #сиреневый #фанаты #мультфильмвремяприключений #краснодар #плюшеваяпринцесса #звезда #troksuiвналичии";1532702448;34;2281986358;False;плюшевыеигрушкимк
BlxBgr0BHIH;"Маленький Белоснежный единорог в наличии!  Не знаю почему,  но они всегда получаются супер sweet🍭 ит э мэджик😁 
Выполнен из плюшевой детской пряжи,  глазки и рог - детский акрил👼

Цена: 370руб

Доставка Почта России

#плюшевыймир #плюшевыеигрушкимк #единорог #единогоги #сказка #волшебство #плюшевыеигрушкикраснодар #подарокдевочке #подароксебе #подароккраснодар #плюшевыйединорог #sweet #деньрождения #дети #интерьер #детскийинтерьер #анапа #игрушкаединорог #игрушки #игры #девочке #мультики";1532760829;32;2281986358;False;плюшевыеигрушкимк
BmAkPWOB212;"Маленький зайчик в наличии ☺💕 Шарфик снимается,  полностью из плюшевой пряжи,  безопасные глазки,  пуговка -дерево😁
🎯 Цена:  370 руб ❌продан
Доставка в любую точку мира!!! . . . 
#плюшевыймир #плюшевыеигрушкимк #плюшевыеигрушкикраснодар #плюшевыеигрушки #плюшевыйзайка #подарокдевочке #подарокребенку #подароккраснодар #подароксебе #подарокигрушка #игрушкакрючком #игрушки #игрушкиназаказ #игрушкиназаказкраснодар #краснодар #краснодарскийкрай #анапа #уют #дети #детям #детство";1533282353;49;2281986358;False;плюшевыеигрушкимк
Brkfu8sgogL;"🎀Описание процесса вязания для этой очаровательной девочки готово📄💪😊
🌸Расскажу какие МК (описания процесса) для вязания игрушек предпочитаю я сама: главное, чтобы было понятно, коротко и ёмко👍😉 ВСЕ!!! Хотя нет... еще цена МК... 100-200₽ 😁
Мне не надо 100500 фото  каждого провязанного ряда и описание как пришить ручку, как пришить ножку...при этом МК растянут страниц на 15...ну, вы меня поняли🤔
🌸Если Вам такой подход близок и Вы хотите связать эту зайку 👆 Welcome 😉
🔹️Стоимость МК 150₽
🔸️Рост 35-36 см + ушки 27 см
✨ По вопросам заказа
Direct/WhatsApp/Viber :
+79200153673🌿
#заяцсдлиннымиушами #хочузайку #вязаныйзаяц #плюшевыйзаяц #зайка #зая #плюшеваяпряжа #вязаныеигрушки #плюшеваяигрушка #плюшевыеигрушки #handmadetoys #плюшевыеигрушкимк #инстамамаспб #instamamaspb #ручнаяработаспб #вязаныеигрушки #вязанаяигрушка #игрушкасвоимируками #вязаныйзайка #мкзайка #мкзаяц #мкпозайцу #каксвязатьзайку #мастерклассповязанию";1545225369;24;3539962788;False;плюшевыеигрушкимк
Bs1DWEBAVew;"Обещала, рассказываю!
Мое самое продаваемое фото?
На самом деле, у меня их несколько. И это одно из них и расскажу я сейчас о нем же.

Я не буду говорить о светлом фоне, хорошем освещении, правильной обработке и тд и тп. Об этом написаны тысячи слов у всех и каждого.
Я расскажу о другом. О своем личном опыте и наблюдении.

Представьте, вы пришли в продуктовый магазин и на витрине лежат по одной шоколадке каждой марки. Ваша мысль?
Наверняка подумаете, что этот шоколад последний и скорее всего, не первой свежести. А если будут лежать две одинаковые плитки шоколада? Тогда шансов, что покупатель купит именно этот шоколад в разы больше. Согласитесь?
Для тех, кто работает в торговле, это далеко не секрет. А почему бы и нам, рукодельницам, не воспользоваться этим методом?
Он работает безотказно, поверьте! Когда на фото 2 -3 одинаковых изделия вместе, а еще лучше, если несколько одинаковых игрушек/сумок/шапок/сувениров..., но разных цветов, то ваш потенциальный покупатель понимает, что у вас есть ассортимент и наверняка всегда есть наличие! 
Да что говорить, давайте уже делать🙂

Как насчет того, чтобы  попрактиковаться? 
Меня так долго не было в Инстаграме, что душа и тело требуют супер-активности! Кто со мной участвовать в МАРАФОНЕ? 
Бегать не нужно, обещаю) Хотя, нет, иногда, чтобы сделать хорошее фото приходится наматывать и метры-километры. И тем полезнее для здоровья😉. Итак, вот простые условия: 🌸 Мини-марафон будет состоять из трех этапов (на каждый этап дается неделя). Результат- 3 продающих фото. После выполнения каждого этапа я отправляю вам мини-разбор вашего фото и несколько советов, как сделать его более качественным. 🌸Начало марафона-26 января (в следующую субботу) 🌸В конце марафона среди тех участников, кто выполнит все три задания методом случайных чисел выберу трех победителей и подарю МК по вязанию зайки, олененка или совенка на ваш выбор (фото в карусели). Кто со мной? Пишите: УЧАСТВУЮ в комментарии и зовите подруг). Да, и не забудьте нажать на сердечко и на сохрание поста (флажок справа под фото), чтобы не потерять мой пост в ленте.  #марафонпродающеефото";1547928394;140;1555502441;False;плюшевыеигрушкимк
Bt5OPRrDCpQ;"Привет Всем🥰
Хочу с Вами поделиться своим первым МК❤️Большая просьба отмечать меня, @gold_handle_ , в своих изделиях,сделанных по моему мастер-классу. Либо опубликовать свои работы с хэштегами #gold_handle_ и #вяжуснастей . Мне будет интересно увидеть, что у Вас получилось😉
И так, поехали 👍
.
Нам понадобиться:
-пол моточка Плюшевой пряжи -крючок 3,5
-наполнитель
-маркер(отмечать петельки)
-и частичка Вашей любви❤️ (без неё никак🤗)
.
Условные обозначения:
КА- кольцо Амигуруми
Сбн - столбики без накида
СС - соединительный столбик
Пр- прибавка
Уб- убавка( за передние петельки Сбн)
(46) - общее количество Сбн в ряду
Вяжем сердечко плотненько.
.
Всё изделие вяжем по кругу:
1. 6Сбн в КА
2. 6Пр(12)
3. 1Сбн, 1Пр- 6Пр(18)
4. 2Сбн, 1Пр -6Пр(24)
5-6. (24)
Вяжем такие 2 детали.
У первой детали делаем СС. 
У второй детали не делаем СС.
Складываем две детали и провязываем 2СС.
В тех местах, где были СС, провязываем по 2Сбн, в 7 ряду должно выйти 48Сбн.
7-9. (48)
10. 1Уб, 9Сбн, 1Уб, 10Сбн, 1 Уб, 9Сбн, 1Уб, 12Сбн (44)
11. 4Сбн, 1Уб, 4Сбн, 1Уб, 4Сбн, 1Уб, 3Сбн, 1Уб, 4Сбн, 1Уб, 3Сбн, 1Уб, 3Сбн, 1Уб, 3Сбн, 1Уб (36)
12. (36)
13. 1Уб, 2Сбн, 1Уб, 3Сбн, 1Уб,3Сбн, 1Сбн, 2Сбн, 1Уб, 2Сбн, 1Уб, 3Сбн, 1Уб, 3Сбн, 1Уб, 2Сбн (28)
14. 1Уб, 5Сбн, 1Уб, 5Сбн, 1Уб, 5Сбн, 1Уб, 5Сбн (24)
15. 2Сбн, 1Уб - 6 раз (18)
16. 1Сбн, 1Уб - 6 раз (12)
17. 6Уб(6)
18. 3Уб, СС
Бант выполнен по МК kryuchkom.ru Если нужно подробное описание, дайте знать👍 Выложу следующим постом. 
Приятного рукоделия❤️ #nastya2207 #mk_gold_handle_ #мк_gold_handle_ #АнастасияСавчук #сердцеангела #МКпоигрушкам #мастеркласс #МКамигуруми #мк #мквязание #мкповязанию #мкигрушки #бесплатныйМКигрушек #бесплатныймастеркласс #бесплатныйМК #бесплатныймастерклассигрушки #игрушкиспицами #МКплюшевыеигрушки #зефиркиМК #плюшевыеигрушкиМК";1550215807;20;5769492219;False;плюшевыеигрушкимк
Bt6AVasDUhS;"Мишка-почтальон!!
Ножки на подвижном креплении,т.е.сидит без поддержки,глазки на безопасном креплении.носик вышит,сумка съемная!
В полный рост 43 см.
Свяжу в любом другом цвете!
Цена 2000
Доставка Почтой России 
Или самовывоз м.Царицыно или Пражская 
#бирюлево #почтабанк #почтароссии39 #почта #письмо #вяжукрючкомназаказ #игрушкиназаказ #плюшеваязайка #плюшевыеигрушкимк";1550242071;23;2327908612;False;плюшевыеигрушкимк
