post_id;text;date;likes;owner_id;is_video;by_tag
BsoDxeBlD8_;"по-честному, мастер-классы нацелены на тех, кто уже что-то соображает в теме, представленной на занятии. Хотя почему-то некоторые участники думают, что МК - это окончить универ экстерном, да и сами организаторы (не все) в погоне за прибылью пихают различные МК куда и кому угодно.
Мне, которая ведёт такие занятия, не принципиален уровень участника. Но если человек в группе думает, что он пришёл индивидуально и ведёт себя как символ этого года, то уверяю, у вас на выходе будет God knooooows)) (God knows I want to breeaaak free)
Подбирайте грамотные мастер-классы, не отваливайте за них кучу денег, уважайте окружающих и не раздражайте «сэнсэя»🙏🏼😄
#vanelin #мастеркласс #творческиймастеркласс";1547492411;171;2325048557;False;творческиймастеркласс
Bu-lSJ8gRLn;"Друзья, посетив наш творческий островок 🌈«Цветной мир ярких идей» 🌈, вы не только зарядитесь положительными эмоциями и отличным настроением, но и получите от нас массу ПОДАРКОВ!
.
🎁ДАРИМ скидку 25% и мозаику всем участникам мастер-классов!
.
🎁ДАРИМ скидку 25% за ваши готовые работы, выложенные в Инстаграм с пометкой о нас!
.
🎁ДАРИМ скидку 25% всем новым подписчикам!
.
🎁ДАРИМ скидки до 35% на отдельные товары в праздничные дни!
.
🎁ДАРИМ скидку 25% на всю вышивку!
.
В общем, Вы поняли, что у нас всегда и для каждого из Вас найдётся повод, чтобы сделать приятный подарок!😍
.
Пишите нам в Директ✉️, приходите в стационарные магазины в 📍ТЦ Кунцево Плаза и 📍ТРЦ Авеню Юго-Западная!
Мы сердечно рады каждому нашему гостю!❤️🌹
#мастерклассмосква #творческиймастеркласс #подаркидлядрузей #купитьподарокмосква";1552543145;997;8756119275;False;творческиймастеркласс
Bu-rCWEnn1k;"Успели посмотреть что-то из рекомендованных мной фильмов ранее?
Я приготовила для вас новую порцию фильмов для вдохновения и погружения в атмосферу творчества.
⠀
▪️Быть Астрид Линдгрен
▪️Девушка из Дании
▪️Богемская рапсодия
▪️Патерсон
▪️Звезда родилась
▪️Секреты Лагерфельда
▪️Август Раш
▪️Можно только представить
▪️Кусама: Бесконечные миры
▪️Девушка с жемчужной серёжкой
⠀
Сохраняйте в закладки ♥️";1552546161;63;3960613173;False;творческиймастеркласс
Bu-tnyPnLR6;"🎉Набираем группу четвероклассников по подготовке к ВПР.🎊
⠀
Субботние занятия, 2 урока по 45 минут.
Занимаемся русским языком и математикой.
Дополнительно можно заниматься окружающим миром.
Подробности у администратора👇
 ___________________________
Детский клуб Квантики
ул. Бургасская, 43, +7 (938) 403-74-73
ул. Уральская, 158/3, +7 (928) 403-64-73
⠀
Подписывайтесь:
vk.com/dk_kvantiki
instagram.com/kvantiki
⠀
#квантикикраснодар #квантикичмр #квантикикмр #детскийцентр #детскийцентркраснодар #раннееразвитие #развитиеребенка  #поготовкакшколе #детскийпраздник #детскийденьрождения #детскийлагерь #ребеноксекция #детскийклубкраснодар #творческиймастеркласс";1552547516;8;4048196299;False;творческиймастеркласс
Bu0qYf_lByU;"В нашем @dcr.abvgdeyka.domodedovo был замечательный весенний корпоративчик🌷🌷🌷 Огромное спасибо @vipflowers_dmd за чудесный и красивый мастер - класс🌷🌷🌷🌷🌷🌷🌷, а Елене Викторовне за восхитительный торт🎂
Было очень душевно, весело, интересно, вкусно, красиво ... Огромное спасибо моим коллегам за такие чудесные воспоминания🌷🌷🌷
Вот только жалко, что в этот вечер, с нами не было нашей Ольги Николаевны, надеемся, что в следующий раз всё сложится😀 и наш коллектив будет в полном составе😄
Фотографии ➡️ @fontanchik127
#8марта
#весеннийпраздник
#корпоратив
#творческиймастеркласс
#дцрабвгдейка";1552210274;65;8035248778;False;творческиймастеркласс
Bu0ySU0l_Up;"На мастер-классе по рисованию маслом опытные преподаватели научат Вас правилам наложения масляных красок на холст, работе с мастихином, покажут основные приемы рисования и многое другое!
_______
💥АКЦИЯ!💥 Только в марте!
""Картина маслом за 3 часа"" : 1500 р. вместо 2000 р. по будням
_______
Абонементы:
 от 900 р. занятие
_______
ОПЫТ РИСОВАНИЯ НЕ ТРЕБУЕТСЯ!
_______
👉Записаться на занятия:
⚡️Переходите по ссылке в профиле!⚡️ Звоните или пишите WhatsApp: 8(916) 376-80-90
📍На нашем сайте naydisebya.ru
📍Директ: @naydisebya_ru
📧по E-mail: info@naydisebya.ru
_______
⚡️Занятия проходят ЕЖЕДНЕВНО по будням в 13:00 и 19:00 и в выходные в 13:00 и 17:00⚡️
_______
Вас ждет общение с душевными педагогами, учениками и, конечно же, кофебрейк с печеньками🙂☕️
ОПЫТ РИСОВАНИЯ НЕ ТРЕБУЕТСЯ
_______
Адрес: г. Москва, ул.Лесная, 30
3 мин пешком от м. Менделеевская
_______
#школарисованиядлявзрослых #школарисованиямосква #студиярисованиямосква
#рисуемзатричаса #творческиймастеркласс #урокиживописимаслом
#рисованиедлявсех
#рисуемза3часа #рисованиедляновичков #рисованиедляначинающих #рисованиедлядуши";1552214417;87;5509165346;False;творческиймастеркласс
Bu1YcknlnXI;Мастер-класс ко дню 8 марта! Поделка Мимоза получилась у всех ребят! Ребята большие молодцы! ⭐️🥰🤗 #творческиймастеркласс#8марта#семейныйклубмозаика#детиодинцово;1552234424;20;1517876831;False;творческиймастеркласс
Bu2p_OAHbHj;"Совсем забыла в праздничные дни опубликовать эти фотографии. Поэтому показываю сейчас то, что мы делали на мастер-классе с ребятами.
.Подарочный магнит в форме восьмёрки. Яркий, красочный подарок выполненный своими руками, который будет постоянно на видном месте))))
.Только посмотрите, что придумали дети из своих работ на учебной доске, было весело и мы много фотографировались.
#детскиймастеркласс #творческиймастеркласс #мастерклассартем #творимвместесдетьми #подарокна8марта #магнитнахолодильник #подароксвоимируками #поделкана8марта #творческаястудиявл";1552277176;69;1476834295;False;творческиймастеркласс
Bu3CvMLlgeH;"Всем желаю доброго дня! 
Сегодня - фотоотчет с МК кукла Масленица. Детки от 5 до 10 лет вместе с родителями создали 36 (!) куколок 👏! Домашняя Масленица - это оберег на целый год 💐. Когда приходит следующий праздник - куклу сжигали в костре и все заботы, печали уходят вместе с огнем.
Небольшая тряпичная кукла считается мощнейшим оберегом дома, сохраняет мир и гармонию в семье 💞🍀🎊. Каждая деталь обережной куклы наполнена смыслом:
🥀 ткань из хлопка или льна с цветочным орнаментом - зовем весну
🥀 ручки, поднятые вверх - символизируют обращение к солнцу
🥀 юбочка, скрученная особым образом - по кругу, символ солнцеворота
🥀 лицо кукле не рисуют, чтобы ""злые духи"" не вселились в них
🥀 красные нити - символ жизни. 
А Вы уже готовы к своей весне?
#творческиймастеркласс #творчествовмоде #детскиймастеркласс #кукламасленица #тряпичнаякукла #масленица2019 #печемблины #зовемвесну #домашнийоберег #рассадацветовдлядачи #студияэдельвейсрекомендует";1552290151;103;5332659036;False;творческиймастеркласс
Bu3EdIbgip7;"🎁ДАРИМ всем участникам мастер-классов СКИДКУ -25%🎉на покупки и МОЗАИКУ!
.
Наш творческий 🙌🎨февраль был очень насыщенным и плодотворным!
.
К нам пришли много новых деток 🤗, но радует больше то, что уже есть постоянные участники мастер-классов.♥️ А это значит, что мы двигаемся в нужном и правильном творческом направлении вместе с главной мастерицей и профессионалом 👍в своём деле Юлией Соколовой @sokolovamaster.
.
Ждём всех желающих посетить наши МК в 📍ТЦ Кунцево Плаза в возрасте от 4+.
.
🔖Смотрите расписание в актуальном👆.
.
📝Записаться можно в Директ или позвонив из шапки профиля @tsvetnoymir.ru .
.
#мастеркласс #мастерклассмосква #творческиймастеркласс #записатьсянамастеркласс";1552291052;944;8756119275;False;творческиймастеркласс
