post_id;text;date;likes;owner_id;is_video;by_tag
BMAuv7wgl-7;Одно из главных переживаний гостей художественных мастер-классов - у меня не получится. Хотим развеять сомнения: получается по-разному, но получается абсолютно у каждого! На наши воркшопы приходили гости от 16 до 60 лет, и, да, кому-то требуется больше времени, но под руководством нашего преподавателя результат гарантируется даже, если вы держите кисточки в руках впервые 🤗 На каждом мастер-классе рисуют не больше 10 гостей - именно для того, чтобы учитель поработал с каждым 🎨 #каратанова11 #художественныймк #воркшоп #искусство #живопись #art #popart #попарт #особняк;1477453288;37;497918495;False;художественныймк
BQXFMGhFKf_;Большое спасибо @valera_maluj  за мастер-класс🌈 Чувствую себя полноценной творческой личностью😍 #миссисновосибирскint2017 #художественныймк #деревожеланий #мк #живиярко;1486793186;92;419109214;False;художественныймк
BQsfAzCjgZ_;"А сегодня у нас был мастер-класс с заслуженным художником Украины - Иосифом Осташинским.
И дети и взрослые сделали свое звезды счастья и удачи :)
Приходите к нам на воскреску и Вы научитемь многому)
#осташинский #заслуженныйхудожникУкраины #мастеркласс #мк #художественныймк #спички";1487511368;17;4111523655;False;художественныймк
BR3hjIuBKNX;"Добрый день дорогие! Как прекрасна весна, хочется творить, создавать, окружать себя красотой! И мы вам предлагаем окунуться в мир творчества, нарисовать красивые, нежные тюльпаны! За одно занятие у вас будет картина, которую вы сможете повесить дома! Приглашаем! Записывайтесь по тел. 89322001292

КОГДА: 26 марта в 14-00
ЦЕНА: 1500 руб.

#цветы #художественныймк #тюльпаны";1490029280;24;4039443615;False;художественныймк
BSF-3O0BnNQ;"Представьте, как прекрасно творить за мольбертом на природе 👩🏽‍🎨🌿
Ресторан @belaia_dacha, приглашает вас в субботу, 1 апреля насладиться художественным мастер-классом.
Записывайтесь уже сейчас, чтобы успеть приобрести билет😋
Телефон: 8 (918) 375-55-44
#белаядача #madyarcollection #madyar #художественныймк #top25krd #топ25крд";1490514411;75;2218669198;False;художественныймк
BSVXlueDjaB;"Представьте, как прекрасно творить за мольбертом на природе🌿 
Уже сегодня, 1 апреля приглашаем Вас насладиться художественным мастер-классом в любимой ""Белой Даче"". Записывайтесь уже сейчас, чтобы успеть приобрести билет😋
Начало в 16.00
#белаядача #madyarcollection #madyar #художественныймк";1491030691;78;1490766482;False;художественныймк
BSVz34bFV2k;Готовимся к началу обучения!!! #художественныйМК #МКЕленыМахмутовой #наслаждение #какжеядавнообэтоммечтала;1491045520;35;2249580751;False;художественныймк
BUPooCXgmHd;"""Где учиться рисовать ? Есть мечта -реализовать себя в творчестве , но нет умений !""
Я достаточно долго проводила различные МК по маслу и задать мне такой вопрос ,  многим кажется вполне логичным . 
Нереализованность - это неиспользованность , тоесть , когда человек чувствует, что время идёт , жизнь проходит , а его талант - неудел . В таком случае учиться только в художественном заведении , профессиональном , где Вас научат Видеть, понимать  форму, а не срисовывать. Учиться на кратких курсах у художников -только для перенятия авторского фирменного стиля , но Ваши таланты это никак не реализует . 
Мастер классы , популярные ныне , акварельные и масляные курсы , не дадут серьёзной платформы образовательного характера и этого не стоит от них требовать , ходить за прекрасным времяпрепровождением - с такой целью ожидания будут оправданы . 
Фото с МК на одну из моих картин . 💗";1495133264;107;828045997;False;художественныймк
BUkDvJMF9QK;Портрет по фото на МК у @makhmutovaart ) я уже дорисовала, сижу отдыхаю)) #рисунок #рисунокпофото #художественныйМК #рисую #живу #дышу #art #picture #художницаблин;1495818566;54;2249580751;False;художественныймк
BUmxZxylFb2;Как же я так, забыла сразу выложить свой первый рисунок по фото, портрет какой-то девушки😎, нарисованный на МК у @makhmutovaart ! Вроде похоже)))) #рисую #живу #дышу #художественныйМК #люблюрисовать #оренбург #художницаблин;1495909617;59;2249580751;False;художественныймк
BUtQb7Lgp6M;#киевмк #мастеркласскиев #рисуюттектонерисует #рисованиевкиеве #арт_вечеринка_киев #художественныймк#кудапойтикиев #;1496127214;28;5462036777;False;художественныймк
BUwruajAD-N;"2-3 часа и вы один из нас! Художник в краске, зато с картиной))).. Запись на арт-вечеринку или индивидуальный МК - 0974523578.

#художественныймк#рисованиевкиеве #киевмк #рисованиекиев";1496242185;42;5462036777;False;художественныймк
BV1QDeUH3RG;"Представьте, как прекрасно творить за мольбертом на природе🌿 
Приглашаем вас в субботу, 1 июля насладиться художественным мастер-классом в любимой ""Белой Даче"". Записывайтесь уже сейчас, чтобы успеть приобрести билет😋
#белаядача #madyarcollection #madyar #художественныймк";1498542933;80;1490766482;False;художественныймк
BV_vcDfH3nM;"Представьте, как прекрасно творить за мольбертом на природе🌿 
Приглашаем вас сегодня, 1 июля насладиться художественным мастер-классом в любимой ""Белой Даче"". Записывайтесь уже сейчас😋
Рисуем несравненную Фриду❤️
Стоимость участия 1500 рублей✨
#белаядача #madyarcollection #madyar #художественныймк";1498894932;70;1490766482;False;художественныймк
BXyQYLyhbw1;"#делобыловечером #делатьбылонечего  пока была в Риге, посетила еще один #художественныймк , #картина в процессе. Результатом позже поделюсь. 😌 #учусь #рисую 
#Нравится ☺️";1502737407;32;1364343650;False;художественныймк
BYfj6RqHB9O;"Поздравляем всех наших любимых деток с первым днём осени🍂🍂🍂, с Днём знаний📚📚📚 И приглашаем к нам на яркий и красочный художественный мастер-класс ""Радужный кот"", который состоится в @palchikistudio 10 сентября(воскресенье) в 11:00. Ждём деток всех возрастов, так как рисовать можно и с маминой помощью и самостоятельно 😉🎨🖌 ❗️Продолжительность - 1,5 часа
В стоимость входят все необходимые материалы и угощения 😋 Обязательна предварительная запись по телефону - 89898100032 #palchikistudio #рисуем #радуга #картина #художественныймк #краски #матрклассдлядетей #кмр #краснодар #krasnodar #krd";1504257597;41;3073770191;False;художественныймк
BYiKjVXA3J5;"И снова Москва, привет! 
9 сентября в пространстве @halldecor  с партнерами проекта @lanors.ru проведём мастер-класс по потали😉 ▪️разберём цветовые сочетания
▪️поработаем со штукатуркой
▪️разберём особенности работы с поталью
▪️сделаем каждый свою индивидуальную картину
▪️ размер 50*60
▪️картину заберёте собой
————————————————
Стоимость – 3500₽
Запись обязательна в Директ 👉🏻@yourspace.ru

#мк#мастерклассмосква#мастеркласс#москва#мкмск#поталь#акрил#художественныймк";1504344965;157;198056729;False;художественныймк
Ba78ad5Bay9;"🎨Новый художественный мастер-класс! С любым уровнем подготовки🎨❗️Занятие состоится 5 ноября (воскресенье) в 14.00. .
❄️Тема занятия «Зимний пейзаж». Занятие будет проходить под руководством невероятно талантливой Виктории Ломановой (дипломированного преподавателя художественной школы). Стоимость 1 занятия - 1500 руб. (2 часа) 
Все материалы: мольберты, холсты, краски, фартуки и кисти предоставляются !
Мы создали отдельный профиль, чтобы Вам было удобнее следить за анонсами, подписывайтесь @kartina_artclub 🎨
Для записи пишите в директ @kartina_artclub или позвоните организатору Елене 89179498883. 
Нарисуй свою картину!";1509504935;40;3208922597;False;художественныймк
BaJ3WpTBE81;Сегодня у нас проходит занятие художественного клуба «кАРТина» 🍂 🎨  а мы уже готовим предложение для детских др и корпоративных мероприятий!🎪 и, конечно, новое вечернее занятие клуба!😍 #кАРТина #картинамаслом #samara #самара #мастеркласс #художественныймк;1507824561;98;3208922597;False;художественныймк
