post_id;text;date;likes;owner_id;is_video;by_tag
BHjSybnAzzM;#миризкоробки #мастерклассыдлядетей #озеролебединка #кивиклуб52 #экология #экомк #нашавыкса;1467875616;41;2098690746;False;экомк
BSyGiueDxeU;"В  выходной проводила мероприятие для детей .На этот раз на фримаркете  при сотрудничестве с магазином @ecocrimea
Делали пасхальный эко-декор.☘
Работая с маленькими детьми  безумно интересно наблюдать,как по-разному они воспринимают информацию,как каждый по своему делает то,что я объясняю и показываю...и многие уже проявляют особенности характера,что еще милее наблюдать...
Продолжаю прививать любовь к природе у маленьких ,а сама продолжаю черпать  особенности в воспитании... #Kursk#puraVida➰#2017💏#весна2017🍒#экоМК";1491994832;128;1389264790;False;экомк
BTTUFLFj-9Y;Сделали сегодня 🐰🐰 из ветки, которую нашли в парке на прогулке #творчествосмакаром;1493109226;79;4785861900;False;экомк
Bj9C-EilD_J;"#kudaotdat_артпереработка
⠀⠀
🌈🎨♻НОВОЕ ВДОХНОВЕНИЕ ДЛЯ ЭКО-МК: БРОШЬ ИЗ ФЕТРА! ♻. ⠀⠀
Быстро, просто - и красиво! ⠀⠀
♻ Можете сделать сами дома - или провести экологический мк на одном из мероприятий - мы ""за"" распространение эко-знаний и эко-навыков! ⠀⠀
Суть: 🌟 1. основа - быстро! - из фетра, 🎨 2. в центр (а при желании и по краю, и сбоку ещё ""свисая"" - украшение из пуговиц/бусин/цепочек/бижутерии и т.д.). ⠀⠀
♻ Арт-переработка в : 
1. основа - фетр/флис - могут быть ""из кусочков ослужившей одежды"" - перчатки, спортивная одежда и т.д. 
2. украшение - из остатков/ненужных бусин-бисера-пуговиц-надоевшей/сломанной бижутерии 😊 ⠀⠀
Итак, вперёд! ))) Как насчёт сделать такую брошь - уже сегодня или на этих выходных? 😉 ⠀⠀
Кстати, подобный мк - пусть из ткани - есть в экологической бизнес-сказке ""КИСЯНЯ: МЕЧТЫ СБЫВАЮТСЯ"" - часть 1 ""Начало Пути!"" Ее можно найти на ЛитРес ⠀
#артпереработка #аннаподолина #upcycle #recycle #втораяжизньвещей #handmade #рукоделие #мк #экомк #экомероприятие";1528869280;53;1940206804;False;экомк
Bm3QHT_notK;"Рабочие будни.
Пятница 👏
Скоро домой 🎉
#работа #экомк #пятница";1535117296;24;8480545973;False;экомк
Bm6q9y1Fdk5;"Буду рада всем! Вы сможете увидеть все мои работы в наличии, прикупить стильных украшений из посуды по ~200 р и отдать свою разбитую посуду! А также принять участие в первом МК от моей мастерской! 👉 @zayka_mo Впервые и вряд ли в последний раз 😉🔨♻️✌️Во дворе Гостиного двора в этом году.
#гостинка #гостиныйдвор #живыеулицы #мозаикаизпосуды #экомозаика #экомк #мк #спасаюпосуду #зайка_мо #зайка_мозаика #летнийфестиваль #провожаялето #будьтежизнерадостными #экологиявмоде #экомода #моданаэко #апсайкл #ресайкл #творческийПетербург";1535232037;42;1540686555;False;экомк
Bm6qdTXldfM;"Буду рада всем! Вы сможете увидеть все работы в наличии, прикупить стильных украшений из посуды по ~200 р и отдать свою разбитую посуду! А также принять участие в первом МК от моей мастерской! Впервые и вряд ли в последний раз 😉🔨♻️✌️
#гостинка #гостиныйдвор #живыеулицы #мозаикаизпосуды #экомозаика #экомк #мк #спасаюпосуду #зайка_мо #зайка_мозаика #летнийфестиваль #провожаялето #будьтежизнерадостными #экологиявмоде #экомода #моданаэко #апсайкл #ресайкл #творческийПетербург";1535231771;47;2164832709;False;экомк
BmIIyieh0vL;"Шкаф-купе встроенный.
Станица Смоленская.
#шкафкупе #шкафкупевстроенный #мебельназаказ #шкафназаказ #гардеробная #мебель #мебельназаказсмоленская #мебелькраснодар #мебельназаказкраснодар #дверикупе #заказатьгардеробную #заказатьшкафкупе #мебельстаницасмоленская  #мебельотпроизводителя #экомебелькраснодар #экомк #экомебелькрд #ekomebelkrd";1533536397;39;7227541620;False;экомк
Bn07YBSFsbY;"Фото с моего дебюта по проведению мастер-класса по мозаике из посуды! Мне понравилось!!!) Ежегодный фестиваль #ЖивыеУлицы ! Кстати! 😬😎😆Мне открыли глаза, почему я практически не употребляю алкоголь! Чтобы, выкладывая мозаику, руки не треслись 😆👍😆Мозаика действительно требует аккуратности, точности и терпения. Собственно говоря, каждый раз я вырабатываю это в себе, создавая новую работу. Такая вот медитация и самосовершенствование! 😉😀🙂Хотите тоже?! Записывайтесь и приходите на индивидуальный мастер-класс! Также возможна мини-группа из 2 чел.
-----------------------
#экомозаика #мозаикаизпосуды #экотворчество #экомк #экологичныймк #необычныймк #увлекательныймк #творческийПетербург #творческийПитер #экопитер #экоарт #заэкологию #зеровейст #гоугрин #релаксация #медитация #антистресс #антидепрессант #лето2018 #гостинка #гостиныйдвор #спасёмпосудувместе #спасёммир #спасаюпосуду #изпосуды #вдребезги #насчастье #зайка_мо #зайка_мозаика";1537186797;53;2164832709;False;экомк
BnE26cMFcg8;"Отзыв от участницы МК в прошедшее вс на фестивале #ЖивыеУлицы2018 ! 😀😌Приятно! Мой дебют в проведении мозаичных мастер-классов состоялся! И прошёл более, чем удачно, на мой взгляд! Обошлось без травм😆И все получили положительные эмоции. Конечно! Это же крутой #Антистресс )))
#зайка_мозаика #зайка_мо #зайкамо_мк #экомк #экотворчество #экоискусство #искусствоизмусора #искусствоизпосуды #экодекор #дебют #отзывы #спасаюпосуду #экомозаика #мозаикаизпосуды #заэкологию🌿 #заэкологичнуюжизнь #живыеулицы";1535573845;56;2164832709;False;экомк
BnZW_WWBPrs;"Кухня с пластиковым фасадом.
Немного южнее Краснодара, ст. Смоленская.
Фурнитура с доводчиком.
Фартук стекло с фотопечатью.
#кухнявсмоленской #кухняназаказкраснодар #кухня #купитькухнювсмоленской #купитькухню #заказатькухню #корпуснаямебелькраснодар #мебельвсмоленской #экомебелькраснодар  #экомккраснодар #экомк #заказатькухню #корпуснаямебелькраснодар #мебельдлядома #мебельотпроизводителя #экомебелькраснодар #экомебелькрд #ekomebelkrd";1536261751;50;7227541620;False;экомк
BnkIsjADzB_;"Друзья, вы только посмотрите, какая прелестная собачка получилась у @pe_a4ch 👏👍Приходите и вы на мастер-класс ""Креативное спасение посуды"" и создайте свой экошедевр!) А я вам в этом помогу! ✌️😉♻️Запись на индивидуальный мк 👉ДИРЕКТ. -----------------------
#экомк #зайкамо_мк #мозаикаизпосуды #креативныймк #мкспб #творим_вытворяем #спасаюпосуду #экомозаика #творческиелюди #творчество #креатив #будьоригинален #наширукинедляскуки #посуда #изпосуды #творческийПетербург #экотворчество #экоПетербург #экоарт #зайка_мо #зайка_мозаика #апсайкл #апсайклинг #эковмоде #экодекор #живыеулицы #спб #гостиныйдвор #гостинка #антистресс";1536623356;63;2164832709;False;экомк
BoMB0I4Fhiy;"Ровно месяц назад прошёл фестиваль #Живыеулицы 🌿И мой первый экологичный МК)! Вот ещё одна фотография готовой работы одной из участниц. Прекрасный выбор материала! Очень симпатично вышло 😍♥️Всё-таки сидит во мне педагог, который хочет проявить себя в любых областях 😉😬Поэтому я получила огромное удовольствие от процесса. Записывайтесь и вы на индивидуальный МК, приходите ко мне и будем создавать с вами что-нибудь красивое✌️
-----------------------
#экомозаика #мозаикаизпосуды #экотворчество #экомк #экологичныймк #необычныймк #увлекательныймк #творческийПетербург #творческийПитер #экопитер #экоарт #заэкологию #зеровейст #гоугрин #релаксация #медитация #антистресс #антидепрессант #лето2018 #гостинка #гостиныйдвор #спасёмпосудувместе #спасёммир #спасаюпосуду #изпосуды #вдребезги #насчастье #зайка_мо #зайка_мозаика";1537961925;48;2164832709;False;экомк
BolOm59g3Ap;🍁Рисунки на кленовых листьях!!!🍁 а вы уже пробовали создать свой шедевр? #кузенька #мк #рисуем #росписьлистьев #экомк #мкдлядетей #праздникдетям;1538807493;24;2265743607;False;экомк
BooOyBthk0j;"Раскроичный стол.
В стиле лофт.
ЖК Инсити.
#мебелькраснодар #мебельназаказкраснодар #мебельотпроизводителя #экомебелькраснодар
#столдляраскоя #экомккрд #экомк
#зеркалосгравировкой #ekomebelkrd
#экомебелькрд";1538908248;33;7227541620;False;экомк
Bq29zblBZNs;"Завтра состоится семейный экофест @ecofestpiter ! Программу мероприятий читайте у них в профиле! Ожидается много всего интересного! Со своей стороны я проведу мастер-класс и буду принимать у вас разбитую посуду! Также у вас есть возможность пообщаться лично. Живое общение всегда приятнее. Сможем обсудить заказ или просто поделиться экоопытом♻️☺️
#экофест #экопитер #экоПетербург #семейныйфест #экособытие #экогород #экомк #принимаюпосуду #изразбитойпосуды #насчастье #спасаюпосуду #разбилосьвдребезги #светлыймир #гоугрин #зайка_мо #зайка_мозаика #экофестпитер";1543697630;36;2164832709;False;экомк
