post_id;text;date;likes;owner_id;is_video;by_tag
BkBGSW-BaPi;"Эпоксидная смола
.
А знаете ли вы, что:
💧 Впервые эпоксидная смола была получена французским химиком Кастаном в 1936 году
💧 В неотверждённом виде эпоксидные смолы являются достаточно ядовитыми веществами и могут навредить здоровью.
💧 Мэтр эпоксидной живописи - японский художник Рюусукэ Фукахори (Riusuke Fukahori), он создал серию картин с объемными золотыми рыбками в вроде, словно настоящие.
💧 Этот материал приобрел широкую популярность, так как он является доступным, удобным в работе и красивым. Внешне он напоминает органическое стекло.";1529005324;215;4551217464;True;эпоксиднаясмоламастеркласс
BkClbWBBDXJ;"Мастер-классы с Эпоксидной смолой 💧”RESIN ART”💧
.
🔥23 июня в 13.00 - Поднос и море + фанера d20 см
🔥30 июня, в 13.00 - Круглая картина d50 см + фанера d20 см
.
На мастер-классе вы создадите современную, интерьерную картину.
Опыт в живописи не обязателен 😊
.
Вы узнаете:
- Что такое эпоксидная смола, как с ней работать и меры предосторожности.
- Несколько техник заливки и создания текстур
- Какие поверхности для заливки  смолой подходят
.
На мастер-классе мы:
- Ознакомимся с материалами
- Выберем палитру  для будущей картины
- Создадим свою картину самостоятельно
.
Все материалы предоставляются:
- Деревянный поднос (как на фото)
- Круглая фанера, диаметр 50 см
- Фанера диаметр 20 см (тренировочная) - защитные материалы, респиратор ☝🏻
- Чай/кофе со сладостями
.
В группе до 6 человек, что обеспечит индивидуальный подход к каждому.
.
Стоимость каждого мастер-класса: 8500 ₽
_____________________
Художник: Анастасия Смирнова @art.smirnova
Запись: Direct, WA, +79276651118
Место: г. Москва, Большой Сухаревский переулок 17, с.2";1529055118;394;4551217464;False;эпоксиднаясмоламастеркласс
BkQOsv1lMHw;"Такие дела 👻 экспериментирую с эпоксидкой... Много чего интересного можно с ней сделать, пока пробую материал.... знакомимся друг с другом, короче)) а вообще
скоро запустим в @buduart1 один клевый МК, буду анонсировать ✌🙃";1529512964;142;1681927954;False;эпоксиднаясмоламастеркласс
BkayvF5BVxZ;"Мастер-класс ”RESIN ART”💧
Эпоксидная смола
.
🔥30 июня в 13.00
🔥14, 29 июля, в 13.00
.
На мастер-классе вы создадите современную, интерьерную картину.
Опыт в живописи не обязателен 😊
.
Вы узнаете:
- Что такое эпоксидная смола, как с ней работать и меры предосторожности.
- Несколько техник заливки и создания текстур
- Какие поверхности для заливки  смолой подходят
.
На мастер-классе мы:
- Ознакомимся с материалами
- Выберем палитру  для будущей картины
- Создадим свою картину самостоятельно
.
Все материалы предоставляются:
- Круглая фанера, диаметр 50 см
- Фанера диаметр 20 см (тренировочная) - защитные материалы, респиратор ☝🏻
- Чай/кофе со сладостями
.
В группе до 6 человек, что обеспечит индивидуальный подход к каждому.
.
Стоимость каждого мастер-класса: 8500 ₽
_____________________
Художник: Анастасия Смирнова @art.smirnova
Запись: Direct, WA, +79276651118
Место: г. Москва, Большой Сухаревский переулок 17, с.2";1529867401;69;4551217464;False;эпоксиднаясмоламастеркласс
BkdSJz4B63e;"Эпоксидная смола настолько интересна🙌🏻
⠀
С помощью неё можно сотворить картины для интерьера, небольшие столешницы, бижутерию, изготовить дизайнерские столы из древесины...вариантов масса!
⠀ 
Главное, чтобы работала фантазия и чувство вкуса 👌🏻
⠀
Она совсем не сложна в исполнении, а смотрится великолепно! 😍
⠀
Я в восторге 👏🏻
⠀
Расскажите, а вам нравится картины в технике эпоксидная смола?
Хотели бы сотворить подобное?";1529951738;246;4551217464;True;эпоксиднаясмоламастеркласс
Bkwl1OUAuMk;"МАСТЕР-КЛАСС «3 техники за 3 урока»🔥
⠀
Вот какую картину создала Яна 😎
⠀
При этом, были использованы 3 техники:
⠀
🔸 Золочение поталью
🔸 Цветы из текстурной пасты
🔸 Заливка эпоксидной смолой
⠀
Да, времени ушло очень много! И это действительно того стоит!😍
⠀
Ведь правда!?)
⠀
Мы сделали ее без определенного шаблона, придумывали на ходу дизайн картины 👍🏻
⠀
И получилось потрясающе!!)
⠀
Хотите так же?
⠀
Присоединяйтесь на мастер-класс по созданию объемной картины!
⠀
❤️ Первый урок - пройдёт 7 июля, в 13.00 вместе с группой по Fluid art - создадим фон жидким акрилом
❤️ Второй урок - работа с текстурной пастой.
❤️ Третий урок - заливка эпоксидной смолой.
⠀
Стоимость всего курса:
Круглая фанера d50 см - 10 000 ₽
Прямоугольная фанера 70х80 см - 13 500 ₽
⠀
Все материалы предоставляю
А так же чай/кофе и сладости.
⠀
В итоге, вы с уверенностью будете создавать подобные картины самостоятельно.
⠀
Зная все нюансы техник 👌🏻";1530598984;353;4551217464;True;эпоксиднаясмоламастеркласс
BlBEwT3gi5l;"""RESIN ART"" 
Рисование эпоксидной смолой
11-12 августа 2018 года в 11:00

Продолжительность мастер - класса. 
Рама для зеркала срез камня- 2 дня 
Картина - панно в технике ""RESIN ART"" - 1 день 
Запись на мастер-класс по предоплате. . Студия «БудуАрт» проводит уникальное занятие в новой модной технике рисования эпоксидной смолой – resinart. 
Как алхимики древности мы будем при помощи смолы, отвердителя, пигментов и других интересных материалов создавать декор рамы зеркала в виде среза камня. Или интерьерную картину (на выбор). Но что же такое resinart? Основные компоненты для рисования – эпоксидная смола и отвердитель. В процессе смешивания, они запускают химический процесс полимеризации, превращающий раствор в твердое покрытие, похожее на пластик или стекло. Смолу можно окрашивать в любые цвета, добавлять блестки, камни и другие элементы. И, главное, рисовать ею без помощи кисти или мастихина. 
Специально для этого занятия мы подготовили рамки для зеркал из МДФ в форме среза камня и планшеты размером 55х35 см. 
#resinart#эпоксиднаясмола#эпоксиднаясмоламастеркласс#будуартмытищми#";1531151917;47;1925379219;False;эпоксиднаясмоламастеркласс
BlGkEGygBa8;"""RESIN ART"" 
Уникальная рама для зеркала имитирующая срез камня.
Агат, малахит, сердолик, аметист, оникс, ультрамарин -  какой камень вам по сердцу?
Вас ждёт поточная живопись эпоксидной смолой - ""RESIN ART""

Как алхимики древности мы будем при помощи смолы, отвердителя, пигментов и других интересных материалов создавать декор рамы зеркала в виде среза камня.
11-12  августа в 11:00
Запись в директ или по телефону 8-925-791-82-68

#resinart #эпоксиднаясмоламастеркласс #творчнскаястудиябудуарт";1531336104;158;1925379219;False;эпоксиднаясмоламастеркласс
BlSs5Lhl5l-;"Друзья, привет!) Обещала анонс классного МК, и вот он тут))
☀Анонс!☀
11 и 12 августа, в студии @buduart1 проведу новый, необычный мастер-класс!🙌 с помощью художественной заливки эпоксидной смолой создадим такую раму для зеркала, имитирующую срез натурального камня! Буду рассказывать и показывать, как это всё льётся, чем и как это делается вообще)) в конце занятия у всех получится красивый камушек, можно будет сделать раму для зеркала либо цельное панно, кому что ближе ☺
☀ Стартуем в 11 утра, 11-12 августа ☀ 
Записаться можно по тел.:
8-925-791-82-68
Доо встречи) 🙋☕🍪🎶🎨👐👐👐👐☀";1531743387;91;1681927954;False;эпоксиднаясмоламастеркласс
Bl_H0S9hJNf;Процесс создания моря эпоксидной смолой на мастер-классе «Resin art” 🌊;1533234092;215;4551217464;True;эпоксиднаясмоламастеркласс
